word sentid sentpos wlen surp entropy entred
what 0 0 4 10.804617881774902 7.472123146057129 0
does 0 1 4 8.544522285461426 6.514146327972412 0.9579768180847168
<unk> 0 2 5 4.7979254722595215 6.029693603515625 0.4844527244567871
wonder 0 3 6 12.782654762268066 7.777153015136719 0
where 0 4 5 9.049589157104492 6.060084342956543 1.7170686721801758
<unk> 0 5 5 2.764662504196167 5.9154510498046875 0.14463329315185547
went 0 6 4 10.550556182861328 6.451554298400879 0
to 0 7 2 1.9423279762268066 5.236504554748535 1.2150497436523438
buy 0 8 3 11.87939453125 5.523438453674316 0
? 0 9 1 9.193367958068848 6.421485424041748 0
whom 1 0 4 13.321051597595215 7.425808906555176 0
did 1 1 3 11.361252784729004 3.6189706325531006 3.806838274002075
<unk> 1 2 5 2.394690752029419 4.148775100708008 0
ask 1 3 3 11.786684036254883 7.613394260406494 0
why 1 4 3 6.856367111206055 5.639336585998535 1.974057674407959
<unk> 1 5 5 1.6598855257034302 4.9740142822265625 0.6653223037719727
was 1 6 3 3.6241347789764404 6.975911617279053 0
waiting 1 7 7 8.92955493927002 8.487350463867188 0
? 1 8 1 7.195831775665283 3.589909315109253 4.897441148757935
what 2 0 4 6.6243133544921875 7.793018817901611 0
did 2 1 3 6.127763748168945 5.675169944763184 2.1178488731384277
they 2 2 4 8.268974304199219 2.0973594188690186 3.577810525894165
not 2 3 3 13.54429817199707 4.691042423248291 0
like 2 4 4 7.933258533477783 6.198305130004883 0
that 2 5 4 10.795341491699219 0.4397179186344147 5.758587211370468
will 2 6 4 14.578896522521973 0.1259990781545639 0.31371884047985077
asked 2 7 5 16.33684730529785 5.220792293548584 0
how 2 8 3 12.92921257019043 0.3150743544101715 4.9057179391384125
<unk> 2 9 5 3.0254154205322266 3.8616228103637695 0
speaks 2 10 6 15.83767318725586 2.256460666656494 1.6051621437072754
? 2 11 1 0.011235958896577358 0.11183039098978043 2.1446302756667137
what 3 0 4 5.3241729736328125 7.832024097442627 0
did 3 1 3 4.626221656799316 5.711071968078613 2.1209521293640137
will 3 2 4 12.522832870483398 3.231177568435669 2.4798943996429443
ask 3 3 3 8.350898742675781 7.945703506469727 0
why 3 4 3 0.505376398563385 1.8125860691070557 6.133117437362671
<unk> 3 5 5 1.01631760597229 3.7562241554260254 0
read 3 6 4 9.76489543914795 5.706634044647217 0
? 3 7 1 8.378911972045898 5.859935760498047 0
who 4 0 3 8.727043151855469 5.290419101715088 0
did 4 1 3 2.1173884868621826 6.390130996704102 0
he 4 2 2 7.788943767547607 7.123013496398926 0
hear 4 3 4 10.088294982910156 8.250332832336426 0
that 4 4 4 2.8182668685913086 5.909691333770752 2.340641498565674
<unk> 4 5 5 3.2480928897857666 7.270725250244141 0
asked 4 6 5 7.755023002624512 8.046467781066895 0
where 4 7 5 12.537837982177734 0.9538155198097229 7.092652261257172
<unk> 4 8 5 1.2857778072357178 4.144184112548828 0
is 4 9 2 7.628126621246338 5.014368534088135 0
waiting 4 10 7 4.502510070800781 6.624692440032959 0
for 4 11 3 5.840994358062744 2.398726224899292 4.225966215133667
? 4 12 1 3.7972426414489746 5.927089214324951 0
whom 5 0 4 7.646797180175781 6.555871486663818 0
did 5 1 3 0.8128238916397095 2.764817237854004 3.7910542488098145
<unk> 5 2 5 2.3462774753570557 7.020616054534912 0
ask 5 3 3 1.926133394241333 6.307780742645264 0.7128353118896484
what 5 4 4 4.409348487854004 1.7788578271865845 4.528922915458679
<unk> 5 5 5 1.962181806564331 4.166537761688232 0
told 5 6 4 8.766761779785156 5.144370079040527 0
? 5 7 1 5.656345844268799 6.16710090637207 0
how 6 0 3 7.418880939483643 5.350618839263916 0
did 6 1 3 1.753017783164978 2.366413116455078 2.984205722808838
they 6 2 4 4.5129570960998535 2.394273281097412 0
forget 6 3 6 13.3611421585083 4.504656791687012 0
which 6 4 5 12.41208267211914 2.9076387882232666 1.5970180034637451
problem 6 5 7 18.92679214477539 1.8360143899917603 1.0716243982315063
they 6 6 4 7.14428186416626 4.720095634460449 0
should 6 7 6 8.051072120666504 6.093120574951172 0
solve 6 8 5 11.081103324890137 4.081051826477051 2.012068748474121
? 6 9 1 1.4128397703170776 4.635273456573486 0
what 7 0 4 2.405757427215576 5.045114040374756 0
did 7 1 3 0.07259174436330795 0.5269020199775696 4.518212020397186
<unk> 7 2 5 6.005276203155518 3.771890878677368 0
wonder 7 3 6 5.982254981994629 7.429271697998047 0
who 7 4 3 8.106640815734863 3.0073492527008057 4.421922445297241
solved 7 5 6 16.978328704833984 5.233423709869385 0
? 7 6 1 0.13099703192710876 0.9763451814651489 4.257078528404236
what 8 0 4 0.32704490423202515 1.7975571155548096 0
did 8 1 3 0.0926879495382309 0.6667678356170654 1.1307892799377441
i 8 2 1 11.280496597290039 2.6916990280151367 0
forget 8 3 6 8.986449241638184 7.169819355010986 0
who 8 4 3 2.931278944015503 4.8012495040893555 2.368569850921631
directed 8 5 8 12.585020065307617 7.179171562194824 0
that 8 6 4 4.870598793029785 5.913390159606934 1.2657814025878906
i 8 7 1 6.065994739532471 8.72671890258789 0
saw 8 8 3 7.798328876495361 6.880904674530029 1.8458142280578613
yesterday 8 9 9 13.002409934997559 6.6738481521606445 0.20705652236938477
? 8 10 1 4.758485317230225 6.933221817016602 0
where 9 0 5 11.299247741699219 0.9701769351959229 0
did 9 1 3 3.625044584274292 5.541295528411865 0
he 9 2 2 2.700835704803467 4.157381057739258 1.3839144706726074
hear 9 3 4 6.411928176879883 8.511679649353027 0
that 9 4 4 1.8412140607833862 4.196258544921875 4.315421104431152
my 9 5 2 9.052765846252441 6.319239139556885 0
sister 9 6 6 9.390297889709473 9.643641471862793 0
asked 9 7 5 6.068183422088623 6.9148101806640625 2.7288312911987305
which 9 8 5 11.271835327148438 1.1043815612792969 5.810428619384766
direction 9 9 9 17.047794342041016 6.06318998336792 0
to 9 10 2 6.780923843383789 5.6815595626831055 0.38163042068481445
take 9 11 4 6.774790287017822 7.231975555419922 0
for 9 12 3 7.198931694030762 3.142444372177124 4.089531183242798
? 9 13 1 0.7539352178573608 4.088907718658447 0
what 10 0 4 0.797328770160675 3.228574275970459 0
does 10 1 4 7.614513397216797 0.3951719403266907 2.8334023356437683
<unk> 10 2 5 2.53163480758667 6.043953895568848 0
