word sentid sentpos wlen surp entropy entred
where 0 0 5 9.27620792388916 0.8993276953697205 0
did 0 1 3 13.009200096130371 0.596534788608551 0.30279290676116943
<unk> 0 2 5 0.22553136944770813 1.2458657026290894 0
ask 0 3 3 6.517618179321289 4.557776927947998 0
who 0 4 3 6.74689245223999 3.3763961791992188 1.1813807487487793
<unk> 0 5 5 1.1205484867095947 5.800784111022949 0
took 0 6 4 9.213677406311035 6.945748329162598 0
? 0 7 1 0.7402611970901489 3.475141763687134 3.470606565475464
what 1 0 4 10.907251358032227 0.8993276953697205 0
did 1 1 3 8.798853874206543 1.8924705982208252 0
she 1 2 3 9.183623313903809 1.306500792503357 0.5859698057174683
say 1 3 3 3.024411916732788 6.488163948059082 0
that 1 4 4 1.7734307050704956 2.7678284645080566 3.7203354835510254
<unk> 1 5 5 0.08224359154701233 0.7710173726081848 1.9968110918998718
asked 1 6 5 4.135318756103516 6.769872665405273 0
who 1 7 3 7.950498104095459 1.9862909317016602 4.783581733703613
will 1 8 4 9.913134574890137 4.582065105438232 0
read 1 9 4 6.447043418884277 5.8144426345825195 0
? 1 10 1 0.029101330786943436 0.2274402678012848 5.587002366781235
where 2 0 5 9.27620792388916 0.8993276953697205 0
did 2 1 3 13.009200096130371 0.596534788608551 0.30279290676116943
<unk> 2 2 5 0.22553136944770813 1.2458657026290894 0
ask 2 3 3 6.517618179321289 4.557776927947998 0
how 2 4 3 4.912992000579834 3.3763961791992188 1.1813807487487793
<unk> 2 5 5 0.02790987677872181 0.25232312083244324 3.1240730583667755
went 2 6 4 9.059503555297852 6.818338394165039 0
? 2 7 1 0.27435269951820374 1.0641725063323975 5.754165887832642
what 3 0 4 10.907251358032227 0.8993276953697205 0
did 3 1 3 8.798853874206543 1.8924705982208252 0
will 3 2 4 13.84328842163086 1.306500792503357 0.5859698057174683
ask 3 3 3 7.05802059173584 6.057100772857666 0
why 3 4 3 3.4373278617858887 2.908092737197876 3.14900803565979
<unk> 3 5 5 0.035962432622909546 0.3235645890235901 2.584528148174286
wears 3 6 5 11.678364753723145 6.755621433258057 0
? 3 7 1 0.0014858526410534978 0.01849021390080452 6.737131219357252
what 4 0 4 10.907251358032227 0.8993276953697205 0
did 4 1 3 8.798853874206543 1.8924705982208252 0
she 4 2 3 9.183623313903809 1.306500792503357 0.5859698057174683
say 4 3 3 3.024411916732788 6.488163948059082 0
that 4 4 4 1.7734307050704956 2.7678284645080566 3.7203354835510254
will 4 5 4 9.94465446472168 0.7710173726081848 1.9968110918998718
