word sentid sentpos wlen surp entropy entred
where 0 0 5 11.448622703552246 0.402956485748291 0
did 0 1 3 8.567328453063965 3.782992362976074 0
<unk> 0 2 5 0.20684446394443512 1.2351305484771729 2.5478618144989014
ask 0 3 3 6.519970417022705 2.2332561016082764 0
who 0 4 3 7.791969299316406 2.2384562492370605 0
<unk> 0 5 5 1.4829857349395752 5.921503067016602 0
took 0 6 4 10.22714614868164 6.334799289703369 0
? 0 7 1 1.5892778635025024 4.566187858581543 1.7686114311218262
what 1 0 4 12.293925285339355 0.402956485748291 0
did 1 1 3 6.705033779144287 2.3543317317962646 0
she 1 2 3 11.317602157592773 0.4627189338207245 1.8916127979755402
say 1 3 3 7.172959327697754 6.115293502807617 0
that 1 4 4 0.9070366024971008 2.9242072105407715 3.1910862922668457
<unk> 1 5 5 0.4672616124153137 2.6913070678710938 0.23290014266967773
asked 1 6 5 5.741934776306152 7.433531761169434 0
who 1 7 3 6.942562580108643 4.165130138397217 3.268401622772217
will 1 8 4 7.058393478393555 5.689070224761963 0
read 1 9 4 7.029007434844971 6.513919353485107 0
? 1 10 1 1.803765892982483 4.093347549438477 2.420571804046631
where 2 0 5 11.448622703552246 0.402956485748291 0
did 2 1 3 8.567328453063965 3.782992362976074 0
<unk> 2 2 5 0.20684446394443512 1.2351305484771729 2.5478618144989014
ask 2 3 3 6.519970417022705 2.2332561016082764 0
how 2 4 3 5.463010311126709 2.2384562492370605 0
<unk> 2 5 5 0.09057507663965225 0.7192764282226562 1.5191798210144043
went 2 6 4 8.432038307189941 7.360065460205078 0
? 2 7 1 1.2358074188232422 3.4104251861572266 3.9496402740478516
what 3 0 4 12.293925285339355 0.402956485748291 0
did 3 1 3 6.705033779144287 2.3543317317962646 0
will 3 2 4 10.734607696533203 0.4627189338207245 1.8916127979755402
ask 3 3 3 7.441697597503662 5.8744425773620605 0
why 3 4 3 2.5243475437164307 2.2149879932403564 3.659454584121704
<unk> 3 5 5 0.04754398390650749 0.42321696877479553 1.791771024465561
wears 3 6 5 14.248994827270508 7.351145267486572 0
? 3 7 1 0.5641354322433472 2.3275418281555176 5.023603439331055
what 4 0 4 12.293925285339355 0.402956485748291 0
did 4 1 3 6.705033779144287 2.3543317317962646 0
she 4 2 3 11.317602157592773 0.4627189338207245 1.8916127979755402
say 4 3 3 7.172959327697754 6.115293502807617 0
that 4 4 4 0.9070366024971008 2.9242072105407715 3.1910862922668457
will 4 5 4 8.404330253601074 2.6913070678710938 0.23290014266967773
thinks 4 6 6 12.25273609161377 6.858575344085693 0
he 4 7 2 6.827268123626709 3.84271502494812 3.0158603191375732
knows 4 8 5 6.7102251052856445 6.483576774597168 0
where 4 9 5 6.813961029052734 4.159695625305176 2.323881149291992
