word sentid sentpos wlen surp entropy entred
<unk> 0 0 5 2.663830280303955 6.484093189239502 0
wonder 0 1 6 14.717547416687012 7.184503078460693 0
where 0 2 5 10.089872360229492 6.387943744659424 0.7965593338012695
to 0 3 2 7.739270210266113 4.934513092041016 1.4534306526184082
which 0 4 5 11.714288711547852 8.756608963012695 0
went 0 5 4 14.0734224319458 4.833225250244141 3.9233837127685547
<unk> 0 6 5 5.15825891494751 5.856358528137207 0
does 0 7 4 12.262914657592773 5.749911785125732 0.10644674301147461
buy 0 8 3 14.116715431213379 4.628697395324707 1.1212143898010254
? 0 9 1 13.349089622497559 6.227461338043213 0
gift 1 0 4 18.713336944580078 6.150766372680664 0
? 2 0 1 11.979477882385254 7.981158256530762 0
man 3 0 3 11.195829391479492 4.77122163772583 0
waiting 3 1 7 14.502424240112305 6.910751819610596 0
which 3 2 5 13.56291389465332 4.834699630737305 2.076052188873291
<unk> 3 3 5 4.819250583648682 7.323492527008057 0
<unk> 3 4 5 3.5539588928222656 7.656015396118164 0
ask 3 5 3 13.941851615905762 7.7052435874938965 0
did 3 6 3 12.252626419067383 4.381711483001709 3.3235321044921875
was 3 7 3 7.498283863067627 3.6851308345794678 0.6965806484222412
why 3 8 3 8.703548431396484 7.972725868225098 0
? 4 0 1 1.4559532403945923 6.241278171539307 0
they 5 0 4 24.291120529174805 0.00013190465688239783 0
did 5 1 3 5.770720481872559 6.9916534423828125 0
will 5 2 4 12.893331527709961 3.3132848739624023 3.67836856842041
that 5 3 4 10.663409233093262 7.906437397003174 0
language 5 4 8 13.12796401977539 8.677078247070312 0
<unk> 5 5 5 6.289878845214844 6.227826118469238 2.449252128601074
how 5 6 3 9.12873363494873 7.82699728012085 0
asked 5 7 5 15.82341480255127 7.104127407073975 0.722869873046875
which 5 8 5 7.482032299041748 6.830266952514648 0.27386045455932617
speaks 5 9 6 14.368123054504395 7.294422626495361 0
like 5 10 4 9.958839416503906 4.582282543182373 2.7121400833129883
not 5 11 3 11.146830558776855 7.257184982299805 0
read 6 0 4 30.126739501953125 0.00043952069245278835 0
comics 6 1 6 16.490079879760742 7.14314603805542 0
which 6 2 5 5.788121700286865 7.203001976013184 0
<unk> 6 3 5 2.7407989501953125 7.365111827850342 0
ask 6 4 3 14.676958084106445 5.708286285400391 1.6568255424499512
? 6 5 1 5.909449100494385 6.081140995025635 0
why 7 0 3 21.863786697387695 0.020432351157069206 0
did 7 1 3 6.600382328033447 5.915211200714111 0
will 7 2 4 10.271845817565918 6.852361679077148 0
hear 8 0 4 21.430213928222656 0.30168890953063965 0
? 8 1 1 4.595544815063477 7.190323352813721 0
for 9 0 3 9.957610130310059 6.3673553466796875 0
where 9 1 5 12.053882598876953 7.91185188293457 0
waiting 9 2 7 13.073777198791504 6.817507266998291 1.0943446159362793
which 9 3 5 6.348789215087891 5.221962928771973 1.5955443382263184
man 9 4 3 11.745255470275879 5.571590900421143 0
he 9 5 2 9.190385818481445 7.3619208335876465 0
asked 9 6 5 8.341458320617676 6.855652332305908 0.5062685012817383
<unk> 9 7 5 11.897754669189453 2.5646767616271973 4.290975570678711
<unk> 9 8 5 3.45028018951416 5.78762674331665 0
is 9 9 2 7.039318561553955 6.31896448135376 0
did 9 10 3 12.121692657470703 7.784972190856934 0
that 9 11 4 9.969428062438965 3.05902361869812 4.7259485721588135
did 10 0 3 9.459633827209473 7.2545342445373535 0
told 10 1 4 14.059199333190918 8.308501243591309 0
what 10 2 4 9.509078979492188 5.846701622009277 2.4617996215820312
ask 10 3 3 14.333155632019043 6.461320877075195 0
? 10 4 1 1.8331557512283325 5.43247652053833 1.0288443565368652
which 11 0 5 6.188045978546143 6.9403228759765625 0
<unk> 11 1 5 3.35933518409729 8.021746635437012 0
<unk> 11 2 5 3.4155914783477783 7.7229766845703125 0.2987699508666992
woman 11 3 5 18.976972579956055 7.114252090454102 0.6087245941162109
forget 12 0 6 16.32408905029297 7.709216117858887 0
problem 12 1 7 16.063312530517578 3.619741201400757 4.08947491645813
did 12 2 3 7.434958457946777 4.172708511352539 0
they 12 3 4 9.377900123596191 7.81107234954834 0
way 12 4 3 17.653411865234375 7.74537467956543 0.06569766998291016
? 12 5 1 2.868063449859619 5.959550857543945 1.7858238220214844
solve 13 0 5 17.897523880004883 8.077839851379395 0
they 13 1 4 10.25101375579834 7.849151134490967 0.22868871688842773
should 13 2 6 9.169590950012207 8.0962495803833 0
which 13 3 5 5.3704986572265625 8.04909610748291 0.047153472900390625
which 13 4 5 7.810542583465576 4.539738178253174 3.5093579292297363
problem 14 0 7 13.437848091125488 6.351670742034912 0
who 14 1 3 10.11661148071289 5.756464958190918 0.5952057838439941
which 14 2 5 3.954514741897583 6.4292707443237305 0
<unk> 14 3 5 4.045284271240234 6.471502304077148 0
solved 14 4 6 19.45279884338379 3.88934326171875 2.5821590423583984
did 14 5 3 3.23411226272583 4.980957508087158 0
wonder 14 6 6 17.15460968017578 5.422674655914307 0
? 14 7 1 2.91560959815979 3.81534481048584 1.6073298454284668
that 15 0 4 7.007092475891113 7.860157012939453 0
movie 15 1 5 12.363374710083008 8.327736854553223 0
i 15 2 1 9.991132736206055 7.066404342651367 1.2613325119018555
? 15 3 1 5.550469875335693 5.629972457885742 1.436431884765625
did 16 0 3 5.607744216918945 6.37797737121582 0
directed 16 1 8 18.22440528869629 5.639631271362305 0.7383460998535156
i 16 2 1 7.348958969116211 4.124286651611328 1.5153446197509766
forget 16 3 6 14.11978530883789 1.8119101524353027 2.3123764991760254
who 16 4 3 8.004899978637695 0.7444893717765808 1.067420780658722
yesterday 16 5 9 14.185529708862305 2.4378859996795654 0
saw 16 6 3 14.84751033782959 0.665325403213501 1.7725605964660645
which 16 7 5 7.468597888946533 1.606196641921997 0
which 17 0 5 3.7824606895446777 6.7607598304748535 0
my 17 1 2 11.988914489746094 7.180927753448486 0
that 17 2 4 15.480923652648926 9.33876895904541 0
sister 17 3 6 13.437836647033691 8.328435897827148 1.0103330612182617
? 17 4 1 7.092069149017334 7.299545764923096 1.0288901329040527
did 18 0 3 5.820164680480957 4.345151424407959 0
hear 18 1 4 9.66948413848877 7.658249378204346 0
