word sentid sentpos wlen surp entropy entred
where 0 0 5 9.015604019165039 6.6717424392700195 0
did 0 1 3 5.856651306152344 7.110814094543457 0
<unk> 0 2 5 1.8511378765106201 5.774089813232422 1.3367242813110352
ask 0 3 3 9.415629386901855 6.286858558654785 0
who 0 4 3 7.8861083984375 4.379866600036621 1.906991958618164
<unk> 0 5 5 1.1556801795959473 4.800423622131348 0
took 0 6 4 10.912799835205078 5.451045513153076 0
? 0 7 1 9.603365898132324 5.535677909851074 0
what 1 0 4 8.22050666809082 6.6717424392700195 0
did 1 1 3 3.9112961292266846 6.4199628829956055 0.25177955627441406
she 1 2 3 9.349837303161621 5.6456098556518555 0.77435302734375
say 1 3 3 8.485740661621094 5.106452941894531 0.5391569137573242
that 1 4 4 4.736923694610596 5.205235004425049 0
<unk> 1 5 5 1.778450608253479 5.645503997802734 0
asked 1 6 5 8.311802864074707 5.313909530639648 0.33159446716308594
who 1 7 3 8.183497428894043 2.526036500930786 2.7878730297088623
will 1 8 4 8.976644515991211 3.6568398475646973 0
read 1 9 4 9.654374122619629 5.674060344696045 0
? 1 10 1 5.02095365524292 6.745963096618652 0
where 2 0 5 9.015604019165039 6.6717424392700195 0
did 2 1 3 5.856651306152344 7.110814094543457 0
<unk> 2 2 5 1.8511378765106201 5.774089813232422 1.3367242813110352
ask 2 3 3 9.415629386901855 6.286858558654785 0
how 2 4 3 8.373902320861816 4.379866600036621 1.906991958618164
<unk> 2 5 5 1.8396753072738647 5.6576666831970215 0
went 2 6 4 10.213471412658691 5.589324474334717 0.06834220886230469
? 2 7 1 8.721996307373047 3.281064748764038 2.3082597255706787
what 3 0 4 8.22050666809082 6.6717424392700195 0
did 3 1 3 3.9112961292266846 6.4199628829956055 0.25177955627441406
will 3 2 4 4.6649394035339355 5.6456098556518555 0.77435302734375
ask 3 3 3 8.707610130310059 4.908834934234619 0.7367749214172363
why 3 4 3 6.206162452697754 4.233565807342529 0.6752691268920898
<unk> 3 5 5 2.2423176765441895 4.522998809814453 0
wears 3 6 5 17.892675399780273 5.026679992675781 0
? 3 7 1 3.032198667526245 6.481650352478027 0
what 4 0 4 8.22050666809082 6.6717424392700195 0
did 4 1 3 3.9112961292266846 6.4199628829956055 0.25177955627441406
she 4 2 3 9.349837303161621 5.6456098556518555 0.77435302734375
