word sentid sentpos wlen surp entropy entred
where 0 0 5 4.961127281188965 7.447026252746582 0
did 0 1 3 4.707330226898193 6.078933238983154 1.3680930137634277
<unk> 0 2 5 6.460253715515137 1.9326953887939453 4.146237850189209
ask 0 3 3 2.059220790863037 4.418776988983154 0
who 0 4 3 6.516264915466309 4.672518253326416 0
<unk> 0 5 5 3.8463876247406006 6.145843982696533 0
took 0 6 4 10.4763765335083 4.93524169921875 1.2106022834777832
? 0 7 1 6.5904741287231445 1.9191607236862183 3.0160809755325317
what 1 0 4 5.007174491882324 7.447026252746582 0
did 1 1 3 3.681831121444702 5.644941806793213 1.8020844459533691
she 1 2 3 8.305317878723145 2.6936144828796387 2.951327323913574
say 1 3 3 8.808507919311523 4.555610179901123 0
that 1 4 4 7.025567531585693 3.8856990337371826 0.6699111461639404
<unk> 1 5 5 3.74194073677063 5.948728561401367 0
asked 1 6 5 9.113288879394531 5.279235363006592 0.6694931983947754
who 1 7 3 5.893330097198486 5.553948402404785 0
will 1 8 4 7.223204135894775 6.099569797515869 0
read 1 9 4 9.79944133758545 4.263913631439209 1.8356561660766602
? 1 10 1 0.8295790553092957 3.1593780517578125 1.1045355796813965
where 2 0 5 4.961127281188965 7.447026252746582 0
did 2 1 3 4.707330226898193 6.078933238983154 1.3680930137634277
<unk> 2 2 5 6.460253715515137 1.9326953887939453 4.146237850189209
ask 2 3 3 2.059220790863037 4.418776988983154 0
how 2 4 3 5.487839221954346 4.672518253326416 0
<unk> 2 5 5 3.061133623123169 7.176416397094727 0
went 2 6 4 9.422979354858398 5.549728870391846 1.6266875267028809
? 2 7 1 4.170864105224609 5.197042465209961 0.35268640518188477
what 3 0 4 5.007174491882324 7.447026252746582 0
did 3 1 3 3.681831121444702 5.644941806793213 1.8020844459533691
will 3 2 4 10.240646362304688 2.6936144828796387 2.951327323913574
ask 3 3 3 3.443314552307129 2.391571044921875 0.30204343795776367
why 3 4 3 4.671273708343506 4.094332695007324 0
<unk> 3 5 5 3.5919981002807617 6.452639579772949 0
wears 3 6 5 16.072235107421875 4.753808975219727 1.6988306045532227
? 3 7 1 2.2144644260406494 5.367244243621826 0
what 4 0 4 5.007174491882324 7.447026252746582 0
did 4 1 3 3.681831121444702 5.644941806793213 1.8020844459533691
she 4 2 3 8.305317878723145 2.6936144828796387 2.951327323913574
say 4 3 3 8.808507919311523 4.555610179901123 0
that 4 4 4 7.025567531585693 3.8856990337371826 0.6699111461639404
will 4 5 4 8.474186897277832 5.948728561401367 0
thinks 4 6 6 12.946942329406738 2.8716704845428467 3.0770580768585205
he 4 7 2 5.944986343383789 4.2713541984558105 0
knows 4 8 5 10.641674041748047 5.2547712326049805 0
where 4 9 5 6.028639793395996 4.928642749786377 0.3261284828186035
<unk> 4 10 5 4.993946075439453 4.697275638580322 0.2313671112060547
announced 4 11 9 14.235475540161133 3.1853811740875244 1.5118944644927979
? 4 12 1 1.0926988124847412 3.985536813735962 0
what 5 0 4 5.007174491882324 7.447026252746582 0
did 5 1 3 3.681831121444702 5.644941806793213 1.8020844459533691
they 5 2 4 8.487017631530762 2.6936144828796387 2.951327323913574
not 5 3 3 9.760440826416016 5.153249740600586 0
like 5 4 4 7.551182270050049 6.23806619644165 0
that 5 5 4 5.799955368041992 5.322119235992432 0.9159469604492188
<unk> 5 6 5 4.632391929626465 6.517768859863281 0
