word sentid sentpos wlen surp entropy entred
where 0 0 5 7.800169944763184 6.691802978515625 0
did 0 1 3 5.36436128616333 5.561100482940674 1.1307024955749512
<unk> 0 2 5 5.52294921875 5.514280319213867 0.04682016372680664
ask 0 3 3 3.9320242404937744 6.1635308265686035 0
who 0 4 3 6.573554039001465 6.136757850646973 0.02677297592163086
<unk> 0 5 5 5.562291145324707 5.158260345458984 0.9784975051879883
took 0 6 4 12.047019958496094 5.70559549331665 0
? 0 7 1 3.7542099952697754 5.5381574630737305 0.16743803024291992
what 1 0 4 5.239879131317139 6.691802978515625 0
did 1 1 3 5.525012969970703 5.213947772979736 1.4778552055358887
she 1 2 3 6.980177402496338 5.552338123321533 0
say 1 3 3 6.764492988586426 6.163363456726074 0
that 1 4 4 7.799394130706787 5.246938705444336 0.9164247512817383
<unk> 1 5 5 4.458196640014648 5.971119403839111 0
asked 1 6 5 9.17986011505127 5.448278427124023 0.5228409767150879
who 1 7 3 6.024707794189453 5.4847636222839355 0
will 1 8 4 8.965792655944824 5.467526435852051 0.017237186431884766
read 1 9 4 9.033577919006348 4.39760684967041 1.0699195861816406
? 1 10 1 1.4186532497406006 4.803543567657471 0
where 2 0 5 7.800169944763184 6.691802978515625 0
did 2 1 3 5.36436128616333 5.561100482940674 1.1307024955749512
<unk> 2 2 5 5.52294921875 5.514280319213867 0.04682016372680664
ask 2 3 3 3.9320242404937744 6.1635308265686035 0
how 2 4 3 3.807835817337036 6.136757850646973 0.02677297592163086
<unk> 2 5 5 4.289522647857666 5.5242791175842285 0.6124787330627441
went 2 6 4 12.709416389465332 3.9079012870788574 1.616377830505371
? 2 7 1 4.284887313842773 6.919039726257324 0
what 3 0 4 5.239879131317139 6.691802978515625 0
did 3 1 3 5.525012969970703 5.213947772979736 1.4778552055358887
will 3 2 4 7.716386795043945 5.552338123321533 0
ask 3 3 3 4.494245529174805 3.7371950149536133 1.81514310836792
why 3 4 3 3.7031593322753906 5.4691901206970215 0
<unk> 3 5 5 4.728134632110596 5.550919055938721 0
wears 3 6 5 16.697772979736328 3.9843647480010986 1.566554307937622
? 3 7 1 2.7263057231903076 5.304572105407715 0
what 4 0 4 5.239879131317139 6.691802978515625 0
did 4 1 3 5.525012969970703 5.213947772979736 1.4778552055358887
she 4 2 3 6.980177402496338 5.552338123321533 0
say 4 3 3 6.764492988586426 6.163363456726074 0
that 4 4 4 7.799394130706787 5.246938705444336 0.9164247512817383
will 4 5 4 8.892862319946289 5.971119403839111 0
thinks 4 6 6 13.61014461517334 2.7025845050811768 3.2685348987579346
he 4 7 2 8.5884370803833 5.399712085723877 0
knows 4 8 5 11.105791091918945 5.892334938049316 0
where 4 9 5 5.533578395843506 5.2344536781311035 0.6578812599182129
<unk> 4 10 5 4.810009479522705 5.354982376098633 0
announced 4 11 9 11.520994186401367 4.586565971374512 0.7684164047241211
? 4 12 1 2.5296437740325928 6.057876110076904 0
what 5 0 4 5.239879131317139 6.691802978515625 0
did 5 1 3 5.525012969970703 5.213947772979736 1.4778552055358887
they 5 2 4 8.461601257324219 5.552338123321533 0
not 5 3 3 9.788721084594727 6.7256999015808105 0
like 5 4 4 8.107288360595703 7.312597751617432 0
that 5 5 4 7.018906593322754 5.513415813446045 1.7991819381713867
<unk> 5 6 5 4.805789470672607 6.710209846496582 0
wonders 5 7 7 14.925990104675293 6.524084091186523 0.1861257553100586
how 5 8 3 3.535567045211792 5.790522575378418 0.7335615158081055
<unk> 5 9 5 4.045005798339844 6.640407562255859 0
was 5 10 3 10.102605819702148 4.092737674713135 2.5476698875427246
? 5 11 1 6.002588272094727 2.3657968044281006 1.7269408702850342
what 6 0 4 5.239879131317139 6.691802978515625 0
did 6 1 3 5.525012969970703 5.213947772979736 1.4778552055358887
<unk> 6 2 5 5.8474860191345215 5.552338123321533 0
ask 6 3 3 3.7179224491119385 5.766106605529785 0
