TYPE,SENTENCE,EXTRACTION,ACCEPTABLE?
adjunct,he heard that I hired someone because a rumour has been circulating,What did he hear that I hired someone because a rumour has been?,1
adjunct,she went to buy a gift because she is a teacher,What did she go to buy a gift because she is?,1
adjunct,they did not like that you were a teacher when they heard the claim about you,What did they not like that you were a teacher when they heard about you?,1
adjunct,they scolded me when I went home,Where did they scold me when I went?,1
adjunct,You went home because you needed to do that,What did you go home because you needed to do?,1
adjunct,Alex likes the woman who wears extravagant rings,What does Alex like the woman who wears?,1
adjunct,John left because Mary talked about that topic,Which topic did you leave because Mary talked about?,1
adjunct,I will eat my hat if John buys a coffee.,What will I eat my hat if John buys?,1
adjunct,I will buy a cup of coffee when I get sleepy,What will I buy a cup of coffee when I get?,1
adjunct,they have been circulating because she wears extravagant rings,What have they been circulating because she wear?,1
adjunct,she said that I was waiting for someone who might get a new phone for Christmas,What did she say that I was waiting for someone who might get for Christmas?,1
adjunct,they did not like that I am likely because you are likely,What did they not like that I am likely because you are?,1
adjunct,he heard that they gave a guitar to him when you gave a guitar to me,What did he hear that they gave a guitar to him when you gave to me?,1
adjunct,he speaks a Balkan language because I speak a Balkan language,What does he speak a Balkan language because I speak?,1
adjunct,he heard that they solved the second problem because she read the Sandman comics,What did he hear that they solved the second problem because she read?,1
adjunct,I gave a guitar to myself because they heard a rumour,What did I give a guitar to myself because they heard?,1
adjunct,They heard that they will fail the test if they do not study,What will they fail the test if they do not?,1
adjunct,he will hire someone if I am waiting for someone,Whom will he hire someone if I am waiting for?,1
adjunct,he has been circulating who he thought was funny,What has he been circulating who he thought was?,1
adjunct,he is trying to call you if she buys a cup of coffee,What is he trying to call you if she buys?,1
adjunct,she said that she would like the man if he read the Sandman comics,What did she say she would like the man if he read?,1
adjunct,I gave a guitar to myself because I went home,Where did I give a guitar to myself because I went?,1
adjunct,he is trying to call you if she buys the Sandman comics,What is he trying to call you if she buys?,1
adjunct,she said that she gave a guitar to me when I hired someone,Whom did she say that she gave a guitar to me when I hired?,1
adjunct,he gets a new phone for Christmas because she read the Sandman comics,What does he get a new phone for Christmas because she read?,1
adjunct,you needed to do that if you were to go and buy a gift,What did you need to do that if you were to go and buy?,1
adjunct,she ate my hat because they announced a plan,What did she eat my hat because they annouced?,1
adjunct,she said that he will hear a rumour if she is funny,What did she say that he will hear a rumour if she is?,1
adjunct,he speaks a Balkan language because you were funny,What does he speak a Balkan language because you were?,1
adjunct,she said that she wears extravagant rings when she is waiting for someone,Who did she say that she wears extravagant rings when she is waiting for?,1
adjunct,Jim will eat a yellow candy store when Pam watches TV,What will Jim eat a yellow candy store when Pam watches?,1
adjunct,the pregnant teddy bear asserted that Julia Roberts solved because Susan hired Broadway,Who did the pregnant teddy bear assert that Julia Roberts solved beacuse Susan hired?,1
adjunct,Eric solved by Fourier analysis because Will loaned a yellow trumpet,What did Eric solve by Fourier analysis because Will loaned?,1
adjunct,Elnar danced a ballet if the tiramisu robbed a pretty agent,What did Elnar dance a ballet if the tiramisu robbed?,1
adjunct,I will eat a scandalous broccoli if the probable woman sings an aria,What will I eat a scandalous broccoli if the probable woman sings?,1
