word sentid sentpos wlen surp entropy entred
what 0 0 4 10.804617881774902 7.472123146057129 0
did 0 1 3 8.09048080444336 6.514146327972412 0.9579768180847168
he 0 2 2 3.258821487426758 6.30725622177124 0.20689010620117188
hear 0 3 4 10.62499713897705 7.355743408203125 0
that 0 4 4 5.056153297424316 6.662700653076172 0.6930427551269531
i 0 5 1 6.942152500152588 6.484931945800781 0.17776870727539062
hired 0 6 5 15.422208786010742 6.669615268707275 0
someone 0 7 7 8.107179641723633 6.204389572143555 0.4652256965637207
because 0 8 7 10.10800552368164 5.397533893585205 0.8068556785583496
a 0 9 1 7.272311210632324 4.370065212249756 1.0274686813354492
rumour 0 10 6 13.162940979003906 9.898865699768066 0
has 0 11 3 5.796105861663818 6.144521713256836 3.7543439865112305
been 0 12 4 1.040241003036499 4.864766597747803 1.2797551155090332
? 0 13 1 14.158323287963867 7.545422554016113 0
what 1 0 4 8.130067825317383 8.080572128295898 0
did 1 1 3 5.555636882781982 6.680095195770264 1.4004769325256348
she 1 2 3 5.685035228729248 4.154805660247803 2.525289535522461
go 1 3 2 5.227770805358887 7.36899995803833 0
to 1 4 2 2.70469331741333 5.963252067565918 1.405747890472412
buy 1 5 3 10.707853317260742 6.426044940948486 0
a 1 6 1 2.5095362663269043 6.208165645599365 0.2178792953491211
gift 1 7 4 8.019721984863281 10.000934600830078 0
because 1 8 7 7.566161155700684 5.287919998168945 4.713014602661133
she 1 9 3 4.463198661804199 4.853775978088379 0.4341440200805664
is 1 10 2 5.131993770599365 6.808435916900635 0
? 1 11 1 6.60011625289917 8.309303283691406 0
what 2 0 4 4.668363571166992 8.28602123260498 0
did 2 1 3 1.3134571313858032 4.656291961669922 3.6297292709350586
they 2 2 4 4.947901725769043 2.762126922607422 1.8941650390625
not 2 3 3 10.346434593200684 5.007604598999023 0
like 2 4 4 7.961337089538574 6.167097091674805 0
that 2 5 4 3.5744214057922363 5.640439987182617 0.5266571044921875
you 2 6 3 4.629639625549316 6.203934192657471 0
were 2 7 4 6.028946876525879 5.9818806648254395 0.22205352783203125
a 2 8 1 5.115695476531982 4.754825592041016 1.2270550727844238
teacher 2 9 7 10.991393089294434 9.018023490905762 0
when 2 10 4 8.182663917541504 3.358102560043335 5.659920930862427
they 2 11 4 4.0271525382995605 3.4842002391815186 0
heard 2 12 5 7.559800148010254 6.269388198852539 0
about 2 13 5 6.330960750579834 5.3688507080078125 0.9005374908447266
you 2 14 3 3.294065237045288 5.112756729125977 0.25609397888183594
? 2 15 1 0.8645250201225281 3.1082770824432373 2.0044796466827393
where 3 0 5 9.73782730102539 6.860180377960205 0
did 3 1 3 9.386225700378418 5.195076942443848 1.6651034355163574
they 3 2 4 2.042055130004883 4.7867512702941895 0.4083256721496582
<unk> 3 3 5 7.828951835632324 7.740419864654541 0
me 3 4 2 8.52217960357666 7.185362815856934 0.5550570487976074
when 3 5 4 5.241859436035156 6.8858137130737305 0.2995491027832031
i 3 6 1 5.634389877319336 1.7593355178833008 5.12647819519043
went 3 7 4 5.26617956161499 6.339179515838623 0
? 3 8 1 10.628085136413574 2.2612531185150146 4.077926397323608
what 4 0 4 1.8711285591125488 6.7053303718566895 0
did 4 1 3 0.05171826109290123 0.4197245240211487 6.285605847835541
you 4 2 3 7.373068332672119 1.2098748683929443 0
go 4 3 2 6.593358516693115 6.909511089324951 0
home 4 4 4 6.568069934844971 5.3071465492248535 1.6023645401000977
because 4 5 7 3.730036735534668 4.750473976135254 0.5566725730895996
you 4 6 3 2.702117919921875 2.6487128734588623 2.1017611026763916
needed 4 7 6 10.778768539428711 5.551518440246582 0
to 4 8 2 3.8777685165405273 4.64951229095459 0.9020061492919922
do 4 9 2 3.899843454360962 6.117307186126709 0
? 4 10 1 3.2590057849884033 4.811807155609131 1.3055000305175781
what 5 0 4 0.3848123252391815 2.629470109939575 0
does 5 1 4 9.8453369140625 0.6499217748641968 1.9795483350753784
<unk> 5 2 5 15.681709289550781 0.22015894949436188 0.4297628253698349
like 5 3 4 8.958354949951172 4.218757152557373 0
the 5 4 3 8.394207954406738 3.4104654788970947 0.8082916736602783
woman 5 5 5 9.014934539794922 9.367518424987793 0
who 5 6 3 6.047849178314209 2.516218423843384 6.851300001144409
wears 5 7 5 13.282594680786133 4.659824848175049 0
? 5 8 1 2.2726776599884033 3.930677890777588 0.7291469573974609
which 6 0 5 9.324589729309082 1.960780382156372 0
topic 6 1 5 20.898439407348633 6.703353404998779 0
did 6 2 3 4.432200908660889 7.5594563484191895 0
you 6 3 3 7.248297691345215 3.3621010780334473 4.197355270385742
leave 6 4 5 9.20566177368164 6.917451858520508 0
because 6 5 7 2.8449676036834717 5.94777774810791 0.9696741104125977
<unk> 6 6 5 6.346124649047852 3.6511735916137695 2.2966041564941406
talked 6 7 6 15.748598098754883 6.738109111785889 0
about 6 8 5 0.28463223576545715 1.657011866569519 5.08109724521637
? 6 9 1 4.896548748016357 5.392667770385742 0
what 7 0 4 1.8388357162475586 6.409176826477051 0
will 7 1 4 8.780133247375488 2.3661177158355713 4.0430591106414795
i 7 2 1 5.345674991607666 5.581287384033203 0
eat 7 3 3 10.456574440002441 5.860201358795166 0
my 7 4 2 6.308845043182373 5.825764179229736 0.03443717956542969
hat 7 5 3 8.912232398986816 8.42453670501709 0
if 7 6 2 7.7496161460876465 3.3899123668670654 5.034624338150024
<unk> 7 7 5 5.192518711090088 2.9492251873016357 0.4406871795654297
buys 7 8 4 14.925843238830566 6.472286224365234 0
? 7 9 1 1.2603378295898438 4.307730197906494 2.1645560264587402
what 8 0 4 0.6618472337722778 3.672759771347046 0
will 8 1 4 1.2865209579467773 4.263552665710449 0
i 8 2 1 0.39619776606559753 2.1332149505615234 2.130337715148926
buy 8 3 3 9.622363090515137 5.586977005004883 0
a 8 4 1 7.059022903442383 1.2167328596115112 4.370244145393372
cup 8 5 3 9.663299560546875 7.031127452850342 0
of 8 6 2 7.754093647003174 3.0129716396331787 4.018155813217163
coffee 8 7 6 3.8838863372802734 8.087591171264648 0
when 8 8 4 6.823497772216797 2.405672550201416 5.681918621063232
i 8 9 1 1.5395654439926147 3.429962396621704 0
