word sentid sentpos wlen surp entropy entred
how 0 0 3 12.484478950500488 7.258260726928711 0
does 0 1 4 9.748204231262207 6.3347883224487305 0.9234724044799805
she 0 2 3 6.131630897521973 4.759873867034912 1.5749144554138184
think 0 3 5 6.052550792694092 7.953442096710205 0
that 0 4 4 3.0764477252960205 5.345163822174072 2.608278274536133
he 0 5 2 4.943896293640137 6.012734889984131 0
died 0 6 4 9.210548400878906 6.087883949279785 0
? 0 7 1 10.992412567138672 5.410323143005371 0.6775608062744141
how 1 0 3 9.555765151977539 7.707833766937256 0
did 1 1 3 4.081885814666748 6.256431579589844 1.451402187347412
she 1 2 3 1.3956812620162964 2.8234734535217285 3.4329581260681152
know 1 3 4 4.685955047607422 4.1109771728515625 0
that 1 4 4 2.542443037033081 5.358609199523926 0
he 1 5 2 3.1724185943603516 5.983630180358887 0
had 1 6 3 4.870585918426514 6.750744342803955 0
died 1 7 4 4.614412307739258 6.997636318206787 0
? 1 8 1 0.002351664938032627 0.027177417650818825 6.970458900555968
how 2 0 3 5.708631992340088 7.562816143035889 0
does 2 1 4 2.5572972297668457 1.3667067289352417 6.196109414100647
he 2 2 2 4.647514820098877 0.3649161159992218 1.00179061293602
claim 2 3 5 15.729355812072754 1.4029062986373901 0
that 2 4 4 0.8040122389793396 1.840851902961731 0
he 2 5 2 0.23187844455242157 0.8633095026016235 0.9775424003601074
got 2 6 3 12.828068733215332 1.1006335020065308 0
a 2 7 1 4.227100372314453 6.966090679168701 0
perfect 2 8 7 10.952205657958984 9.150806427001953 0
score 2 9 5 14.48047924041748 8.788717269897461 0.3620891571044922
on 2 10 2 6.107712268829346 3.773207902908325 5.015509366989136
the 2 11 3 2.140770435333252 5.12754487991333 0
test 2 12 4 12.899353981018066 8.422013282775879 0
? 2 13 1 1.736359715461731 5.718575477600098 2.7034378051757812
how 3 0 3 2.939039707183838 6.868632793426514 0
did 3 1 3 1.758790373802185 1.2688716650009155 5.599761128425598
my 3 2 2 16.99557113647461 0.923015296459198 0.34585636854171753
sister 3 3 6 9.15660572052002 8.234667778015137 0
hear 3 4 4 15.194905281066895 6.292625904083252 1.9420418739318848
that 3 5 4 1.1544620990753174 4.1557207107543945 2.1369051933288574
<unk> 3 6 5 6.304441928863525 1.9922744035720825 2.163446307182312
says 3 7 4 10.980337142944336 5.146097660064697 0
that 3 8 4 0.2470424920320511 1.042643666267395 4.103453993797302
he 3 9 2 0.09163020551204681 0.6391622424125671 0.4034814238548279
is 3 10 2 6.712275981903076 3.1608669757843018 0
tired 3 11 5 11.161199569702148 7.282253265380859 0
today 3 12 5 14.740778923034668 2.522109031677246 4.760144233703613
? 3 13 1 2.7277281284332275 4.3968353271484375 0
how 4 0 3 1.133273959159851 5.063968181610107 0
does 4 1 4 2.1441500186920166 1.0956146717071533 3.968353509902954
she 4 2 3 1.742601752281189 2.6372499465942383 0
know 4 3 4 2.9952478408813477 6.2462687492370605 0
that 4 4 4 0.016877982765436172 0.11805486679077148 6.128213882446289
she 4 5 3 4.905729293823242 2.768603801727295 0
is 4 6 2 3.7017428874969482 5.973718166351318 0
pregnant 4 7 8 9.024989128112793 7.206686496734619 0
? 4 8 1 0.1770838499069214 1.0609244108200073 6.145762085914612
how 5 0 3 0.12923914194107056 1.0733612775802612 0
does 5 1 4 0.06560086458921432 0.36150798201560974 0.7118532955646515
someone 5 2 7 16.0889835357666 0.27467474341392517 0.08683323860168457
who 5 3 3 3.940495252609253 7.011511325836182 0
speaks 5 4 6 10.425232887268066 3.661895990371704 3.3496153354644775
a 5 5 1 5.702104568481445 3.4785149097442627 0.1833810806274414
<unk> 5 6 5 4.888134479522705 9.64262580871582 0
language 5 7 8 9.485474586486816 5.550656318664551 4.0919694900512695
believe 5 8 7 20.455890655517578 0.8936787843704224 4.656977534294128
that 5 9 4 0.03166132792830467 0.24979978799819946 0.6438789963722229
this 5 10 4 6.345083713531494 3.7579493522644043 0
is 5 11 2 0.2896357774734497 2.15018630027771 1.6077630519866943
easy 5 12 4 10.287300109863281 6.7505717277526855 0
? 5 13 1 0.4278368651866913 2.0016825199127197 4.748889207839966
how 6 0 3 0.059551090002059937 0.5576558113098145 0
did 6 1 3 6.682828426361084 0.17968347668647766 0.3779723346233368
he 6 2 2 7.38542366027832 4.236268043518066 0
say 6 3 3 8.765082359313965 0.47844550013542175 3.7578225433826447
that 6 4 4 0.021758750081062317 0.17772944271564484 0.3007160574197769
today 6 5 5 12.833242416381836 4.764269828796387 0
is 6 6 2 1.9509228467941284 5.043947696685791 0
his 6 7 3 8.4347505569458 7.779428958892822 0
last 6 8 4 7.928804874420166 8.522875785827637 0
day 6 9 3 6.52043342590332 8.460124969482422 0.06275081634521484
? 6 10 1 1.8546150922775269 5.137732028961182 3.3223929405212402
where 7 0 5 12.066699981689453 0.5198208689689636 0
does 7 1 4 9.944174766540527 5.717645645141602 0
<unk> 7 2 5 5.39681339263916 6.104921817779541 0
think 7 3 5 5.692149639129639 8.474048614501953 0
that 7 4 4 0.06371138989925385 0.5049508810043335 7.96909773349762
bill 7 5 4 12.395380973815918 6.283423900604248 0
fell 7 6 4 13.22416877746582 2.0326242446899414 4.250799655914307
asleep 7 7 6 9.67054557800293 4.858774185180664 0
? 7 8 1 0.02465019002556801 0.19203509390354156 4.6667390912771225
where 8 0 5 7.008168697357178 2.927812099456787 0
did 8 1 3 2.805546998977661 5.506520748138428 0
<unk> 8 2 5 3.011531114578247 6.657507419586182 0
hear 8 3 4 7.644540786743164 5.935600757598877 0.7219066619873047
that 8 4 4 0.8599557876586914 3.679638624191284 2.2559621334075928
bill 8 5 4 10.022686958312988 8.61581802368164 0
fell 8 6 4 8.090716361999512 6.80449104309082 1.8113269805908203
asleep 8 7 6 0.5681852102279663 2.660005569458008 4.1444854736328125
? 8 8 1 0.034692518413066864 0.29655176401138306 2.3634538054466248
how 9 0 3 2.2445318698883057 6.267940044403076 0
does 9 1 4 2.143188238143921 0.930772066116333 5.337167978286743
<unk> 9 2 5 1.279404878616333 4.628509044647217 0
know 9 3 4 6.204075813293457 6.960736274719238 0
that 9 4 4 0.12780418992042542 0.6587966084480286 6.30193966627121
the 9 5 3 4.6436238288879395 7.076574325561523 0
sign 9 6 4 13.139699935913086 9.31108283996582 0
pointed 9 7 7 15.129476547241211 5.3699517250061035 3.941131114959717
us 9 8 2 13.467852592468262 3.62361741065979 1.7463343143463135
in 9 9 2 6.029009819030762 6.42528772354126 0
the 9 10 3 2.3330440521240234 5.330494403839111 1.0947933197021484
right 9 11 5 6.823135852813721 9.486875534057617 0
direction 9 12 9 6.829142093658447 3.977555990219116 5.509319543838501
? 9 13 1 2.500553607940674 6.308568000793457 0
how 10 0 3 1.4687843322753906 5.006067276000977 0
does 10 1 4 0.5649113059043884 1.0444605350494385 3.961606740951538
he 10 2 2 5.364703178405762 2.4091796875 0
know 10 3 4 2.3402597904205322 3.6834969520568848 0
that 10 4 4 0.014098133891820908 0.0968809649348259 3.586615987122059
he 10 5 2 3.286170721054077 5.91668176651001 0
bought 10 6 6 11.891188621520996 4.9495015144348145 0.9671802520751953
a 10 7 1 2.1583685874938965 4.94167947769165 0.007822036743164062
boat 10 8 4 10.925619125366211 9.75186538696289 0
yesterday 10 9 9 18.830949783325195 7.843949794769287 1.9079155921936035
? 10 10 1 0.21201732754707336 1.5600297451019287 6.283920049667358
how 11 0 3 0.35158953070640564 2.0749459266662598 0
does 11 1 4 0.06981095671653748 0.3148479163646698 1.76009801030159
will 11 2 4 20.918485641479492 0.7297397255897522 0
claim 11 3 5 8.671567916870117 2.677564859390259 0
that 11 4 4 0.06419048458337784 0.46758565306663513 2.2099792063236237
he 11 5 2 1.1654694080352783 5.143374443054199 0
solves 11 6 6 15.620597839355469 6.666447162628174 0
by 11 7 2 17.10146713256836 3.7956340312957764 2.8708131313323975
<unk> 11 8 5 4.851755619049072 7.939230442047119 0
analysis 11 9 8 17.622194290161133 5.6398186683654785 2.2994117736816406
? 11 10 1 1.3093675374984741 5.264904975891113 0.37491369247436523
how 12 0 3 0.17324891686439514 1.22543203830719 0
does 12 1 4 0.05152494087815285 0.2579789161682129 0.967453122138977
<unk> 12 2 5 4.042093276977539 3.685020685195923 0
believe 12 3 7 6.064609527587891 4.045172214508057 0
that 12 4 4 0.0675361156463623 0.5355820059776306 3.509590208530426
he 12 5 2 0.4362732172012329 2.7953782081604004 0
is 12 6 2 4.352336883544922 7.947112083435059 0
dating 12 7 6 13.323517799377441 8.406196594238281 0
someone 12 8 7 9.626137733459473 6.37969970703125 2.0264968872070312
? 12 9 1 9.305328369140625 1.8976612091064453 4.482038497924805
how 13 0 3 0.10659041255712509 0.8276543617248535 0
did 13 1 3 5.554971694946289 0.20648038387298584 0.6211739778518677
he 13 2 2 5.154294967651367 3.671482801437378 0
know 13 3 4 2.3419063091278076 6.435247421264648 0
that 13 4 4 0.29799753427505493 0.9896525144577026 5.445594906806946
he 13 5 2 0.15848951041698456 1.2078335285186768 0
got 13 6 3 5.962378025054932 5.775525093078613 0
a 13 7 1 1.0617237091064453 4.697725772857666 1.0777993202209473
perfect 13 8 7 6.266470432281494 9.748982429504395 0
score 13 9 5 4.395845413208008 8.520150184631348 1.2288322448730469
on 13 10 2 2.985344409942627 5.290445804595947 3.2297043800354004
the 13 11 3 1.0055536031723022 3.8401851654052734 1.4502606391906738
test 13 12 4 9.116800308227539 8.366037368774414 0
? 13 13 1 0.09860625863075256 0.9058610200881958 7.460176348686218
how 14 0 3 0.0783471092581749 0.6326925158500671 0
does 14 1 4 2.237370252609253 0.9728969931602478 0
<unk> 14 2 5 1.6060066223144531 3.836615562438965 0
think 14 3 5 7.693090915679932 2.266716957092285 1.5698986053466797
that 14 4 4 0.03577806428074837 0.2517584562301636 2.0149585008621216
she 14 5 3 7.72161865234375 0.7071391940116882 0
met 14 6 3 8.674955368041992 3.3408255577087402 0
someone 14 7 7 7.375472545623779 4.33726167678833 0
who 14 8 3 13.326072692871094 0.172557532787323 4.164704144001007
robbed 14 9 6 16.370466232299805 7.049952507019043 0
a 14 10 1 1.845069408416748 4.354231357574463 2.69572114944458
candy 14 11 5 12.81760311126709 8.914925575256348 0
