word sentid sentpos wlen surp entropy entred
how 0 0 3 11.530533790588379 6.484093189239502 0
does 0 1 4 9.172770500183105 6.276017189025879 0.20807600021362305
she 0 2 3 6.516414642333984 4.533507823944092 1.742509365081787
think 0 3 5 8.231520652770996 7.854628562927246 0
that 0 4 4 3.779618263244629 6.121117115020752 1.7335114479064941
he 0 5 2 4.229606628417969 6.380735397338867 0
died 0 6 4 9.152652740478516 6.349461078643799 0.03127431869506836
? 0 7 1 10.918035507202148 5.2874884605407715 1.0619726181030273
how 1 0 3 8.424858093261719 7.29657506942749 0
did 1 1 3 5.612138748168945 6.498880386352539 0.7976946830749512
she 1 2 3 1.263806939125061 2.8914036750793457 3.6074767112731934
know 1 3 4 4.471656799316406 4.759340763092041 0
that 1 4 4 7.262326717376709 0.9971150159835815 3.7622257471084595
he 1 5 2 2.902467966079712 5.957180976867676 0
had 1 6 3 3.574613332748413 5.889962196350098 0.06721878051757812
died 1 7 4 2.286695718765259 6.173909664154053 0
? 1 8 1 0.07656250149011612 0.45468899607658386 5.719220668077469
how 2 0 3 5.585030555725098 7.356606483459473 0
does 2 1 4 2.346611738204956 4.6568522453308105 2.699754238128662
he 2 2 2 3.4990367889404297 1.2314680814743042 3.4253841638565063
claim 2 3 5 13.71985149383545 2.5703766345977783 0
that 2 4 4 0.3966139256954193 1.821729063987732 0.7486475706100464
he 2 5 2 0.2761935591697693 1.4046350717544556 0.41709399223327637
got 2 6 3 9.551753997802734 3.1262001991271973 0
a 2 7 1 2.736551523208618 6.903221130371094 0
perfect 2 8 7 9.886306762695312 9.560075759887695 0
score 2 9 5 11.297258377075195 8.873448371887207 0.6866273880004883
on 2 10 2 5.897542953491211 4.971138954162598 3.9023094177246094
the 2 11 3 1.9016070365905762 5.501438617706299 0
test 2 12 4 11.594382286071777 9.336389541625977 0
? 2 13 1 8.490850448608398 6.65178108215332 2.6846084594726562
how 3 0 3 2.2881898880004883 6.213967800140381 0
did 3 1 3 3.3618061542510986 0.9345205426216125 5.279447257518768
my 3 2 2 14.61343765258789 0.5710369348526001 0.36348360776901245
sister 3 3 6 11.127058982849121 9.471774101257324 0
hear 3 4 4 12.438170433044434 7.371426582336426 2.1003475189208984
that 3 5 4 1.1387525796890259 4.47503662109375 2.896389961242676
