word sentid sentpos wlen surp entropy entred
how 0 0 3 11.51073169708252 7.472123146057129 0
does 0 1 4 7.756266117095947 6.668018341064453 0.8041048049926758
she 0 2 3 6.44989538192749 5.042779922485352 1.6252384185791016
think 0 3 5 6.23003625869751 8.22032642364502 0
that 0 4 4 4.031332492828369 5.704697132110596 2.515629291534424
he 0 5 2 4.47965669631958 6.490744113922119 0
died 0 6 4 8.885443687438965 6.230871200561523 0.2598729133605957
? 0 7 1 9.763751983642578 5.317126750946045 0.9137444496154785
how 1 0 3 7.0865960121154785 8.181534767150879 0
did 1 1 3 4.82206392288208 4.110836505889893 4.070698261260986
she 1 2 3 2.2706778049468994 3.3727593421936035 0.7380771636962891
know 1 3 4 5.509492874145508 2.6428918838500977 0.7298674583435059
that 1 4 4 16.3524227142334 0.018821779638528824 2.624070104211569
he 1 5 2 4.643974781036377 0.9120524525642395 0
had 1 6 3 7.196643352508545 2.391557455062866 0
died 1 7 4 6.58452844619751 1.9645187854766846 0.42703866958618164
? 1 8 1 0.0007058160845190287 0.008539754897356033 1.9559790305793285
how 2 0 3 5.124659061431885 7.9144134521484375 0
does 2 1 4 1.5912625789642334 4.578222751617432 3.336190700531006
he 2 2 2 1.9612065553665161 2.3404645919799805 2.237758159637451
claim 2 3 5 11.030779838562012 2.7136037349700928 0
that 2 4 4 0.44269880652427673 1.966452956199646 0.7471507787704468
he 2 5 2 0.1883019357919693 0.9377825856208801 1.0286703705787659
got 2 6 3 8.498758316040039 2.7508575916290283 0
a 2 7 1 5.122623920440674 7.116170883178711 0
perfect 2 8 7 11.02570915222168 9.88718318939209 0
score 2 9 5 10.785883903503418 9.82093334197998 0.06624984741210938
on 2 10 2 4.644773960113525 4.897521495819092 4.923411846160889
the 2 11 3 1.5926263332366943 4.626792907714844 0.27072858810424805
test 2 12 4 11.327402114868164 9.777973175048828 0
? 2 13 1 5.826814651489258 6.866641521453857 2.9113316535949707
how 3 0 3 1.7263476848602295 6.257691860198975 0
did 3 1 3 4.266711235046387 1.8040289878845215 4.453662872314453
my 3 2 2 11.622821807861328 2.1158881187438965 0
sister 3 3 6 8.04873275756836 9.43999195098877 0
hear 3 4 4 13.851947784423828 7.915133953094482 1.524857997894287
that 3 5 4 1.291806697845459 4.440134048461914 3.4749999046325684
<unk> 3 6 5 5.283468723297119 3.962899923324585 0.4772341251373291
says 3 7 4 7.923664569854736 7.374391078948975 0
that 3 8 4 0.5080691576004028 1.9849358797073364 5.389455199241638
he 3 9 2 0.361321359872818 1.946000337600708 0.03893554210662842
is 3 10 2 5.662265300750732 5.558650970458984 0
tired 3 11 5 10.670859336853027 7.814230442047119 0
today 3 12 5 14.922392845153809 2.6389448642730713 5.175285577774048
? 3 13 1 1.1173326969146729 3.837117910385132 0
how 4 0 3 0.22893330454826355 1.7358628511428833 0
does 4 1 4 3.1832144260406494 2.2083020210266113 0
she 4 2 3 4.712329387664795 4.7052531242370605 0
know 4 3 4 4.295123100280762 6.1978349685668945 0
that 4 4 4 0.2112407237291336 1.175127387046814 5.022707581520081
she 4 5 3 5.897195816040039 5.7625203132629395 0
is 4 6 2 2.4247825145721436 5.760440349578857 0.0020799636840820312
pregnant 4 7 8 9.213883399963379 8.239248275756836 0
? 4 8 1 0.504023551940918 2.3384456634521484 5.9008026123046875
how 5 0 3 0.08562222123146057 0.7686045169830322 0
does 5 1 4 0.12262138724327087 0.6960968971252441 0.07250761985778809
someone 5 2 7 15.94804859161377 0.5758286714553833 0.12026822566986084
who 5 3 3 8.884137153625488 0.8742889165878296 0
speaks 5 4 6 12.008437156677246 5.304399490356445 0
a 5 5 1 5.730462074279785 4.917179584503174 0.3872199058532715
<unk> 5 6 5 4.105186462402344 9.838323593139648 0
language 5 7 8 14.238131523132324 0.9924517273902893 8.84587186574936
believe 5 8 7 20.940231323242188 0.5589179992675781 0.4335337281227112
that 5 9 4 0.09812672436237335 0.6812418699264526 0
this 5 10 4 6.649117469787598 3.3466763496398926 0
is 5 11 2 0.25480690598487854 1.8284670114517212 1.5182093381881714
easy 5 12 4 11.434014320373535 7.300633430480957 0
? 5 13 1 2.2250587940216064 4.2110981941223145 3.0895352363586426
how 6 0 3 0.06298799812793732 0.5925818085670471 0
did 6 1 3 7.482074737548828 0.2994791567325592 0.2931026518344879
he 6 2 2 6.031158447265625 4.1689887046813965 0
say 6 3 3 7.313865661621094 5.5380425453186035 0
that 6 4 4 0.06388481706380844 0.4366315007209778 5.101411044597626
today 6 5 5 10.194026947021484 3.4257516860961914 0
