word sentid sentpos wlen surp entropy entred
what 0 0 4 11.349550247192383 7.258260726928711 0
did 0 1 3 7.491679668426514 6.245684623718262 1.0125761032104492
you 0 2 3 4.048486709594727 4.621575355529785 1.6241092681884766
hear 0 3 4 8.7138671875 7.223494052886963 0
the 0 4 3 3.3992791175842285 6.746787071228027 0.47670698165893555
claim 0 5 5 12.274413108825684 9.854331016540527 0
that 0 6 4 2.4758856296539307 5.20959997177124 4.644731044769287
<unk> 0 7 5 2.5776257514953613 5.4071807861328125 0
solved 0 8 6 15.509209632873535 6.227815628051758 0
? 0 9 1 10.404897689819336 5.280893325805664 0.9469223022460938
what 1 0 4 8.887436866760254 7.339120388031006 0
does 1 1 4 6.680253505706787 6.336554050445557 1.0025663375854492
she 1 2 3 11.560005187988281 0.17623144388198853 6.160322606563568
like 1 3 4 6.927069187164307 7.421322345733643 0
the 1 4 3 2.7381393909454346 5.164478778839111 2.2568435668945312
possibility 1 5 11 11.495996475219727 9.863844871520996 0
that 1 6 4 2.2296090126037598 3.3213162422180176 6.5425286293029785
she 1 7 3 5.197727680206299 6.111415386199951 0
might 1 8 5 6.720497131347656 7.303584575653076 0
get 1 9 3 6.087960243225098 7.166905879974365 0.13667869567871094
for 1 10 3 7.842540740966797 6.792412757873535 0.3744931221008301
<unk> 1 11 5 3.694622755050659 6.18310022354126 0.6093125343322754
? 1 12 1 0.9054564833641052 4.108526706695557 2.074573516845703
what 2 0 4 6.4971089363098145 7.220780372619629 0
<unk> 2 1 5 7.260214805603027 4.595602989196777 2.6251773834228516
language 2 2 8 20.298423767089844 7.250472068786621 0
did 2 3 3 5.993816375732422 8.374594688415527 0
they 2 4 4 6.248167037963867 6.2042460441589355 2.170348644256592
hire 2 5 4 13.119257926940918 8.345173835754395 0
someone 2 6 7 9.936590194702148 5.823904037475586 2.5212697982788086
who 2 7 3 2.5334506034851074 6.023371696472168 0
speaks 2 8 6 9.907687187194824 7.336981296539307 0
? 2 9 1 9.441078186035156 5.818568706512451 1.5184125900268555
what 3 0 4 3.6044719219207764 6.920111179351807 0
candy 3 1 5 17.906042098999023 5.87691068649292 1.0432004928588867
store 3 2 5 15.144221305847168 5.873901844024658 0.0030088424682617188
did 3 3 3 3.9889156818389893 7.057949066162109 0
they 3 4 4 1.0096403360366821 2.836191177368164 4.221757888793945
meet 3 5 4 8.205588340759277 7.353180885314941 0
someone 3 6 7 6.2982659339904785 5.8263325691223145 1.526848316192627
who 3 7 3 0.4652968645095825 2.06350040435791 3.7628321647644043
robbed 3 8 6 16.475759506225586 6.581110954284668 0
yesterday 3 9 9 19.119626998901367 4.604610919952393 1.9765000343322754
? 3 10 1 2.270517110824585 4.24818229675293 0.3564286231994629
which 4 0 5 6.512455463409424 5.587510108947754 0
direction 4 1 9 14.587713241577148 7.260959625244141 0
did 4 2 3 3.8043267726898193 7.691267490386963 0
you 4 3 3 5.148226261138916 4.558817386627197 3.1324501037597656
see 4 4 3 6.042379379272461 4.112552642822266 0.44626474380493164
a 4 5 1 4.948363780975342 6.3214945793151855 0
sign 4 6 4 10.271510124206543 9.642724990844727 0
that 4 7 4 2.2002761363983154 5.805487632751465 3.8372373580932617
<unk> 4 8 5 2.6490695476531982 6.0929412841796875 0
pointed 4 9 7 15.18796157836914 7.194302082061768 0
us 4 10 2 14.792181015014648 4.095023155212402 3.0992789268493652
in 4 11 2 7.103460788726807 2.5958352088928223 1.49918794631958
? 4 12 1 1.2875820398330688 4.552119255065918 0
what 5 0 4 1.5526282787322998 5.5901055335998535 0
did 5 1 3 2.975545883178711 5.854996204376221 0
we 5 2 2 5.3612775802612305 2.0518999099731445 3.803096294403076
hear 5 3 4 4.970691204071045 5.830326080322266 0
a 5 4 1 2.620872974395752 5.014038562774658 0.8162875175476074
rumour 5 5 6 9.919421195983887 8.999267578125 0
that 5 6 4 0.10998651385307312 0.8403595685958862 8.158908009529114
<unk> 5 7 5 1.1355522871017456 4.688634872436523 0
thinks 5 8 6 8.677226066589355 5.940771102905273 0
? 5 9 1 3.663270950317383 4.599654197692871 1.3411169052124023
how 6 0 3 8.439321517944336 3.0851664543151855 0
many 6 1 4 7.042269706726074 5.368581295013428 0
cities 6 2 6 12.410717010498047 8.077332496643066 0
does 6 3 4 13.74863338470459 6.781551837921143 1.2957806587219238
bill 6 4 4 19.94464683532715 6.51279878616333 0.2687530517578125
have 6 5 4 9.81189250946045 5.981369972229004 0.5314288139343262
brothers 6 6 8 14.625009536743164 6.993891716003418 0
who 6 7 3 2.957777261734009 7.369096755981445 0
live 6 8 4 8.571016311645508 8.112356185913086 0
in 6 9 2 1.5915526151657104 5.1368584632873535 2.9754977226257324
? 6 10 1 2.146172523498535 4.659969806671143 0.47688865661621094
what 7 0 4 0.7667284607887268 3.917722225189209 0
does 7 1 4 5.3822784423828125 3.261061429977417 0.656660795211792
frank 7 2 5 21.348690032958984 0.46704939007759094 2.794012039899826
believe 7 3 7 8.863320350646973 7.574841022491455 0
the 7 4 3 12.68501091003418 0.18737216293811798 7.387468859553337
rumour 7 5 6 5.202012062072754 7.4824442863464355 0
that 7 6 4 5.164943218231201 0.5993630886077881 6.8830811977386475
<unk> 7 7 5 2.307816505432129 3.1187660694122314 0
sleeps 7 8 6 14.642729759216309 3.7408628463745117 0
with 7 9 4 13.194336891174316 0.016276458278298378 3.7245863880962133
? 7 10 1 0.21716609597206116 1.4106956720352173 0
who 8 0 3 7.472445487976074 3.395814895629883 0
do 8 1 2 10.060964584350586 8.544710159301758 0
n't 8 2 3 25.523876190185547 7.699806213378906 0.8449039459228516
i 8 3 1 11.189634323120117 9.082727432250977 0
believe 8 4 7 4.67249870300293 5.422158718109131 3.6605687141418457
the 8 5 3 3.340189218521118 2.805807590484619 2.6163511276245117
claim 8 6 5 8.496728897094727 9.984588623046875 0
that 8 7 4 0.0012750317109748721 0.014502904377877712 9.970085718668997
<unk> 8 8 5 0.32757100462913513 2.1966140270233154 0
likes 8 9 5 10.023602485656738 8.089848518371582 0
? 8 10 1 2.629181385040283 6.181725978851318 1.9081225395202637
who 9 0 3 3.773102045059204 5.761938095092773 0
did 9 1 3 3.600945472717285 8.334209442138672 0
my 9 2 2 9.124685287475586 6.7413649559021 1.5928444862365723
sister 9 3 6 8.855005264282227 9.41100788116455 0
say 9 4 3 12.009873390197754 5.519157886505127 3.891849994659424
that 9 5 4 1.9677737951278687 4.522732257843018 0.9964256286621094
<unk> 9 6 5 0.8350046873092651 3.1271474361419678 1.3955848217010498
is 9 7 2 5.114566802978516 8.009849548339844 0
the 9 8 3 2.994269609451294 7.332778453826904 0.6770710945129395
only 9 9 4 4.588221073150635 8.821874618530273 0
person 9 10 6 2.1134161949157715 5.665525913238525 3.156348705291748
who 9 11 3 0.07776171714067459 0.5055301785469055 5.15999573469162
knows 9 12 5 4.667834281921387 7.841524124145508 0
? 9 13 1 4.285050868988037 4.681065082550049 3.160459041595459
how 10 0 3 5.399672031402588 4.988274574279785 0
does 10 1 4 6.5761189460754395 5.381773948669434 0
she 10 2 3 4.827010154724121 4.986993312835693 0.39478063583374023
believe 10 3 7 1.1146308183670044 4.644815444946289 0.3421778678894043
that 10 4 4 4.207015037536621 1.4491719007492065 3.1956435441970825
<unk> 10 5 5 1.2680459022521973 3.8739261627197266 0
solves 10 6 6 14.259403228759766 7.508396625518799 0
? 10 7 1 0.09524182975292206 0.6586809158325195 6.849715709686279
what 11 0 4 3.1266732215881348 4.1221771240234375 0
did 11 1 3 3.5348355770111084 1.3030344247817993 2.819142699241638
we 11 2 2 3.637439489364624 1.2933568954467773 0.009677529335021973
hear 11 3 4 4.0205817222595215 0.3670582175254822 0.9262986779212952
the 11 4 3 4.825286865234375 2.634781837463379 0
claim 11 5 5 2.10219144821167 4.869142532348633 0
that 11 6 4 0.00023886412964202464 0.003094087354838848 4.866048444993794
will 11 7 4 11.209736824035645 0.7695682048797607 0
thinks 11 8 6 13.60718059539795 7.074708461761475 0
that 11 9 4 4.426673889160156 0.384537935256958 6.690170526504517
he 11 10 2 8.913488388061523 1.09475839138031 0
will 11 11 4 9.379867553710938 3.390493392944336 0
buy 11 12 3 11.017596244812012 4.350286483764648 0
? 11 13 1 3.0917179584503174 5.8054609298706055 0
what 12 0 4 1.9014294147491455 3.6690332889556885 0
subjects 12 1 8 21.80750846862793 1.5923302173614502 2.0767030715942383
does 12 2 4 8.349822044372559 6.0244340896606445 0
<unk> 12 3 5 7.72886848449707 4.50908088684082 1.5153532028198242
have 12 4 4 5.954404830932617 3.4100770950317383 1.099003791809082
students 12 5 8 12.927536964416504 7.425027847290039 0
who 12 6 3 0.39418894052505493 2.6221296787261963 4.802898168563843
failed 12 7 6 16.35007667541504 2.3964555263519287 0.22567415237426758
tests 12 8 5 17.080120086669922 3.0452091693878174 0
in 12 9 2 5.13711404800415 3.319223165512085 0
? 12 10 1 1.8032951354980469 5.672869682312012 0
what 13 0 4 0.9347991347312927 3.2389378547668457 0
do 13 1 2 5.664391040802002 4.083750247955322 0
n't 13 2 3 24.73597526550293 2.81965970993042 1.2640905380249023
they 13 3 4 10.396867752075195 8.429319381713867 0
believe 13 4 7 6.736687660217285 7.053123474121094 1.3761959075927734
the 13 5 3 7.1816534996032715 0.2203802466392517 6.832743227481842
claim 13 6 5 0.539182722568512 3.9338889122009277 0
that 13 7 4 0.0012377439998090267 0.014598588459193707 3.919290323741734
<unk> 13 8 5 1.0589573383331299 4.8713812828063965 0
speaks 13 9 6 9.681005477905273 6.890091419219971 0
? 13 10 1 0.021632026880979538 0.21733489632606506 6.672756522893906
what 14 0 4 0.29989343881607056 1.6103464365005493 0
did 14 1 3 3.058311700820923 5.124111175537109 0
my 14 2 2 6.141003608703613 8.459281921386719 0
sister 14 3 6 5.249956130981445 8.853243827819824 0
hear 14 4 4 8.339537620544434 6.687547206878662 2.165696620941162
that 14 5 4 5.944141387939453 2.553882122039795 4.133665084838867
<unk> 14 6 5 1.1498125791549683 5.890374183654785 0
likes 14 7 5 6.415017604827881 8.205968856811523 0
? 14 8 1 1.938547968864441 4.960324764251709 3.2456440925598145
=========================================================================================
| End of testing | test loss  4.35 | test ppl    77.79
=========================================================================================
