word sentid sentpos wlen surp entropy entred
what 0 0 4 11.349550247192383 7.258260726928711 0
does 0 1 4 8.681766510009766 6.245684623718262 1.0125761032104492
<unk> 0 2 5 6.623562335968018 3.6919281482696533 2.5537564754486084
like 0 3 4 7.194734573364258 8.363624572753906 0
and 0 4 3 8.104077339172363 6.058187484741211 2.3054370880126953
beans 0 5 5 21.03649139404297 8.242006301879883 0
? 0 6 1 4.981346130371094 6.594491004943848 1.6475152969360352
what 1 0 4 9.242485046386719 7.348701000213623 0
did 1 1 3 6.030620574951172 6.189417362213135 1.1592836380004883
they 1 2 4 5.279456615447998 4.651162624359131 1.538254737854004
not 1 3 3 8.594893455505371 6.655910968780518 0
like 1 4 4 3.69413685798645 7.388457775115967 0
that 1 5 4 7.464004993438721 4.9685282707214355 2.4199295043945312
<unk> 1 6 5 7.488232135772705 2.079669237136841 2.8888590335845947
likes 1 7 5 16.601367950439453 3.2589333057403564 0
cars 1 8 4 17.444507598876953 4.639603614807129 0
and 1 9 3 6.054234981536865 1.78024160861969 2.859362006187439
? 1 10 1 6.171267032623291 9.60975170135498 0
what 2 0 4 7.524923324584961 7.296307563781738 0
did 2 1 3 3.4963886737823486 5.324843406677246 1.9714641571044922
<unk> 2 2 5 2.864176034927368 3.562875986099243 1.761967420578003
eat 2 3 3 10.015134811401367 4.185845375061035 0
beans 2 4 5 15.942543029785156 6.789654731750488 0
and 2 5 3 1.3269813060760498 5.004647731781006 1.7850069999694824
? 2 6 1 10.046905517578125 8.51034927368164 0
what 3 0 4 4.20075798034668 7.072394371032715 0
did 3 1 3 0.3005007207393646 1.4466886520385742 5.625705718994141
<unk> 3 2 5 0.10169874131679535 0.8315272331237793 0.6151614189147949
give 3 3 4 8.011419296264648 7.730709075927734 0
to 3 4 2 5.391050815582275 6.62591028213501 1.1047987937927246
me 3 5 2 7.641939640045166 6.630608081817627 0
and 3 6 3 1.8813837766647339 6.081376552581787 0.5492315292358398
loan 3 7 4 18.430055618286133 7.162769794464111 0
to 3 8 2 4.689241886138916 7.042023658752441 0.12074613571166992
you 3 9 3 7.615084171295166 6.2082929611206055 0.8337306976318359
? 3 10 1 5.45581579208374 6.419439792633057 0
whom 4 0 4 12.570283889770508 5.502874851226807 0
is 4 1 2 4.78684139251709 6.149579048156738 0
he 4 2 2 9.589078903198242 8.437201499938965 0
waiting 4 3 7 12.863309860229492 8.346247673034668 0.09095382690429688
for 4 4 3 1.7687166929244995 2.711832046508789 5.634415626525879
and 4 5 3 6.110405921936035 7.685469150543213 0
trying 4 6 6 12.427655220031738 9.218751907348633 0
to 4 7 2 0.03429824486374855 0.314381867647171 8.904370039701462
call 4 8 4 9.01595687866211 8.454947471618652 0
? 4 9 1 8.211797714233398 5.819619178771973 2.6353282928466797
what 5 0 4 1.1160672903060913 5.134279251098633 0
did 5 1 3 0.08183789253234863 0.4669722318649292 4.667307019233704
my 5 2 2 10.495370864868164 2.154933214187622 0
sister 5 3 6 10.646218299865723 9.045525550842285 0
hear 5 4 4 14.852643013000488 5.175350189208984 3.870175361633301
that 5 5 4 7.090145587921143 4.433325290679932 0.7420248985290527
<unk> 5 6 5 5.734118938446045 4.74135684967041 0
danced 5 7 6 19.65310287475586 4.474757671356201 0.266599178314209
for 5 8 3 6.4245991706848145 2.966987133026123 1.5077705383300781
me 5 9 2 3.6796183586120605 3.692551374435425 0
and 5 10 3 2.3815560340881348 1.6198172569274902 2.0727341175079346
sang 5 11 4 15.006378173828125 4.297680854797363 0
for 5 12 3 6.427793979644775 4.5601630210876465 0
you 5 13 3 3.330671787261963 4.937378406524658 0
? 5 14 1 0.4082314968109131 1.6188359260559082 3.31854248046875
whom 6 0 4 10.472586631774902 3.820551633834839 0
did 6 1 3 1.8592060804367065 3.706874132156372 0.1136775016784668
they 6 2 4 6.2279863357543945 5.104423522949219 0
say 6 3 3 7.168342590332031 6.340662002563477 0
that 6 4 4 3.0077459812164307 5.487452030181885 0.8532099723815918
<unk> 6 5 5 3.65276837348938 7.340841293334961 0
helped 6 6 6 12.49841022491455 6.997829437255859 0.34301185607910156
and 6 7 3 5.605358123779297 6.34455680847168 0.6532726287841797
took 6 8 4 10.869874954223633 8.549323081970215 0
care 6 9 4 5.820439338684082 6.5657453536987305 1.9835777282714844
of 6 10 2 1.0531069040298462 3.287184953689575 3.2785604000091553
? 6 11 1 9.79890251159668 6.713111877441406 0
which 7 0 5 5.32758903503418 5.876432418823242 0
