word sentid sentpos wlen surp entropy entred
what 0 0 4 11.101475715637207 6.484093189239502 0
does 0 1 4 8.645913124084473 5.967477321624756 0.5166158676147461
<unk> 0 2 5 5.58122444152832 5.887905120849609 0.07957220077514648
like 0 3 4 6.901668071746826 7.421986103057861 0
and 0 4 3 8.612353324890137 6.784050464630127 0.6379356384277344
beans 0 5 5 20.209623336791992 8.460580825805664 0
? 0 6 1 4.511749267578125 6.463625431060791 1.996955394744873
what 1 0 4 8.821549415588379 6.751916885375977 0
did 1 1 3 7.038304805755615 6.359632968902588 0.39228391647338867
they 1 2 4 5.494922637939453 5.296669006347656 1.0629639625549316
not 1 3 3 11.36230754852295 4.9152421951293945 0.3814268112182617
like 1 4 4 2.576381206512451 5.736180782318115 0
that 1 5 4 10.091575622558594 1.7028921842575073 4.033288598060608
<unk> 1 6 5 8.28799057006836 1.806265115737915 0
likes 1 7 5 16.120576858520508 0.8343731760978699 0.9718919396400452
cars 1 8 4 21.77350425720215 0.7019673585891724 0.1324058175086975
and 1 9 3 7.380387783050537 0.46796929836273193 0.23399806022644043
? 1 10 1 9.367173194885254 8.874137878417969 0
what 2 0 4 7.451422691345215 6.567165851593018 0
did 2 1 3 4.534598350524902 6.22402811050415 0.3431377410888672
<unk> 2 2 5 1.727789044380188 5.266114711761475 0.9579133987426758
eat 2 3 3 11.39869213104248 6.1778082847595215 0
beans 2 4 5 17.39565086364746 6.4176177978515625 0
and 2 5 3 1.6157870292663574 4.684009552001953 1.7336082458496094
? 2 6 1 13.765979766845703 7.521698474884033 0
what 3 0 4 3.8040449619293213 6.642515659332275 0
did 3 1 3 0.22430086135864258 1.3284564018249512 5.314059257507324
<unk> 3 2 5 0.4760984778404236 2.9007251262664795 0
give 3 3 4 6.992590427398682 7.531085014343262 0
to 3 4 2 5.56386661529541 6.238307952880859 1.2927770614624023
me 3 5 2 4.545668125152588 5.7654008865356445 0.47290706634521484
and 3 6 3 1.6078519821166992 5.338178634643555 0.42722225189208984
loan 3 7 4 19.829330444335938 7.192050933837891 0
to 3 8 2 6.383882999420166 7.90064001083374 0
you 3 9 3 6.6446404457092285 5.7333173751831055 2.1673226356506348
? 3 10 1 7.465115547180176 5.277291774749756 0.4560256004333496
whom 4 0 4 15.069376945495605 3.5019845962524414 0
is 4 1 2 6.222601413726807 6.169488906860352 0
he 4 2 2 7.668925762176514 7.79064416885376 0
waiting 4 3 7 10.894527435302734 8.936131477355957 0
for 4 4 3 2.1141951084136963 3.533174753189087 5.40295672416687
and 4 5 3 6.050407409667969 6.198565483093262 0
trying 4 6 6 11.475111961364746 7.840680122375488 0
to 4 7 2 0.02063784748315811 0.2084469199180603 7.632233202457428
call 4 8 4 9.490714073181152 7.66494083404541 0
? 4 9 1 8.314279556274414 5.169207572937012 2.4957332611083984
what 5 0 4 1.897455096244812 6.3787689208984375 0
did 5 1 3 0.04714305326342583 0.3193618953227997 6.059407025575638
my 5 2 2 10.134279251098633 5.24185037612915 0
sister 5 3 6 11.022266387939453 9.233820915222168 0
hear 5 4 4 11.872973442077637 6.64669132232666 2.587129592895508
that 5 5 4 6.58111572265625 6.052538871765137 0.5941524505615234
<unk> 5 6 5 6.217029571533203 6.371633052825928 0
danced 5 7 6 15.54684829711914 6.783974647521973 0
for 5 8 3 4.26594877243042 3.767754077911377 3.0162205696105957
me 5 9 2 2.3491976261138916 4.16968297958374 0
and 5 10 3 0.8954356908798218 2.839444875717163 1.3302381038665771
sang 5 11 4 10.990056991577148 6.677977085113525 0
for 5 12 3 4.95768928527832 5.462672710418701 1.2153043746948242
you 5 13 3 2.9078750610351562 4.329531192779541 1.1331415176391602
? 5 14 1 0.7662004828453064 2.65375018119812 1.675781011581421
whom 6 0 4 6.593453407287598 4.092607021331787 0
did 6 1 3 4.899417877197266 4.28127908706665 0
they 6 2 4 5.737008094787598 5.79934024810791 0
say 6 3 3 6.8726935386657715 6.600582599639893 0
that 6 4 4 1.9584121704101562 4.716088771820068 1.8844938278198242
<unk> 6 5 5 4.281074047088623 6.8591718673706055 0
helped 6 6 6 12.284517288208008 7.2175984382629395 0
