word sentid sentpos wlen surp entropy entred
what 0 0 4 10.503340721130371 6.971516132354736 0
does 0 1 4 8.683886528015137 6.236448764801025 0.7350673675537109
<unk> 0 2 5 6.817178249359131 5.08088493347168 1.1555638313293457
like 0 3 4 9.118099212646484 7.423269748687744 0
and 0 4 3 9.196977615356445 6.473580360412598 0.9496893882751465
beans 0 5 5 21.358074188232422 8.472837448120117 0
? 0 6 1 8.460346221923828 6.689416408538818 1.7834210395812988
what 1 0 4 9.02907657623291 7.092231750488281 0
did 1 1 3 7.627139568328857 6.128658294677734 0.9635734558105469
they 1 2 4 4.570166110992432 6.100536823272705 0.028121471405029297
not 1 3 3 8.550370216369629 6.475177764892578 0
like 1 4 4 7.3105058670043945 3.2424428462982178 3.2327349185943604
that 1 5 4 7.9038920402526855 2.922623872756958 0.31981897354125977
<unk> 1 6 5 6.355956077575684 2.2162365913391113 0.7063872814178467
likes 1 7 5 16.16571044921875 1.7103692293167114 0.5058673620223999
cars 1 8 4 17.909305572509766 1.6296085119247437 0.08076071739196777
and 1 9 3 6.243317127227783 1.6846990585327148 0
? 1 10 1 7.336539268493652 9.555364608764648 0
what 2 0 4 8.707365036010742 6.984163761138916 0
did 2 1 3 6.910440921783447 6.115982532501221 0.8681812286376953
<unk> 2 2 5 2.387624979019165 5.945289611816406 0.17069292068481445
eat 2 3 3 11.199263572692871 7.009337902069092 0
beans 2 4 5 14.221980094909668 6.724883556365967 0.284454345703125
and 2 5 3 1.8684695959091187 4.717979907989502 2.006903648376465
? 2 6 1 16.313488006591797 9.102165222167969 0
what 3 0 4 4.589750289916992 7.154754638671875 0
did 3 1 3 1.801582932472229 4.814857482910156 2.3398971557617188
<unk> 3 2 5 0.639255702495575 3.4514448642730713 1.363412618637085
give 3 3 4 7.79014253616333 5.698853015899658 0
to 3 4 2 6.627647399902344 6.059631824493408 0
me 3 5 2 5.001056671142578 5.361963748931885 0.6976680755615234
and 3 6 3 2.248392105102539 6.324154853820801 0
loan 3 7 4 19.32365608215332 8.280071258544922 0
to 3 8 2 5.458316326141357 7.98335075378418 0.2967205047607422
