word sentid sentpos wlen surp entropy entred
what 0 0 4 10.804617881774902 7.472123146057129 0
does 0 1 4 8.544522285461426 6.514146327972412 0.9579768180847168
<unk> 0 2 5 4.7979254722595215 6.029693603515625 0.4844527244567871
like 0 3 4 7.7080464363098145 7.777153015136719 0
and 0 4 3 7.209108352661133 6.481287479400635 1.295865535736084
beans 0 5 5 19.287782669067383 8.32375717163086 0
? 0 6 1 2.5806612968444824 5.763643741607666 2.5601134300231934
what 1 0 4 7.2195305824279785 7.89700174331665 0
did 1 1 3 7.26103401184082 6.4183878898620605 1.4786138534545898
they 1 2 4 4.225906848907471 4.823026657104492 1.5953612327575684
not 1 3 3 11.464218139648438 5.450693130493164 0
like 1 4 4 2.878173351287842 4.168155193328857 1.2825379371643066
that 1 5 4 13.649785995483398 0.47255760431289673 3.6955975890159607
<unk> 1 6 5 12.319157600402832 0.08544036746025085 0.3871172368526459
likes 1 7 5 19.216392517089844 0.17058327794075012 0
cars 1 8 4 20.531896591186523 0.8399223685264587 0
and 1 9 3 10.231651306152344 0.11909817159175873 0.7208241969347
? 1 10 1 4.197375774383545 8.963359832763672 0
what 2 0 4 5.816070556640625 7.803915500640869 0
did 2 1 3 6.206818103790283 6.425450801849365 1.378464698791504
<unk> 2 2 5 2.490722179412842 5.110079288482666 1.3153715133666992
eat 2 3 3 12.092792510986328 4.381671905517578 0.7284073829650879
beans 2 4 5 13.52507495880127 6.509901523590088 0
and 2 5 3 2.392979860305786 3.817690849304199 2.6922106742858887
? 2 6 1 9.63194465637207 9.30400276184082 0
what 3 0 4 2.7606306076049805 7.403689861297607 0
did 3 1 3 2.2471909523010254 5.687119007110596 1.7165708541870117
<unk> 3 2 5 0.22271884977817535 1.7314075231552124 3.9557114839553833
give 3 3 4 9.179021835327148 6.470733165740967 0
to 3 4 2 5.652347564697266 6.484233379364014 0
me 3 5 2 6.157944679260254 5.505094051361084 0.9791393280029297
and 3 6 3 2.838609218597412 6.269713401794434 0
loan 3 7 4 18.46390151977539 6.998252868652344 0
to 3 8 2 4.464700698852539 7.571598529815674 0
you 3 9 3 8.234688758850098 4.843697547912598 2.727900981903076
? 3 10 1 6.219985008239746 6.122248649597168 0
whom 4 0 4 13.725790977478027 2.327700138092041 0
is 4 1 2 8.304976463317871 5.639557838439941 0
he 4 2 2 10.350838661193848 8.152386665344238 0
waiting 4 3 7 11.382002830505371 7.586911678314209 0.5654749870300293
for 4 4 3 1.935478687286377 3.695997714996338 3.890913963317871
and 4 5 3 5.78362512588501 7.19417667388916 0
trying 4 6 6 8.88079833984375 10.147830963134766 0
to 4 7 2 0.04271225258708 0.40370121598243713 9.744129747152328
call 4 8 4 9.342947006225586 8.592623710632324 0
? 4 9 1 9.594676971435547 5.94412899017334 2.6484947204589844
what 5 0 4 1.0515251159667969 5.372077941894531 0
did 5 1 3 0.08201776444911957 0.5980279445648193 4.774049997329712
my 5 2 2 8.543453216552734 4.519857406616211 0
sister 5 3 6 7.633315086364746 8.32304573059082 0
hear 5 4 4 16.530868530273438 3.740816354751587 4.582229375839233
that 5 5 4 5.354368686676025 5.489665508270264 0
<unk> 5 6 5 4.79749059677124 7.504777431488037 0
danced 5 7 6 15.05726146697998 6.253108024597168 1.2516694068908691
for 5 8 3 4.114229679107666 4.472803115844727 1.7803049087524414
me 5 9 2 2.4918594360351562 5.6829705238342285 0
and 5 10 3 1.567536473274231 3.2445452213287354 2.438425302505493
sang 5 11 4 12.579455375671387 6.13655948638916 0
for 5 12 3 5.394547939300537 6.384304046630859 0
you 5 13 3 2.548548460006714 3.8231921195983887 2.5611119270324707
? 5 14 1 0.1508232206106186 0.7703952193260193 3.0527969002723694
whom 6 0 4 6.472403049468994 3.7548022270202637 0
did 6 1 3 1.5442826747894287 5.347203254699707 0
they 6 2 4 7.638713359832764 5.69650411605835 0
say 6 3 3 7.159695625305176 6.402366638183594 0
that 6 4 4 2.3555052280426025 5.06456995010376 1.337796688079834
<unk> 6 5 5 4.480072021484375 6.879990577697754 0
helped 6 6 6 12.681166648864746 6.903946876525879 0
and 6 7 3 4.225218772888184 5.370528697967529 1.5334181785583496
took 6 8 4 8.604802131652832 9.655314445495605 0
care 6 9 4 5.149205207824707 6.940738677978516 2.71457576751709
of 6 10 2 0.6645656824111938 2.501228094100952 4.4395105838775635
? 6 11 1 8.596358299255371 7.387640476226807 0
which 7 0 5 6.498710632324219 3.7624197006225586 0
beverage 7 1 8 29.18824577331543 2.2921323776245117 1.4702873229980469
did 7 2 3 4.162468910217285 6.36337947845459 0
they 7 3 4 2.6211822032928467 5.766833782196045 0.5965456962585449
order 7 4 5 15.941824913024902 5.4031853675842285 0.3636484146118164
<unk> 7 5 5 7.12620210647583 4.555443286895752 0.8477420806884766
and 7 6 3 1.6770095825195312 5.485854148864746 0
? 7 7 1 4.096490859985352 8.626683235168457 0
which 8 0 5 3.0579161643981934 6.215092658996582 0
dessert 8 1 7 23.405141830444336 5.425164222717285 0.7899284362792969
did 8 2 3 1.847429871559143 5.676718235015869 0
he 8 3 2 6.3516926765441895 1.6971633434295654 3.9795548915863037
hear 8 4 4 8.911754608154297 8.011213302612305 0
that 8 5 4 0.8057543039321899 3.824432373046875 4.18678092956543
they 8 6 4 4.21404504776001 6.430899143218994 0
ordered 8 7 7 13.810206413269043 6.898744106292725 0
and 8 8 3 3.7293426990509033 6.143219470977783 0.7555246353149414
espresso 8 9 8 22.836124420166016 8.577162742614746 0
? 8 10 1 3.8844659328460693 7.851319789886475 0.7258429527282715
which 9 0 5 0.7574115991592407 4.022504806518555 0
tasks 9 1 5 14.384037017822266 7.901687145233154 0
did 9 2 3 5.007990837097168 6.368656635284424 1.5330305099487305
she 9 3 3 7.576113700866699 3.7136378288269043 2.6550188064575195
say 9 4 3 5.256861686706543 7.468671798706055 0
that 9 5 4 0.3030056059360504 1.7165526151657104 5.752119183540344
he 9 6 2 3.2612650394439697 5.531125068664551 0
has 9 7 3 7.639410018920898 7.255423069000244 0
in 9 8 2 8.307039260864258 8.564507484436035 0
math 9 9 4 19.03936195373535 7.08217191696167 1.4823355674743652
and 9 10 3 0.6945151686668396 3.349421262741089 3.732750654220581
in 9 11 2 12.546943664550781 0.6690770983695984 2.6803441643714905
<unk> 9 12 5 4.6566243171691895 7.715190410614014 0
