word sentid sentpos wlen surp entropy entred
which 0 0 5 7.487514495849609 7.258260726928711 0
gift 0 1 4 21.138338088989258 7.095907211303711 0.162353515625
does 0 2 4 10.564543724060059 7.005019187927246 0.09088802337646484
<unk> 0 3 5 9.397245407104492 1.4362750053405762 5.56874418258667
wonder 0 4 6 15.352120399475098 7.063886642456055 0
where 0 5 5 9.650151252746582 5.760169982910156 1.3037166595458984
<unk> 0 6 5 2.6744468212127686 5.35150146484375 0.40866851806640625
went 0 7 4 9.60324478149414 7.073579788208008 0
to 0 8 2 1.797075629234314 4.477997303009033 2.5955824851989746
buy 0 9 3 10.994036674499512 5.381882667541504 0
? 0 10 1 13.043098449707031 5.979704856872559 0
which 1 0 5 5.895698547363281 7.169058799743652 0
man 1 1 3 12.76806354522705 7.392558574676514 0
did 1 2 3 6.653364181518555 7.625546932220459 0
<unk> 1 3 5 3.0771749019622803 6.8030805587768555 0.8224663734436035
ask 1 4 3 9.12524700164795 7.8970160484313965 0
why 1 5 3 7.744126319885254 5.112557411193848 2.784458637237549
<unk> 1 6 5 1.883974313735962 5.780117988586426 0
was 1 7 3 3.362485408782959 6.905430793762207 0
waiting 1 8 7 9.686800003051758 8.213272094726562 0
? 1 9 1 3.52693247795105 3.9759716987609863 4.237300395965576
which 2 0 5 3.5713999271392822 6.93160343170166 0
language 2 1 8 14.444576263427734 7.192060470581055 0
did 2 2 3 5.848681449890137 7.341633319854736 0
they 2 3 4 8.048248291015625 4.258391380310059 3.0832419395446777
not 2 4 3 9.869292259216309 8.13308334350586 0
like 2 5 4 8.7162504196167 8.144157409667969 0
that 2 6 4 6.387520790100098 4.666838645935059 3.47731876373291
will 2 7 4 13.773649215698242 2.632612943649292 2.0342257022857666
asked 2 8 5 19.368209838867188 3.443941831588745 0
how 2 9 3 8.08352279663086 1.6625741720199585 1.7813676595687866
<unk> 2 10 5 1.6823335886001587 4.552779197692871 0
speaks 2 11 6 13.620927810668945 4.515856742858887 0.036922454833984375
? 2 12 1 0.05329171195626259 0.3297693729400635 4.186087369918823
which 3 0 5 3.006624221801758 6.856491565704346 0
comics 3 1 6 18.23894500732422 7.643299102783203 0
did 3 2 3 5.734492778778076 8.502994537353516 0
will 3 3 4 14.713981628417969 4.9768571853637695 3.526137351989746
ask 3 4 3 8.686826705932617 7.560439109802246 0
why 3 5 3 0.5632549524307251 2.528095245361328 5.032343864440918
<unk> 3 6 5 0.975933849811554 3.8502962589263916 0
read 3 7 4 10.634623527526855 6.411439418792725 0
? 3 8 1 2.265666961669922 5.83081579208374 0.5806236267089844
which 4 0 5 1.8464384078979492 6.361185550689697 0
man 4 1 3 9.059630393981934 8.247480392456055 0
did 4 2 3 3.169888973236084 7.231567859649658 1.0159125328063965
he 4 3 2 4.041215896606445 6.3827080726623535 0.8488597869873047
hear 4 4 4 10.390265464782715 8.405719757080078 0
that 4 5 4 3.907048225402832 5.413386344909668 2.99233341217041
<unk> 4 6 5 1.7605502605438232 6.581154823303223 0
asked 4 7 5 9.220366477966309 6.9582648277282715 0
where 4 8 5 11.323406219482422 1.1157188415527344 5.842545986175537
<unk> 4 9 5 1.1977039575576782 4.454324245452881 0
is 4 10 2 6.034839630126953 6.8763532638549805 0
waiting 4 11 7 5.505309104919434 8.641399383544922 0
for 4 12 3 12.55452823638916 0.04276985675096512 8.598629526793957
? 4 13 1 2.411790609359741 5.697362899780273 0
which 5 0 5 0.7578735947608948 4.07630729675293 0
woman 5 1 5 13.5245943069458 8.442558288574219 0
did 5 2 3 0.6624782085418701 3.836451768875122 4.606106519699097
<unk> 5 3 5 5.288082122802734 3.8465659618377686 0
ask 5 4 3 4.381012916564941 8.153796195983887 0
what 5 5 4 5.343777656555176 3.4564931392669678 4.697303056716919
<unk> 5 6 5 1.2170590162277222 4.733072757720947 0
told 5 7 4 7.486234188079834 5.963454246520996 0
? 5 8 1 3.3703482151031494 5.542784690856934 0.4206695556640625
which 6 0 5 0.5852504968643188 3.4459099769592285 0
way 6 1 3 9.562519073486328 8.005613327026367 0
did 6 2 3 5.905248641967773 5.635734558105469 2.3698787689208984
they 6 3 4 3.1110260486602783 5.004872798919678 0.630861759185791
forget 6 4 6 12.024155616760254 7.321563720703125 0
which 6 5 5 6.20689058303833 4.399421691894531 2.9221420288085938
problem 6 6 7 15.087828636169434 5.368017196655273 0
they 6 7 4 5.17146635055542 6.522939682006836 0
should 6 8 6 6.132039546966553 7.173381805419922 0
solve 6 9 5 9.62620735168457 7.3137311935424805 0
? 6 10 1 1.6082191467285156 5.182095050811768 2.131636142730713
which 7 0 5 0.23609626293182373 1.8047120571136475 0
problem 7 1 7 10.729949951171875 7.677954196929932 0
