word sentid sentpos wlen surp entropy entred
which 0 0 5 9.138279914855957 6.484093189239502 0
gift 0 1 4 19.290653228759766 7.425856113433838 0
does 0 2 4 11.624638557434082 8.316184997558594 0
<unk> 0 3 5 7.282400608062744 2.814255714416504 5.50192928314209
wonder 0 4 6 14.3071928024292 8.221224784851074 0
where 0 5 5 9.565654754638672 5.929170608520508 2.2920541763305664
<unk> 0 6 5 2.7667438983917236 4.884918212890625 1.0442523956298828
went 0 7 4 9.6076021194458 7.243887901306152 0
to 0 8 2 2.1768925189971924 5.05299186706543 2.1908960342407227
buy 0 9 3 12.095192909240723 5.251902103424072 0
? 0 10 1 14.916260719299316 5.607077121734619 0
which 1 0 5 6.563228607177734 6.790488243103027 0
man 1 1 3 12.670151710510254 7.830560684204102 0
did 1 2 3 6.687103748321533 7.035820960998535 0.7947397232055664
<unk> 1 3 5 2.2086174488067627 6.592735290527344 0.4430856704711914
ask 1 4 3 11.714160919189453 7.841594219207764 0
why 1 5 3 5.69343900680542 5.645831108093262 2.195763111114502
<unk> 1 6 5 1.7473913431167603 5.7066779136657715 0
was 1 7 3 3.593867063522339 6.875510215759277 0
waiting 1 8 7 9.71414852142334 8.408015251159668 0
? 1 9 1 4.622049808502197 4.411792755126953 3.996222496032715
which 2 0 5 3.5980064868927 6.645440101623535 0
language 2 1 8 12.41453742980957 7.79481315612793 0
did 2 2 3 4.904363632202148 6.502996921539307 1.291816234588623
they 2 3 4 9.431644439697266 4.491178512573242 2.0118184089660645
not 2 4 3 9.536844253540039 7.668673992156982 0
like 2 5 4 6.828264236450195 7.589513778686523 0.07916021347045898
that 2 6 4 5.071206569671631 5.800966739654541 1.7885470390319824
will 2 7 4 10.032851219177246 6.10328483581543 0
asked 2 8 5 15.407051086425781 6.647401809692383 0
how 2 9 3 8.413224220275879 1.5107892751693726 5.13661253452301
<unk> 2 10 5 3.394263982772827 2.242649555206299 0
speaks 2 11 6 13.448731422424316 2.71250319480896 0
? 2 12 1 0.09745720028877258 0.6939486265182495 2.0185545682907104
which 3 0 5 2.0407416820526123 6.063603401184082 0
comics 3 1 6 16.961772918701172 8.298120498657227 0
did 3 2 3 2.0662693977355957 6.729986667633057 1.56813383102417
will 3 3 4 12.204599380493164 5.137938022613525 1.5920486450195312
ask 3 4 3 6.943791389465332 7.660599231719971 0
why 3 5 3 0.34679749608039856 1.4595913887023926 6.201007843017578
<unk> 3 6 5 0.29693761467933655 1.8293323516845703 0
read 3 7 4 10.971556663513184 4.6362199783325195 0
? 3 8 1 4.554108142852783 6.323054313659668 0
which 4 0 5 0.5642486810684204 3.2556312084198 0
man 4 1 3 7.462942123413086 9.434937477111816 0
did 4 2 3 0.1807476431131363 1.315232276916504 8.119705200195312
he 4 3 2 8.482175827026367 6.8924455642700195 0
hear 4 4 4 9.764270782470703 7.306866645812988 0
that 4 5 4 3.5610055923461914 6.685680866241455 0.6211857795715332
<unk> 4 6 5 2.0372118949890137 6.817328453063965 0
asked 4 7 5 7.319486618041992 7.089475631713867 0
where 4 8 5 10.428279876708984 0.8355947732925415 6.253880858421326
<unk> 4 9 5 0.7880221009254456 3.528589963912964 0
is 4 10 2 6.639793872833252 6.130876541137695 0
waiting 4 11 7 2.9142377376556396 6.719498157501221 0
for 4 12 3 13.856525421142578 0.021470896899700165 6.6980272606015205
? 4 13 1 0.6324788331985474 2.922668695449829 0
which 5 0 5 0.1729537546634674 1.301125168800354 0
woman 5 1 5 11.365981101989746 9.263564109802246 0
did 5 2 3 0.41208136081695557 2.628530979156494 6.635033130645752
<unk> 5 3 5 2.5258312225341797 6.366213798522949 0
ask 5 4 3 0.6690740585327148 3.6860153675079346 2.6801984310150146
what 5 5 4 3.2577571868896484 2.741074562072754 0.9449408054351807
<unk> 5 6 5 0.951025128364563 4.406309127807617 0
told 5 7 4 8.36732006072998 6.7239556312561035 0
? 5 8 1 5.9970550537109375 4.938587188720703 1.7853684425354004
which 6 0 5 0.11577458679676056 0.9178968667984009 0
way 6 1 3 11.952524185180664 9.082653999328613 0
did 6 2 3 3.6390380859375 6.205440044403076 2.877213954925537
they 6 3 4 6.4851226806640625 2.0937650203704834 4.111675024032593
forget 6 4 6 11.354071617126465 2.2233152389526367 0
which 6 5 5 7.243695259094238 3.605963945388794 0
problem 6 6 7 17.38606834411621 5.754033088684082 0
they 6 7 4 7.837766170501709 4.948570251464844 0.8054628372192383
should 6 8 6 7.450986862182617 5.820547580718994 0
solve 6 9 5 12.21700668334961 4.731835842132568 1.0887117385864258
? 6 10 1 4.889317512512207 5.422828674316406 0
which 7 0 5 0.051441799849271774 0.4703073501586914 0
problem 7 1 7 12.56827163696289 8.485435485839844 0
did 7 2 3 1.2248672246932983 4.288865089416504 4.19657039642334
<unk> 7 3 5 2.653485059738159 3.2406744956970215 1.0481905937194824
wonder 7 4 6 9.755443572998047 5.253880977630615 0
who 7 5 3 9.926409721374512 2.086390733718872 3.167490243911743
solved 7 6 6 14.690847396850586 6.675968170166016 0
? 7 7 1 0.22618034482002258 1.4470068216323853 5.22896134853363
which 8 0 5 0.04913213476538658 0.4504464566707611 0
movie 8 1 5 10.834362030029297 9.004168510437012 0
did 8 2 3 0.1392548382282257 1.14945387840271 7.854714632034302
i 8 3 1 8.59168815612793 4.750855445861816 0
forget 8 4 6 6.414055824279785 7.077006816864014 0
who 8 5 3 3.2466697692871094 5.050804138183594 2.02620267868042
directed 8 6 8 13.012222290039062 7.287632942199707 0
