word sentid sentpos wlen surp entropy entred
whom 0 0 4 13.740715026855469 6.484093189239502 0
did 0 1 3 10.310616493225098 5.32478141784668 1.1593117713928223
he 0 2 2 6.3516693115234375 3.5226364135742188 1.802145004272461
tell 0 3 4 10.792500495910645 7.783318519592285 0
that 0 4 4 5.977705478668213 5.656862258911133 2.1264562606811523
his 0 5 3 4.841392517089844 5.063749313354492 0.5931129455566406
mother 0 6 6 5.828596591949463 9.880157470703125 0
is 0 7 2 4.717410564422607 5.026576995849609 4.853580474853516
a 0 8 1 2.832151412963867 7.069807052612305 0
teacher 0 9 7 8.93728256225586 8.654057502746582 0
? 0 10 1 11.733201026916504 3.7676727771759033 4.886384725570679
who 1 0 3 6.786129951477051 7.419090747833252 0
is 1 1 2 2.4915547370910645 6.68483304977417 0.734257698059082
it 1 2 2 8.739459037780762 7.070916652679443 0
important 1 3 9 11.09616470336914 7.016720294952393 0.05419635772705078
to 1 4 2 1.6763854026794434 4.531656742095947 2.4850635528564453
invite 1 5 6 12.070425987243652 8.124279975891113 0
to 1 6 2 5.544833660125732 6.4141974449157715 1.7100825309753418
our 1 7 3 9.678525924682617 7.298590660095215 0
party 1 8 5 6.797560691833496 9.727810859680176 0
? 1 9 1 5.244401931762695 4.836214542388916 4.89159631729126
who 2 0 3 3.6978800296783447 7.410519599914551 0
is 2 1 2 0.2202773541212082 1.4318957328796387 5.978623867034912
it 2 2 2 2.15775203704834 6.478636741638184 0
probable 2 3 8 17.070405960083008 4.548365116119385 1.9302716255187988
that 2 4 4 4.357033729553223 3.1828320026397705 1.3655331134796143
bill 2 5 4 14.429359436035156 5.587368488311768 0
likes 2 6 5 14.036664009094238 5.230541706085205 0.3568267822265625
? 2 7 1 1.4035128355026245 4.795759201049805 0.4347825050354004
which 3 0 5 8.269512176513672 2.8415651321411133 0
book 3 1 4 17.82849884033203 3.332535743713379 0
did 3 2 3 6.856484413146973 7.885911464691162 0
<unk> 3 3 5 7.057735919952393 7.402629375457764 0.48328208923339844
hear 3 4 4 10.189355850219727 8.225979804992676 0
a 3 5 1 6.68102502822876 5.9547038078308105 2.2712759971618652
rumor 3 6 5 10.954790115356445 9.368803977966309 0
that 3 7 4 0.3697396516799927 1.8736101388931274 7.495193839073181
you 3 8 3 5.556619644165039 6.5001220703125 0
had 3 9 3 4.802407741546631 6.210311412811279 0.2898106575012207
read 3 10 4 9.854706764221191 5.420036315917969 0.7902750968933105
? 3 11 1 5.691130638122559 4.816587448120117 0.6034488677978516
which 4 0 5 5.155311584472656 4.442944049835205 0
car 4 1 3 14.990042686462402 8.755006790161133 0
did 4 2 3 4.066089630126953 8.285374641418457 0.4696321487426758
<unk> 4 3 5 3.7181384563446045 7.8411335945129395 0.4442410469055176
announce 4 4 8 14.568243026733398 8.587546348571777 0
a 4 5 1 4.4414143562316895 2.7755136489868164 5.812032699584961
plan 4 6 4 9.343513488769531 10.429299354553223 0
to 4 7 2 2.628117799758911 3.356896162033081 7.072403192520142
fix 4 8 3 8.901369094848633 8.551945686340332 0
? 4 9 1 10.195131301879883 6.207781791687012 2.3441638946533203
who 5 0 3 1.9313989877700806 5.536267280578613 0
does 5 1 4 6.783233642578125 5.572624683380127 0
