word sentid sentpos wlen surp entropy entred
what 0 0 4 11.349550247192383 7.258260726928711 0
does 0 1 4 8.681766510009766 6.245684623718262 1.0125761032104492
<unk> 0 2 5 6.623562335968018 3.6919281482696533 2.5537564754486084
wonder 0 3 6 13.433391571044922 8.363624572753906 0
where 0 4 5 8.751775741577148 6.66647481918335 1.6971497535705566
<unk> 0 5 5 2.3030214309692383 5.630758762359619 1.0357160568237305
went 0 6 4 9.500784873962402 6.8474440574646 0
to 0 7 2 2.0159974098205566 4.891845226287842 1.9555988311767578
buy 0 8 3 12.92544174194336 5.334315776824951 0
? 0 9 1 8.849984169006348 5.953969955444336 0
whom 1 0 4 13.316825866699219 7.054283142089844 0
did 1 1 3 9.402227401733398 4.797416687011719 2.256866455078125
<unk> 1 2 5 1.322771668434143 4.845668315887451 0
ask 1 3 3 9.859317779541016 7.807449817657471 0
why 1 4 3 8.086203575134277 5.346731185913086 2.4607186317443848
<unk> 1 5 5 1.6627227067947388 5.378570079803467 0
was 1 6 3 3.6257753372192383 6.764885425567627 0
waiting 1 7 7 9.784286499023438 8.163529396057129 0
for 1 8 3 1.806942343711853 3.857318162918091 4.306211233139038
? 1 9 1 6.192101955413818 6.289468288421631 0
what 2 0 4 8.455390930175781 7.202389717102051 0
did 2 1 3 4.903140544891357 5.982029914855957 1.2203598022460938
they 2 2 4 5.624395847320557 3.5006394386291504 2.4813904762268066
not 2 3 3 8.563275337219238 7.21511173248291 0
like 2 4 4 7.099157810211182 6.795037269592285 0.420074462890625
that 2 5 4 7.221708297729492 2.5011680126190186 4.293869256973267
will 2 6 4 12.874076843261719 0.6967988610267639 1.8043691515922546
asked 2 7 5 20.878482818603516 1.5228711366653442 0
how 2 8 3 7.409886837005615 3.7976975440979004 0
<unk> 2 9 5 2.514333963394165 4.904263019561768 0
speaks 2 10 6 12.927258491516113 5.836923122406006 0
? 2 11 1 0.1515577733516693 0.7763047218322754 5.0606184005737305
what 3 0 4 7.674244403839111 7.321780681610107 0
did 3 1 3 3.1668472290039062 5.418340682983398 1.903439998626709
will 3 2 4 14.848203659057617 3.912738084793091 1.5056025981903076
ask 3 3 3 9.545938491821289 6.450965404510498 0
why 3 4 3 1.6723077297210693 4.38704776763916 2.063917636871338
<unk> 3 5 5 1.0417941808700562 4.742114543914795 0
read 3 6 4 9.558388710021973 7.075470924377441 0
? 3 7 1 4.824666500091553 6.436883449554443 0.638587474822998
who 4 0 3 7.069631576538086 7.629422664642334 0
did 4 1 3 3.1788833141326904 7.277478218078613 0.3519444465637207
he 4 2 2 7.591800689697266 6.251750469207764 1.0257277488708496
hear 4 3 4 9.948594093322754 7.459583759307861 0
that 4 4 4 3.877277374267578 6.58003568649292 0.8795480728149414
<unk> 4 5 5 1.834254503250122 6.9954752922058105 0
asked 4 6 5 9.562395095825195 7.367827415466309 0
where 4 7 5 11.677699089050293 0.4862114489078522 6.881615966558456
<unk> 4 8 5 1.6063404083251953 4.613750457763672 0
is 4 9 2 6.9735870361328125 7.27813196182251 0
waiting 4 10 7 6.104062557220459 8.077513694763184 0
for 4 11 3 0.36518919467926025 1.6281088590621948 6.449404835700989
? 4 12 1 0.31887540221214294 2.1285200119018555 0
whom 5 0 4 9.68069076538086 7.2979254722595215 0
did 5 1 3 1.506211280822754 3.436326503753662 3.8615989685058594
<unk> 5 2 5 2.4531149864196777 5.162014484405518 0
ask 5 3 3 2.472878932952881 7.410045146942139 0
what 5 4 4 3.9101521968841553 2.1442794799804688 5.26576566696167
<unk> 5 5 5 0.9339991807937622 4.2964887619018555 0
told 5 6 4 7.596655368804932 6.641980171203613 0
? 5 7 1 0.46511197090148926 2.359934091567993 4.28204607963562
how 6 0 3 8.333501815795898 6.289018154144287 0
did 6 1 3 0.6359024047851562 2.0452585220336914 4.243759632110596
they 6 2 4 5.681743621826172 2.366513252258301 0
forget 6 3 6 9.806367874145508 3.482513904571533 0
which 6 4 5 11.108820915222168 2.6195566654205322 0.862957239151001
problem 6 5 7 14.674668312072754 2.496119499206543 0.12343716621398926
they 6 6 4 5.681519985198975 6.169095993041992 0
should 6 7 6 7.430543422698975 7.068789005279541 0
solve 6 8 5 9.09782600402832 6.9444756507873535 0.1243133544921875
by 6 9 2 8.30494213104248 4.79603910446167 2.1484365463256836
? 6 10 1 6.7304887771606445 3.7316746711730957 1.0643644332885742
what 7 0 4 2.2190325260162354 6.345828056335449 0
