word sentid sentpos wlen surp entropy entred
what 0 0 4 10.443371772766113 6.618821620941162 0
does 0 1 4 8.588838577270508 6.396140098571777 0.22268152236938477
<unk> 0 2 5 6.128670692443848 4.570098400115967 1.8260416984558105
wonder 0 3 6 13.301733016967773 8.008695602416992 0
where 0 4 5 7.252609729766846 6.2710418701171875 1.7376537322998047
<unk> 0 5 5 2.3014822006225586 5.202752590179443 1.0682892799377441
went 0 6 4 9.908194541931152 6.266583442687988 0
to 0 7 2 1.9196078777313232 4.658352375030518 1.6082310676574707
buy 0 8 3 13.062796592712402 5.37372350692749 0
? 0 9 1 9.213630676269531 5.596230983734131 0
whom 1 0 4 12.48759651184082 6.7265849113464355 0
did 1 1 3 10.574239730834961 3.825141429901123 2.9014434814453125
<unk> 1 2 5 1.23062264919281 5.130615711212158 0
ask 1 3 3 9.603399276733398 8.180484771728516 0
why 1 4 3 6.686104774475098 5.088432788848877 3.0920519828796387
<unk> 1 5 5 1.7773560285568237 4.767093658447266 0.32133913040161133
was 1 6 3 3.5641908645629883 6.703352451324463 0
waiting 1 7 7 8.48166561126709 8.296175003051758 0
for 1 8 3 1.9869929552078247 3.350057363510132 4.946117639541626
? 1 9 1 5.430103302001953 5.829846382141113 0
what 2 0 4 6.487983703613281 7.047215461730957 0
did 2 1 3 5.099400997161865 5.3920512199401855 1.6551642417907715
they 2 2 4 6.983824253082275 2.255366802215576 3.1366844177246094
not 2 3 3 11.948060035705566 6.170419692993164 0
like 2 4 4 8.660165786743164 4.002600193023682 2.1678194999694824
that 2 5 4 9.678276062011719 0.40423503518104553 3.598365157842636
will 2 6 4 16.99854278564453 0.034554168581962585 0.36968086659908295
asked 2 7 5 19.060544967651367 2.287841796875 0
how 2 8 3 8.861809730529785 2.1586477756500244 0.12919402122497559
<unk> 2 9 5 4.681163311004639 1.3264633417129517 0.8321844339370728
speaks 2 10 6 15.99665641784668 1.317482352256775 0.008980989456176758
? 2 11 1 0.008431700058281422 0.08043061941862106 1.2370517328381538
what 3 0 4 5.182133674621582 7.064615249633789 0
did 3 1 3 2.417231798171997 4.9965009689331055 2.0681142807006836
will 3 2 4 14.819608688354492 3.3071510791778564 1.689349889755249
ask 3 3 3 7.202110767364502 5.3063883781433105 0
why 3 4 3 1.6561286449432373 3.9349262714385986 1.371462106704712
<unk> 3 5 5 0.42009231448173523 2.383078098297119 1.5518481731414795
read 3 6 4 11.469947814941406 4.709778308868408 0
? 3 7 1 2.429821014404297 6.091392993927002 0
who 4 0 3 5.902188777923584 5.949164867401123 0
did 4 1 3 2.666147470474243 6.865159511566162 0
he 4 2 2 7.628626823425293 6.047977924346924 0.8171815872192383
hear 4 3 4 10.079429626464844 6.308518409729004 0
that 4 4 4 3.703045129776001 5.805871486663818 0.5026469230651855
<unk> 4 5 5 1.61139976978302 5.824676036834717 0
asked 4 6 5 7.979690074920654 6.642519474029541 0
where 4 7 5 11.441352844238281 0.25637081265449524 6.386148661375046
<unk> 4 8 5 0.606326699256897 2.700906991958618 0
is 4 9 2 6.684163570404053 6.545882701873779 0
waiting 4 10 7 3.2152507305145264 6.64630126953125 0
for 4 11 3 0.14760492742061615 0.8759861588478088 5.770315110683441
? 4 12 1 0.37525489926338196 2.288822889328003 0
whom 5 0 4 6.048020362854004 5.527349948883057 0
did 5 1 3 0.18273577094078064 1.2847270965576172 4.2426228523254395
<unk> 5 2 5 1.7321614027023315 4.543194770812988 0
ask 5 3 3 0.8103362917900085 4.3724446296691895 0.17075014114379883
what 5 4 4 5.429972171783447 1.8925862312316895 2.4798583984375
<unk> 5 5 5 3.3228306770324707 1.842560052871704 0.05002617835998535
told 5 6 4 6.6436848640441895 4.959671974182129 0
? 5 7 1 3.0507631301879883 4.735902309417725 0.2237696647644043
how 6 0 3 6.012729644775391 4.038372993469238 0
did 6 1 3 7.934464931488037 0.3553318679332733 3.683041125535965
they 6 2 4 7.660397052764893 0.9454736709594727 0
forget 6 3 6 12.955678939819336 2.2390449047088623 0
which 6 4 5 13.787094116210938 2.5760092735290527 0
problem 6 5 7 24.07887840270996 0.2458987981081009 2.330110475420952
