word sentid sentpos wlen surp entropy entred
what 0 0 4 10.804617881774902 7.472123146057129 0
does 0 1 4 8.544522285461426 6.514146327972412 0.9579768180847168
<unk> 0 2 5 4.7979254722595215 6.029693603515625 0.4844527244567871
wonder 0 3 6 12.782654762268066 7.777153015136719 0
where 0 4 5 9.049589157104492 6.060084342956543 1.7170686721801758
<unk> 0 5 5 2.764662504196167 5.9154510498046875 0.14463329315185547
went 0 6 4 10.550556182861328 6.451554298400879 0
to 0 7 2 1.9423279762268066 5.236504554748535 1.2150497436523438
buy 0 8 3 11.87939453125 5.523438453674316 0
? 0 9 1 9.193367958068848 6.421485424041748 0
whom 1 0 4 13.321051597595215 7.425808906555176 0
did 1 1 3 11.361252784729004 3.6189706325531006 3.806838274002075
<unk> 1 2 5 2.394690752029419 4.148775100708008 0
ask 1 3 3 11.786684036254883 7.613394260406494 0
why 1 4 3 6.856367111206055 5.639336585998535 1.974057674407959
<unk> 1 5 5 1.6598855257034302 4.9740142822265625 0.6653223037719727
was 1 6 3 3.6241347789764404 6.975911617279053 0
waiting 1 7 7 8.92955493927002 8.487350463867188 0
for 1 8 3 1.4590684175491333 3.589909315109253 4.897441148757935
? 1 9 1 7.77941370010376 6.029353141784668 0
what 2 0 4 6.617292404174805 7.825347423553467 0
did 2 1 3 6.220249176025391 5.672216415405273 2.1531310081481934
they 2 2 4 8.189966201782227 2.2110862731933594 3.461130142211914
not 2 3 3 13.367683410644531 4.686219215393066 0
like 2 4 4 7.933285236358643 6.1648268699646 0
that 2 5 4 10.765753746032715 0.4486847519874573 5.716142117977142
will 2 6 4 14.590434074401855 0.11654306203126907 0.3321416899561882
asked 2 7 5 16.242965698242188 5.242194652557373 0
how 2 8 3 11.996590614318848 0.536254346370697 4.705940306186676
<unk> 2 9 5 3.3591644763946533 3.5836434364318848 0
speaks 2 10 6 16.205549240112305 2.0392470359802246 1.5443964004516602
? 2 11 1 0.03626568987965584 0.3172845244407654 1.7219625115394592
what 3 0 4 5.307365417480469 7.859065532684326 0
did 3 1 3 4.6740899085998535 5.754276275634766 2.1047892570495605
will 3 2 4 12.59798812866211 3.210799217224121 2.5434770584106445
ask 3 3 3 8.349329948425293 7.8763651847839355 0
why 3 4 3 0.5493172407150269 1.9749759435653687 5.901389241218567
<unk> 3 5 5 1.145523190498352 4.071681022644043 0
read 3 6 4 9.656454086303711 5.939551830291748 0
? 3 7 1 8.973299980163574 5.93356466293335 0.0059871673583984375
who 4 0 3 8.895310401916504 5.154281139373779 0
did 4 1 3 2.1109201908111572 6.422881126403809 0
he 4 2 2 7.929955005645752 7.161221981048584 0
hear 4 3 4 10.23349666595459 8.299955368041992 0
that 4 4 4 2.759629726409912 5.987485408782959 2.312469959259033
<unk> 4 5 5 3.178007125854492 7.599867343902588 0
asked 4 6 5 7.727132320404053 7.960574626922607 0
where 4 7 5 12.579340934753418 0.8744441270828247 7.086130499839783
<unk> 4 8 5 1.3560268878936768 4.225551605224609 0
is 4 9 2 7.636957168579102 4.992378234863281 0
waiting 4 10 7 4.375695705413818 6.950270175933838 0
for 4 11 3 0.33677974343299866 1.7523690462112427 5.197901129722595
? 4 12 1 0.32019856572151184 1.9942585229873657 0
whom 5 0 4 7.429259777069092 6.708613395690918 0
did 5 1 3 0.7845901250839233 2.3483316898345947 4.360281705856323
<unk> 5 2 5 2.532177448272705 6.7650675773620605 0
ask 5 3 3 1.6736446619033813 6.177366256713867 0.5877013206481934
what 5 4 4 3.3458144664764404 2.620291233062744 3.557075023651123
<unk> 5 5 5 1.3356704711914062 3.1489901542663574 0
told 5 6 4 9.027497291564941 4.475091934204102 0
? 5 7 1 5.966032028198242 5.080829620361328 0
how 6 0 3 7.689651966094971 4.797308921813965 0
did 6 1 3 1.3452774286270142 2.2516918182373047 2.54561710357666
they 6 2 4 4.435670375823975 2.6375339031219482 0
forget 6 3 6 13.75571346282959 3.576589822769165 0
which 6 4 5 12.660452842712402 2.9211690425872803 0.6554207801818848
problem 6 5 7 19.381139755249023 2.1274473667144775 0.7937216758728027
they 6 6 4 6.621630668640137 4.6930131912231445 0
should 6 7 6 8.25573444366455 6.033392429351807 0
solve 6 8 5 11.182476043701172 4.007481575012207 2.0259108543395996
by 6 9 2 5.497736930847168 4.367227077484131 0
? 6 10 1 6.854177951812744 5.395442962646484 0
what 7 0 4 2.6578829288482666 4.821151256561279 0
did 7 1 3 0.06135603040456772 0.4635312259197235 4.357620030641556
<unk> 7 2 5 4.652871131896973 5.196208477020264 0
wonder 7 3 6 6.613770484924316 6.957057952880859 0
who 7 4 3 8.341118812561035 2.0272367000579834 4.929821252822876
solved 7 5 6 17.62700080871582 5.2572221755981445 0
? 7 6 1 2.079631805419922 5.584682941436768 0
what 8 0 4 0.43084490299224854 2.305863380432129 0
did 8 1 3 0.09221064299345016 0.681943416595459 1.62391996383667
i 8 2 1 10.618058204650879 2.8984951972961426 0
forget 8 3 6 9.348472595214844 7.128211498260498 0
who 8 4 3 3.7426767349243164 3.629061698913574 3.499149799346924
directed 8 5 8 14.578866958618164 6.391935348510742 0
yesterday 8 6 9 19.516393661499023 0.03629990294575691 6.355635445564985
? 8 7 1 0.021717242896556854 0.19988738000392914 0
where 9 0 5 10.848224639892578 1.103791356086731 0
did 9 1 3 4.314283847808838 6.0385212898254395 0
he 9 2 2 2.6083898544311523 3.828709840774536 2.2098114490509033
hear 9 3 4 6.33408260345459 8.603232383728027 0
that 9 4 4 1.450221300125122 4.914662837982178 3.6885695457458496
my 9 5 2 9.581768989562988 6.311315059661865 0
sister 9 6 6 9.336997032165527 9.92226791381836 0
asked 9 7 5 6.663992881774902 6.7409892082214355 3.181278705596924
which 9 8 5 8.499173164367676 4.704851150512695 2.0361380577087402
direction 9 9 9 20.561254501342773 7.069179058074951 0
to 9 10 2 6.222150802612305 6.783010959625244 0.28616809844970703
take 9 11 4 6.854802131652832 7.123791217803955 0
for 9 12 3 7.371349811553955 7.185312747955322 0
? 9 13 1 1.5542317628860474 5.655507564544678 1.5298051834106445
what 10 0 4 1.0223175287246704 3.538649082183838 0
does 10 1 4 7.720724105834961 0.33943861722946167 3.199210464954376
<unk> 10 2 5 4.247156143188477 5.609538555145264 0
wonder 10 3 6 0.5894404053688049 2.9941258430480957 2.615412712097168
