word sentid sentpos wlen surp entropy entred
how 0 0 3 9.090604782104492 0.5065810680389404 0
did 0 1 3 1.8168361186981201 4.417975425720215 0
bill 0 2 4 19.435466766357422 2.111259698867798 2.306715726852417
claim 0 3 5 14.359237670898438 6.107370853424072 0
that 0 4 4 1.0872786045074463 4.139366149902344 1.9680047035217285
today 0 5 5 14.2114839553833 5.09889030456543 0
is 0 6 2 4.539815425872803 5.831153869628906 0
his 0 7 3 7.657501220703125 5.067342281341553 0.7638115882873535
last 0 8 4 8.275330543518066 9.358896255493164 0
day 0 9 3 6.754351615905762 9.46613597869873 0
? 0 10 1 6.197451114654541 5.428562641143799 4.037573337554932
how 1 0 3 9.090604782104492 0.5065810680389404 0
does 1 1 4 3.329091787338257 4.417975425720215 0
<unk> 1 2 5 7.799499034881592 1.7724807262420654 2.6454946994781494
claim 1 3 5 10.743329048156738 8.22791576385498 0
that 1 4 4 0.993349015712738 3.7366271018981934 4.491288661956787
he 1 5 2 3.1699304580688477 5.39825439453125 0
has 1 6 3 3.752732515335083 7.184029579162598 0
a 1 7 1 2.652724504470825 5.694053649902344 1.489975929260254
boat 1 8 4 12.350542068481445 9.632843971252441 0
and 1 9 3 5.97554874420166 6.837673187255859 2.795170783996582
a 1 10 1 3.0811891555786133 8.075111389160156 0
car 1 11 3 6.630781650543213 9.369237899780273 0
? 1 12 1 1.889107346534729 6.046051502227783 3.3231863975524902
how 2 0 3 9.090604782104492 0.5065810680389404 0
did 2 1 3 1.8168361186981201 4.417975425720215 0
she 2 2 3 4.311519622802734 2.111259698867798 2.306715726852417
think 2 3 5 10.034043312072754 3.0092966556549072 0
that 2 4 4 1.6827678680419922 4.781692028045654 0
she 2 5 3 2.315979480743408 5.0653767585754395 0
bought 2 6 6 10.898496627807617 5.5924391746521 0
beans 2 7 5 15.214120864868164 4.43558406829834 1.1568551063537598
and 2 8 3 4.618538856506348 3.9863905906677246 0.44919347763061523
<unk> 2 9 5 4.949644088745117 9.478513717651367 0
? 2 10 1 2.9811482429504395 7.372988224029541 2.105525493621826
how 3 0 3 9.090604782104492 0.5065810680389404 0
does 3 1 4 3.329091787338257 4.417975425720215 0
<unk> 3 2 5 7.799499034881592 1.7724807262420654 2.6454946994781494
claim 3 3 5 10.743329048156738 8.22791576385498 0
that 3 4 4 0.993349015712738 3.7366271018981934 4.491288661956787
he 3 5 2 3.1699304580688477 5.39825439453125 0
can 3 6 3 4.892879962921143 7.184029579162598 0
make 3 7 4 6.733119487762451 7.750507354736328 0
<unk> 3 8 5 4.043968677520752 5.194024085998535 2.556483268737793
and 3 9 3 6.026324272155762 8.553603172302246 0
