word sentid sentpos wlen surp entropy entred
how 0 0 3 9.1852445602417 0.5919991135597229 0
did 0 1 3 3.2653133869171143 4.910782814025879 0
bill 0 2 4 22.796018600463867 1.3771004676818848 3.533682346343994
claim 0 3 5 12.819974899291992 6.146933555603027 0
that 0 4 4 0.38050901889801025 1.86214280128479 4.284790754318237
today 0 5 5 10.605307579040527 5.405594348907471 0
is 0 6 2 5.456277370452881 5.767779350280762 0
his 0 7 3 10.81639289855957 2.413733959197998 3.3540453910827637
last 0 8 4 7.270451068878174 9.229941368103027 0
day 0 9 3 6.956019401550293 9.204659461975098 0.025281906127929688
? 0 10 1 3.9198131561279297 5.364613056182861 3.8400464057922363
how 1 0 3 9.1852445602417 0.5919991135597229 0
does 1 1 4 4.031117916107178 4.910782814025879 0
<unk> 1 2 5 7.841343402862549 1.4462838172912598 3.464498996734619
claim 1 3 5 12.356794357299805 6.553328037261963 0
that 1 4 4 0.602686882019043 2.0882339477539062 4.465094089508057
he 1 5 2 3.1071252822875977 4.700211048126221 0
has 1 6 3 2.802645683288574 7.043614864349365 0
a 1 7 1 3.9949727058410645 5.331007480621338 1.7126073837280273
boat 1 8 4 13.83562183380127 9.459443092346191 0
and 1 9 3 7.0226640701293945 3.242647886276245 6.216795206069946
a 1 10 1 4.500046253204346 7.968985557556152 0
car 1 11 3 6.837395668029785 9.170134544372559 0
? 1 12 1 7.028685092926025 6.729217052459717 2.440917491912842
how 2 0 3 9.1852445602417 0.5919991135597229 0
did 2 1 3 3.2653133869171143 4.910782814025879 0
she 2 2 3 4.650378227233887 1.3771004676818848 3.533682346343994
think 2 3 5 8.707073211669922 3.3552098274230957 0
that 2 4 4 0.9509589672088623 3.2605481147766113 0.09466171264648438
she 2 5 3 2.328381061553955 4.54949951171875 0
bought 2 6 6 8.18905258178711 7.050194263458252 0
beans 2 7 5 13.626769065856934 4.164385795593262 2.8858084678649902
and 2 8 3 4.348649501800537 4.00585412979126 0.15853166580200195
<unk> 2 9 5 3.322801113128662 9.398526191711426 0
? 2 10 1 5.425876617431641 6.75869607925415 2.6398301124572754
how 3 0 3 9.1852445602417 0.5919991135597229 0
does 3 1 4 4.031117916107178 4.910782814025879 0
<unk> 3 2 5 7.841343402862549 1.4462838172912598 3.464498996734619
claim 3 3 5 12.356794357299805 6.553328037261963 0
that 3 4 4 0.602686882019043 2.0882339477539062 4.465094089508057
he 3 5 2 3.1071252822875977 4.700211048126221 0
