word sentid sentpos wlen surp entropy entred
what 0 0 4 0.061885833740234375 0.4956612288951874 0
did 0 1 3 0.7783353328704834 2.514302968978882 0
they 0 2 4 6.498276233673096 0.5260989665985107 1.988204002380371
not 0 3 3 2.301374673843384 4.8729376792907715 0
like 0 4 4 0.18512646853923798 1.382567048072815 3.4903706312179565
that 0 5 4 0.11045049130916595 0.7540818452835083 0.6284852027893066
<unk> 0 6 5 6.690185070037842 3.481095314025879 0
likes 0 7 5 13.727947235107422 7.768851280212402 0
and 0 8 3 8.378829956054688 3.7741644382476807 3.9946868419647217
accounts 0 9 8 17.70036506652832 8.023454666137695 0
? 0 10 1 3.7413992881774902 3.210697889328003 4.812756776809692
who 1 0 3 11.66788387298584 0.4956612288951874 0
did 1 1 3 2.8978278636932373 7.8990797996521 0
she 1 2 3 5.093076705932617 3.0319883823394775 4.867091417312622
hear 1 3 4 0.5929309725761414 2.2652406692504883 0.7667477130889893
a 1 4 1 5.0875654220581055 1.7287460565567017 0.5364946126937866
rumour 1 5 6 10.231880187988281 7.189802646636963 0
about 1 6 5 5.701848030090332 2.231363534927368 4.958439111709595
and 1 7 3 9.95354175567627 5.6493988037109375 0
wait 1 8 4 11.917089462280273 6.744495868682861 0
for 1 9 3 1.110918402671814 2.246577024459839 4.4979188442230225
? 1 10 1 5.434873104095459 4.526907920837402 0
what 2 0 4 0.061885833740234375 0.4956612288951874 0
did 2 1 3 0.7783353328704834 2.514302968978882 0
he 2 2 2 0.0771142989397049 0.5260989665985107 1.988204002380371
hear 2 3 4 0.28236648440361023 1.2858401536941528 0
that 2 4 4 0.19620993733406067 1.1833096742630005 0.10253047943115234
<unk> 2 5 5 5.748717784881592 3.466989040374756 0
ate 2 6 3 11.207926750183105 8.003289222717285 0
accounts 2 7 8 18.70958709716797 4.600080966949463 3.4032082557678223
and 2 8 3 6.741732597351074 3.4183199405670166 1.1817610263824463
? 2 9 1 10.80368423461914 8.641923904418945 0
what 3 0 4 0.061885833740234375 0.4956612288951874 0
did 3 1 3 0.7783353328704834 2.514302968978882 0
will 3 2 4 17.85348129272461 0.5260989665985107 1.988204002380371
buy 3 3 3 6.894463062286377 4.5238800048828125 0
? 3 4 1 4.624657154083252 4.259777545928955 0.2641024589538574
what 4 0 4 0.061885833740234375 0.4956612288951874 0
did 4 1 3 0.7783353328704834 2.514302968978882 0
you 4 2 3 8.552335739135742 0.5260989665985107 1.988204002380371
read 4 3 4 7.393906116485596 4.504363536834717 0
about 4 4 5 7.900673866271973 3.327768564224243 1.1765949726104736
and 4 5 3 9.06245231628418 4.454511642456055 0
announce 4 6 8 18.122894287109375 6.345503330230713 0
about 4 7 5 8.992147445678711 1.749570608139038 4.595932722091675
? 4 8 1 1.793797492980957 5.031164646148682 0
what 5 0 4 0.061885833740234375 0.4956612288951874 0
did 5 1 3 0.7783353328704834 2.514302968978882 0
he 5 2 2 0.0771142989397049 0.5260989665985107 1.988204002380371
announce 5 3 8 18.112159729003906 1.2858401536941528 0
a 5 4 1 5.227571487426758 0.8522709608078003 0.43356919288635254
plan 5 5 4 8.685595512390137 8.239270210266113 0
and 5 6 3 9.056739807128906 2.241696357727051 5.9975738525390625
speak 5 7 5 7.924483776092529 6.988814353942871 0
? 5 8 1 2.324019432067871 4.037866115570068 2.9509482383728027
which 6 0 5 7.8547043800354 0.4956612288951874 0
subjects 6 1 8 15.129693984985352 7.5199127197265625 0
did 6 2 3 4.67985725402832 6.767445087432861 0.7524676322937012
she 6 3 3 5.525035381317139 3.2859914302825928 3.4814536571502686
not 6 4 3 7.596601486206055 1.89462149143219 1.3913699388504028
study 6 5 5 15.768813133239746 2.9625093936920166 0
for 6 6 3 3.4119713306427 4.19518518447876 0
or 6 7 2 9.805288314819336 5.846531391143799 0
fail 6 8 4 13.273314476013184 7.096031665802002 0
the 6 9 3 7.779153823852539 2.2977540493011475 4.7982776165008545
test 6 10 4 9.393573760986328 10.09615421295166 0
for 6 11 3 4.668081283569336 5.007478713989258 5.088675498962402
? 6 12 1 6.547219276428223 6.880570411682129 0
what 7 0 4 0.061885833740234375 0.4956612288951874 0
did 7 1 3 0.7783353328704834 2.514302968978882 0
<unk> 7 2 5 9.919806480407715 0.5260989665985107 1.988204002380371
order 7 3 5 12.564762115478516 7.017802715301514 0
for 7 4 3 3.459409236907959 5.0610809326171875 1.9567217826843262
me 7 5 2 5.330071449279785 5.721540451049805 0
and 7 6 3 6.567874908447266 2.5871927738189697 3.134347677230835
borrow 7 7 6 18.158531188964844 6.593245983123779 0
for 7 8 3 4.83317756652832 5.076108455657959 1.5171375274658203
you 7 9 3 5.278368949890137 5.845968246459961 0
? 7 10 1 0.6725268959999084 2.9024438858032227 2.9435243606567383
what 8 0 4 0.061885833740234375 0.4956612288951874 0
does 8 1 4 2.0837056636810303 2.514302968978882 0
will 8 2 4 17.473644256591797 0.6211786270141602 1.8931243419647217
like 8 3 4 6.3857526779174805 3.9999191761016846 0
and 8 4 3 12.22510051727295 1.8087186813354492 2.1912004947662354
girls 8 5 5 14.673441886901855 7.352275371551514 0
? 8 6 1 2.972747564315796 5.298447608947754 2.0538277626037598
what 9 0 4 0.061885833740234375 0.4956612288951874 0
did 9 1 3 0.7783353328704834 2.514302968978882 0
they 9 2 4 6.498276233673096 0.5260989665985107 1.988204002380371
not 9 3 3 2.301374673843384 4.8729376792907715 0
like 9 4 4 0.18512646853923798 1.382567048072815 3.4903706312179565
that 9 5 4 0.11045049130916595 0.7540818452835083 0.6284852027893066
will 9 6 4 13.537952423095703 3.481095314025879 0
bought 9 7 6 20.306346893310547 5.467236042022705 0
<unk> 9 8 5 5.569911003112793 5.4460344314575195 0.021201610565185547
and 9 9 3 5.865746021270752 6.413973331451416 0
? 9 10 1 11.423710823059082 7.841971397399902 0
what 10 0 4 0.061885833740234375 0.4956612288951874 0
did 10 1 3 0.7783353328704834 2.514302968978882 0
he 10 2 2 0.0771142989397049 0.5260989665985107 1.988204002380371
hear 10 3 4 0.28236648440361023 1.2858401536941528 0
that 10 4 4 0.19620993733406067 1.1833096742630005 0.10253047943115234
<unk> 10 5 5 5.748717784881592 3.466989040374756 0
ate 10 6 3 11.207926750183105 8.003289222717285 0
and 10 7 3 6.236085891723633 4.600080966949463 3.4032082557678223
story 10 8 5 15.383782386779785 8.32747745513916 0
? 10 9 1 3.2264671325683594 6.972121715545654 1.3553557395935059
which 11 0 5 7.8547043800354 0.4956612288951874 0
things 11 1 6 12.622841835021973 7.5199127197265625 0
did 11 2 3 4.011610507965088 6.055430889129639 1.4644818305969238
she 11 3 3 5.708477973937988 2.8699514865875244 3.1854794025421143
solve 11 4 5 14.037649154663086 1.464442253112793 1.4055092334747314
and 11 5 3 6.20590877532959 3.962728261947632 0
give 11 6 4 8.975269317626953 7.568971633911133 0
? 11 7 1 5.5463714599609375 3.4663448333740234 4.102626800537109
what 12 0 4 0.061885833740234375 0.4956612288951874 0
did 12 1 3 0.7783353328704834 2.514302968978882 0
he 12 2 2 0.0771142989397049 0.5260989665985107 1.988204002380371
announce 12 3 8 18.112159729003906 1.2858401536941528 0
a 12 4 1 5.227571487426758 0.8522709608078003 0.43356919288635254
plan 12 5 4 8.685595512390137 8.239270210266113 0
and 12 6 3 9.056739807128906 2.241696357727051 5.9975738525390625
solve 12 7 5 11.821770668029785 6.988814353942871 0
by 12 8 2 7.569413661956787 4.593504428863525 2.3953099250793457
? 12 9 1 6.235387802124023 6.93609619140625 0
what 13 0 4 0.061885833740234375 0.4956612288951874 0
does 13 1 4 2.0837056636810303 2.514302968978882 0
<unk> 13 2 5 9.418999671936035 0.6211786270141602 1.8931243419647217
like 13 3 4 3.721684217453003 6.868916988372803 0
and 13 4 3 10.265130996704102 4.397247314453125 2.4716696739196777
mothers 13 5 7 18.947856903076172 7.227438926696777 0
? 13 6 1 3.8580191135406494 4.303371906280518 2.9240670204162598
what 14 0 4 0.061885833740234375 0.4956612288951874 0
did 14 1 3 0.7783353328704834 2.514302968978882 0
she 14 2 3 5.922632694244385 0.5260989665985107 1.988204002380371
hear 14 3 4 0.32338935136795044 1.3434758186340332 0
about 14 4 5 7.051741123199463 1.277053952217102 0.06642186641693115
me 14 5 2 5.696295261383057 4.823563098907471 0
and 14 6 3 7.90438175201416 1.74815034866333 3.0754127502441406
take 14 7 4 9.012903213500977 6.574819087982178 0
about 14 8 5 7.779854774475098 5.184066295623779 1.3907527923583984
you 14 9 3 5.552063465118408 4.815437316894531 0.36862897872924805
? 14 10 1 0.4535030126571655 2.1695334911346436 2.6459038257598877
what 15 0 4 0.061885833740234375 0.4956612288951874 0
did 15 1 3 0.7783353328704834 2.514302968978882 0
<unk> 15 2 5 9.919806480407715 0.5260989665985107 1.988204002380371
<unk> 15 3 5 6.0663743019104 7.017802715301514 0
demand 15 4 6 16.241188049316406 7.821741580963135 0
the 15 5 3 6.315772533416748 3.9289286136627197 3.892812967300415
scandalous 15 6 10 16.698488235473633 10.430000305175781 0
rumour 15 7 6 12.400686264038086 10.152137756347656 0.277862548828125
and 15 8 3 6.421299457550049 3.665306568145752 6.486831188201904
whisper 15 9 7 20.548603057861328 6.934715270996094 0
? 15 10 1 3.479037046432495 4.666174411773682 2.268540859222412
what 16 0 4 0.061885833740234375 0.4956612288951874 0
does 16 1 4 2.0837056636810303 2.514302968978882 0
the 16 2 3 9.936469078063965 0.6211786270141602 1.8931243419647217
unrealistic 16 3 11 19.457590103149414 9.874614715576172 0
brother 16 4 7 14.941657066345215 9.645787239074707 0.22882747650146484
like 16 5 4 8.388862609863281 4.964486122131348 4.681301116943359
and 16 6 3 10.754857063293457 5.006582260131836 0
silly 16 7 5 16.15645408630371 6.963305950164795 0
parties 16 8 7 19.00707244873047 2.9397616386413574 4.0235443115234375
? 16 9 1 1.718472957611084 3.969959020614624 0
what 17 0 4 0.061885833740234375 0.4956612288951874 0
does 17 1 4 2.0837056636810303 2.514302968978882 0
the 17 2 3 9.936469078063965 0.6211786270141602 1.8931243419647217
<unk> 17 3 5 2.977839231491089 9.874614715576172 0
possibility 17 4 11 15.393980026245117 9.456212043762207 0.41840267181396484
eat 17 5 3 18.77853775024414 4.237947463989258 5.218264579772949
probable 17 6 8 24.019926071166992 4.860381603240967 0
windows 17 7 7 16.475540161132812 6.583716869354248 0
and 17 8 3 6.015151023864746 2.5296027660369873 4.054114103317261
? 17 9 1 10.276153564453125 8.014951705932617 0
what 18 0 4 0.061885833740234375 0.4956612288951874 0
does 18 1 4 2.0837056636810303 2.514302968978882 0
the 18 2 3 9.936469078063965 0.6211786270141602 1.8931243419647217
directed 18 3 8 19.138532638549805 9.874614715576172 0
candy 18 4 5 15.13733959197998 10.111124992370605 0
store 18 5 5 11.427712440490723 8.327860832214355 1.78326416015625
like 18 6 4 7.21319055557251 5.5649733543396 2.762887477874756
circulating 18 7 11 18.48209571838379 4.6583099365234375 0.9066634178161621
salads 18 8 6 15.132952690124512 8.849873542785645 0
and 18 9 3 4.6770920753479 4.196927070617676 4.652946472167969
? 18 10 1 9.551551818847656 8.604911804199219 0
what 19 0 4 0.061885833740234375 0.4956612288951874 0
did 19 1 3 0.7783353328704834 2.514302968978882 0
the 19 2 3 10.157381057739258 0.5260989665985107 1.988204002380371
expensive 19 3 9 15.486356735229492 9.693695068359375 0
<unk> 19 4 5 3.945236921310425 10.334870338439941 0
analysis 19 5 8 12.826584815979004 9.233254432678223 1.1016159057617188
not 19 6 3 10.625070571899414 4.207603931427002 5.025650501251221
like 19 7 4 3.627713441848755 4.791501522064209 0
that 19 8 4 0.5254753828048706 2.5665390491485596 2.2249624729156494
the 19 9 3 8.402234077453613 3.9917523860931396 0
difficult 19 10 9 14.781956672668457 9.764883995056152 0
study 19 11 5 15.907254219055176 8.69979476928711 1.065089225769043
bought 19 12 6 12.955479621887207 5.894125938415527 2.805668830871582
and 19 13 3 6.709350109100342 5.2118144035339355 0.6823115348815918
discreet 19 14 8 19.271806716918945 8.839622497558594 0
ballet 19 15 6 20.105335235595703 8.767382621765137 0.07223987579345703
? 19 16 1 4.032892227172852 8.187399864196777 0.5799827575683594
what 20 0 4 0.061885833740234375 0.4956612288951874 0
did 20 1 3 0.7783353328704834 2.514302968978882 0
