word sentid sentpos wlen surp entropy entred
who 0 0 3 9.63666820526123 1.0037314891815186 0
did 0 1 3 2.717475414276123 6.842092990875244 0
he 0 2 2 2.276550531387329 5.861366271972656 0.9807267189025879
hear 0 3 4 2.8523292541503906 6.639979839324951 0
that 0 4 4 1.1126099824905396 4.111189842224121 2.52878999710083
it 0 5 2 5.920130729675293 4.972927570343018 0
is 0 6 2 4.997646331787109 5.601896286010742 0
important 0 7 9 9.941971778869629 7.270804405212402 0
to 0 8 2 0.9505981802940369 2.4825990200042725 4.78820538520813
see 0 9 3 6.569452285766602 6.853251934051514 0
? 0 10 1 6.24918270111084 5.391665935516357 1.4615859985351562
what 1 0 4 0.14098575711250305 1.0037314891815186 0
is 1 1 2 6.543890953063965 3.022909641265869 0
it 1 2 2 8.042765617370605 3.467604398727417 0
important 1 3 9 13.879322052001953 6.374687671661377 0
that 1 4 4 6.421408653259277 2.1570422649383545 4.2176454067230225
<unk> 1 5 5 3.1921422481536865 7.137231349945068 0
buys 1 6 4 11.717166900634766 7.484396457672119 0
? 1 7 1 7.250441074371338 3.6264140605926514 3.8579823970794678
who 2 0 3 9.63666820526123 1.0037314891815186 0
did 2 1 3 2.717475414276123 6.842092990875244 0
he 2 2 2 2.276550531387329 5.861366271972656 0.9807267189025879
hear 2 3 4 2.8523292541503906 6.639979839324951 0
that 2 4 4 1.1126099824905396 4.111189842224121 2.52878999710083
it 2 5 2 5.920130729675293 4.972927570343018 0
is 2 6 2 4.997646331787109 5.601896286010742 0
important 2 7 9 9.941971778869629 7.270804405212402 0
that 2 8 4 4.409265518188477 2.4825990200042725 4.78820538520813
<unk> 2 9 5 3.328944444656372 5.975549697875977 0
knows 2 10 5 8.923029899597168 7.758237838745117 0
? 2 11 1 6.488448619842529 3.5295636653900146 4.2286741733551025
where 3 0 5 7.402294158935547 1.0037314891815186 0
did 3 1 3 3.740454912185669 5.680356979370117 0
<unk> 3 2 5 6.082799434661865 2.3289971351623535 3.3513598442077637
tell 3 3 4 7.4120869636535645 8.176260948181152 0
you 3 4 3 5.871471881866455 5.406252861022949 2.770008087158203
that 3 5 4 2.2986867427825928 4.299951076507568 1.1063017845153809
she 3 6 3 4.253859996795654 5.023322105407715 0
went 3 7 4 6.434386730194092 6.601045608520508 0
? 3 8 1 0.11932190507650375 0.8200836181640625 5.780961990356445
what 4 0 4 0.14098575711250305 1.0037314891815186 0
did 4 1 3 1.10053288936615 3.022909641265869 0
he 4 2 2 0.2592271864414215 1.4003336429595947 1.6225759983062744
hear 4 3 4 1.3008610010147095 4.328645706176758 0
that 4 4 4 0.9759395122528076 3.762549638748169 0.5660960674285889
<unk> 4 5 5 5.001578330993652 4.534615993499756 0
does 4 6 4 9.862100601196289 7.2549920082092285 0
not 4 7 3 3.1843314170837402 5.542492866516113 1.7124991416931152
do 4 8 2 8.324790000915527 6.341364860534668 0
? 4 9 1 2.1178975105285645 5.41891622543335 0.9224486351013184
what 5 0 4 0.14098575711250305 1.0037314891815186 0
did 5 1 3 1.10053288936615 3.022909641265869 0
he 5 2 2 0.2592271864414215 1.4003336429595947 1.6225759983062744
hear 5 3 4 1.3008610010147095 4.328645706176758 0
that 5 4 4 0.9759395122528076 3.762549638748169 0.5660960674285889
<unk> 5 5 5 5.001578330993652 4.534615993499756 0
