word sentid sentpos wlen surp entropy entred
who 0 0 3 11.66788387298584 0.4956612288951874 0
did 0 1 3 2.8978278636932373 7.8990797996521 0
he 0 2 2 0.6748450398445129 3.0319883823394775 4.867091417312622
hear 0 3 4 0.42571571469306946 1.954582691192627 1.0774056911468506
that 0 4 4 0.28508058190345764 1.5100547075271606 0.4445279836654663
it 0 5 2 7.212947368621826 3.4213438034057617 0
is 0 6 2 4.953353404998779 5.993453025817871 0
important 0 7 9 10.513155937194824 2.396249294281006 3.5972037315368652
to 0 8 2 2.1016018390655518 1.4217361211776733 0.9745131731033325
see 0 9 3 7.622270584106445 5.520663738250732 0
? 0 10 1 3.7538797855377197 5.0782575607299805 0.44240617752075195
what 1 0 4 0.061885833740234375 0.4956612288951874 0
is 1 1 2 6.353443622589111 2.514302968978882 0
it 1 2 2 8.672209739685059 5.710381031036377 0
important 1 3 9 11.121591567993164 4.448614597320557 1.2617664337158203
that 1 4 4 9.12264633178711 1.3392456769943237 3.109368920326233
<unk> 1 5 5 5.146777153015137 4.332801818847656 0
buys 1 6 4 9.524922370910645 8.620477676391602 0
? 1 7 1 1.9540691375732422 3.9459524154663086 4.674525260925293
who 2 0 3 11.66788387298584 0.4956612288951874 0
did 2 1 3 2.8978278636932373 7.8990797996521 0
he 2 2 2 0.6748450398445129 3.0319883823394775 4.867091417312622
hear 2 3 4 0.42571571469306946 1.954582691192627 1.0774056911468506
that 2 4 4 0.28508058190345764 1.5100547075271606 0.4445279836654663
it 2 5 2 7.212947368621826 3.4213438034057617 0
is 2 6 2 4.953353404998779 5.993453025817871 0
important 2 7 9 10.513155937194824 2.396249294281006 3.5972037315368652
that 2 8 4 9.652944564819336 1.4217361211776733 0.9745131731033325
<unk> 2 9 5 6.249289035797119 3.581186056137085 0
knows 2 10 5 8.268327713012695 8.521727561950684 0
? 2 11 1 1.4539929628372192 3.21756649017334 5.304161071777344
where 3 0 5 9.650667190551758 0.4956612288951874 0
did 3 1 3 4.746840000152588 5.780457973480225 0
<unk> 3 2 5 8.307784080505371 1.1064445972442627 4.674013376235962
tell 3 3 4 10.25853157043457 7.109595775604248 0
you 3 4 3 3.7908313274383545 4.798227310180664 2.311368465423584
that 3 5 4 1.966915488243103 4.2800068855285645 0.5182204246520996
she 3 6 3 3.180206060409546 3.1266331672668457 1.1533737182617188
went 3 7 4 6.332797527313232 7.082967758178711 0
? 3 8 1 0.6282341480255127 1.7049187421798706 5.37804901599884
what 4 0 4 0.061885833740234375 0.4956612288951874 0
did 4 1 3 0.7783353328704834 2.514302968978882 0
he 4 2 2 0.0771142989397049 0.5260989665985107 1.988204002380371
hear 4 3 4 0.28236648440361023 1.2858401536941528 0
that 4 4 4 0.19620993733406067 1.1833096742630005 0.10253047943115234
<unk> 4 5 5 5.748717784881592 3.466989040374756 0
does 4 6 4 7.3302083015441895 8.003289222717285 0
not 4 7 3 5.630743503570557 3.3699822425842285 4.633306980133057
do 4 8 2 7.209658622741699 4.899364471435547 0
? 4 9 1 0.42612141370773315 1.7380104064941406 3.1613540649414062
what 5 0 4 0.061885833740234375 0.4956612288951874 0
did 5 1 3 0.7783353328704834 2.514302968978882 0
he 5 2 2 0.0771142989397049 0.5260989665985107 1.988204002380371
hear 5 3 4 0.28236648440361023 1.2858401536941528 0
that 5 4 4 0.19620993733406067 1.1833096742630005 0.10253047943115234
<unk> 5 5 5 5.748717784881592 3.466989040374756 0
thinks 5 6 6 11.992526054382324 8.003289222717285 0
their 5 7 5 10.725489616394043 3.2715134620666504 4.731775760650635
car 5 8 3 10.128793716430664 10.145041465759277 0
needed 5 9 6 8.599664688110352 6.347705364227295 3.7973361015319824
to 5 10 2 0.17023469507694244 0.7380345463752747 5.60967081785202
do 5 11 2 3.6723685264587402 4.861184597015381 0
? 5 12 1 0.2262735664844513 1.1434695720672607 3.71771502494812
who 6 0 3 11.66788387298584 0.4956612288951874 0
is 6 1 2 5.605193614959717 7.8990797996521 0
it 6 2 2 12.763582229614258 1.8130546808242798 6.08602511882782
probable 6 3 8 20.112871170043945 2.633373975753784 0
that 6 4 4 4.81639289855957 2.0047128200531006 0.6286611557006836
<unk> 6 5 5 4.804776668548584 3.9632961750030518 0
helped 6 6 6 12.425726890563965 8.169951438903809 0
? 6 7 1 4.615767002105713 4.390763282775879 3.7791881561279297
what 7 0 4 0.061885833740234375 0.4956612288951874 0
did 7 1 3 0.7783353328704834 2.514302968978882 0
they 7 2 4 6.498276233673096 0.5260989665985107 1.988204002380371
not 7 3 3 2.301374673843384 4.8729376792907715 0
like 7 4 4 0.18512646853923798 1.382567048072815 3.4903706312179565
that 7 5 4 0.11045049130916595 0.7540818452835083 0.6284852027893066
you 7 6 3 5.598888874053955 3.481095314025879 0
read 7 7 4 8.398664474487305 6.4868855476379395 0
that 7 8 4 4.491270542144775 2.617017984390259 3.8698675632476807
<unk> 7 9 5 6.222482204437256 3.5716073513031006 0
is 7 10 2 6.808309078216553 7.701765537261963 0
trying 7 11 6 12.407304763793945 0.43226662278175354 7.269498914480209
to 7 12 2 0.14841607213020325 0.4982157051563263 0
give 7 13 4 8.529117584228516 5.9028120040893555 0
you 7 14 3 6.141796112060547 3.3516035079956055 2.55120849609375
? 7 15 1 0.6419021487236023 2.4775500297546387 0.8740534782409668
who 8 0 3 11.66788387298584 0.4956612288951874 0
did 8 1 3 2.8978278636932373 7.8990797996521 0
they 8 2 4 5.326370716094971 3.0319883823394775 4.867091417312622
not 8 3 3 2.6647980213165283 5.774269104003906 0
like 8 4 4 0.22332048416137695 1.6202077865600586 4.154061317443848
that 8 5 4 0.1531083583831787 0.9800744652748108 0.6401333212852478
it 8 6 2 8.075560569763184 3.4770121574401855 0
is 8 7 2 5.054583549499512 6.204078674316406 0
probable 8 8 8 17.21121597290039 2.838350772857666 3.3657279014587402
that 8 9 4 4.309963703155518 2.088336229324341 0.7500145435333252
<unk> 8 10 5 5.756308078765869 3.479381561279297 0
met 8 11 3 11.834646224975586 8.229315757751465 0
? 8 12 1 0.882400393486023 3.4760308265686035 4.753284931182861
who 9 0 3 11.66788387298584 0.4956612288951874 0
is 9 1 2 5.605193614959717 7.8990797996521 0
it 9 2 2 12.763582229614258 1.8130546808242798 6.08602511882782
probable 9 3 8 20.112871170043945 2.633373975753784 0
that 9 4 4 4.81639289855957 2.0047128200531006 0.6286611557006836
the 9 5 3 4.707647800445557 3.9632961750030518 0
account 9 6 7 12.275158882141113 9.967653274536133 0
is 9 7 2 3.1123149394989014 5.819171905517578 4.148481369018555
waiting 9 8 7 14.680606842041016 2.5514814853668213 3.267690420150757
for 9 9 3 0.3474753797054291 1.0446363687515259 1.5068451166152954
? 9 10 1 6.771549224853516 3.9785964488983154 0
who 10 0 3 11.66788387298584 0.4956612288951874 0
did 10 1 3 2.8978278636932373 7.8990797996521 0
they 10 2 4 5.326370716094971 3.0319883823394775 4.867091417312622
not 10 3 3 2.6647980213165283 5.774269104003906 0
like 10 4 4 0.22332048416137695 1.6202077865600586 4.154061317443848
that 10 5 4 0.1531083583831787 0.9800744652748108 0.6401333212852478
it 10 6 2 8.075560569763184 3.4770121574401855 0
is 10 7 2 5.054583549499512 6.204078674316406 0
important 10 8 9 10.77395248413086 2.838350772857666 3.3657279014587402
to 10 9 2 2.3369922637939453 1.2900553941726685 1.5482953786849976
fix 10 10 3 12.217778205871582 5.46825647354126 0
? 10 11 1 4.22453498840332 4.94981575012207 0.5184407234191895
who 11 0 3 11.66788387298584 0.4956612288951874 0
did 11 1 3 2.8978278636932373 7.8990797996521 0
they 11 2 4 5.326370716094971 3.0319883823394775 4.867091417312622
not 11 3 3 2.6647980213165283 5.774269104003906 0
like 11 4 4 0.22332048416137695 1.6202077865600586 4.154061317443848
that 11 5 4 0.1531083583831787 0.9800744652748108 0.6401333212852478
it 11 6 2 8.075560569763184 3.4770121574401855 0
is 11 7 2 5.054583549499512 6.204078674316406 0
probable 11 8 8 17.21121597290039 2.838350772857666 3.3657279014587402
that 11 9 4 4.309963703155518 2.088336229324341 0.7500145435333252
<unk> 11 10 5 5.756308078765869 3.479381561279297 0
called 11 11 6 9.26051139831543 8.229315757751465 0
? 11 12 1 4.612706661224365 4.053011417388916 4.176304340362549
what 12 0 4 0.061885833740234375 0.4956612288951874 0
did 12 1 3 0.7783353328704834 2.514302968978882 0
<unk> 12 2 5 9.919806480407715 0.5260989665985107 1.988204002380371
buy 12 3 3 9.456334114074707 7.017802715301514 0
you 12 4 3 9.161121368408203 4.066771984100342 2.951030731201172
? 12 5 1 2.3918588161468506 4.618740558624268 0
what 13 0 4 0.061885833740234375 0.4956612288951874 0
did 13 1 3 0.7783353328704834 2.514302968978882 0
she 13 2 3 5.922632694244385 0.5260989665985107 1.988204002380371
say 13 3 3 6.93717622756958 1.3434758186340332 0
that 13 4 4 0.09741122275590897 0.6483483910560608 0.6951274275779724
<unk> 13 5 5 5.06704044342041 4.116456508636475 0
thinks 13 6 6 11.294563293457031 7.843662261962891 0
that 13 7 4 0.9314733743667603 3.297152280807495 4.5465099811553955
their 13 8 5 9.243478775024414 3.9758427143096924 0
rumour 13 9 6 16.681201934814453 10.171319007873535 0
was 13 10 3 4.37835168838501 5.523163795471191 4.648155212402344
? 13 11 1 1.2147072553634644 4.7998270988464355 0.7233366966247559
what 14 0 4 0.061885833740234375 0.4956612288951874 0
is 14 1 2 6.353443622589111 2.514302968978882 0
