word sentid sentpos wlen surp entropy entred
who 0 0 3 11.66788387298584 0.4956612288951874 0
was 0 1 3 4.995726108551025 7.8990797996521 0
that 0 2 4 7.366029262542725 6.462775707244873 1.4363040924072266
quipped 0 3 7 21.724966049194336 4.700019359588623 1.76275634765625
about 0 4 5 6.0106120109558105 3.9017300605773926 0.7982892990112305
<unk> 0 5 5 4.733345985412598 4.784897804260254 0
analysis 0 6 8 19.401330947875977 3.839630365371704 0.9452674388885498
funny 0 7 5 21.235153198242188 3.897113800048828 0
? 0 8 1 2.6310935020446777 2.715383291244507 1.1817305088043213
whom 1 0 4 15.68453311920166 0.4956612288951874 0
were 1 1 4 8.491148948669434 5.486818790435791 0
two 1 2 3 8.839606285095215 7.872189521789551 0
rumours 1 3 7 17.43899917602539 7.2982048988342285 0.5739846229553223
about 1 4 5 5.243170261383057 3.7870662212371826 3.511138677597046
waiting 1 5 7 12.932068824768066 5.679686069488525 0
? 1 6 1 7.207785129547119 0.8742033839225769 4.8054826855659485
who 2 0 3 11.66788387298584 0.4956612288951874 0
does 2 1 4 4.901469707489014 7.8990797996521 0
that 2 2 4 6.427834510803223 2.774930477142334 5.124149322509766
wears 2 3 5 18.107341766357422 4.360260486602783 0
extravagant 2 4 11 20.974077224731445 1.2463300228118896 3.1139304637908936
rings 2 5 5 9.862606048583984 8.387808799743652 0
make 2 6 4 15.788856506347656 3.788760185241699 4.599048614501953
the 2 7 3 3.8516011238098145 5.14380407333374 0
plan 2 8 4 11.914380073547363 10.155867576599121 0
unrealistic 2 9 11 16.79709243774414 5.0030999183654785 5.152767658233643
? 2 10 1 5.3714728355407715 1.0277389287948608 3.9753609895706177
whom 3 0 4 15.68453311920166 0.4956612288951874 0
loaned 3 1 6 20.401010513305664 5.486818790435791 0
that 3 2 4 6.0245208740234375 5.336817264556885 0.15000152587890625
<unk> 3 3 5 4.742793083190918 7.502443313598633 0
heard 3 4 5 14.868203163146973 7.001396656036377 0.5010466575622559
the 3 5 3 5.349530220031738 4.705106258392334 2.296290397644043
claim 3 6 5 12.856908798217773 9.6851167678833 0
a 3 7 1 9.391758918762207 3.2609846591949463 6.4241321086883545
trumpet 3 8 7 15.610939979553223 8.139719009399414 0
to 3 9 2 3.3313393592834473 5.5470805168151855 2.5926384925842285
you 3 10 3 5.308353424072266 3.036404609680176 2.5106759071350098
? 3 11 1 0.5562641024589539 2.335334062576294 0.7010705471038818
who 4 0 3 11.66788387298584 0.4956612288951874 0
is 4 1 2 5.605193614959717 7.8990797996521 0
that 4 2 4 8.835798263549805 1.8130546808242798 6.08602511882782
is 4 3 2 10.7963228225708 3.9390032291412354 0
a 4 4 1 6.076876163482666 1.8846920728683472 2.054311156272888
teacher 4 5 7 9.856729507446289 9.177024841308594 0
unlikely 4 6 8 21.779661178588867 2.280543088912964 6.89648175239563
? 4 7 1 4.492943286895752 2.5590999126434326 0
whom 5 0 4 15.68453311920166 0.4956612288951874 0
does 5 1 4 7.7324395179748535 5.486818790435791 0
one 5 2 3 13.892257690429688 1.0199520587921143 4.466866731643677
story 5 3 5 10.581246376037598 6.436624526977539 0
about 5 4 5 6.688786506652832 4.098392009735107 2.3382325172424316
claim 5 5 5 21.780595779418945 5.248600006103516 0
the 5 6 3 5.459725379943848 3.994475841522217 1.2541241645812988
possibility 5 7 11 9.192008972167969 9.981385231018066 0
is 5 8 2 8.950196266174316 2.0634570121765137 7.917928218841553
unrealistic 5 9 11 18.339576721191406 3.3145077228546143 0
? 5 10 1 6.838621616363525 0.378484845161438 2.9360228776931763
what 6 0 4 0.061885833740234375 0.4956612288951874 0
was 6 1 3 6.034695148468018 2.514302968978882 0
that 6 2 4 4.799925327301025 7.703555107116699 0
she 6 3 3 3.287102699279785 4.0206732749938965 3.6828818321228027
likely 6 4 6 11.769548416137695 7.146900653839111 0
heard 6 5 5 7.7849040031433105 7.056436538696289 0.09046411514282227
true 6 6 4 12.80238151550293 3.2589149475097656 3.7975215911865234
? 6 7 1 3.0248005390167236 7.494752883911133 0
who 7 0 3 11.66788387298584 0.4956612288951874 0
was 7 1 3 4.995726108551025 7.8990797996521 0
that 7 2 4 7.366029262542725 6.462775707244873 1.4363040924072266
knows 7 3 5 15.780774116516113 4.700019359588623 1.76275634765625
someone 7 4 7 9.115947723388672 4.096636772155762 0.6033825874328613
probable 7 5 8 22.171987533569336 1.5781211853027344 2.5185155868530273
? 7 6 1 1.9319722652435303 3.264888286590576 0
who 8 0 3 11.66788387298584 0.4956612288951874 0
does 8 1 4 4.901469707489014 7.8990797996521 0
that 8 2 4 6.427834510803223 2.774930477142334 5.124149322509766
got 8 3 3 17.950681686401367 4.360260486602783 0
a 8 4 1 2.4174399375915527 5.75148868560791 0
new 8 5 3 7.660998821258545 9.112754821777344 0
phone 8 6 5 9.355924606323242 9.354204177856445 0
for 8 7 3 6.340628147125244 1.7967966794967651 7.55740749835968
<unk> 8 8 5 3.6750528812408447 4.668955326080322 0
not 8 9 3 11.531476974487305 4.641787528991699 0.027167797088623047
make 8 10 4 15.572851181030273 3.0564942359924316 1.5852932929992676
sense 8 11 5 9.873405456542969 5.056498050689697 0
? 8 12 1 5.57240629196167 1.3634450435638428 3.6930530071258545
whom 9 0 4 15.68453311920166 0.4956612288951874 0
did 9 1 3 4.686230659484863 5.486818790435791 0
an 9 2 2 15.107412338256836 0.930203378200531 4.55661541223526
account 9 3 7 9.423072814941406 9.341516494750977 0
for 9 4 3 4.425536155700684 3.3837599754333496 5.957756519317627
buy 9 5 3 17.823862075805664 5.051077842712402 0
a 9 6 1 0.776862382888794 3.699723243713379 1.3513545989990234
gift 9 7 4 6.414959907531738 8.53500747680664 0
? 9 8 1 8.62228775024414 1.5533440113067627 6.981663465499878
what 10 0 4 0.061885833740234375 0.4956612288951874 0
is 10 1 2 6.353443622589111 2.514302968978882 0
that 10 2 4 4.537612438201904 5.710381031036377 0
come 10 3 4 16.020193099975586 3.5352377891540527 2.175143241882324
to 10 4 2 2.6116092205047607 4.345123767852783 0
our 10 5 3 8.785812377929688 5.197199821472168 0
party 10 6 5 8.104283332824707 8.937067031860352 0
likely 10 7 6 15.1295804977417 4.030123710632324 4.906943321228027
? 10 8 1 2.717963218688965 3.040299654006958 0.9898240566253662
who 11 0 3 11.66788387298584 0.4956612288951874 0
does 11 1 4 4.901469707489014 7.8990797996521 0
the 11 2 3 8.267065048217773 2.774930477142334 5.124149322509766
extravagant 11 3 11 15.481395721435547 9.62607192993164 0
rings 11 4 5 14.415360450744629 10.32011890411377 0
that 11 5 4 2.85508131980896 4.7544121742248535 5.565706729888916
takes 11 6 5 13.967851638793945 3.9532132148742676 0.8011989593505859
to 11 7 2 4.011172771453857 5.971628189086914 0
school 11 8 6 13.703932762145996 4.584245204925537 1.387382984161377
are 11 9 3 13.171810150146484 3.203373670578003 1.3808715343475342
funny 11 10 5 12.869646072387695 3.4980034828186035 0
? 11 11 1 1.863075852394104 2.735870122909546 0.7621333599090576
who 12 0 3 11.66788387298584 0.4956612288951874 0
is 12 1 2 5.605193614959717 7.8990797996521 0
that 12 2 4 8.835798263549805 1.8130546808242798 6.08602511882782
<unk> 12 3 5 6.686492919921875 3.9390032291412354 0
is 12 4 2 4.4829421043396 7.7749738693237305 0
trying 12 5 6 10.993656158447266 0.6607254147529602 7.11424845457077
to 12 6 2 0.05269937962293625 0.2525067925453186 0.4082186222076416
call 12 7 4 10.362679481506348 6.100825786590576 0
unrealistic 12 8 11 20.740604400634766 4.186127662658691 1.9146981239318848
? 12 9 1 3.737640142440796 1.4544223546981812 2.7317053079605103
who 13 0 3 11.66788387298584 0.4956612288951874 0
was 13 1 3 4.995726108551025 7.8990797996521 0
that 13 2 4 7.366029262542725 6.462775707244873 1.4363040924072266
they 13 3 4 2.522388458251953 4.700019359588623 1.76275634765625
loaned 13 4 6 18.351682662963867 6.394791603088379 0
a 13 5 1 3.0313379764556885 2.4516918659210205 3.9430997371673584
trumpet 13 6 7 14.838998794555664 8.572046279907227 0
to 13 7 2 0.3996054530143738 1.5898933410644531 6.982152938842773
funny 13 8 5 20.07347297668457 1.7405966520309448 0
? 13 9 1 2.6225554943084717 3.0077507495880127 0
who 14 0 3 11.66788387298584 0.4956612288951874 0
was 14 1 3 4.995726108551025 7.8990797996521 0
that 14 2 4 7.366029262542725 6.462775707244873 1.4363040924072266
heard 14 3 5 15.48563003540039 4.700019359588623 1.76275634765625
the 14 4 3 5.898643493652344 5.2399516105651855 0
claim 14 5 5 12.344386100769043 9.979780197143555 0
funny 14 6 5 21.48772621154785 3.4184155464172363 6.561364650726318
? 14 7 1 3.5546226501464844 1.7206531763076782 1.697762370109558
who 15 0 3 11.66788387298584 0.4956612288951874 0
is 15 1 2 5.605193614959717 7.8990797996521 0
that 15 2 4 8.835798263549805 1.8130546808242798 6.08602511882782
went 15 3 4 11.735239028930664 3.9390032291412354 0
to 15 4 2 5.851267337799072 2.4327263832092285 1.5062768459320068
the 15 5 3 3.9957516193389893 5.66929817199707 0
discreet 15 6 8 19.644840240478516 9.375085830688477 0
candy 15 7 5 16.12607765197754 10.298028945922852 0
store 15 8 5 9.336039543151855 6.710132122039795 3.5878968238830566
expensive 15 9 9 23.854188919067383 2.8081884384155273 3.9019436836242676
? 15 10 1 4.8003458976745605 1.6598745584487915 1.1483138799667358
whom 16 0 4 15.68453311920166 0.4956612288951874 0
was 16 1 3 7.146522521972656 5.486818790435791 0
the 16 2 3 4.624065399169922 7.88340950012207 0
lucky 16 3 5 13.522998809814453 9.30085563659668 0
party 16 4 5 8.796843528747559 8.174117088317871 1.1267385482788086
about 16 5 5 9.966902732849121 3.578153133392334 4.595963954925537
circulating 16 6 11 16.574190139770508 5.537870407104492 0
? 16 7 1 2.4064271450042725 6.6614089012146 0
what 17 0 4 0.061885833740234375 0.4956612288951874 0
is 17 1 2 6.353443622589111 2.514302968978882 0
that 17 2 4 4.537612438201904 5.710381031036377 0
<unk> 17 3 5 6.551949977874756 3.5352377891540527 2.175143241882324
is 17 4 2 4.728298187255859 8.316924095153809 0
scandalous 17 5 10 20.189144134521484 2.250624418258667 6.066299676895142
? 17 6 1 2.8371925354003906 1.5845674276351929 0.6660569906234741
what 18 0 4 0.061885833740234375 0.4956612288951874 0
were 18 1 4 7.744892120361328 2.514302968978882 0
two 18 2 3 10.015921592712402 8.176237106323242 0
pregnant 18 3 8 16.491344451904297 7.608128070831299 0.5681090354919434
girls 18 4 5 4.862166404724121 4.59796667098999 3.0101613998413086
from 18 5 4 8.049742698669434 2.544259786605835 2.0537068843841553
dating 18 6 6 16.34825897216797 5.09982442855835 0
? 18 7 1 4.559650897979736 4.977872848510742 0.12195158004760742
whom 19 0 4 15.68453311920166 0.4956612288951874 0
was 19 1 3 7.146522521972656 5.486818790435791 0
one 19 2 3 6.315492153167725 7.88340950012207 0
claim 19 3 5 17.56458282470703 4.211678504943848 3.6717309951782227
about 19 4 5 9.42564582824707 4.0691609382629395 0.1425175666809082
funny 19 5 5 17.492286682128906 6.146822452545166 0
to 19 6 2 5.875931262969971 6.816586971282959 0
<unk> 19 7 5 5.20035982131958 6.4029927253723145 0.41359424591064453
<unk> 19 8 5 6.594155311584473 4.586209774017334 1.8167829513549805
? 19 9 1 2.454867362976074 5.164693355560303 0
what 20 0 4 0.061885833740234375 0.4956612288951874 0
was 20 1 3 6.034695148468018 2.514302968978882 0
that 20 2 4 4.799925327301025 7.703555107116699 0
they 20 3 4 1.9423649311065674 4.0206732749938965 3.6828818321228027
robbed 20 4 6 13.803342819213867 7.076173782348633 0
an 20 5 2 8.134716987609863 5.760979652404785 1.3151941299438477
experience 20 6 10 10.003401756286621 8.976186752319336 0
? 20 7 1 5.877357006072998 3.76320219039917 5.212984561920166
who 21 0 3 11.66788387298584 0.4956612288951874 0
was 21 1 3 4.995726108551025 7.8990797996521 0
that 21 2 4 7.366029262542725 6.462775707244873 1.4363040924072266
they 21 3 4 2.522388458251953 4.700019359588623 1.76275634765625
loaned 21 4 6 18.351682662963867 6.394791603088379 0
a 21 5 1 3.0313379764556885 2.4516918659210205 3.9430997371673584
lucky 21 6 5 14.251907348632812 8.572046279907227 0
guitar 21 7 6 10.228689193725586 7.956217288970947 0.6158289909362793
to 21 8 2 0.8410966992378235 1.4297356605529785 6.526481628417969
unrealistic 21 9 11 27.74068832397461 1.7288973331451416 0
? 21 10 1 4.350335121154785 8.463949203491211 0
what 22 0 4 0.061885833740234375 0.4956612288951874 0
was 22 1 3 6.034695148468018 2.514302968978882 0
the 22 2 3 4.491334915161133 7.703555107116699 0
blue 22 3 4 11.570734024047852 9.216524124145508 0
window 22 4 6 12.090059280395508 8.836393356323242 0.3801307678222656
that 22 5 4 4.652766227722168 4.637765407562256 4.198627948760986
announced 22 6 9 16.820770263671875 4.996702671051025 0
was 22 7 3 11.531414985656738 2.984377145767212 2.0123255252838135
<unk> 22 8 5 4.876128673553467 6.7199883460998535 0
? 22 9 1 1.6945037841796875 6.013241291046143 0.7067470550537109
what 23 0 4 0.061885833740234375 0.4956612288951874 0
does 23 1 4 2.0837056636810303 2.514302968978882 0
one 23 2 3 14.884650230407715 0.6211786270141602 1.8931243419647217
agent 23 3 5 15.675732612609863 6.695191860198975 0
of 23 4 2 8.076706886291504 3.928743362426758 2.766448497772217
like 23 5 4 11.982339859008789 5.154744625091553 0
the 23 6 3 3.8636562824249268 3.8538336753845215 1.3009109497070312
aria 23 7 4 19.93524742126465 8.663492202758789 0
