word sentid sentpos wlen surp entropy entred
who 0 0 3 8.406774520874023 0.7559733390808105 0
was 0 1 3 3.928041696548462 7.740098476409912 0
that 0 2 4 10.611658096313477 8.551836013793945 0
quipped 0 3 7 20.29734992980957 7.034276008605957 1.5175600051879883
about 0 4 5 7.697307109832764 3.5137510299682617 3.5205249786376953
<unk> 0 5 5 3.504672050476074 5.593019485473633 0
analysis 0 6 8 15.682188034057617 6.190589904785156 0
funny 0 7 5 18.471956253051758 4.530827045440674 1.6597628593444824
? 0 8 1 6.210865020751953 6.127490997314453 0
whom 1 0 4 12.847424507141113 0.7559733390808105 0
were 1 1 4 8.352775573730469 4.683196067810059 0
two 1 2 3 8.717020034790039 8.392641067504883 0
rumours 1 3 7 15.333229064941406 9.00292682647705 0
about 1 4 5 4.4817962646484375 3.7903029918670654 5.212623834609985
waiting 1 5 7 12.974678993225098 6.205088138580322 0
? 1 6 1 10.402350425720215 1.365874171257019 4.839213967323303
who 2 0 3 8.406774520874023 0.7559733390808105 0
does 2 1 4 5.843194007873535 7.740098476409912 0
that 2 2 4 7.454911231994629 4.608241558074951 3.131856918334961
wears 2 3 5 14.939841270446777 8.187378883361816 0
extravagant 2 4 11 17.185474395751953 6.60849666595459 1.5788822174072266
rings 2 5 5 12.102899551391602 9.215218544006348 0
make 2 6 4 13.634195327758789 4.940197944641113 4.275020599365234
the 2 7 3 3.9877989292144775 6.235403537750244 0
plan 2 8 4 12.893228530883789 10.048507690429688 0
unrealistic 2 9 11 16.159046173095703 6.449113368988037 3.5993943214416504
? 2 10 1 9.618167877197266 3.4611175060272217 2.9879958629608154
whom 3 0 4 12.847424507141113 0.7559733390808105 0
loaned 3 1 6 22.005178451538086 4.683196067810059 0
that 3 2 4 5.109636306762695 5.768630504608154 0
<unk> 3 3 5 5.653595447540283 5.236848831176758 0.5317816734313965
heard 3 4 5 10.174952507019043 8.201147079467773 0
the 3 5 3 3.9625682830810547 4.913896560668945 3.287250518798828
claim 3 6 5 10.00345230102539 9.867527961730957 0
a 3 7 1 6.830020427703857 3.7597367763519287 6.107791185379028
trumpet 3 8 7 15.695205688476562 9.05805492401123 0
to 3 9 2 5.010832786560059 6.020742893218994 3.0373120307922363
you 3 10 3 7.932924270629883 7.787404537200928 0
? 3 11 1 2.9137368202209473 6.538874626159668 1.2485299110412598
who 4 0 3 8.406774520874023 0.7559733390808105 0
is 4 1 2 5.0918731689453125 7.740098476409912 0
that 4 2 4 9.08528995513916 8.52468490600586 0
is 4 3 2 6.8077239990234375 6.815122604370117 1.7095623016357422
a 4 4 1 3.0350606441497803 7.850020885467529 0
teacher 4 5 7 8.239983558654785 10.002825736999512 0
unlikely 4 6 8 19.371257781982422 4.1451802253723145 5.857645511627197
? 4 7 1 10.368878364562988 1.831022024154663 2.3141582012176514
whom 5 0 4 12.847424507141113 0.7559733390808105 0
does 5 1 4 7.481634140014648 4.683196067810059 0
one 5 2 3 11.070993423461914 1.7932183742523193 2.8899776935577393
story 5 3 5 13.513827323913574 6.8699541091918945 0
about 5 4 5 8.074464797973633 8.012685775756836 0
claim 5 5 5 15.937082290649414 5.86097526550293 2.1517105102539062
the 5 6 3 6.328812122344971 4.920056343078613 0.9409189224243164
possibility 5 7 11 9.230942726135254 10.286726951599121 0
is 5 8 2 7.386285305023193 2.083861827850342 8.20286512374878
unrealistic 5 9 11 14.773824691772461 7.226402759552002 0
? 5 10 1 8.151240348815918 3.040276050567627 4.186126708984375
what 6 0 4 0.09959084540605545 0.7559733390808105 0
was 6 1 3 6.9623212814331055 2.287327766418457 0
that 6 2 4 7.4105963706970215 7.92075252532959 0
she 6 3 3 3.4276211261749268 4.886743068695068 3.0340094566345215
likely 6 4 6 12.128593444824219 7.443921089172363 0
heard 6 5 5 6.388393402099609 7.791018486022949 0
true 6 6 4 12.463418006896973 4.382233619689941 3.408784866333008
? 6 7 1 7.041189193725586 7.583002090454102 0
who 7 0 3 8.406774520874023 0.7559733390808105 0
was 7 1 3 3.928041696548462 7.740098476409912 0
that 7 2 4 10.611658096313477 8.551836013793945 0
knows 7 3 5 16.430402755737305 7.034276008605957 1.5175600051879883
someone 7 4 7 10.387177467346191 5.204869270324707 1.82940673828125
probable 7 5 8 23.975820541381836 1.0023294687271118 4.202539801597595
? 7 6 1 5.496941089630127 3.3695476055145264 0
who 8 0 3 8.406774520874023 0.7559733390808105 0
does 8 1 4 5.843194007873535 7.740098476409912 0
that 8 2 4 7.454911231994629 4.608241558074951 3.131856918334961
got 8 3 3 13.901188850402832 8.187378883361816 0
a 8 4 1 1.4802663326263428 5.7975311279296875 2.389847755432129
new 8 5 3 7.161984920501709 9.748176574707031 0
phone 8 6 5 10.86357307434082 9.786955833435059 0
for 8 7 3 6.016063213348389 5.226396560668945 4.560559272766113
<unk> 8 8 5 3.0323541164398193 5.815250873565674 0
not 8 9 3 8.9714994430542 6.293108940124512 0
make 8 10 4 14.76325798034668 4.355337619781494 1.9377713203430176
sense 8 11 5 10.568552017211914 5.1366987228393555 0
? 8 12 1 3.563716173171997 3.880537748336792 1.2561609745025635
whom 9 0 4 12.847424507141113 0.7559733390808105 0
did 9 1 3 3.952057361602783 4.683196067810059 0
an 9 2 2 13.357401847839355 1.117081880569458 3.5661141872406006
account 9 3 7 5.827889442443848 8.955879211425781 0
for 9 4 3 6.2910284996032715 3.501481771469116 5.454397439956665
buy 9 5 3 16.574424743652344 5.703398704528809 0
a 9 6 1 3.356811285018921 8.878134727478027 0
gift 9 7 4 5.640510082244873 9.94957160949707 0
? 9 8 1 13.1770658493042 4.108943462371826 5.840628147125244
what 10 0 4 0.09959084540605545 0.7559733390808105 0
is 10 1 2 7.5721211433410645 2.287327766418457 0
that 10 2 4 6.1009297370910645 7.531156063079834 0
come 10 3 4 15.404098510742188 4.485322952270508 3.045833110809326
to 10 4 2 5.135781288146973 6.0592756271362305 0
our 10 5 3 8.445045471191406 6.409204006195068 0
party 10 6 5 8.840276718139648 10.14812183380127 0
likely 10 7 6 14.061708450317383 5.767606735229492 4.380515098571777
? 10 8 1 6.391698837280273 3.061605215072632 2.7060015201568604
who 11 0 3 8.406774520874023 0.7559733390808105 0
does 11 1 4 5.843194007873535 7.740098476409912 0
the 11 2 3 5.134481430053711 4.608241558074951 3.131856918334961
extravagant 11 3 11 17.005491256713867 9.596898078918457 0
rings 11 4 5 11.526666641235352 10.153860092163086 0
that 11 5 4 4.54559850692749 4.394341945648193 5.759518146514893
takes 11 6 5 12.697968482971191 6.334986209869385 0
to 11 7 2 5.215355396270752 5.862281799316406 0.4727044105529785
school 11 8 6 11.392172813415527 7.791839122772217 0
are 11 9 3 9.137645721435547 5.577682971954346 2.214156150817871
funny 11 10 5 13.072794914245605 7.32208776473999 0
? 11 11 1 6.399357318878174 4.907209396362305 2.4148783683776855
who 12 0 3 8.406774520874023 0.7559733390808105 0
is 12 1 2 5.0918731689453125 7.740098476409912 0
that 12 2 4 9.08528995513916 8.52468490600586 0
<unk> 12 3 5 3.7261228561401367 6.815122604370117 1.7095623016357422
is 12 4 2 3.8020029067993164 8.149327278137207 0
trying 12 5 6 8.131357192993164 8.290586471557617 0
to 12 6 2 0.020211052149534225 0.16737663745880127 8.123209834098816
call 12 7 4 10.02006721496582 7.667595863342285 0
unrealistic 12 8 11 20.639657974243164 4.748274326324463 2.9193215370178223
? 12 9 1 8.50035572052002 8.788448333740234 0
who 13 0 3 8.406774520874023 0.7559733390808105 0
was 13 1 3 3.928041696548462 7.740098476409912 0
that 13 2 4 10.611658096313477 8.551836013793945 0
they 13 3 4 3.930426597595215 7.034276008605957 1.5175600051879883
loaned 13 4 6 16.264631271362305 7.716057300567627 0
a 13 5 1 1.4983566999435425 4.762544631958008 2.953512668609619
trumpet 13 6 7 16.416671752929688 9.285550117492676 0
to 13 7 2 0.15229102969169617 1.1630560159683228 8.122494101524353
funny 13 8 5 17.2933292388916 5.4722981452941895 0
? 13 9 1 5.7606520652771 8.497564315795898 0
who 14 0 3 8.406774520874023 0.7559733390808105 0
was 14 1 3 3.928041696548462 7.740098476409912 0
that 14 2 4 10.611658096313477 8.551836013793945 0
heard 14 3 5 14.352394104003906 7.034276008605957 1.5175600051879883
the 14 4 3 4.277084827423096 6.164475440979004 0.8698005676269531
claim 14 5 5 10.85702896118164 10.17215633392334 0
funny 14 6 5 19.078353881835938 4.362388610839844 5.809767723083496
? 14 7 1 7.935637474060059 4.983025550842285 0
who 15 0 3 8.406774520874023 0.7559733390808105 0
is 15 1 2 5.0918731689453125 7.740098476409912 0
that 15 2 4 9.08528995513916 8.52468490600586 0
went 15 3 4 12.806412696838379 6.815122604370117 1.7095623016357422
to 15 4 2 1.9622230529785156 5.572915554046631 1.2422070503234863
the 15 5 3 2.8867738246917725 7.220888614654541 0
discreet 15 6 8 18.935319900512695 9.300442695617676 0
candy 15 7 5 17.806833267211914 10.410609245300293 0
store 15 8 5 7.984480381011963 8.452493667602539 1.958115577697754
expensive 15 9 9 15.637115478515625 6.911438465118408 1.5410552024841309
? 15 10 1 9.603607177734375 5.676904201507568 1.2345342636108398
whom 16 0 4 12.847424507141113 0.7559733390808105 0
was 16 1 3 7.531349182128906 4.683196067810059 0
the 16 2 3 3.129633665084839 7.520712852478027 0
lucky 16 3 5 16.680204391479492 9.322900772094727 0
party 16 4 5 9.63390827178955 10.007497787475586 0
about 16 5 5 9.230449676513672 7.676609516143799 2.330888271331787
circulating 16 6 11 16.64090347290039 6.199070453643799 1.4775390625
? 16 7 1 6.435534477233887 8.306938171386719 0
what 17 0 4 0.09959084540605545 0.7559733390808105 0
is 17 1 2 7.5721211433410645 2.287327766418457 0
that 17 2 4 6.1009297370910645 7.531156063079834 0
<unk> 17 3 5 4.640023708343506 4.485322952270508 3.045833110809326
is 17 4 2 4.013043403625488 7.882110595703125 0
scandalous 17 5 10 19.58462142944336 7.994104385375977 0
? 17 6 1 11.86479663848877 1.6180416345596313 6.376062750816345
what 18 0 4 0.09959084540605545 0.7559733390808105 0
were 18 1 4 8.643927574157715 2.287327766418457 0
two 18 2 3 10.899431228637695 7.760719299316406 0
pregnant 18 3 8 16.113609313964844 7.685183525085449 0.07553577423095703
girls 18 4 5 4.661743640899658 5.590264797210693 2.094918727874756
from 18 5 4 8.868983268737793 4.109651565551758 1.4806132316589355
dating 18 6 6 15.169683456420898 5.738509178161621 0
? 18 7 1 9.555179595947266 4.291794776916504 1.4467144012451172
whom 19 0 4 12.847424507141113 0.7559733390808105 0
was 19 1 3 7.531349182128906 4.683196067810059 0
one 19 2 3 6.359683990478516 7.520712852478027 0
claim 19 3 5 14.809792518615723 2.0521750450134277 5.4685378074646
about 19 4 5 8.06344223022461 3.7750375270843506 0
funny 19 5 5 17.887924194335938 6.054650783538818 0
to 19 6 2 4.752744197845459 9.455679893493652 0
<unk> 19 7 5 4.566688537597656 8.233293533325195 1.222386360168457
<unk> 19 8 5 5.25625467300415 7.168125629425049 1.0651679039001465
? 19 9 1 3.649951457977295 6.752024173736572 0.41610145568847656
what 20 0 4 0.09959084540605545 0.7559733390808105 0
was 20 1 3 6.9623212814331055 2.287327766418457 0
that 20 2 4 7.4105963706970215 7.92075252532959 0
they 20 3 4 2.273195266723633 4.886743068695068 3.0340094566345215
robbed 20 4 6 14.665454864501953 7.785520553588867 0
an 20 5 2 8.323654174804688 5.024313449859619 2.761207103729248
experience 20 6 10 11.714136123657227 8.643390655517578 0
? 20 7 1 10.523019790649414 3.2514517307281494 5.391938924789429
who 21 0 3 8.406774520874023 0.7559733390808105 0
was 21 1 3 3.928041696548462 7.740098476409912 0
that 21 2 4 10.611658096313477 8.551836013793945 0
they 21 3 4 3.930426597595215 7.034276008605957 1.5175600051879883
loaned 21 4 6 16.264631271362305 7.716057300567627 0
a 21 5 1 1.4983566999435425 4.762544631958008 2.953512668609619
lucky 21 6 5 16.377336502075195 9.285550117492676 0
guitar 21 7 6 10.428353309631348 9.869400024414062 0
to 21 8 2 0.11730621755123138 0.8698983788490295 8.999501645565033
unrealistic 21 9 11 22.930452346801758 6.466123104095459 0
? 21 10 1 6.878130912780762 10.181029319763184 0
what 22 0 4 0.09959084540605545 0.7559733390808105 0
was 22 1 3 6.9623212814331055 2.287327766418457 0
the 22 2 3 4.331909656524658 7.92075252532959 0
blue 22 3 4 13.231327056884766 9.622272491455078 0
window 22 4 6 11.583309173583984 9.15642261505127 0.4658498764038086
that 22 5 4 2.0494189262390137 5.626425743103027 3.529996871948242
announced 22 6 9 15.222314834594727 5.872373104095459 0
was 22 7 3 10.221463203430176 2.0405616760253906 3.8318114280700684
<unk> 22 8 5 4.831162452697754 6.5600690841674805 0
? 22 9 1 4.942856788635254 6.964804172515869 0
what 23 0 4 0.09959084540605545 0.7559733390808105 0
does 23 1 4 2.283604621887207 2.287327766418457 0
one 23 2 3 12.31545352935791 0.9048234820365906 1.3825042843818665
agent 23 3 5 17.430679321289062 6.778608322143555 0
of 23 4 2 5.5841965675354 7.540193557739258 0
like 23 5 4 14.00748348236084 4.19999361038208 3.3401999473571777
