word sentid sentpos wlen surp entropy entred
what 0 0 4 9.56857967376709 0.8530983924865723 0
did 0 1 3 1.6831594705581665 2.6777079105377197 0
they 0 2 4 9.444169998168945 4.0743937492370605 0
not 0 3 3 12.682863235473633 5.1650309562683105 0
like 0 4 4 12.70296859741211 6.832007884979248 0
that 0 5 4 1.1395165920257568 3.7833714485168457 3.0486364364624023
<unk> 0 6 5 2.8395087718963623 7.246888637542725 0
likes 0 7 5 13.04621696472168 8.872528076171875 0
and 0 8 3 9.029389381408691 5.474525451660156 3.3980026245117188
accounts 0 9 8 12.385187149047852 9.179338455200195 0
? 0 10 1 12.22607421875 6.0784687995910645 3.100869655609131
who 1 0 3 10.216705322265625 0.8530983924865723 0
did 1 1 3 2.8242268562316895 6.826907634735107 0
she 1 2 3 7.457454681396484 6.267466068267822 0.5594415664672852
hear 1 3 4 5.623310089111328 3.3205137252807617 2.9469523429870605
a 1 4 1 2.2598423957824707 2.557068347930908 0.7634453773498535
rumour 1 5 6 10.528934478759766 10.24937915802002 0
about 1 6 5 6.3492302894592285 2.7344114780426025 7.514967679977417
and 1 7 3 11.239944458007812 4.381979465484619 0
wait 1 8 4 12.510895729064941 8.60130786895752 0
for 1 9 3 2.1992599964141846 5.011034965515137 3.590272903442383
? 1 10 1 18.174598693847656 4.764824867248535 0.24621009826660156
what 2 0 4 9.56857967376709 0.8530983924865723 0
did 2 1 3 1.6831594705581665 2.6777079105377197 0
he 2 2 2 2.606923818588257 4.0743937492370605 0
hear 2 3 4 4.938821792602539 3.192101001739502 0.8822927474975586
that 2 4 4 0.4540364146232605 1.9872955083847046 1.2048054933547974
<unk> 2 5 5 2.087109327316284 4.974016189575195 0
ate 2 6 3 14.023985862731934 7.895018577575684 0
accounts 2 7 8 18.754724502563477 4.650208473205566 3.244810104370117
and 2 8 3 5.268784046173096 4.547567844390869 0.10264062881469727
? 2 9 1 21.07575035095215 10.347805976867676 0
what 3 0 4 9.56857967376709 0.8530983924865723 0
did 3 1 3 1.6831594705581665 2.6777079105377197 0
will 3 2 4 11.151575088500977 4.0743937492370605 0
buy 3 3 3 10.174614906311035 5.465108871459961 0
? 3 4 1 15.043583869934082 2.6990346908569336 2.7660741806030273
what 4 0 4 9.56857967376709 0.8530983924865723 0
did 4 1 3 1.6831594705581665 2.6777079105377197 0
you 4 2 3 7.254690647125244 4.0743937492370605 0
read 4 3 4 10.865468978881836 3.2563414573669434 0.8180522918701172
about 4 4 5 8.483301162719727 4.681527137756348 0
and 4 5 3 8.663573265075684 4.808135032653809 0
announce 4 6 8 15.04086685180664 7.681178569793701 0
about 4 7 5 12.475564956665039 1.0747920274734497 6.6063865423202515
? 4 8 1 15.08231258392334 4.863854885101318 0
what 5 0 4 9.56857967376709 0.8530983924865723 0
did 5 1 3 1.6831594705581665 2.6777079105377197 0
he 5 2 2 2.606923818588257 4.0743937492370605 0
announce 5 3 8 12.64875602722168 3.192101001739502 0.8822927474975586
a 5 4 1 4.519155025482178 0.7610890865325928 2.431011915206909
plan 5 5 4 8.870526313781738 9.397964477539062 0
and 5 6 3 7.8648786544799805 4.373653411865234 5.024311065673828
speak 5 7 5 13.485675811767578 8.37885570526123 0
? 5 8 1 15.485551834106445 5.695359706878662 2.6834959983825684
which 6 0 5 11.10899829864502 0.8530983924865723 0
subjects 6 1 8 18.625640869140625 5.364871978759766 0
did 6 2 3 6.584204196929932 8.837052345275879 0
she 6 3 3 8.907837867736816 6.121831893920898 2.7152204513549805
not 6 4 3 10.78630256652832 4.064939975738525 2.056891918182373
study 6 5 5 13.100624084472656 6.560536861419678 0
for 6 6 3 8.37547492980957 5.1494855880737305 1.4110512733459473
or 6 7 2 11.126812934875488 4.988551616668701 0.1609339714050293
fail 6 8 4 13.629495620727539 8.534558296203613 0
the 6 9 3 5.007320404052734 4.99398136138916 3.540576934814453
test 6 10 4 6.483466148376465 10.318242073059082 0
for 6 11 3 6.633235931396484 6.226463317871094 4.091778755187988
? 6 12 1 21.231769561767578 5.616376876831055 0.6100864410400391
what 7 0 4 9.56857967376709 0.8530983924865723 0
did 7 1 3 1.6831594705581665 2.6777079105377197 0
<unk> 7 2 5 1.028354287147522 4.0743937492370605 0
order 7 3 5 18.661762237548828 4.8219499588012695 0
for 7 4 3 9.086455345153809 7.4382758140563965 0
me 7 5 2 11.39318561553955 4.500893592834473 2.937382221221924
and 7 6 3 7.171907424926758 2.9820165634155273 1.5188770294189453
borrow 7 7 6 18.873233795166016 7.335299491882324 0
for 7 8 3 7.623751640319824 4.879969596862793 2.4553298950195312
you 7 9 3 10.726984024047852 4.952157497406006 0
? 7 10 1 2.0198898315429688 5.737725257873535 0
what 8 0 4 9.56857967376709 0.8530983924865723 0
does 8 1 4 1.3096269369125366 2.6777079105377197 0
will 8 2 4 10.599237442016602 4.495082855224609 0
like 8 3 4 12.186431884765625 5.4094953536987305 0
and 8 4 3 13.889998435974121 3.2023463249206543 2.207149028778076
girls 8 5 5 17.449460983276367 7.71102237701416 0
? 8 6 1 5.034996509552002 8.524006843566895 0
what 9 0 4 9.56857967376709 0.8530983924865723 0
did 9 1 3 1.6831594705581665 2.6777079105377197 0
they 9 2 4 9.444169998168945 4.0743937492370605 0
not 9 3 3 12.682863235473633 5.1650309562683105 0
like 9 4 4 12.70296859741211 6.832007884979248 0
that 9 5 4 1.1395165920257568 3.7833714485168457 3.0486364364624023
will 9 6 4 10.608169555664062 7.246888637542725 0
bought 9 7 6 14.66117000579834 7.95487642288208 0
<unk> 9 8 5 6.400073528289795 1.9278168678283691 6.027059555053711
and 9 9 3 5.9116339683532715 7.908962726593018 0
? 9 10 1 13.636639595031738 8.10484790802002 0
what 10 0 4 9.56857967376709 0.8530983924865723 0
did 10 1 3 1.6831594705581665 2.6777079105377197 0
he 10 2 2 2.606923818588257 4.0743937492370605 0
hear 10 3 4 4.938821792602539 3.192101001739502 0.8822927474975586
that 10 4 4 0.4540364146232605 1.9872955083847046 1.2048054933547974
<unk> 10 5 5 2.087109327316284 4.974016189575195 0
ate 10 6 3 14.023985862731934 7.895018577575684 0
and 10 7 3 7.312833786010742 4.650208473205566 3.244810104370117
story 10 8 5 20.463930130004883 9.071529388427734 0
? 10 9 1 16.916996002197266 8.640966415405273 0.43056297302246094
which 11 0 5 11.10899829864502 0.8530983924865723 0
things 11 1 6 18.576059341430664 5.364871978759766 0
did 11 2 3 4.828473091125488 7.899194240570068 0
she 11 3 3 8.159626007080078 7.11070442199707 0.788489818572998
solve 11 4 5 13.39459228515625 4.55796480178833 2.5527396202087402
and 11 5 3 7.19989013671875 5.144327163696289 0
give 11 6 4 8.570283889770508 9.81157398223877 0
? 11 7 1 19.991188049316406 5.611252307891846 4.200321674346924
what 12 0 4 9.56857967376709 0.8530983924865723 0
did 12 1 3 1.6831594705581665 2.6777079105377197 0
he 12 2 2 2.606923818588257 4.0743937492370605 0
announce 12 3 8 12.64875602722168 3.192101001739502 0.8822927474975586
a 12 4 1 4.519155025482178 0.7610890865325928 2.431011915206909
plan 12 5 4 8.870526313781738 9.397964477539062 0
and 12 6 3 7.8648786544799805 4.373653411865234 5.024311065673828
solve 12 7 5 13.088447570800781 8.37885570526123 0
by 12 8 2 6.736099720001221 5.65542459487915 2.72343111038208
? 12 9 1 20.126087188720703 5.8067851066589355 0
what 13 0 4 9.56857967376709 0.8530983924865723 0
does 13 1 4 1.3096269369125366 2.6777079105377197 0
<unk> 13 2 5 1.0948022603988647 4.495082855224609 0
like 13 3 4 13.904540061950684 3.5161097049713135 0.9789731502532959
and 13 4 3 12.13028621673584 4.5426130294799805 0
mothers 13 5 7 17.487751007080078 7.922759056091309 0
? 13 6 1 6.909855842590332 7.913243293762207 0.009515762329101562
what 14 0 4 9.56857967376709 0.8530983924865723 0
did 14 1 3 1.6831594705581665 2.6777079105377197 0
she 14 2 3 5.444180965423584 4.0743937492370605 0
hear 14 3 4 4.590529918670654 2.826692819595337 1.2477009296417236
about 14 4 5 9.888887405395508 2.6183457374572754 0.20834708213806152
me 14 5 2 13.46618938446045 4.255514621734619 0
and 14 6 3 6.310469150543213 5.084173202514648 0
take 14 7 4 11.049287796020508 7.1535234451293945 0
about 14 8 5 10.309333801269531 3.5668320655822754 3.586691379547119
you 14 9 3 12.196049690246582 4.3865437507629395 0
? 14 10 1 3.9605050086975098 6.656313896179199 0
what 15 0 4 9.56857967376709 0.8530983924865723 0
did 15 1 3 1.6831594705581665 2.6777079105377197 0
<unk> 15 2 5 1.028354287147522 4.0743937492370605 0
<unk> 15 3 5 5.288100719451904 4.8219499588012695 0
demand 15 4 6 15.300630569458008 6.43886661529541 0
the 15 5 3 3.6677134037017822 4.373169898986816 2.0656967163085938
scandalous 15 6 10 17.35159683227539 10.318800926208496 0
