word sentid sentpos wlen surp entropy entred
who 0 0 3 10.216705322265625 0.8530983924865723 0
did 0 1 3 2.8242268562316895 6.826907634735107 0
he 0 2 2 5.110184192657471 6.267466068267822 0.5594415664672852
hear 0 3 4 5.737322807312012 3.3298468589782715 2.937619209289551
that 0 4 4 0.681014895439148 2.3687050342559814 0.96114182472229
it 0 5 2 6.532055377960205 5.225436210632324 0
is 0 6 2 0.8305007219314575 3.6284520626068115 1.5969841480255127
important 0 7 9 9.937397956848145 7.195183753967285 0
to 0 8 2 1.1271718740463257 2.769672155380249 4.425511598587036
see 0 9 3 5.267243385314941 8.45743179321289 0
? 0 10 1 19.153545379638672 2.663442850112915 5.793988943099976
what 1 0 4 9.56857967376709 0.8530983924865723 0
is 1 1 2 2.8291335105895996 2.6777079105377197 0
it 1 2 2 10.522531509399414 7.158665180206299 0
important 1 3 9 9.150943756103516 8.170578956604004 0
that 1 4 4 3.2989795207977295 4.2006402015686035 3.9699387550354004
<unk> 1 5 5 2.6153297424316406 4.423854827880859 0
buys 1 6 4 16.178804397583008 7.719357967376709 0
? 1 7 1 20.00482749938965 2.10884690284729 5.610511064529419
who 2 0 3 10.216705322265625 0.8530983924865723 0
did 2 1 3 2.8242268562316895 6.826907634735107 0
he 2 2 2 5.110184192657471 6.267466068267822 0.5594415664672852
hear 2 3 4 5.737322807312012 3.3298468589782715 2.937619209289551
that 2 4 4 0.681014895439148 2.3687050342559814 0.96114182472229
it 2 5 2 6.532055377960205 5.225436210632324 0
is 2 6 2 0.8305007219314575 3.6284520626068115 1.5969841480255127
important 2 7 9 9.937397956848145 7.195183753967285 0
that 2 8 4 1.7367568016052246 2.769672155380249 4.425511598587036
<unk> 2 9 5 2.1392464637756348 4.822450160980225 0
knows 2 10 5 11.041845321655273 7.850872993469238 0
? 2 11 1 19.96219253540039 1.297515630722046 6.553357362747192
where 3 0 5 5.4149041175842285 0.8530983924865723 0
did 3 1 3 0.7277746796607971 1.555612564086914 0
<unk> 3 2 5 0.5194672346115112 3.3729193210601807 0
tell 3 3 4 8.584344863891602 4.578535556793213 0
you 3 4 3 9.09886360168457 2.3079493045806885 2.2705862522125244
that 3 5 4 0.34778881072998047 2.05802321434021 0.24992609024047852
she 3 6 3 2.7970709800720215 4.795130252838135 0
went 3 7 4 8.647254943847656 7.613953113555908 0
? 3 8 1 21.612092971801758 4.391170978546143 3.2227821350097656
what 4 0 4 9.56857967376709 0.8530983924865723 0
did 4 1 3 1.6831594705581665 2.6777079105377197 0
he 4 2 2 2.606923818588257 4.0743937492370605 0
hear 4 3 4 4.938821792602539 3.192101001739502 0.8822927474975586
that 4 4 4 0.4540364146232605 1.9872955083847046 1.2048054933547974
<unk> 4 5 5 2.087109327316284 4.974016189575195 0
does 4 6 4 6.920365333557129 7.895018577575684 0
not 4 7 3 2.276813268661499 6.192738056182861 1.7022805213928223
do 4 8 2 8.45239543914795 6.242812156677246 0
? 4 9 1 16.233783721923828 5.020899295806885 1.2219128608703613
what 5 0 4 9.56857967376709 0.8530983924865723 0
did 5 1 3 1.6831594705581665 2.6777079105377197 0
he 5 2 2 2.606923818588257 4.0743937492370605 0
hear 5 3 4 4.938821792602539 3.192101001739502 0.8822927474975586
that 5 4 4 0.4540364146232605 1.9872955083847046 1.2048054933547974
<unk> 5 5 5 2.087109327316284 4.974016189575195 0
thinks 5 6 6 11.87741756439209 7.895018577575684 0
their 5 7 5 13.781510353088379 0.9840341210365295 6.910984456539154
car 5 8 3 11.866138458251953 10.211264610290527 0
needed 5 9 6 12.008024215698242 6.48309850692749 3.728166103363037
to 5 10 2 1.5434061288833618 3.6142208576202393 2.868877649307251
do 5 11 2 7.021573543548584 7.6656622886657715 0
? 5 12 1 13.403111457824707 5.196738243103027 2.468924045562744
who 6 0 3 10.216705322265625 0.8530983924865723 0
is 6 1 2 2.6247518062591553 6.826907634735107 0
it 6 2 2 14.480889320373535 8.27546215057373 0
probable 6 3 8 11.080361366271973 9.210321426391602 0
that 6 4 4 0.1272585242986679 0.8905628323554993 8.319758594036102
<unk> 6 5 5 2.1034300327301025 4.109555244445801 0
helped 6 6 6 11.836320877075195 7.2274346351623535 0
? 6 7 1 19.50895118713379 6.936275482177734 0.29115915298461914
what 7 0 4 9.56857967376709 0.8530983924865723 0
did 7 1 3 1.6831594705581665 2.6777079105377197 0
they 7 2 4 9.444169998168945 4.0743937492370605 0
not 7 3 3 12.682863235473633 5.1650309562683105 0
like 7 4 4 12.70296859741211 6.832007884979248 0
that 7 5 4 1.1395165920257568 3.7833714485168457 3.0486364364624023
you 7 6 3 11.83559799194336 7.246888637542725 0
read 7 7 4 8.795613288879395 7.17979621887207 0.0670924186706543
that 7 8 4 5.06403923034668 4.109548568725586 3.0702476501464844
<unk> 7 9 5 2.691129446029663 6.7710394859313965 0
is 7 10 2 3.5835516452789307 7.8432536125183105 0
trying 7 11 6 7.483505725860596 7.376257419586182 0.4669961929321289
to 7 12 2 0.3306386172771454 2.0290017127990723 5.347255706787109
give 7 13 4 6.745815753936768 8.885856628417969 0
you 7 14 3 7.366403579711914 4.14589262008667 4.739964008331299
? 7 15 1 9.894566535949707 5.417629718780518 0
who 8 0 3 10.216705322265625 0.8530983924865723 0
did 8 1 3 2.8242268562316895 6.826907634735107 0
they 8 2 4 11.800390243530273 6.267466068267822 0.5594415664672852
not 8 3 3 13.241781234741211 4.6342267990112305 1.6332392692565918
like 8 4 4 12.169742584228516 6.925310134887695 0
that 8 5 4 2.602870464324951 5.072817325592041 1.8524928092956543
it 8 6 2 6.590025901794434 7.527962684631348 0
is 8 7 2 1.9193313121795654 5.766563415527344 1.761399269104004
probable 8 8 8 11.087343215942383 7.770296573638916 0
that 8 9 4 0.07158870995044708 0.5482043027877808 7.222092270851135
<unk> 8 10 5 2.325546979904175 4.296786308288574 0
met 8 11 3 9.474812507629395 7.474513053894043 0
? 8 12 1 16.958721160888672 5.09096622467041 2.383546829223633
who 9 0 3 10.216705322265625 0.8530983924865723 0
is 9 1 2 2.6247518062591553 6.826907634735107 0
it 9 2 2 14.480889320373535 8.27546215057373 0
probable 9 3 8 11.080361366271973 9.210321426391602 0
that 9 4 4 0.1272585242986679 0.8905628323554993 8.319758594036102
the 9 5 3 3.458876132965088 4.109555244445801 0
account 9 6 7 11.315217018127441 9.652355194091797 0
is 9 7 2 2.670759677886963 6.526857852935791 3.125497341156006
