word sentid sentpos wlen surp entropy entred
who 0 0 3 9.91942310333252 0.5741268992424011 0
was 0 1 3 5.405324935913086 7.659440517425537 0
that 0 2 4 10.992066383361816 8.489945411682129 0
quipped 0 3 7 24.26961326599121 5.823833465576172 2.666111946105957
about 0 4 5 7.3537774085998535 1.0475322008132935 4.776301264762878
<unk> 0 5 5 4.144445419311523 4.85605525970459 0
analysis 0 6 8 13.297628402709961 6.89096736907959 0
funny 0 7 5 19.354948043823242 5.62919807434082 1.2617692947387695
? 0 8 1 5.3664679527282715 5.9113030433654785 0
whom 1 0 4 14.503087997436523 0.5741268992424011 0
were 1 1 4 6.050778388977051 4.571567058563232 0
two 1 2 3 9.77655029296875 9.48022747039795 0
rumours 1 3 7 21.234844207763672 7.698767185211182 1.7814602851867676
about 1 4 5 4.6637797355651855 3.702742099761963 3.9960250854492188
waiting 1 5 7 13.971807479858398 5.563364505767822 0
? 1 6 1 9.660728454589844 5.293593406677246 0.26977109909057617
who 2 0 3 9.91942310333252 0.5741268992424011 0
does 2 1 4 5.439084529876709 7.659440517425537 0
that 2 2 4 8.189251899719238 5.1791558265686035 2.4802846908569336
wears 2 3 5 17.820283889770508 9.07580280303955 0
extravagant 2 4 11 18.794225692749023 1.8740477561950684 7.201755046844482
rings 2 5 5 10.319962501525879 8.264204025268555 0
make 2 6 4 13.144306182861328 5.2108845710754395 3.0533194541931152
the 2 7 3 5.339552879333496 4.507582187652588 0.7033023834228516
plan 2 8 4 12.746009826660156 9.929792404174805 0
unrealistic 2 9 11 16.618234634399414 6.842395782470703 3.0873966217041016
? 2 10 1 2.250065565109253 4.820976257324219 2.0214195251464844
whom 3 0 4 14.503087997436523 0.5741268992424011 0
loaned 3 1 6 21.628599166870117 4.571567058563232 0
that 3 2 4 7.630508899688721 5.011207103729248 0
<unk> 3 3 5 3.352600574493408 8.187104225158691 0
heard 3 4 5 11.758893013000488 9.381020545959473 0
the 3 5 3 5.802473068237305 2.0959510803222656 7.285069465637207
claim 3 6 5 11.194124221801758 10.563985824584961 0
a 3 7 1 8.227927207946777 2.056882381439209 8.507103443145752
trumpet 3 8 7 16.355789184570312 9.289595603942871 0
to 3 9 2 8.382691383361816 8.730840682983398 0.5587549209594727
you 3 10 3 11.826704978942871 7.021507263183594 1.7093334197998047
? 3 11 1 3.995896577835083 7.180874347686768 0
who 4 0 3 9.91942310333252 0.5741268992424011 0
is 4 1 2 3.82792067527771 7.659440517425537 0
that 4 2 4 11.018908500671387 7.579314708709717 0.08012580871582031
is 4 3 2 11.407711029052734 5.475045204162598 2.104269504547119
a 4 4 1 3.179534912109375 7.818789958953857 0
teacher 4 5 7 10.751547813415527 8.866593360900879 0
unlikely 4 6 8 18.563457489013672 3.059809446334839 5.80678391456604
? 4 7 1 11.938143730163574 3.406703472137451 0
whom 5 0 4 14.503087997436523 0.5741268992424011 0
does 5 1 4 3.561204195022583 4.571567058563232 0
one 5 2 3 8.913135528564453 4.299431324005127 0.27213573455810547
story 5 3 5 8.110590934753418 8.178128242492676 0
about 5 4 5 4.3885345458984375 7.339025497436523 0.8391027450561523
claim 5 5 5 19.187240600585938 5.118286609649658 2.2207388877868652
the 5 6 3 7.309313774108887 1.619524598121643 3.498762011528015
possibility 5 7 11 8.160185813903809 9.715553283691406 0
is 5 8 2 5.236096382141113 2.908090353012085 6.807462930679321
unrealistic 5 9 11 17.722240447998047 2.4773473739624023 0.4307429790496826
? 5 10 1 1.7251437902450562 4.054056167602539 0
what 6 0 4 10.543232917785645 0.5741268992424011 0
was 6 1 3 5.056639194488525 5.382538795471191 0
that 6 2 4 5.578064441680908 8.712557792663574 0
she 6 3 3 3.6036739349365234 5.142370700836182 3.5701870918273926
likely 6 4 6 18.75232696533203 4.330521106719971 0.8118495941162109
heard 6 5 5 10.075899124145508 7.396726131439209 0
true 6 6 4 13.036195755004883 2.126574993133545 5.270151138305664
? 6 7 1 11.09206771850586 9.37087631225586 0
who 7 0 3 9.91942310333252 0.5741268992424011 0
was 7 1 3 5.405324935913086 7.659440517425537 0
that 7 2 4 10.992066383361816 8.489945411682129 0
knows 7 3 5 18.26891326904297 5.823833465576172 2.666111946105957
someone 7 4 7 7.447669506072998 4.544588565826416 1.2792448997497559
probable 7 5 8 22.167308807373047 1.9231643676757812 2.6214241981506348
? 7 6 1 9.136011123657227 3.478771924972534 0
who 8 0 3 9.91942310333252 0.5741268992424011 0
does 8 1 4 5.439084529876709 7.659440517425537 0
that 8 2 4 8.189251899719238 5.1791558265686035 2.4802846908569336
got 8 3 3 12.038644790649414 9.07580280303955 0
a 8 4 1 0.5287355780601501 3.3567354679107666 5.719067335128784
new 8 5 3 7.188680171966553 7.050289630889893 0
phone 8 6 5 10.760193824768066 9.361614227294922 0
for 8 7 3 8.684263229370117 4.551187515258789 4.810426712036133
<unk> 8 8 5 3.5511906147003174 4.516696453094482 0.03449106216430664
not 8 9 3 11.511242866516113 8.244489669799805 0
make 8 10 4 12.528757095336914 7.951857089996338 0.2926325798034668
sense 8 11 5 10.965747833251953 3.4251248836517334 4.5267322063446045
? 8 12 1 7.904860019683838 5.8107008934021 0
whom 9 0 4 14.503087997436523 0.5741268992424011 0
did 9 1 3 1.7798904180526733 4.571567058563232 0
an 9 2 2 8.117044448852539 5.7896199226379395 0
account 9 3 7 9.59244441986084 8.976264953613281 0
for 9 4 3 4.0276031494140625 6.076945781707764 2.8993191719055176
buy 9 5 3 19.295013427734375 4.534935474395752 1.5420103073120117
a 9 6 1 1.9225202798843384 6.6804728507995605 0
