word sentid sentpos wlen surp entropy entred
how 0 0 3 4.9984211921691895 1.0427905321121216 0
did 0 1 3 1.9895871877670288 3.706901788711548 0
bill 0 2 4 11.688253402709961 3.0446367263793945 0.6622650623321533
claim 0 3 5 10.159149169921875 6.988222122192383 0
that 0 4 4 0.2663043141365051 1.5587588548660278 5.429463267326355
today 0 5 5 15.00407600402832 1.2034839391708374 0.35527491569519043
is 0 6 2 4.153001308441162 7.17940092086792 0
his 0 7 3 8.849763870239258 6.210167407989502 0.969233512878418
last 0 8 4 7.015567302703857 7.510311603546143 0
day 0 9 3 7.227437973022461 9.088089942932129 0
? 0 10 1 1.225343942642212 4.729090213775635 4.358999729156494
how 1 0 3 4.9984211921691895 1.0427905321121216 0
does 1 1 4 1.3403319120407104 3.706901788711548 0
<unk> 1 2 5 2.0468878746032715 5.3251519203186035 0
claim 1 3 5 9.104853630065918 6.5338616371154785 0
that 1 4 4 0.6070102453231812 2.31261944770813 4.221242189407349
he 1 5 2 5.54319953918457 1.1974358558654785 1.1151835918426514
has 1 6 3 6.069919109344482 6.806466579437256 0
a 1 7 1 5.698324203491211 8.81558895111084 0
boat 1 8 4 13.068979263305664 9.51681900024414 0
and 1 9 3 6.608544826507568 5.801415920257568 3.7154030799865723
a 1 10 1 5.205546855926514 7.285511016845703 0
car 1 11 3 9.369940757751465 9.974267959594727 0
? 1 12 1 2.2292096614837646 5.339695453643799 4.634572505950928
how 2 0 3 4.9984211921691895 1.0427905321121216 0
did 2 1 3 1.9895871877670288 3.706901788711548 0
she 2 2 3 5.499105930328369 3.0446367263793945 0.6622650623321533
think 2 3 5 8.467143058776855 3.5324580669403076 0
that 2 4 4 2.132354974746704 4.965706825256348 0
she 2 5 3 5.568392753601074 3.2958672046661377 1.66983962059021
bought 2 6 6 11.613234519958496 6.264538288116455 0
beans 2 7 5 15.92597484588623 1.6121492385864258 4.652389049530029
and 2 8 3 5.548835754394531 3.189483642578125 0
<unk> 2 9 5 3.649273633956909 8.688567161560059 0
? 2 10 1 0.8861725926399231 4.439207077026367 4.249360084533691
how 3 0 3 4.9984211921691895 1.0427905321121216 0
does 3 1 4 1.3403319120407104 3.706901788711548 0
<unk> 3 2 5 2.0468878746032715 5.3251519203186035 0
claim 3 3 5 9.104853630065918 6.5338616371154785 0
that 3 4 4 0.6070102453231812 2.31261944770813 4.221242189407349
he 3 5 2 5.54319953918457 1.1974358558654785 1.1151835918426514
can 3 6 3 6.180935859680176 6.806466579437256 0
make 3 7 4 8.079804420471191 5.130630016326904 1.6758365631103516
<unk> 3 8 5 4.9568281173706055 5.140914440155029 0
and 3 9 3 7.82108736038208 3.2365219593048096 1.9043924808502197
espresso 3 10 8 20.198654174804688 7.698554515838623 0
? 3 11 1 0.2165427953004837 1.656906247138977 6.041648268699646
how 4 0 3 4.9984211921691895 1.0427905321121216 0
does 4 1 4 1.3403319120407104 3.706901788711548 0
she 4 2 3 3.1016533374786377 5.3251519203186035 0
know 4 3 4 8.267973899841309 3.7399182319641113 1.5852336883544922
that 4 4 4 1.6497914791107178 2.226175308227539 1.5137429237365723
she 4 5 3 7.678838729858398 1.3610749244689941 0.8651003837585449
failed 4 6 6 10.00373363494873 6.349047660827637 0
the 4 7 3 7.362342834472656 1.3429269790649414 5.006120681762695
test 4 8 4 10.042473793029785 2.9439048767089844 0
? 4 9 1 1.3429090976715088 5.849318504333496 0
how 5 0 3 4.9984211921691895 1.0427905321121216 0
did 5 1 3 1.9895871877670288 3.706901788711548 0
he 5 2 2 7.975141525268555 3.0446367263793945 0.6622650623321533
say 5 3 3 8.711038589477539 2.7871782779693604 0.2574584484100342
that 5 4 4 0.33533337712287903 1.4091289043426514 1.378049373626709
he 5 5 2 4.679073810577393 1.2889626026153564 0.12016630172729492
went 5 6 4 10.00927734375 6.433108806610107 0
to 5 7 2 7.214940547943115 1.4852988719940186 4.947809934616089
school 5 8 6 9.043014526367188 5.575929641723633 0
? 5 9 1 0.31600069999694824 1.6298688650131226 3.9460607767105103
how 6 0 3 4.9984211921691895 1.0427905321121216 0
does 6 1 4 1.3403319120407104 3.706901788711548 0
will 6 2 4 12.622671127319336 5.3251519203186035 0
think 6 3 5 9.115147590637207 6.669145107269287 0
that 6 4 4 1.6405686140060425 4.461999893188477 2.2071452140808105
bill 6 5 4 12.73824691772461 2.34948992729187 2.1125099658966064
is 6 6 2 3.973245620727539 7.352351188659668 0
pregnant 6 7 8 12.958602905273438 6.257452964782715 1.0948982238769531
in 6 8 2 3.5122950077056885 3.138371229171753 3.119081735610962
class 6 9 5 16.731685638427734 0.9324612021446228 2.20591002702713
? 6 10 1 0.20530688762664795 1.4479317665100098 0
how 7 0 3 4.9984211921691895 1.0427905321121216 0
did 7 1 3 1.9895871877670288 3.706901788711548 0
<unk> 7 2 5 3.588016986846924 3.0446367263793945 0.6622650623321533
claim 7 3 5 9.030473709106445 6.224533557891846 0
that 7 4 4 0.7246951460838318 2.4999196529388428 3.724613904953003
he 7 5 2 5.624596118927002 1.1854290962219238 1.314490556716919
fell 7 6 4 11.779757499694824 6.799114227294922 0
asleep 7 7 6 8.165167808532715 3.5487852096557617 3.25032901763916
in 7 8 2 2.181335926055908 1.9294434785842896 1.6193417310714722
class 7 9 5 18.170528411865234 0.6479153037071228 1.2815281748771667
today 7 10 5 11.216760635375977 1.8661760091781616 0
? 7 11 1 0.37579458951950073 1.9904308319091797 0
how 8 0 3 4.9984211921691895 1.0427905321121216 0
does 8 1 4 1.3403319120407104 3.706901788711548 0
someone 8 2 7 7.592436790466309 5.3251519203186035 0
who 8 3 3 1.526459813117981 4.457568645477295 0.8675832748413086
speaks 8 4 6 5.665491104125977 7.241704940795898 0
a 8 5 1 12.970487594604492 0.3366818428039551 6.905023097991943
<unk> 8 6 5 6.40559720993042 8.117138862609863 0
language 8 7 8 11.16273307800293 4.6949782371521 3.4221606254577637
solve 8 8 5 21.80447006225586 4.235490798950195 0.4594874382019043
by 8 9 2 13.467982292175293 0.18333233892917633 4.052158460021019
<unk> 8 10 5 2.4971866607666016 6.402438640594482 0
analysis 8 11 8 16.81993293762207 3.7975547313690186 2.604883909225464
? 8 12 1 2.166722059249878 4.233938217163086 0
how 9 0 3 4.9984211921691895 1.0427905321121216 0
does 9 1 4 1.3403319120407104 3.706901788711548 0
<unk> 9 2 5 2.0468878746032715 5.3251519203186035 0
claim 9 3 5 9.104853630065918 6.5338616371154785 0
that 9 4 4 0.6070102453231812 2.31261944770813 4.221242189407349
she 9 5 3 8.264567375183105 1.1974358558654785 1.1151835918426514
sleeps 9 6 6 10.276128768920898 6.903262615203857 0
with 9 7 4 2.332456111907959 2.3151185512542725 4.588144063949585
a 9 8 1 6.967362403869629 4.0691680908203125 0
teddy 9 9 5 16.228057861328125 8.524895668029785 0
bear 9 10 4 5.081153869628906 7.991599082946777 0.5332965850830078
? 9 11 1 0.6942200064659119 3.040484666824341 4.9511144161224365
how 10 0 3 4.9984211921691895 1.0427905321121216 0
does 10 1 4 1.3403319120407104 3.706901788711548 0
someone 10 2 7 7.592436790466309 5.3251519203186035 0
who 10 3 3 1.526459813117981 4.457568645477295 0.8675832748413086
speaks 10 4 6 5.665491104125977 7.241704940795898 0
a 10 5 1 12.970487594604492 0.3366818428039551 6.905023097991943
<unk> 10 6 5 6.40559720993042 8.117138862609863 0
language 10 7 8 11.16273307800293 4.6949782371521 3.4221606254577637
know 10 8 4 17.940414428710938 4.235490798950195 0.4594874382019043
beans 10 9 5 22.829940795898438 2.542055368423462 1.6934354305267334
and 10 10 3 7.1325578689575195 6.748813629150391 0
<unk> 10 11 5 2.7835965156555176 8.627642631530762 0
? 10 12 1 1.8022092580795288 7.298763275146484 1.3288793563842773
how 11 0 3 4.9984211921691895 1.0427905321121216 0
does 11 1 4 1.3403319120407104 3.706901788711548 0
<unk> 11 2 5 2.0468878746032715 5.3251519203186035 0
hear 11 3 4 3.865074872970581 6.5338616371154785 0
<unk> 11 4 5 7.14307165145874 2.8410773277282715 3.692784309387207
and 11 5 3 7.524697780609131 5.580574035644531 0
espresso 11 6 8 20.377281188964844 5.438356399536133 0.14221763610839844
? 11 7 1 1.5724869966506958 4.627137660980225 0.8112187385559082
how 12 0 3 4.9984211921691895 1.0427905321121216 0
does 12 1 4 1.3403319120407104 3.706901788711548 0
<unk> 12 2 5 2.0468878746032715 5.3251519203186035 0
