word sentid sentpos wlen surp entropy entred
how 0 0 3 5.473527431488037 0.7761688232421875 0
did 0 1 3 2.726438283920288 2.4400229454040527 0
bill 0 2 4 14.897592544555664 4.052842617034912 0
claim 0 3 5 7.798561096191406 7.752786159515381 0
that 0 4 4 0.9327589273452759 3.5969064235687256 4.155879735946655
today 0 5 5 15.02158260345459 1.9713358879089355 1.62557053565979
is 0 6 2 4.4836015701293945 6.034451484680176 0
his 0 7 3 8.372291564941406 6.324965476989746 0
last 0 8 4 7.930605888366699 6.765529155731201 0
day 0 9 3 9.082921981811523 7.106124401092529 0
? 0 10 1 0.399624228477478 2.0259552001953125 5.080169200897217
how 1 0 3 5.473527431488037 0.7761688232421875 0
does 1 1 4 0.8584136366844177 2.4400229454040527 0
<unk> 1 2 5 5.371366500854492 3.7555384635925293 0
claim 1 3 5 7.3877692222595215 6.795374393463135 0
that 1 4 4 0.6278644800186157 2.5720839500427246 4.22329044342041
he 1 5 2 5.514950275421143 1.5426793098449707 1.029404640197754
has 1 6 3 5.556143760681152 5.8728861808776855 0
a 1 7 1 4.488480567932129 8.86723518371582 0
boat 1 8 4 13.428058624267578 8.849665641784668 0.017569541931152344
and 1 9 3 5.789997577667236 5.813706874847412 3.035958766937256
a 1 10 1 4.38198184967041 8.832784652709961 0
car 1 11 3 8.10158920288086 9.706744194030762 0
? 1 12 1 5.538046360015869 5.843395233154297 3.863348960876465
how 2 0 3 5.473527431488037 0.7761688232421875 0
did 2 1 3 2.726438283920288 2.4400229454040527 0
she 2 2 3 2.234703779220581 4.052842617034912 0
think 2 3 5 8.838835716247559 2.0206072330474854 2.0322353839874268
that 2 4 4 1.2788169384002686 3.6846346855163574 0
she 2 5 3 4.543485641479492 2.0852434635162354 1.599391222000122
bought 2 6 6 13.098991394042969 5.771358013153076 0
beans 2 7 5 18.675186157226562 1.997766137123108 3.7735918760299683
and 2 8 3 3.24084210395813 4.833731174468994 0
<unk> 2 9 5 4.177369594573975 9.791833877563477 0
? 2 10 1 6.235759258270264 6.916528701782227 2.87530517578125
how 3 0 3 5.473527431488037 0.7761688232421875 0
does 3 1 4 0.8584136366844177 2.4400229454040527 0
<unk> 3 2 5 5.371366500854492 3.7555384635925293 0
claim 3 3 5 7.3877692222595215 6.795374393463135 0
that 3 4 4 0.6278644800186157 2.5720839500427246 4.22329044342041
he 3 5 2 5.514950275421143 1.5426793098449707 1.029404640197754
can 3 6 3 6.134993553161621 5.8728861808776855 0
make 3 7 4 7.499619007110596 7.239123821258545 0
<unk> 3 8 5 7.744045734405518 0.8139340877532959 6.425189733505249
and 3 9 3 6.313467979431152 6.791210174560547 0
espresso 3 10 8 21.575641632080078 7.943665504455566 0
? 3 11 1 5.973077774047852 7.466214179992676 0.4774513244628906
how 4 0 3 5.473527431488037 0.7761688232421875 0
does 4 1 4 0.8584136366844177 2.4400229454040527 0
she 4 2 3 1.8203095197677612 3.7555384635925293 0
know 4 3 4 8.137299537658691 2.0584051609039307 1.6971333026885986
that 4 4 4 0.9574944972991943 3.3063478469848633 0
she 4 5 3 4.513497829437256 2.115093946456909 1.191253900527954
failed 4 6 6 12.321812629699707 5.252587795257568 0
the 4 7 3 6.709549427032471 1.0494781732559204 4.203109622001648
test 4 8 4 7.962930679321289 6.909339904785156 0
? 4 9 1 5.516232013702393 6.185818195343018 0.7235217094421387
how 5 0 3 5.473527431488037 0.7761688232421875 0
did 5 1 3 2.726438283920288 2.4400229454040527 0
he 5 2 2 4.203038692474365 4.052842617034912 0
say 5 3 3 9.406571388244629 2.168349266052246 1.884493350982666
that 5 4 4 0.5970144271850586 2.345848798751831 0
he 5 5 2 4.857820510864258 1.9773516654968262 0.3684971332550049
went 5 6 4 10.5193510055542 5.91896915435791 0
to 5 7 2 6.792159080505371 1.7170127630233765 4.201956391334534
school 5 8 6 8.622398376464844 4.254323959350586 0
? 5 9 1 1.5674355030059814 4.1271538734436035 0.12717008590698242
how 6 0 3 5.473527431488037 0.7761688232421875 0
does 6 1 4 0.8584136366844177 2.4400229454040527 0
will 6 2 4 13.611275672912598 3.7555384635925293 0
think 6 3 5 8.836971282958984 6.0885138511657715 0
that 6 4 4 0.8324322700500488 3.080124855041504 3.0083889961242676
bill 6 5 4 15.564925193786621 2.277493715286255 0.802631139755249
is 6 6 2 3.99528431892395 6.666618347167969 0
pregnant 6 7 8 8.440115928649902 6.791595458984375 0
in 6 8 2 5.314971923828125 2.0550761222839355 4.7365193367004395
class 6 9 5 33.350406646728516 6.48360000923276e-05 2.055011286283843
? 6 10 1 0.05206732824444771 0.40343180298805237 0
how 7 0 3 5.473527431488037 0.7761688232421875 0
did 7 1 3 2.726438283920288 2.4400229454040527 0
<unk> 7 2 5 4.933353900909424 4.052842617034912 0
claim 7 3 5 7.7060136795043945 8.183647155761719 0
that 7 4 4 0.5058586597442627 2.248359441757202 5.935287714004517
he 7 5 2 5.3336663246154785 1.6247252225875854 0.6236342191696167
fell 7 6 4 13.972888946533203 6.067422866821289 0
asleep 7 7 6 6.487859725952148 2.2636804580688477 3.8037424087524414
in 7 8 2 1.471192717552185 3.8392341136932373 0
class 7 9 5 30.169044494628906 0.000569322204682976 3.8386647914885543
today 7 10 5 17.965810775756836 0.6503643989562988 0
? 7 11 1 1.1819300651550293 3.21942138671875 0
how 8 0 3 5.473527431488037 0.7761688232421875 0
does 8 1 4 0.8584136366844177 2.4400229454040527 0
someone 8 2 7 8.572429656982422 3.7555384635925293 0
who 8 3 3 0.8826435208320618 1.8574062585830688 1.8981322050094604
speaks 8 4 6 7.901592254638672 6.253616809844971 0
a 8 5 1 7.725208759307861 2.04805850982666 4.2055583000183105
<unk> 8 6 5 6.335949420928955 5.974118232727051 0
language 8 7 8 9.636770248413086 1.9459689855575562 4.028149247169495
solve 8 8 5 25.869918823242188 5.196115016937256 0
by 8 9 2 11.662392616271973 1.2021195888519287 3.993995428085327
<unk> 8 10 5 5.783977508544922 0.8839282989501953 0.3181912899017334
analysis 8 11 8 21.4919490814209 1.253157615661621 0
? 8 12 1 3.169048547744751 5.285894393920898 0
how 9 0 3 5.473527431488037 0.7761688232421875 0
does 9 1 4 0.8584136366844177 2.4400229454040527 0
<unk> 9 2 5 5.371366500854492 3.7555384635925293 0
claim 9 3 5 7.3877692222595215 6.795374393463135 0
that 9 4 4 0.6278644800186157 2.5720839500427246 4.22329044342041
she 9 5 3 6.7790207862854 1.5426793098449707 1.029404640197754
sleeps 9 6 6 7.620230674743652 5.612580299377441 0
with 9 7 4 0.37214648723602295 1.3002750873565674 4.312305212020874
a 9 8 1 21.59814453125 0.0006370550254359841 1.2996380323311314
teddy 9 9 5 14.71154499053955 8.354863166809082 0
bear 9 10 4 2.328580617904663 6.637137413024902 1.7177257537841797
? 9 11 1 4.92609977722168 2.934765577316284 3.702371835708618
how 10 0 3 5.473527431488037 0.7761688232421875 0
does 10 1 4 0.8584136366844177 2.4400229454040527 0
someone 10 2 7 8.572429656982422 3.7555384635925293 0
who 10 3 3 0.8826435208320618 1.8574062585830688 1.8981322050094604
speaks 10 4 6 7.901592254638672 6.253616809844971 0
a 10 5 1 7.725208759307861 2.04805850982666 4.2055583000183105
<unk> 10 6 5 6.335949420928955 5.974118232727051 0
language 10 7 8 9.636770248413086 1.9459689855575562 4.028149247169495
know 10 8 4 16.456531524658203 5.196115016937256 0
beans 10 9 5 25.388057708740234 1.7159245014190674 3.4801905155181885
and 10 10 3 3.741607189178467 5.844364166259766 0
<unk> 10 11 5 2.092557430267334 8.62169361114502 0
? 10 12 1 3.7477056980133057 6.571257591247559 2.050436019897461
how 11 0 3 5.473527431488037 0.7761688232421875 0
