word sentid sentpos wlen surp entropy entred
what 0 0 4 0.12192235887050629 0.8750322461128235 0
did 0 1 3 0.4535558819770813 2.5645015239715576 0
they 0 2 4 3.871522903442383 5.9030280113220215 0
not 0 3 3 19.949792861938477 0.30889418721199036 5.594133824110031
like 0 4 4 12.228303909301758 1.3603131771087646 0
that 0 5 4 4.846776008605957 4.410670280456543 0
<unk> 0 6 5 8.302499771118164 1.3232741355895996 3.0873961448669434
likes 0 7 5 7.402453899383545 4.055549621582031 0
and 0 8 3 16.198993682861328 0.6872746348381042 3.368274986743927
accounts 0 9 8 12.951812744140625 9.144112586975098 0
? 0 10 1 3.5556461811065674 3.9916634559631348 5.152449131011963
who 1 0 3 7.781025409698486 0.8750322461128235 0
did 1 1 3 1.0464832782745361 4.257621765136719 0
she 1 2 3 4.7350873947143555 6.923679828643799 0
hear 1 3 4 2.6390914916992188 1.7430088520050049 5.180670976638794
a 1 4 1 3.459214448928833 3.996999502182007 0
rumour 1 5 6 2.4946467876434326 4.7984843254089355 0
about 1 6 5 12.333446502685547 0.02935446798801422 4.769129857420921
and 1 7 3 12.713547706604004 4.036985397338867 0
wait 1 8 4 13.192483901977539 7.2889018058776855 0
for 1 9 3 1.7245838642120361 5.125504016876221 2.163397789001465
? 1 10 1 2.224043846130371 5.256329536437988 0
what 2 0 4 0.12192235887050629 0.8750322461128235 0
did 2 1 3 0.4535558819770813 2.5645015239715576 0
he 2 2 2 5.262884616851807 5.9030280113220215 0
hear 2 3 4 1.086177110671997 1.7724473476409912 4.13058066368103
that 2 4 4 2.6496832370758057 3.561535596847534 0
<unk> 2 5 5 0.4237317144870758 2.7378039360046387 0.8237316608428955
ate 2 6 3 16.067052841186523 1.2507401704788208 1.4870637655258179
accounts 2 7 8 17.804046630859375 0.6800247430801392 0.5707154273986816
and 2 8 3 8.183476448059082 3.393795967102051 0
? 2 9 1 11.535161018371582 10.74930477142334 0
what 3 0 4 0.12192235887050629 0.8750322461128235 0
did 3 1 3 0.4535558819770813 2.5645015239715576 0
will 3 2 4 14.983699798583984 5.9030280113220215 0
buy 3 3 3 7.110071659088135 3.0938374996185303 2.809190511703491
? 3 4 1 0.6038854122161865 2.6510682106018066 0.44276928901672363
what 4 0 4 0.12192235887050629 0.8750322461128235 0
did 4 1 3 0.4535558819770813 2.5645015239715576 0
you 4 2 3 4.991638660430908 5.9030280113220215 0
