word sentid sentpos wlen surp entropy entred
how 0 0 3 4.9984211921691895 1.0427905321121216 0
<unk> 0 1 5 6.051986217498779 3.706901788711548 0
did 0 2 3 3.0279364585876465 8.245079040527344 0
she 0 3 3 8.921418190002441 3.928173542022705 4.316905498504639
say 0 4 3 7.952852249145508 3.5176165103912354 0.4105570316314697
that 0 5 4 0.3158285319805145 1.3124299049377441 2.205186605453491
he 0 6 2 4.894606113433838 1.15523362159729 0.1571962833404541
directed 0 7 8 13.717761039733887 6.363356590270996 0
the 0 8 3 6.657149314880371 0.7283046245574951 5.635051965713501
movie 0 9 5 9.030515670776367 5.346282005310059 0
that 0 10 4 4.195337295532227 2.431933641433716 2.9143483638763428
i 0 11 1 10.620667457580566 1.2929599285125732 1.1389737129211426
saw 0 12 3 9.784780502319336 4.242280006408691 0
yesterday 0 13 9 12.920254707336426 0.5679090023040771 3.6743710041046143
? 0 14 1 0.06420233100652695 0.5836753845214844 0
how 1 0 3 4.9984211921691895 1.0427905321121216 0
discreet 1 1 8 19.940248489379883 3.706901788711548 0
did 1 2 3 7.416049957275391 6.252142906188965 0
<unk> 1 3 5 4.223272800445557 4.063233852386475 2.1889090538024902
hire 1 4 4 10.657354354858398 7.209375858306885 0
an 1 5 2 8.220680236816406 7.984813690185547 0
agent 1 6 5 7.046615123748779 6.261512279510498 1.7233014106750488
? 1 7 1 5.6519598960876465 4.207174301147461 2.054337978363037
how 2 0 3 4.9984211921691895 1.0427905321121216 0
pretty 2 1 6 16.62381362915039 3.706901788711548 0
does 2 2 4 4.485430717468262 6.802334308624268 0
<unk> 2 3 5 2.865107774734497 5.461109638214111 1.3412246704101562
like 2 4 4 7.462523937225342 7.03751277923584 0
the 2 5 3 2.7678093910217285 6.527519702911377 0.5099930763244629
woman 2 6 5 10.067416191101074 9.04066276550293 0
? 2 7 1 6.257500648498535 1.8012945652008057 7.239368200302124
how 3 0 3 4.9984211921691895 1.0427905321121216 0
difficult 3 1 9 11.319889068603516 3.706901788711548 0
did 3 2 3 7.107081413269043 6.853185176849365 0
he 3 3 2 7.516932487487793 4.685911655426025 2.16727352142334
hear 3 4 4 2.4758334159851074 2.22157883644104 2.4643328189849854
that 3 5 4 3.006528854370117 2.635162353515625 0
you 3 6 3 9.231382369995117 3.2278523445129395 0
failed 3 7 6 10.394691467285156 4.395069122314453 0
the 3 8 3 8.376805305480957 0.713761568069458 3.681307554244995
test 3 9 4 9.817648887634277 2.3657546043395996 0
? 3 10 1 1.0118579864501953 4.9022135734558105 0
whose 4 0 5 12.881126403808594 1.0427905321121216 0
did 4 1 3 13.109135627746582 10.103599548339844 0
she 4 2 3 5.874227523803711 7.673407554626465 2.430191993713379
say 4 3 3 6.9882659912109375 4.5643205642700195 3.1090869903564453
that 4 4 4 0.21825680136680603 1.1278364658355713 3.4364840984344482
<unk> 4 5 5 0.19306403398513794 1.2141683101654053 0
eats 4 6 4 10.95277214050293 3.6312830448150635 0
<unk> 4 7 5 7.580152988433838 1.35673189163208 2.2745511531829834
? 4 8 1 0.31286025047302246 2.1628613471984863 0
how 5 0 3 4.9984211921691895 1.0427905321121216 0
<unk> 5 1 5 6.051986217498779 3.706901788711548 0
did 5 2 3 3.0279364585876465 8.245079040527344 0
she 5 3 3 8.921418190002441 3.928173542022705 4.316905498504639
say 5 4 3 7.952852249145508 3.5176165103912354 0.4105570316314697
that 5 5 4 0.3158285319805145 1.3124299049377441 2.205186605453491
he 5 6 2 4.894606113433838 1.15523362159729 0.1571962833404541
announced 5 7 9 13.580340385437012 6.363356590270996 0
a 5 8 1 7.166262626647949 2.920133590698242 3.443222999572754
plan 5 9 4 7.170112133026123 4.735262870788574 0
? 5 10 1 3.790640115737915 1.9508870840072632 2.784375786781311
how 6 0 3 4.9984211921691895 1.0427905321121216 0
pretty 6 1 6 16.62381362915039 3.706901788711548 0
did 6 2 3 5.464585781097412 6.802334308624268 0
he 6 3 2 7.941617488861084 4.121194839477539 2.6811394691467285
hear 6 4 4 2.3918278217315674 2.820446491241455 1.300748348236084
that 6 5 4 2.4047563076019287 2.9328441619873047 0
she 6 6 3 7.596506118774414 2.915571928024292 0.017272233963012695
read 6 7 4 9.349567413330078 5.739575386047363 0
the 6 8 3 7.652010440826416 0.5060628652572632 5.2335125207901
<unk> 6 9 5 10.46734619140625 2.2110540866851807 0
comics 6 10 6 17.330137252807617 5.991419315338135 0
? 6 11 1 1.914244294166565 6.346994400024414 0
what 7 0 4 0.15231332182884216 1.0427905321121216 0
kind 7 1 4 9.567514419555664 3.5001893043518066 0
does 7 2 4 5.9814629554748535 3.2145824432373047 0.28560686111450195
<unk> 7 3 5 3.662362575531006 6.075783729553223 0
speak 7 4 5 11.545134544372559 6.949103355407715 0
a 7 5 1 8.397010803222656 2.4088337421417236 4.540269613265991
language 7 6 8 13.648529052734375 6.8756914138793945 0
? 7 7 1 4.283999919891357 2.298320770263672 4.577370643615723
how 8 0 3 4.9984211921691895 1.0427905321121216 0
expensive 8 1 9 14.782639503479004 3.706901788711548 0
did 8 2 3 7.377495765686035 7.26345682144165 0
they 8 3 4 6.579002857208252 3.8510916233062744 3.412365198135376
not 8 4 3 15.175691604614258 2.5399374961853027 1.3111541271209717
like 8 5 4 8.264323234558105 4.509609699249268 0
that 8 6 4 4.071279048919678 4.054732322692871 0.4548773765563965
she 8 7 3 9.828115463256836 2.4632601737976074 1.5914721488952637
wears 8 8 5 12.537630081176758 6.3769378662109375 0
rings 8 9 5 15.123380661010742 2.612968921661377 3.7639689445495605
? 8 10 1 1.6786057949066162 4.053450584411621 0
how 9 0 3 4.9984211921691895 1.0427905321121216 0
pretty 9 1 6 16.62381362915039 3.706901788711548 0
did 9 2 3 5.464585781097412 6.802334308624268 0
she 9 3 3 6.002993106842041 4.121194839477539 2.6811394691467285
say 9 4 3 8.265584945678711 3.754046678543091 0.36714816093444824
that 9 5 4 0.3924812078475952 1.421270728111267 2.3327759504318237
<unk> 9 6 5 0.18592844903469086 1.2444097995758057 0.17686092853546143
likes 9 7 5 0.6236235499382019 3.318758726119995 0
the 9 8 3 9.556581497192383 0.14398957788944244 3.1747691482305527
woman 9 9 5 13.23383903503418 1.8651950359344482 0
? 9 10 1 4.0557355880737305 1.7813756465911865 0.08381938934326172
how 10 0 3 4.9984211921691895 1.0427905321121216 0
blue 10 1 4 15.192113876342773 3.706901788711548 0
did 10 2 3 3.325925827026367 9.246011734008789 0
he 10 3 2 9.467836380004883 3.8848652839660645 5.361146450042725
hear 10 4 4 2.1992077827453613 3.331511974334717 0.5533533096313477
that 10 5 4 2.2238821983337402 3.3696253299713135 0
<unk> 10 6 5 0.4187890291213989 2.7458367347717285 0.623788595199585
loaned 10 7 6 19.738689422607422 2.5185225009918213 0.22731423377990723
a 10 8 1 7.227908134460449 2.085724115371704 0.4327983856201172
trumpet 10 9 7 16.276554107666016 7.543270587921143 0
to 10 10 2 5.740967273712158 4.220217227935791 3.3230533599853516
you 10 11 3 8.967534065246582 5.672738552093506 0
? 10 12 1 0.19981534779071808 1.3785909414291382 4.294147610664368
how 11 0 3 4.9984211921691895 1.0427905321121216 0
extravagant 11 1 11 19.285707473754883 3.706901788711548 0
did 11 2 3 7.624912738800049 7.56981086730957 0
they 11 3 4 6.73698616027832 4.091420650482178 3.4783902168273926
not 11 4 3 14.752876281738281 2.636836290359497 1.4545843601226807
like 11 5 4 8.220709800720215 4.150535583496094 0
that 11 6 4 4.018021106719971 4.0695414543151855 0.0809941291809082
will 11 7 4 11.762426376342773 2.0790834426879883 1.9904580116271973
wears 11 8 5 16.9599609375 7.736551284790039 0
a 11 9 1 6.35256290435791 1.7836782932281494 5.95287299156189
hat 11 10 3 10.216164588928223 9.699380874633789 0
? 11 11 1 0.7745784521102905 3.2945497035980225 6.404831171035767
whose 12 0 5 12.881126403808594 1.0427905321121216 0
did 12 1 3 13.109135627746582 10.103599548339844 0
they 12 2 4 6.230343341827393 7.673407554626465 2.430191993713379
not 12 3 3 13.76424789428711 3.3264904022216797 4.346917152404785
like 12 4 4 8.886580467224121 4.927693843841553 0
that 12 5 4 3.8025033473968506 4.92402982711792 0.0036640167236328125
i 12 6 1 9.283366203308105 5.064761161804199 0
ate 12 7 3 16.408403396606445 3.451347827911377 1.6134133338928223
old 12 8 3 14.382587432861328 2.2555973529815674 1.1957504749298096
<unk> 12 9 5 5.474171161651611 3.007309913635254 0
? 12 10 1 0.4661160409450531 3.090216875076294 0
how 13 0 3 4.9984211921691895 1.0427905321121216 0
<unk> 13 1 5 6.051986217498779 3.706901788711548 0
did 13 2 3 3.0279364585876465 8.245079040527344 0
he 13 3 2 10.20896053314209 3.928173542022705 4.316905498504639
hear 13 4 4 2.4395763874053955 3.1028499603271484 0.8253235816955566
that 13 5 4 2.5083887577056885 2.9735469818115234 0.129302978515625
<unk> 13 6 5 0.4527381956577301 2.762022018432617 0.21152496337890625
heard 13 7 5 12.481254577636719 2.1857597827911377 0.5762622356414795
a 13 8 1 9.858838081359863 0.5451589226722717 1.640600860118866
rumour 13 9 6 2.1325430870056152 3.0147857666015625 0
? 13 10 1 7.655682563781738 0.13288311660289764 2.881902649998665
how 14 0 3 4.9984211921691895 1.0427905321121216 0
blue 14 1 4 15.192113876342773 3.706901788711548 0
did 14 2 3 3.325925827026367 9.246011734008789 0
<unk> 14 3 5 4.247090816497803 3.8848652839660645 5.361146450042725
give 14 4 4 9.782074928283691 8.094281196594238 0
a 14 5 1 4.555052757263184 5.098551273345947 2.995729923248291
guitar 14 6 6 13.187834739685059 8.663532257080078 0
to 14 7 2 5.65261173248291 5.329471111297607 3.3340611457824707
me 14 8 2 7.394972801208496 6.010536193847656 0
? 14 9 1 0.7262918949127197 2.9880125522613525 3.0225236415863037
whose 15 0 5 12.881126403808594 1.0427905321121216 0
did 15 1 3 13.109135627746582 10.103599548339844 0
she 15 2 3 5.874227523803711 7.673407554626465 2.430191993713379
whisper 15 3 7 18.055994033813477 4.5643205642700195 3.1090869903564453
that 15 4 4 3.388587474822998 3.815091609954834 0.7492289543151855
he 15 5 2 4.819929122924805 2.658191442489624 1.15690016746521
buys 15 6 4 14.45022964477539 6.450314998626709 0
coffee 15 7 6 12.515623092651367 1.8160886764526367 4.634226322174072
? 15 8 1 0.9438316822052002 4.013875484466553 0
how 16 0 3 4.9984211921691895 1.0427905321121216 0
<unk> 16 1 5 6.051986217498779 3.706901788711548 0
did 16 2 3 3.0279364585876465 8.245079040527344 0
<unk> 16 3 5 4.622012138366699 3.928173542022705 4.316905498504639
<unk> 16 4 5 4.767650127410889 8.148090362548828 0
not 16 5 3 12.830706596374512 7.565434455871582 0.5826559066772461
demand 16 6 6 13.773518562316895 6.468957424163818 1.0964770317077637
that 16 7 4 2.9695184230804443 3.181769609451294 3.2871878147125244
i 16 8 1 10.676135063171387 1.6838209629058838 1.4979486465454102
hire 16 9 4 12.843338012695312 2.2136261463165283 0
a 16 10 1 8.584867477416992 2.114663600921631 0.09896254539489746
teddy 16 11 5 14.517923355102539 6.533311367034912 0
bear 16 12 4 5.41584587097168 7.782691955566406 0
? 16 13 1 0.19853031635284424 1.3015865087509155 6.481105446815491
how 17 0 3 4.9984211921691895 1.0427905321121216 0
difficult 17 1 9 11.319889068603516 3.706901788711548 0
does 17 2 4 7.42689323425293 6.853185176849365 0
the 17 3 3 6.123394012451172 6.377217769622803 0.4759674072265625
blue 17 4 4 10.59559154510498 8.915196418762207 0
agent 17 5 5 17.491127014160156 9.538743019104004 0
do 17 6 2 6.291440963745117 8.14725399017334 1.391489028930664
math 17 7 4 20.945283889770508 7.338856220245361 0.8083977699279785
homework 17 8 8 18.528810501098633 4.792003154754639 2.5468530654907227
? 17 9 1 1.6739931106567383 5.176876068115234 0
how 18 0 3 4.9984211921691895 1.0427905321121216 0
important 18 1 9 11.58006477355957 3.706901788711548 0
is 18 2 2 8.411187171936035 7.190406322479248 0
she 18 3 3 9.192466735839844 5.595826625823975 1.5945796966552734
dating 18 4 6 17.747224807739258 8.45193099975586 0
the 18 5 3 4.013805866241455 6.41683292388916 2.035098075866699
<unk> 18 6 5 5.414725303649902 8.570996284484863 0
brothers 18 7 8 8.495959281921387 9.30123519897461 0
? 18 8 1 4.378045558929443 7.012584209442139 2.2886509895324707
how 19 0 3 4.9984211921691895 1.0427905321121216 0
unrealistic 19 1 11 16.960203170776367 3.706901788711548 0
is 19 2 2 9.859317779541016 6.249077796936035 0
the 19 3 3 1.924314260482788 6.234030723571777 0.015047073364257812
funny 19 4 5 16.59132957458496 6.09787654876709 0.1361541748046875
man 19 5 3 6.97130012512207 8.451264381408691 0
