word sentid sentpos wlen surp entropy entred
who 0 0 3 7.781025409698486 0.8750322461128235 0
did 0 1 3 1.0464832782745361 4.257621765136719 0
he 0 2 2 6.198303699493408 6.923679828643799 0
hear 0 3 4 2.9942870140075684 1.6463607549667358 5.277319073677063
that 0 4 4 1.9497336149215698 4.146897315979004 0
it 0 5 2 8.726259231567383 2.402078628540039 1.7448186874389648
is 0 6 2 3.01932430267334 6.445375442504883 0
important 0 7 9 8.176131248474121 6.720790863037109 0
to 0 8 2 3.503877639770508 3.8397324085235596 2.88105845451355
see 0 9 3 4.375722408294678 6.267396450042725 0
? 0 10 1 6.393713474273682 4.9443230628967285 1.323073387145996
what 1 0 4 0.12192235887050629 0.8750322461128235 0
is 1 1 2 8.013344764709473 2.5645015239715576 0
it 1 2 2 6.807991027832031 6.809345722198486 0
important 1 3 9 9.115556716918945 8.45358943939209 0
that 1 4 4 1.486537218093872 4.464720249176025 3.9888691902160645
<unk> 1 5 5 0.5132594108581543 3.2802352905273438 1.1844849586486816
buys 1 6 4 13.531607627868652 3.224902629852295 0.05533266067504883
? 1 7 1 0.016319822520017624 0.17884445190429688 3.046058177947998
who 2 0 3 7.781025409698486 0.8750322461128235 0
did 2 1 3 1.0464832782745361 4.257621765136719 0
he 2 2 2 6.198303699493408 6.923679828643799 0
hear 2 3 4 2.9942870140075684 1.6463607549667358 5.277319073677063
that 2 4 4 1.9497336149215698 4.146897315979004 0
it 2 5 2 8.726259231567383 2.402078628540039 1.7448186874389648
is 2 6 2 3.01932430267334 6.445375442504883 0
important 2 7 9 8.176131248474121 6.720790863037109 0
that 2 8 4 1.0898354053497314 3.8397324085235596 2.88105845451355
<unk> 2 9 5 0.34499800205230713 2.101167917251587 1.7385644912719727
knows 2 10 5 7.598612308502197 1.6628648042678833 0.4383031129837036
? 2 11 1 0.2898860573768616 1.4436498880386353 0.21921491622924805
where 3 0 5 11.005313873291016 0.8750322461128235 0
did 3 1 3 4.793986797332764 4.869808197021484 0
<unk> 3 2 5 2.7368738651275635 5.655349254608154 0
tell 3 3 4 9.407320022583008 7.247331619262695 0
you 3 4 3 5.778798580169678 5.830672264099121 1.4166593551635742
that 3 5 4 2.17207407951355 6.531496047973633 0
she 3 6 3 5.919773578643799 2.0507044792175293 4.4807915687561035
went 3 7 4 12.59519100189209 3.5695197582244873 0
? 3 8 1 3.283881425857544 5.3671369552612305 0
what 4 0 4 0.12192235887050629 0.8750322461128235 0
did 4 1 3 0.4535558819770813 2.5645015239715576 0
he 4 2 2 5.262884616851807 5.9030280113220215 0
hear 4 3 4 1.086177110671997 1.7724473476409912 4.13058066368103
that 4 4 4 2.6496832370758057 3.561535596847534 0
<unk> 4 5 5 0.4237317144870758 2.7378039360046387 0.8237316608428955
does 4 6 4 8.221037864685059 1.2507401704788208 1.4870637655258179
not 4 7 3 6.8373236656188965 6.001367092132568 0
do 4 8 2 7.769113063812256 3.373328924179077 2.628038167953491
? 4 9 1 0.8993877172470093 3.7433996200561523 0
what 5 0 4 0.12192235887050629 0.8750322461128235 0
did 5 1 3 0.4535558819770813 2.5645015239715576 0
he 5 2 2 5.262884616851807 5.9030280113220215 0
hear 5 3 4 1.086177110671997 1.7724473476409912 4.13058066368103
that 5 4 4 2.6496832370758057 3.561535596847534 0
<unk> 5 5 5 0.4237317144870758 2.7378039360046387 0.8237316608428955
thinks 5 6 6 5.48933219909668 1.2507401704788208 1.4870637655258179
their 5 7 5 12.195286750793457 1.7144393920898438 0
car 5 8 3 12.926602363586426 4.791632175445557 0
needed 5 9 6 12.91550350189209 5.285282611846924 0
to 5 10 2 5.542285442352295 1.8198240995407104 3.4654585123062134
do 5 11 2 4.464562892913818 6.153812885284424 0
? 5 12 1 0.23320069909095764 1.2982169389724731 4.855595946311951
who 6 0 3 7.781025409698486 0.8750322461128235 0
is 6 1 2 6.997805595397949 4.257621765136719 0
it 6 2 2 11.11219596862793 6.622526168823242 0
probable 6 3 8 12.363819122314453 7.997036933898926 0
that 6 4 4 0.18483267724514008 1.2384575605392456 6.75857937335968
<unk> 6 5 5 0.19572709500789642 1.327691912651062 0
helped 6 6 6 16.716169357299805 1.5084285736083984 0
? 6 7 1 6.824122905731201 8.001359939575195 0
what 7 0 4 0.12192235887050629 0.8750322461128235 0
did 7 1 3 0.4535558819770813 2.5645015239715576 0
they 7 2 4 3.871522903442383 5.9030280113220215 0
not 7 3 3 19.949792861938477 0.30889418721199036 5.594133824110031
like 7 4 4 12.228303909301758 1.3603131771087646 0
that 7 5 4 4.846776008605957 4.410670280456543 0
you 7 6 3 13.054312705993652 1.3232741355895996 3.0873961448669434
read 7 7 4 14.496962547302246 2.290714740753174 0
that 7 8 4 7.845338821411133 1.2067029476165771 1.0840117931365967
<unk> 7 9 5 0.8885819911956787 3.7534408569335938 0
is 7 10 2 7.62119722366333 1.3575154542922974 2.3959254026412964
trying 7 11 6 8.64522933959961 5.815165996551514 0
to 7 12 2 2.5341272354125977 1.4788185358047485 4.336347460746765
give 7 13 4 9.260083198547363 4.295948028564453 0
you 7 14 3 7.838288307189941 4.20214319229126 0.09380483627319336
? 7 15 1 1.0550379753112793 4.517198085784912 0
who 8 0 3 7.781025409698486 0.8750322461128235 0
did 8 1 3 1.0464832782745361 4.257621765136719 0
they 8 2 4 4.788426876068115 6.923679828643799 0
not 8 3 3 17.50594139099121 1.3954226970672607 5.528257131576538
like 8 4 4 9.572003364562988 3.570380210876465 0
that 8 5 4 3.9016685485839844 6.342817783355713 0
it 8 6 2 7.655737400054932 7.6208319664001465 0
is 8 7 2 4.5004096031188965 5.550758361816406 2.0700736045837402
probable 8 8 8 9.847885131835938 6.094895362854004 0
that 8 9 4 0.12876276671886444 0.8089922666549683 5.285903096199036
<unk> 8 10 5 0.21892841160297394 1.4694669246673584 0
met 8 11 3 15.185964584350586 1.3396532535552979 0.12981367111206055
? 8 12 1 3.7288906574249268 5.718041896820068 0
who 9 0 3 7.781025409698486 0.8750322461128235 0
is 9 1 2 6.997805595397949 4.257621765136719 0
it 9 2 2 11.11219596862793 6.622526168823242 0
probable 9 3 8 12.363819122314453 7.997036933898926 0
that 9 4 4 0.18483267724514008 1.2384575605392456 6.75857937335968
the 9 5 3 6.150331974029541 1.327691912651062 0
account 9 6 7 13.105179786682129 7.202816963195801 0
is 9 7 2 3.710503578186035 6.166071891784668 1.0367450714111328
waiting 9 8 7 13.432306289672852 7.947068691253662 0
for 9 9 3 1.578115701675415 4.386482238769531 3.560586452484131
? 9 10 1 1.3340476751327515 4.435559272766113 0
who 10 0 3 7.781025409698486 0.8750322461128235 0
did 10 1 3 1.0464832782745361 4.257621765136719 0
they 10 2 4 4.788426876068115 6.923679828643799 0
not 10 3 3 17.50594139099121 1.3954226970672607 5.528257131576538
like 10 4 4 9.572003364562988 3.570380210876465 0
that 10 5 4 3.9016685485839844 6.342817783355713 0
it 10 6 2 7.655737400054932 7.6208319664001465 0
is 10 7 2 4.5004096031188965 5.550758361816406 2.0700736045837402
important 10 8 9 9.654168128967285 6.094895362854004 0
to 10 9 2 2.8625035285949707 4.079479217529297 2.015416145324707
fix 10 10 3 12.366491317749023 6.534013271331787 0
? 10 11 1 1.9141433238983154 5.426929950714111 1.1070833206176758
who 11 0 3 7.781025409698486 0.8750322461128235 0
did 11 1 3 1.0464832782745361 4.257621765136719 0
they 11 2 4 4.788426876068115 6.923679828643799 0
not 11 3 3 17.50594139099121 1.3954226970672607 5.528257131576538
like 11 4 4 9.572003364562988 3.570380210876465 0
that 11 5 4 3.9016685485839844 6.342817783355713 0
it 11 6 2 7.655737400054932 7.6208319664001465 0
is 11 7 2 4.5004096031188965 5.550758361816406 2.0700736045837402
probable 11 8 8 9.847885131835938 6.094895362854004 0
that 11 9 4 0.12876276671886444 0.8089922666549683 5.285903096199036
<unk> 11 10 5 0.21892841160297394 1.4694669246673584 0
called 11 11 6 14.595667839050293 1.3396532535552979 0.12981367111206055
? 11 12 1 2.7197108268737793 4.922298431396484 0
what 12 0 4 0.12192235887050629 0.8750322461128235 0
did 12 1 3 0.4535558819770813 2.5645015239715576 0
<unk> 12 2 5 3.907050371170044 5.9030280113220215 0
buy 12 3 3 9.67192554473877 3.8971550464630127 2.005872964859009
you 12 4 3 9.281828880310059 3.1859354972839355 0.7112195491790771
? 12 5 1 5.768038272857666 5.152443885803223 0
what 13 0 4 0.12192235887050629 0.8750322461128235 0
did 13 1 3 0.4535558819770813 2.5645015239715576 0
she 13 2 3 2.9585673809051514 5.9030280113220215 0
say 13 3 3 9.244778633117676 1.6968168020248413 4.20621120929718
that 13 4 4 0.5025807619094849 1.6028566360473633 0.09396016597747803
<unk> 13 5 5 0.41738924384117126 2.0894086360931396 0
thinks 13 6 6 5.112945079803467 1.7789710760116577 0.31043756008148193
that 13 7 4 4.482356071472168 1.3893872499465942 0.3895838260650635
their 13 8 5 11.589158058166504 1.9594470262527466 0
rumour 13 9 6 15.647751808166504 6.637748718261719 0
was 13 10 3 8.944705963134766 2.1261327266693115 4.511615991592407
? 13 11 1 8.865815162658691 0.30635878443717957 1.819773942232132
what 14 0 4 0.12192235887050629 0.8750322461128235 0
is 14 1 2 8.013344764709473 2.5645015239715576 0
it 14 2 2 6.807991027832031 6.809345722198486 0
important 14 3 9 9.115556716918945 8.45358943939209 0
that 14 4 4 1.486537218093872 4.464720249176025 3.9888691902160645
<unk> 14 5 5 0.5132594108581543 3.2802352905273438 1.1844849586486816
eats 14 6 4 13.401358604431152 3.2249093055725098 0.055325984954833984
for 14 7 3 12.7708101272583 0.21619462966918945 3.0087146759033203
<unk> 14 8 5 4.262571334838867 2.9900593757629395 0
? 14 9 1 0.08737786114215851 0.6941078901290894 2.29595148563385
who 15 0 3 7.781025409698486 0.8750322461128235 0
is 15 1 2 6.997805595397949 4.257621765136719 0
it 15 2 2 11.11219596862793 6.622526168823242 0
scandalous 15 3 10 17.53485870361328 7.997036933898926 0
that 15 4 4 2.4945902824401855 5.074915409088135 2.922121524810791
the 15 5 3 6.449088096618652 2.0781068801879883 2.9968085289001465
silly 15 6 5 17.99297332763672 7.632852077484131 0
candy 15 7 5 15.81113052368164 8.566726684570312 0
store 15 8 5 8.649778366088867 8.734557151794434 0
is 15 9 2 4.574528694152832 5.799288272857666 2.9352688789367676
demanding 15 10 9 14.138053894042969 8.181241989135742 0
? 15 11 1 0.5147814750671387 2.593801975250244 5.587440013885498
who 16 0 3 7.781025409698486 0.8750322461128235 0
did 16 1 3 1.0464832782745361 4.257621765136719 0
they 16 2 4 4.788426876068115 6.923679828643799 0
<unk> 16 3 5 15.9483003616333 1.3954226970672607 5.528257131576538
that 16 4 4 5.898637771606445 7.131813049316406 0
it 16 5 2 8.040916442871094 3.9116458892822266 3.2201671600341797
is 16 6 2 3.8735625743865967 5.881840229034424 0
expensive 16 7 9 14.041755676269531 6.57206392288208 0
to 16 8 2 4.778729438781738 3.626237630844116 2.945826292037964
date 16 9 4 9.89085865020752 4.014983177185059 0
? 16 10 1 0.9695896506309509 3.498270273208618 0.5167129039764404
what 17 0 4 0.12192235887050629 0.8750322461128235 0
did 17 1 3 0.4535558819770813 2.5645015239715576 0
they 17 2 4 3.871522903442383 5.9030280113220215 0
not 17 3 3 19.949792861938477 0.30889418721199036 5.594133824110031
like 17 4 4 12.228303909301758 1.3603131771087646 0
that 17 5 4 4.846776008605957 4.410670280456543 0
it 17 6 2 9.612787246704102 1.3232741355895996 3.0873961448669434
is 17 7 2 5.7167768478393555 3.2701869010925293 0
circulating 17 8 11 20.206335067749023 3.3201701641082764 0
that 17 9 4 3.946521282196045 2.9174513816833496 0.40271878242492676
<unk> 17 10 5 0.430708646774292 2.8402111530303955 0.0772402286529541
analysis 17 11 8 19.16548728942871 2.1142451763153076 0.7259659767150879
solved 17 12 6 16.77818489074707 5.100194454193115 0
? 17 13 1 0.04817187041044235 0.37482351064682007 4.725370943546295
what 18 0 4 0.12192235887050629 0.8750322461128235 0
does 18 1 4 5.062137603759766 2.5645015239715576 0
<unk> 18 2 5 3.5464651584625244 6.384012222290039 0
not 18 3 3 11.057655334472656 4.215424060821533 2.168588161468506
think 18 4 5 7.817014694213867 2.701660633087158 1.513763427734375
that 18 5 4 1.4440034627914429 2.511549472808838 0.1901111602783203
you 18 6 3 10.01301383972168 2.198129415512085 0.31342005729675293
robbed 18 7 6 18.245319366455078 2.205719232559204 0
? 18 8 1 2.302076816558838 3.069430351257324 0
where 19 0 5 11.005313873291016 0.8750322461128235 0
is 19 1 2 8.297454833984375 4.869808197021484 0
it 19 2 2 7.566790580749512 5.86260461807251 0
unrealistic 19 3 11 16.00527572631836 8.136043548583984 0
that 19 4 4 2.847785234451294 4.531282901763916 3.6047606468200684
<unk> 19 5 5 0.22736534476280212 1.6829495429992676 2.8483333587646484
goes 19 6 4 11.613330841064453 1.7181544303894043 0
to 19 7 2 4.185835361480713 5.389886856079102 0
for 19 8 3 10.838523864746094 7.382331848144531 0
<unk> 19 9 5 1.9326034784317017 5.183302879333496 2.199028968811035
? 19 10 1 0.24152542650699615 1.5971060991287231 3.586196780204773
what 20 0 4 0.12192235887050629 0.8750322461128235 0
did 20 1 3 0.4535558819770813 2.5645015239715576 0
he 20 2 2 5.262884616851807 5.9030280113220215 0
hear 20 3 4 1.086177110671997 1.7724473476409912 4.13058066368103
that 20 4 4 2.6496832370758057 3.561535596847534 0
it 20 5 2 7.369253635406494 2.7378039360046387 0.8237316608428955
is 20 6 2 3.2290663719177246 6.283986568450928 0
extravagant 20 7 11 18.977468490600586 6.327243328094482 0
to 20 8 2 7.3935322761535645 2.3506715297698975 3.976571798324585
claim 20 9 5 7.224869251251221 7.018702983856201 0
? 20 10 1 2.6606802940368652 3.307835578918457 3.710867404937744
what 21 0 4 0.12192235887050629 0.8750322461128235 0
is 21 1 2 8.013344764709473 2.5645015239715576 0
it 21 2 2 6.807991027832031 6.809345722198486 0
likely 21 3 6 10.193204879760742 8.45358943939209 0
that 21 4 4 2.44443678855896 7.570220947265625 0.8833684921264648
the 21 5 3 6.032583236694336 2.5289547443389893 5.041266202926636
teacher 21 6 7 13.252190589904785 7.5378241539001465 0
buys 21 7 4 14.483638763427734 5.543781757354736 1.9940423965454102
? 21 8 1 0.05811496078968048 0.5389189124107361 5.004862844944
what 22 0 4 0.12192235887050629 0.8750322461128235 0
did 22 1 3 0.4535558819770813 2.5645015239715576 0
he 22 2 2 5.262884616851807 5.9030280113220215 0
hear 22 3 4 1.086177110671997 1.7724473476409912 4.13058066368103
that 22 4 4 2.6496832370758057 3.561535596847534 0
it 22 5 2 7.369253635406494 2.7378039360046387 0.8237316608428955
