word sentid sentpos wlen surp entropy entred
where 0 0 5 9.364096641540527 0.7761688232421875 0
did 0 1 3 4.057577133178711 6.092446804046631 0
<unk> 0 2 5 3.3820157051086426 5.285419940948486 0.8070268630981445
ask 0 3 3 10.597970962524414 8.384078979492188 0
who 0 4 3 5.683671474456787 5.413380146026611 2.970698833465576
<unk> 0 5 5 2.565484046936035 6.697299003601074 0
took 0 6 4 9.662281036376953 7.164985179901123 0
? 0 7 1 0.5142896771430969 2.5379180908203125 4.6270670890808105
what 1 0 4 0.10988659411668777 0.7761688232421875 0
did 1 1 3 0.42208120226860046 2.18949556350708 0
she 1 2 3 5.177004814147949 6.576239109039307 0
say 1 3 3 11.69732666015625 1.2463346719741821 5.3299044370651245
that 1 4 4 1.0441333055496216 3.2424490451812744 0
<unk> 1 5 5 0.31455862522125244 1.8616198301315308 1.3808292150497437
asked 1 6 5 14.190534591674805 3.2096283435821533 0
who 1 7 3 13.794852256774902 0.04660014808177948 3.163028195500374
will 1 8 4 5.449600696563721 6.159623146057129 0
read 1 9 4 10.011244773864746 7.0351409912109375 0
? 1 10 1 0.14392980933189392 0.9502549767494202 6.084886014461517
where 2 0 5 9.364096641540527 0.7761688232421875 0
did 2 1 3 4.057577133178711 6.092446804046631 0
<unk> 2 2 5 3.3820157051086426 5.285419940948486 0.8070268630981445
ask 2 3 3 10.597970962524414 8.384078979492188 0
how 2 4 3 8.006641387939453 5.413380146026611 2.970698833465576
<unk> 2 5 5 5.967361927032471 1.313093900680542 4.100286245346069
went 2 6 4 11.679287910461426 3.2048890590667725 0
? 2 7 1 0.29610753059387207 1.9059388637542725 1.2989501953125
what 3 0 4 0.10988659411668777 0.7761688232421875 0
did 3 1 3 0.42208120226860046 2.18949556350708 0
will 3 2 4 12.066920280456543 6.576239109039307 0
ask 3 3 3 10.39384937286377 4.164647579193115 2.4115915298461914
why 3 4 3 7.821183681488037 5.272111415863037 0
<unk> 3 5 5 4.389475345611572 1.213958978652954 4.058152437210083
wears 3 6 5 11.769613265991211 4.737597942352295 0
? 3 7 1 0.007578426040709019 0.07663605362176895 4.660961888730526
what 4 0 4 0.10988659411668777 0.7761688232421875 0
did 4 1 3 0.42208120226860046 2.18949556350708 0
she 4 2 3 5.177004814147949 6.576239109039307 0
say 4 3 3 11.69732666015625 1.2463346719741821 5.3299044370651245
that 4 4 4 1.0441333055496216 3.2424490451812744 0
will 4 5 4 9.236480712890625 1.8616198301315308 1.3808292150497437
thinks 4 6 6 6.388766288757324 8.257505416870117 0
he 4 7 2 7.016757488250732 3.5769755840301514 4.680529832839966
knows 4 8 5 4.319391250610352 4.735171318054199 0
where 4 9 5 14.638957023620605 0.22524848580360413 4.509922832250595
<unk> 4 10 5 7.5466508865356445 0.3096944987773895 0
announced 4 11 9 23.428321838378906 1.5585628747940063 0
? 4 12 1 0.13760440051555634 0.8166317343711853 0.741931140422821
what 5 0 4 0.10988659411668777 0.7761688232421875 0
did 5 1 3 0.42208120226860046 2.18949556350708 0
they 5 2 4 4.526808261871338 6.576239109039307 0
not 5 3 3 18.465961456298828 0.4782716929912567 6.09796741604805
like 5 4 4 14.197893142700195 2.7559173107147217 0
that 5 5 4 4.646534442901611 5.601587772369385 0
<unk> 5 6 5 1.639434814453125 6.344444751739502 0
wonders 5 7 7 16.783079147338867 4.21590518951416 2.128539562225342
how 5 8 3 19.020427703857422 0.001808295724913478 4.214096893789247
<unk> 5 9 5 14.370624542236328 0.013275301083922386 0
was 5 10 3 12.51892375946045 1.0898897647857666 0
? 5 11 1 4.1391191482543945 8.037006378173828 0
what 6 0 4 0.10988659411668777 0.7761688232421875 0
did 6 1 3 0.42208120226860046 2.18949556350708 0
<unk> 6 2 5 2.855661153793335 6.576239109039307 0
ask 6 3 3 11.229493141174316 8.064204216003418 0
when 6 4 4 10.508517265319824 5.5519304275512695 2.5122737884521484
<unk> 6 5 5 1.7662256956100464 4.752462387084961 0.7994680404663086
ate 6 6 3 12.4405517578125 6.0849175453186035 0
? 6 7 1 0.23239457607269287 1.4809958934783936 4.60392165184021
what 7 0 4 0.10988659411668777 0.7761688232421875 0
does 7 1 4 4.837581634521484 2.18949556350708 0
<unk> 7 2 5 2.363098621368408 6.8746843338012695 0
wonder 7 3 6 13.017641067504883 7.822704315185547 0
