word sentid sentpos wlen surp entropy entred
how 0 0 3 9.985267639160156 0.6060084104537964 0
did 0 1 3 0.9811612367630005 3.911411762237549 0
bill 0 2 4 13.976119041442871 3.1578140258789062 0.7535977363586426
claim 0 3 5 21.852590560913086 1.876767635345459 1.2810463905334473
that 0 4 4 2.7100162506103516 4.878663539886475 0
today 0 5 5 14.304183959960938 2.9546008110046387 1.924062728881836
is 0 6 2 5.171990871429443 6.818338394165039 0
his 0 7 3 7.960029125213623 7.991261959075928 0
last 0 8 4 7.620163440704346 8.869741439819336 0
day 0 9 3 7.0594635009765625 8.152054786682129 0.717686653137207
? 0 10 1 3.0573830604553223 5.511220932006836 2.640833854675293
how 1 0 3 9.985267639160156 0.6060084104537964 0
does 1 1 4 7.055923938751221 3.911411762237549 0
<unk> 1 2 5 0.37200963497161865 2.4093196392059326 1.5020921230316162
claim 1 3 5 12.715977668762207 6.669930458068848 0
that 1 4 4 1.6964061260223389 3.7314345836639404 2.9384958744049072
he 1 5 2 5.618542671203613 2.9927103519439697 0.7387242317199707
has 1 6 3 2.6897077560424805 6.772232532501221 0
a 1 7 1 6.469998836517334 7.049108505249023 0
boat 1 8 4 10.019889831542969 9.81708812713623 0
and 1 9 3 3.534235954284668 5.656801700592041 4.1602864265441895
a 1 10 1 5.496848106384277 7.823586463928223 0
car 1 11 3 5.725341320037842 9.768351554870605 0
? 1 12 1 0.541624128818512 3.520012855529785 6.24833869934082
how 2 0 3 9.985267639160156 0.6060084104537964 0
did 2 1 3 0.9811612367630005 3.911411762237549 0
she 2 2 3 6.49255895614624 3.1578140258789062 0.7535977363586426
think 2 3 5 7.639751434326172 6.427967071533203 0
that 2 4 4 0.6129987239837646 2.2065794467926025 4.221387624740601
she 2 5 3 6.4893388748168945 2.797842025756836 0
bought 2 6 6 9.546798706054688 6.645867824554443 0
beans 2 7 5 11.937057495117188 5.214419364929199 1.4314484596252441
and 2 8 3 3.1313583850860596 0.6738415360450745 4.540577828884125
<unk> 2 9 5 5.98122501373291 2.498546600341797 0
? 2 10 1 0.15214803814888 1.393676519393921 1.104870080947876
how 3 0 3 9.985267639160156 0.6060084104537964 0
does 3 1 4 7.055923938751221 3.911411762237549 0
<unk> 3 2 5 0.37200963497161865 2.4093196392059326 1.5020921230316162
claim 3 3 5 12.715977668762207 6.669930458068848 0
that 3 4 4 1.6964061260223389 3.7314345836639404 2.9384958744049072
he 3 5 2 5.618542671203613 2.9927103519439697 0.7387242317199707
can 3 6 3 6.719796180725098 6.772232532501221 0
make 3 7 4 7.370282173156738 6.520943641662598 0.25128889083862305
<unk> 3 8 5 2.0718846321105957 5.889772415161133 0.6311712265014648
and 3 9 3 4.059811115264893 2.7888503074645996 3.100922107696533
espresso 3 10 8 21.908409118652344 1.1208572387695312 1.6679930686950684
? 3 11 1 0.0065688625909388065 0.07883016020059586 1.0420270785689354
how 4 0 3 9.985267639160156 0.6060084104537964 0
does 4 1 4 7.055923938751221 3.911411762237549 0
she 4 2 3 6.755035400390625 2.4093196392059326 1.5020921230316162
know 4 3 4 7.852017879486084 6.49280309677124 0
that 4 4 4 0.7789140343666077 2.458513021469116 4.034290075302124
she 4 5 3 6.568691730499268 3.161663055419922 0
failed 4 6 6 11.271028518676758 7.042935371398926 0
the 4 7 3 7.977475166320801 3.735975980758667 3.306959390640259
test 4 8 4 10.599078178405762 9.871715545654297 0
? 4 9 1 3.5011608600616455 7.761012077331543 2.110703468322754
how 5 0 3 9.985267639160156 0.6060084104537964 0
did 5 1 3 0.9811612367630005 3.911411762237549 0
he 5 2 2 6.909853458404541 3.1578140258789062 0.7535977363586426
say 5 3 3 2.4417765140533447 6.61119270324707 0
that 5 4 4 0.2248784303665161 1.0812662839889526 5.529926419258118
he 5 5 2 5.379802227020264 3.139808177947998 0
went 5 6 4 9.752850532531738 7.137920379638672 0
to 5 7 2 2.930431604385376 5.533108711242676 1.604811668395996
school 5 8 6 9.302507400512695 4.330667018890381 1.202441692352295
? 5 9 1 1.1998556852340698 3.6976077556610107 0.6330592632293701
how 6 0 3 9.985267639160156 0.6060084104537964 0
does 6 1 4 7.055923938751221 3.911411762237549 0
will 6 2 4 9.792736053466797 2.4093196392059326 1.5020921230316162
think 6 3 5 9.407888412475586 7.279321193695068 0
