word sentid sentpos wlen surp entropy entred
how 0 0 3 11.787491798400879 0.37075525522232056 0
did 0 1 3 0.8049901127815247 4.06516695022583 0
bill 0 2 4 16.5599422454834 4.271245002746582 0
claim 0 3 5 14.38448429107666 6.919642925262451 0
that 0 4 4 2.1168768405914307 5.465027332305908 1.454615592956543
today 0 5 5 12.59200668334961 4.89782190322876 0.5672054290771484
is 0 6 2 6.3067240715026855 5.309006214141846 0
his 0 7 3 7.513588905334473 7.811827659606934 0
last 0 8 4 7.781152248382568 9.638718605041504 0
day 0 9 3 6.784712791442871 9.702932357788086 0
? 0 10 1 2.7117316722869873 5.351583003997803 4.351349353790283
how 1 0 3 11.787491798400879 0.37075525522232056 0
does 1 1 4 7.216518878936768 4.06516695022583 0
<unk> 1 2 5 2.516843557357788 4.200867176055908 0
claim 1 3 5 12.074256896972656 5.8896002769470215 0
that 1 4 4 0.9615130424499512 4.021523475646973 1.8680768013000488
he 1 5 2 3.2921485900878906 4.720681190490723 0
has 1 6 3 2.6188838481903076 6.648587226867676 0
a 1 7 1 5.291298866271973 7.987899303436279 0
boat 1 8 4 10.417953491210938 10.211963653564453 0
and 1 9 3 1.1169859170913696 4.347255229949951 5.864708423614502
a 1 10 1 5.270378112792969 8.973077774047852 0
car 1 11 3 4.812292098999023 10.543482780456543 0
? 1 12 1 1.209579348564148 3.6753411293029785 6.8681416511535645
how 2 0 3 11.787491798400879 0.37075525522232056 0
did 2 1 3 0.8049901127815247 4.06516695022583 0
she 2 2 3 2.0975091457366943 4.271245002746582 0
think 2 3 5 7.93373441696167 6.789734840393066 0
that 2 4 4 1.6486124992370605 4.374980449676514 2.4147543907165527
she 2 5 3 4.078261375427246 5.654946804046631 0
bought 2 6 6 11.145333290100098 6.65973424911499 0
beans 2 7 5 13.091238021850586 4.686778545379639 1.9729557037353516
and 2 8 3 0.20957979559898376 1.2263927459716797 3.460385799407959
<unk> 2 9 5 6.363503456115723 3.8223960399627686 0
? 2 10 1 1.0289992094039917 4.7783203125 0
how 3 0 3 11.787491798400879 0.37075525522232056 0
does 3 1 4 7.216518878936768 4.06516695022583 0
<unk> 3 2 5 2.516843557357788 4.200867176055908 0
claim 3 3 5 12.074256896972656 5.8896002769470215 0
that 3 4 4 0.9615130424499512 4.021523475646973 1.8680768013000488
he 3 5 2 3.2921485900878906 4.720681190490723 0
can 3 6 3 6.337608337402344 6.648587226867676 0
make 3 7 4 7.139456748962402 8.130162239074707 0
<unk> 3 8 5 3.107548713684082 7.155792713165283 0.9743695259094238
and 3 9 3 2.596999168395996 6.575464725494385 0.5803279876708984
espresso 3 10 8 17.931764602661133 2.4896767139434814 4.085788011550903
? 3 11 1 0.0728129968047142 0.5739457607269287 1.9157309532165527
how 4 0 3 11.787491798400879 0.37075525522232056 0
does 4 1 4 7.216518878936768 4.06516695022583 0
she 4 2 3 2.2532191276550293 4.200867176055908 0
know 4 3 4 6.226424694061279 6.312069416046143 0
that 4 4 4 1.6873668432235718 3.4541335105895996 2.857935905456543
she 4 5 3 3.7220396995544434 4.433143615722656 0
failed 4 6 6 13.209258079528809 6.322473049163818 0
the 4 7 3 8.556279182434082 3.1776649951934814 3.144808053970337
test 4 8 4 10.428167343139648 10.144643783569336 0
? 4 9 1 4.812180042266846 6.13700008392334 4.007643699645996
how 5 0 3 11.787491798400879 0.37075525522232056 0
did 5 1 3 0.8049901127815247 4.06516695022583 0
he 5 2 2 3.7238473892211914 4.271245002746582 0
say 5 3 3 2.9902710914611816 7.647241115570068 0
that 5 4 4 0.36946502327919006 1.854233741760254 5.7930073738098145
he 5 5 2 3.89697527885437 4.41663932800293 0
went 5 6 4 9.198163032531738 6.6887288093566895 0
to 5 7 2 3.7715396881103516 5.3844451904296875 1.304283618927002
school 5 8 6 8.350240707397461 5.674088001251221 0
? 5 9 1 2.4155657291412354 3.006345748901367 2.6677422523498535
how 6 0 3 11.787491798400879 0.37075525522232056 0
does 6 1 4 7.216518878936768 4.06516695022583 0
will 6 2 4 9.725427627563477 4.200867176055908 0
think 6 3 5 10.427499771118164 7.913811206817627 0
that 6 4 4 1.831115484237671 4.411495208740234 3.5023159980773926
bill 6 5 4 13.980579376220703 5.168674945831299 0
is 6 6 2 5.461801528930664 6.1283698081970215 0
pregnant 6 7 8 11.018272399902344 8.575549125671387 0
in 6 8 2 5.930227279663086 2.069436550140381 6.506112575531006
class 6 9 5 12.405645370483398 4.570229530334473 0
? 6 10 1 1.6137633323669434 4.354922771453857 0.21530675888061523
