word sentid sentpos wlen surp entropy entred
how 0 0 3 8.93224811553955 0.4665575921535492 0
did 0 1 3 0.4128386974334717 2.6315715312957764 0
bill 0 2 4 14.665349006652832 6.024070739746094 0
claim 0 3 5 12.189642906188965 6.083288669586182 0
that 0 4 4 3.144495725631714 6.041109561920166 0.042179107666015625
today 0 5 5 12.853509902954102 6.121973037719727 0
is 0 6 2 5.682074069976807 5.923107147216797 0.1988658905029297
his 0 7 3 7.802886009216309 7.503288269042969 0
last 0 8 4 6.754753589630127 9.716378211975098 0
day 0 9 3 6.902486324310303 9.471356391906738 0.24502182006835938
? 0 10 1 5.484942436218262 5.434652805328369 4.036703586578369
how 1 0 3 8.93224811553955 0.4665575921535492 0
does 1 1 4 6.213910102844238 2.6315715312957764 0
<unk> 1 2 5 1.8765556812286377 5.778800010681152 0
claim 1 3 5 13.146919250488281 8.936347007751465 0
that 1 4 4 3.2969610691070557 6.272668838500977 2.6636781692504883
he 1 5 2 4.405916213989258 6.543455600738525 0
has 1 6 3 2.7493512630462646 8.034764289855957 0
a 1 7 1 3.729372262954712 7.818408966064453 0.2163553237915039
boat 1 8 4 12.360904693603516 9.51900577545166 0
and 1 9 3 1.0270237922668457 4.63062858581543 4.8883771896362305
a 1 10 1 5.139908313751221 10.201699256896973 0
car 1 11 3 5.725406169891357 10.137395858764648 0.06430339813232422
? 1 12 1 0.92084139585495 4.672451019287109 5.464944839477539
how 2 0 3 8.93224811553955 0.4665575921535492 0
did 2 1 3 0.4128386974334717 2.6315715312957764 0
she 2 2 3 4.391040802001953 6.024070739746094 0
think 2 3 5 8.464000701904297 9.001922607421875 0
that 2 4 4 3.930952310562134 5.390787124633789 3.611135482788086
she 2 5 3 6.057821750640869 6.002708911895752 0
bought 2 6 6 11.74864673614502 7.899778366088867 0
beans 2 7 5 12.697699546813965 4.719423294067383 3.1803550720214844
and 2 8 3 0.17316900193691254 1.0187557935714722 3.7006675004959106
<unk> 2 9 5 3.8470351696014404 8.312674522399902 0
? 2 10 1 1.159898281097412 4.796105861663818 3.516568660736084
how 3 0 3 8.93224811553955 0.4665575921535492 0
does 3 1 4 6.213910102844238 2.6315715312957764 0
<unk> 3 2 5 1.8765556812286377 5.778800010681152 0
claim 3 3 5 13.146919250488281 8.936347007751465 0
that 3 4 4 3.2969610691070557 6.272668838500977 2.6636781692504883
he 3 5 2 4.405916213989258 6.543455600738525 0
can 3 6 3 6.958831310272217 8.034764289855957 0
make 3 7 4 6.774440765380859 7.928045272827148 0.1067190170288086
<unk> 3 8 5 3.326709508895874 7.550945281982422 0.37709999084472656
and 3 9 3 2.191481351852417 7.4163079261779785 0.13463735580444336
espresso 3 10 8 17.90420913696289 9.443277359008789 0
? 3 11 1 2.1099016666412354 6.608212471008301 2.8350648880004883
how 4 0 3 8.93224811553955 0.4665575921535492 0
does 4 1 4 6.213910102844238 2.6315715312957764 0
she 4 2 3 4.486414432525635 5.778800010681152 0
know 4 3 4 8.439628601074219 9.164426803588867 0
that 4 4 4 3.568413019180298 5.7827558517456055 3.3816709518432617
she 4 5 3 6.254457473754883 5.4080634117126465 0.374692440032959
failed 4 6 6 11.211980819702148 7.550290107727051 0
the 4 7 3 8.06131362915039 2.926154375076294 4.624135732650757
test 4 8 4 10.681173324584961 10.22105884552002 0
? 4 9 1 5.598985195159912 6.440952301025391 3.780106544494629
how 5 0 3 8.93224811553955 0.4665575921535492 0
did 5 1 3 0.4128386974334717 2.6315715312957764 0
he 5 2 2 3.745468854904175 6.024070739746094 0
say 5 3 3 4.934831142425537 8.622720718383789 0
that 5 4 4 1.3630337715148926 3.9235613346099854 4.699159383773804
he 5 5 2 4.518182754516602 3.6575534343719482 0.2660079002380371
went 5 6 4 8.268180847167969 7.7697649002075195 0
to 5 7 2 3.1949620246887207 5.545979976654053 2.223784923553467
school 5 8 6 9.265498161315918 7.464461326599121 0
? 5 9 1 6.945154190063477 3.0005078315734863 4.463953495025635
how 6 0 3 8.93224811553955 0.4665575921535492 0
does 6 1 4 6.213910102844238 2.6315715312957764 0
will 6 2 4 8.904010772705078 5.778800010681152 0
think 6 3 5 11.914450645446777 7.197795391082764 0
that 6 4 4 3.574465274810791 5.071193218231201 2.1266021728515625
bill 6 5 4 14.064128875732422 5.902446746826172 0
is 6 6 2 5.773044586181641 4.107889175415039 1.7945575714111328
pregnant 6 7 8 13.811588287353516 8.237844467163086 0
in 6 8 2 6.682328224182129 1.6490771770477295 6.5887672901153564
class 6 9 5 13.942005157470703 5.082300186157227 0
? 6 10 1 5.000851631164551 3.3020098209381104 1.7802903652191162
how 7 0 3 8.93224811553955 0.4665575921535492 0
did 7 1 3 0.4128386974334717 2.6315715312957764 0
<unk> 7 2 5 2.0766384601593018 6.024070739746094 0
claim 7 3 5 12.87861156463623 8.709221839904785 0
that 7 4 4 3.3398940563201904 6.063508987426758 2.6457128524780273
