word sentid sentpos wlen surp entropy entred
what 0 0 4 0.07714805006980896 0.6116839051246643 0
did 0 1 3 0.05697071552276611 0.5207419395446777 0.09094196557998657
they 0 2 4 8.425148963928223 5.743363857269287 0
not 0 3 3 2.54276967048645 7.682728290557861 0
like 0 4 4 5.922030448913574 8.836261749267578 0
that 0 5 4 4.250088214874268 6.057408809661865 2.778852939605713
<unk> 0 6 5 1.4278546571731567 6.185849189758301 0
likes 0 7 5 13.02666187286377 6.133382320404053 0.05246686935424805
and 0 8 3 2.4431698322296143 5.668196678161621 0.46518564224243164
accounts 0 9 8 13.038753509521484 9.896892547607422 0
? 0 10 1 7.72977876663208 3.8511412143707275 6.045751333236694
who 1 0 3 9.577634811401367 0.6116839051246643 0
did 1 1 3 2.547417163848877 8.09089183807373 0
she 1 2 3 4.428819179534912 6.367623329162598 1.7232685089111328
hear 1 3 4 4.940995693206787 7.5222954750061035 0
a 1 4 1 7.586694240570068 3.3885109424591064 4.133784532546997
rumour 1 5 6 7.192862033843994 8.91321849822998 0
about 1 6 5 5.854527473449707 3.3328542709350586 5.580364227294922
and 1 7 3 2.9708709716796875 5.873633861541748 0
wait 1 8 4 11.662262916564941 8.369126319885254 0
for 1 9 3 0.23503883183002472 1.444969654083252 6.924156665802002
? 1 10 1 4.697754859924316 5.041711807250977 0
what 2 0 4 0.07714805006980896 0.6116839051246643 0
did 2 1 3 0.05697071552276611 0.5207419395446777 0.09094196557998657
he 2 2 2 7.592451572418213 5.743363857269287 0
hear 2 3 4 5.343348026275635 7.348965644836426 0
that 2 4 4 0.5266181826591492 2.709841012954712 4.639124631881714
<unk> 2 5 5 0.5114887356758118 3.0573503971099854 0
ate 2 6 3 10.857101440429688 7.263101100921631 0
accounts 2 7 8 17.325824737548828 4.759784698486328 2.5033164024353027
and 2 8 3 1.9450924396514893 3.8296985626220703 0.9300861358642578
? 2 9 1 2.1254918575286865 9.009636878967285 0
what 3 0 4 0.07714805006980896 0.6116839051246643 0
did 3 1 3 0.05697071552276611 0.5207419395446777 0.09094196557998657
will 3 2 4 5.010852336883545 5.743363857269287 0
buy 3 3 3 7.031350135803223 6.90011739730835 0
? 3 4 1 11.435036659240723 5.422862529754639 1.477254867553711
what 4 0 4 0.07714805006980896 0.6116839051246643 0
did 4 1 3 0.05697071552276611 0.5207419395446777 0.09094196557998657
you 4 2 3 3.903940439224243 5.743363857269287 0
read 4 3 4 13.028454780578613 4.3581624031066895 1.3852014541625977
about 4 4 5 7.026132583618164 6.14666748046875 0
and 4 5 3 2.858466625213623 6.6614885330200195 0
announce 4 6 8 14.4378662109375 9.448821067810059 0
about 4 7 5 9.888065338134766 3.5783839225769043 5.870437145233154
? 4 8 1 6.704579830169678 5.676499366760254 0
what 5 0 4 0.07714805006980896 0.6116839051246643 0
did 5 1 3 0.05697071552276611 0.5207419395446777 0.09094196557998657
he 5 2 2 7.592451572418213 5.743363857269287 0
announce 5 3 8 10.505788803100586 7.348965644836426 0
a 5 4 1 7.744209289550781 2.5744833946228027 4.774482250213623
plan 5 5 4 8.204401969909668 9.620503425598145 0
and 5 6 3 3.174751043319702 5.060597896575928 4.559905529022217
speak 5 7 5 13.000999450683594 10.451367378234863 0
? 5 8 1 4.052029609680176 5.593705177307129 4.857662200927734
which 6 0 5 6.820219039916992 0.6116839051246643 0
subjects 6 1 8 14.600791931152344 8.964176177978516 0
did 6 2 3 1.6731927394866943 6.043279647827148 2.920896530151367
she 6 3 3 3.709346055984497 6.0183186531066895 0.024960994720458984
not 6 4 3 4.048070430755615 7.697261810302734 0
study 6 5 5 5.777220726013184 8.844688415527344 0
