word sentid sentpos wlen surp entropy entred
what 0 0 4 0.03764430433511734 0.34548428654670715 0
did 0 1 3 0.09399180114269257 0.6895758509635925 0
they 0 2 4 9.364452362060547 2.73679518699646 0
not 0 3 3 6.391481399536133 7.051985740661621 0
like 0 4 4 6.256415367126465 8.19826889038086 0
that 0 5 4 3.6826817989349365 4.741969108581543 3.4562997817993164
<unk> 0 6 5 1.637754201889038 5.243821620941162 0
likes 0 7 5 13.781475067138672 4.905071258544922 0.33875036239624023
and 0 8 3 1.3700188398361206 4.134024620056152 0.7710466384887695
accounts 0 9 8 13.548118591308594 7.891804218292236 0
? 0 10 1 2.15224289894104 5.012156009674072 2.879648208618164
who 1 0 3 12.172582626342773 0.34548428654670715 0
did 1 1 3 2.8584048748016357 7.840384483337402 0
she 1 2 3 3.524592161178589 4.978774070739746 2.8616104125976562
hear 1 3 4 4.813934803009033 4.109660625457764 0.8691134452819824
a 1 4 1 7.987301349639893 4.171647548675537 0
rumour 1 5 6 7.400096893310547 9.08290958404541 0
about 1 6 5 8.908791542053223 2.07574462890625 7.00716495513916
and 1 7 3 2.5386617183685303 4.246865749359131 0
wait 1 8 4 12.838747024536133 8.042744636535645 0
for 1 9 3 0.35945814847946167 1.9077975749969482 6.134947061538696
? 1 10 1 6.82558012008667 1.1522440910339355 0.7555534839630127
what 2 0 4 0.03764430433511734 0.34548428654670715 0
did 2 1 3 0.09399180114269257 0.6895758509635925 0
he 2 2 2 7.915109157562256 2.73679518699646 0
hear 2 3 4 4.550264358520508 5.022409439086914 0
that 2 4 4 2.0115773677825928 4.09937858581543 0.9230308532714844
<unk> 2 5 5 1.1371034383773804 4.872015476226807 0
ate 2 6 3 10.254547119140625 4.248100280761719 0.6239151954650879
accounts 2 7 8 18.78464698791504 3.216904878616333 1.0311954021453857
and 2 8 3 0.21278712153434753 1.0903736352920532 2.12653124332428
? 2 9 1 0.9801451563835144 5.698366641998291 0
what 3 0 4 0.03764430433511734 0.34548428654670715 0
did 3 1 3 0.09399180114269257 0.6895758509635925 0
will 3 2 4 8.845895767211914 2.73679518699646 0
buy 3 3 3 3.9944517612457275 7.4941534996032715 0
? 3 4 1 6.379971504211426 4.773990631103516 2.720162868499756
what 4 0 4 0.03764430433511734 0.34548428654670715 0
did 4 1 3 0.09399180114269257 0.6895758509635925 0
you 4 2 3 5.200766563415527 2.73679518699646 0
read 4 3 4 11.043429374694824 6.528256416320801 0
about 4 4 5 8.44962215423584 4.329652786254883 2.198603630065918
and 4 5 3 3.5511791706085205 4.312431812286377 0.01722097396850586
announce 4 6 8 17.49343490600586 7.68015718460083 0
about 4 7 5 12.136940956115723 3.650461435317993 4.029695749282837
? 4 8 1 4.070622444152832 4.1039652824401855 0
what 5 0 4 0.03764430433511734 0.34548428654670715 0
did 5 1 3 0.09399180114269257 0.6895758509635925 0
he 5 2 2 7.915109157562256 2.73679518699646 0
announce 5 3 8 16.22587776184082 5.022409439086914 0
a 5 4 1 7.970082759857178 2.3736391067504883 2.648770332336426
plan 5 5 4 11.635435104370117 8.73767375946045 0
and 5 6 3 0.6771374344825745 3.414418935775757 5.323254823684692
speak 5 7 5 15.126649856567383 8.964938163757324 0
? 5 8 1 2.553520679473877 5.440319061279297 3.5246191024780273
which 6 0 5 7.66495943069458 0.34548428654670715 0
subjects 6 1 8 15.508761405944824 7.829037666320801 0
did 6 2 3 2.5899085998535156 6.562137603759766 1.2669000625610352
