word sentid sentpos wlen surp entropy entred
how 0 0 3 7.9980950355529785 0.6116839051246643 0
<unk> 0 1 5 4.456418037414551 2.842486619949341 0
did 0 2 3 2.015984535217285 6.8783464431762695 0
she 0 3 3 5.009580612182617 6.485301971435547 0.39304447174072266
say 0 4 3 2.0176405906677246 7.161541938781738 0
that 0 5 4 0.11460592597723007 0.8107451796531677 6.350796759128571
he 0 6 2 4.530822277069092 2.784292221069336 0
directed 0 7 8 10.234228134155273 7.57319974899292 0
the 0 8 3 5.758569240570068 4.514950752258301 3.058248996734619
movie 0 9 5 7.510864734649658 8.441341400146484 0
that 0 10 4 6.703819751739502 4.934876918792725 3.5064644813537598
i 0 11 1 6.766075611114502 6.365734100341797 0
saw 0 12 3 7.700489521026611 8.185192108154297 0
yesterday 0 13 9 14.1044921875 5.633810043334961 2.551382064819336
? 0 14 1 2.0478007793426514 4.422483444213867 1.2113265991210938
how 1 0 3 7.9980950355529785 0.6116839051246643 0
discreet 1 1 8 21.135875701904297 2.842486619949341 0
did 1 2 3 3.21828031539917 5.974413871765137 0
<unk> 1 3 5 1.2191705703735352 5.725898742675781 0.24851512908935547
hire 1 4 4 11.500025749206543 8.39210319519043 0
an 1 5 2 7.9913787841796875 5.8996405601501465 2.492462635040283
agent 1 6 5 5.584219455718994 7.494462490081787 0
? 1 7 1 8.17175579071045 4.688937187194824 2.805525302886963
how 2 0 3 7.9980950355529785 0.6116839051246643 0
pretty 2 1 6 17.184961318969727 2.842486619949341 0
does 2 2 4 9.292226791381836 5.47096061706543 0
<unk> 2 3 5 1.6168030500411987 5.781522750854492 0
like 2 4 4 7.765005588531494 8.287802696228027 0
the 2 5 3 7.756347179412842 5.344459056854248 2.9433436393737793
woman 2 6 5 9.334957122802734 9.92100715637207 0
? 2 7 1 3.3127923011779785 4.656965732574463 5.264041423797607
how 3 0 3 7.9980950355529785 0.6116839051246643 0
difficult 3 1 9 13.096282005310059 2.842486619949341 0
did 3 2 3 2.3193397521972656 5.577569007873535 0
he 3 3 2 6.094934463500977 5.784282684326172 0
hear 3 4 4 5.699882507324219 7.658960342407227 0
that 3 5 4 0.7500976920127869 3.184516668319702 4.474443674087524
you 3 6 3 7.380212306976318 2.775515079498291 0.40900158882141113
failed 3 7 6 12.256175994873047 7.9543776512146 0
the 3 8 3 7.752598285675049 3.5280537605285645 4.426323890686035
test 3 9 4 9.895357131958008 10.067957878112793 0
? 3 10 1 7.752098083496094 6.556639194488525 3.5113186836242676
whose 4 0 5 12.9774808883667 0.6116839051246643 0
did 4 1 3 10.853738784790039 10.255951881408691 0
she 4 2 3 4.207006454467773 6.654299736022949 3.601652145385742
say 4 3 3 1.90054190158844 7.13771915435791 0
that 4 4 4 0.14282798767089844 0.9711506962776184 6.166568458080292
<unk> 4 5 5 0.45374009013175964 2.6552560329437256 0
eats 4 6 4 11.800408363342285 7.417788505554199 0
<unk> 4 7 5 5.151325225830078 6.235616207122803 1.1821722984313965
? 4 8 1 4.73355770111084 4.0036420822143555 2.2319741249084473
how 5 0 3 7.9980950355529785 0.6116839051246643 0
<unk> 5 1 5 4.456418037414551 2.842486619949341 0
did 5 2 3 2.015984535217285 6.8783464431762695 0
she 5 3 3 5.009580612182617 6.485301971435547 0.39304447174072266
say 5 4 3 2.0176405906677246 7.161541938781738 0
that 5 5 4 0.11460592597723007 0.8107451796531677 6.350796759128571
he 5 6 2 4.530822277069092 2.784292221069336 0
announced 5 7 9 10.959481239318848 7.57319974899292 0
a 5 8 1 6.20317268371582 3.908250570297241 3.6649491786956787
plan 5 9 4 7.1887054443359375 9.484763145446777 0
? 5 10 1 8.868768692016602 4.3773603439331055 5.107402801513672
how 6 0 3 7.9980950355529785 0.6116839051246643 0
pretty 6 1 6 17.184961318969727 2.842486619949341 0
did 6 2 3 1.4151887893676758 5.47096061706543 0
he 6 3 2 5.472545146942139 6.270226955413818 0
hear 6 4 4 5.029399394989014 8.033097267150879 0
that 6 5 4 0.4418067932128906 2.4129092693328857 5.620187997817993
she 6 6 3 5.199612140655518 4.004086971282959 0
read 6 7 4 8.455836296081543 6.974536418914795 0
the 6 8 3 6.717414855957031 5.464062690734863 1.5104737281799316
<unk> 6 9 5 3.6771295070648193 8.09249210357666 0
comics 6 10 6 13.920218467712402 6.993144989013672 1.0993471145629883
? 6 11 1 5.795571327209473 5.062361717224121 1.9307832717895508
what 7 0 4 0.07714805006980896 0.6116839051246643 0
kind 7 1 4 11.667527198791504 0.5207419395446777 0.09094196557998657
does 7 2 4 13.788915634155273 0.2407463639974594 0.2799955755472183
<unk> 7 3 5 2.1006362438201904 6.315011024475098 0
speak 7 4 5 10.431404113769531 8.19972038269043 0
a 7 5 1 9.183103561401367 5.150604724884033 3.0491156578063965
language 7 6 8 12.375213623046875 9.52572250366211 0
? 7 7 1 5.880783557891846 4.991574764251709 4.5341477394104
how 8 0 3 7.9980950355529785 0.6116839051246643 0
expensive 8 1 9 14.735020637512207 2.842486619949341 0
did 8 2 3 3.453601360321045 5.91457462310791 0
they 8 3 4 6.3467698097229 6.194701671600342 0
not 8 4 3 3.670869827270508 8.673890113830566 0
like 8 5 4 5.706099033355713 9.094766616821289 0
that 8 6 4 5.086586952209473 6.301231861114502 2.793534755706787
she 8 7 3 5.871576309204102 6.091031074523926 0.21020078659057617
wears 8 8 5 12.372126579284668 7.339644432067871 0
rings 8 9 5 16.583009719848633 3.7956900596618652 3.543954372406006
? 8 10 1 6.723104000091553 2.662266254425049 1.1334238052368164
how 9 0 3 7.9980950355529785 0.6116839051246643 0
pretty 9 1 6 17.184961318969727 2.842486619949341 0
did 9 2 3 1.4151887893676758 5.47096061706543 0
she 9 3 3 3.633648633956909 6.270226955413818 0
say 9 4 3 2.391256093978882 7.5603179931640625 0
that 9 5 4 0.08149562776088715 0.6176535487174988 6.942664444446564
<unk> 9 6 5 0.7307130098342896 3.613483428955078 0
likes 9 7 5 11.364797592163086 6.711001873016357 0
the 9 8 3 6.277928829193115 5.221107482910156 1.4898943901062012
woman 9 9 5 9.08447551727295 9.369288444519043 0
? 9 10 1 3.8197267055511475 5.341484546661377 4.027803897857666
how 10 0 3 7.9980950355529785 0.6116839051246643 0
blue 10 1 4 15.283703804016113 2.842486619949341 0
did 10 2 3 1.5086700916290283 5.77922248840332 0
he 10 3 2 5.740872383117676 6.8694658279418945 0
hear 10 4 4 5.5039520263671875 7.6012043952941895 0
that 10 5 4 0.8646191954612732 3.731602907180786 3.8696014881134033
<unk> 10 6 5 0.5699211955070496 3.1005895137786865 0.6310133934020996
loaned 10 7 6 14.29551887512207 7.544370651245117 0
a 10 8 1 7.307404518127441 4.392851829528809 3.1515188217163086
trumpet 10 9 7 16.784679412841797 9.638622283935547 0
to 10 10 2 5.432684898376465 1.2654528617858887 8.373169422149658
you 10 11 3 3.309481143951416 4.083240032196045 0
? 10 12 1 2.53719425201416 3.582409620285034 0.5008304119110107
how 11 0 3 7.9980950355529785 0.6116839051246643 0
extravagant 11 1 11 19.67667579650879 2.842486619949341 0
did 11 2 3 3.7676315307617188 6.096443176269531 0
they 11 3 4 6.677664756774902 6.146828651428223 0
not 11 4 3 4.158445358276367 8.678115844726562 0
like 11 5 4 5.901424884796143 9.107366561889648 0
that 11 6 4 5.447088718414307 6.217411518096924 2.8899550437927246
will 11 7 4 9.626123428344727 6.122576713562012 0.09483480453491211
wears 11 8 5 19.67644500732422 6.734939098358154 0
a 11 9 1 4.458817481994629 5.757124900817871 0.9778141975402832
hat 11 10 3 8.778460502624512 9.054383277893066 0
? 11 11 1 5.998279571533203 2.3035900592803955 6.750793218612671
whose 12 0 5 12.9774808883667 0.6116839051246643 0
did 12 1 3 10.853738784790039 10.255951881408691 0
they 12 2 4 7.197144985198975 6.654299736022949 3.601652145385742
not 12 3 3 3.6788151264190674 8.450278282165527 0
like 12 4 4 5.938439846038818 9.097991943359375 0
that 12 5 4 5.206579685211182 6.147923469543457 2.950068473815918
i 12 6 1 9.196619987487793 6.401175022125244 0
ate 12 7 3 13.213624954223633 7.827462673187256 0
old 12 8 3 12.234933853149414 3.604193925857544 4.223268747329712
<unk> 12 9 5 4.603384017944336 3.766761302947998 0
? 12 10 1 3.5711917877197266 4.002950191497803 0
how 13 0 3 7.9980950355529785 0.6116839051246643 0
<unk> 13 1 5 4.456418037414551 2.842486619949341 0
did 13 2 3 2.015984535217285 6.8783464431762695 0
he 13 3 2 5.651937007904053 6.485301971435547 0.39304447174072266
hear 13 4 4 5.3959059715271 7.611180305480957 0
that 13 5 4 0.7974238395690918 3.5284202098846436 4.0827600955963135
<unk> 13 6 5 0.5535486936569214 3.022996664047241 0.5054235458374023
heard 13 7 5 10.230484962463379 7.385450839996338 0
a 13 8 1 5.872363567352295 6.0120320320129395 1.3734188079833984
rumour 13 9 6 7.689997673034668 9.457804679870605 0
? 13 10 1 8.04146957397461 3.3368048667907715 6.120999813079834
how 14 0 3 7.9980950355529785 0.6116839051246643 0
blue 14 1 4 15.283703804016113 2.842486619949341 0
did 14 2 3 1.5086700916290283 5.77922248840332 0
<unk> 14 3 5 1.9283854961395264 6.8694658279418945 0
give 14 4 4 7.084790229797363 7.885858058929443 0
a 14 5 1 6.711990833282471 4.980675220489502 2.9051828384399414
guitar 14 6 6 11.460976600646973 9.220300674438477 0
to 14 7 2 5.20050573348999 2.0390987396240234 7.181201934814453
me 14 8 2 3.900499105453491 4.829513072967529 0
? 14 9 1 2.4379384517669678 3.0046403408050537 1.8248727321624756
whose 15 0 5 12.9774808883667 0.6116839051246643 0
did 15 1 3 10.853738784790039 10.255951881408691 0
she 15 2 3 4.207006454467773 6.654299736022949 3.601652145385742
whisper 15 3 7 12.712347030639648 7.13771915435791 0
that 15 4 4 4.595600605010986 4.8253655433654785 2.3123536109924316
he 15 5 2 4.839524269104004 6.1244425773620605 0
buys 15 6 4 14.3375883102417 7.977919578552246 0
coffee 15 7 6 10.288207054138184 2.896665573120117 5.081254005432129
? 15 8 1 5.392254829406738 0.9043880105018616 1.9922775626182556
how 16 0 3 7.9980950355529785 0.6116839051246643 0
<unk> 16 1 5 4.456418037414551 2.842486619949341 0
did 16 2 3 2.015984535217285 6.8783464431762695 0
<unk> 16 3 5 1.6544535160064697 6.485301971435547 0.39304447174072266
<unk> 16 4 5 2.876573324203491 7.779343605041504 0
not 16 5 3 8.71071720123291 6.307386875152588 1.471956729888916
demand 16 6 6 12.700263977050781 9.107547760009766 0
that 16 7 4 4.798202991485596 6.1554646492004395 2.952083110809326
i 16 8 1 6.749835968017578 5.2513108253479 0.9041538238525391
hire 16 9 4 11.42935848236084 8.031479835510254 0
a 16 10 1 5.853124141693115 5.214853286743164 2.81662654876709
teddy 16 11 5 13.65514087677002 8.60107707977295 0
bear 16 12 4 5.770434856414795 7.369819641113281 1.231257438659668
? 16 13 1 2.6853384971618652 3.4323766231536865 3.9374430179595947
how 17 0 3 7.9980950355529785 0.6116839051246643 0
difficult 17 1 9 13.096282005310059 2.842486619949341 0
does 17 2 4 9.954292297363281 5.577569007873535 0
the 17 3 3 7.985117435455322 5.590470790863037 0
blue 17 4 4 11.420552253723145 9.296686172485352 0
agent 17 5 5 16.590559005737305 6.698235034942627 2.5984511375427246
do 17 6 2 9.63609790802002 7.360772132873535 0
math 17 7 4 18.341350555419922 6.125196933746338 1.2355751991271973
homework 17 8 8 16.039316177368164 5.077099323272705 1.0480976104736328
? 17 9 1 4.291367530822754 4.323138236999512 0.7539610862731934
how 18 0 3 7.9980950355529785 0.6116839051246643 0
important 18 1 9 12.275778770446777 2.842486619949341 0
is 18 2 2 6.9516706466674805 6.500672340393066 0
she 18 3 3 6.203099727630615 7.2719926834106445 0
dating 18 4 6 18.293535232543945 7.739753246307373 0
the 18 5 3 6.978251934051514 4.8618927001953125 2.8778605461120605
<unk> 18 6 5 1.9429714679718018 8.557700157165527 0
brothers 18 7 8 11.202658653259277 6.839052677154541 1.7186474800109863
? 18 8 1 4.770565509796143 5.737315654754639 1.1017370223999023
how 19 0 3 7.9980950355529785 0.6116839051246643 0
unrealistic 19 1 11 18.63595962524414 2.842486619949341 0
is 19 2 2 8.220719337463379 6.709010124206543 0
the 19 3 3 5.4337897300720215 7.573288917541504 0
funny 19 4 5 13.818957328796387 10.123734474182129 0
man 19 5 3 6.8846211433410645 6.536843299865723 3.5868911743164062
singing 19 6 7 13.856389045715332 5.148266315460205 1.3885769844055176
an 19 7 2 7.88962984085083 5.562923431396484 0
aria 19 8 4 8.573360443115234 8.353181838989258 0
? 19 9 1 5.659533977508545 5.1260762214660645 3.2271056175231934
how 20 0 3 7.9980950355529785 0.6116839051246643 0
discreet 20 1 8 21.135875701904297 2.842486619949341 0
does 20 2 4 10.16154956817627 5.974413871765137 0
the 20 3 3 7.087792873382568 5.7219696044921875 0.2524442672729492
teddy 20 4 5 16.735567092895508 9.475613594055176 0
bear 20 5 4 4.92212438583374 8.33583927154541 1.1397743225097656
wonder 20 6 6 13.331517219543457 6.819147109985352 1.5166921615600586
why 20 7 3 5.536067008972168 4.705495834350586 2.1136512756347656
he 20 8 2 4.316830635070801 5.384963512420654 0
bought 20 9 6 9.658697128295898 7.655901908874512 0
a 20 10 1 7.319408416748047 2.5986666679382324 5.057235240936279
ring 20 11 4 10.876580238342285 9.721365928649902 0
? 20 12 1 6.768393516540527 2.9615955352783203 6.759770393371582
how 21 0 3 7.9980950355529785 0.6116839051246643 0
yellow 21 1 6 17.961223602294922 2.842486619949341 0
did 21 2 3 1.8020308017730713 6.022829532623291 0
the 21 3 3 7.868698596954346 6.307023525238037 0
lucky 21 4 5 15.149786949157715 8.991486549377441 0
girls 21 5 5 8.448434829711914 7.04845666885376 1.9430298805236816
ask 21 6 3 11.701937675476074 6.239943981170654 0.8085126876831055
how 21 7 3 8.662158966064453 4.439267158508301 1.8006768226623535
she 21 8 3 6.043543338775635 2.881401777267456 1.5578653812408447
found 21 9 5 9.625144004821777 6.869569778442383 0
a 21 10 1 6.3646016120910645 5.367297172546387 1.502272605895996
boat 21 11 4 8.489034652709961 9.52029037475586 0
on 21 12 2 5.771145343780518 4.850127696990967 4.670162677764893
the 21 13 3 4.447436332702637 5.701802730560303 0
way 21 14 3 9.413460731506348 8.254598617553711 0
to 21 15 2 4.673884868621826 4.659933567047119 3.594665050506592
<unk> 21 16 5 2.485424280166626 5.973408222198486 0
? 21 17 1 2.212409496307373 4.531875133514404 1.441533088684082
how 22 0 3 7.9980950355529785 0.6116839051246643 0
large 22 1 5 12.017792701721191 2.842486619949341 0
did 22 2 3 4.307936668395996 7.258225917816162 0
<unk> 22 3 5 1.7626152038574219 6.564233779907227 0.6939921379089355
<unk> 22 4 5 2.9040911197662354 8.029356002807617 0
invite 22 5 6 15.099305152893066 6.455951690673828 1.573404312133789
a 22 6 1 6.602293014526367 5.041612148284912 1.414339542388916
party 22 7 5 6.976235389709473 9.046611785888672 0
to 22 8 2 3.4007492065429688 5.798353672027588 3.248258113861084
the 22 9 3 6.070341110229492 8.101601600646973 0
city 22 10 4 7.0057291984558105 8.571592330932617 0
? 22 11 1 6.683509349822998 6.239677906036377 2.3319144248962402
how 23 0 3 7.9980950355529785 0.6116839051246643 0
likely 23 1 6 14.58435344696045 2.842486619949341 0
did 23 2 3 4.069680690765381 5.914039134979248 0
he 23 3 2 5.707459449768066 5.964366436004639 0
announce 23 4 8 13.01486587524414 6.820334434509277 0
a 23 5 1 7.083945274353027 3.808612823486328 3.011721611022949
plan 23 6 4 8.318021774291992 9.243410110473633 0
to 23 7 2 3.1892483234405518 5.004601955413818 4.2388081550598145
buy 23 8 3 4.382488250732422 8.747455596923828 0
a 23 9 1 4.945832252502441 5.205482006072998 3.54197359085083
bean 23 10 4 16.938966751098633 8.980843544006348 0
? 23 11 1 6.061926364898682 4.004947185516357 4.97589635848999
how 24 0 3 7.9980950355529785 0.6116839051246643 0
important 24 1 9 12.275778770446777 2.842486619949341 0
does 24 2 4 10.401474952697754 6.500672340393066 0
the 24 3 3 7.178683280944824 5.88432502746582 0.6163473129272461
<unk> 24 4 5 2.173677444458008 9.538188934326172 0
experience 24 5 10 10.007366180419922 7.88365364074707 1.6545352935791016
like 24 6 4 10.118060111999512 6.911779880523682 0.9718737602233887
the 24 7 3 6.074967384338379 6.688676357269287 0.22310352325439453
possibility 24 8 11 12.06317138671875 9.5460844039917 0
? 24 9 1 8.518205642700195 1.786339282989502 7.759745121002197
