word sentid sentpos wlen surp entropy entred
who 0 0 3 11.08692741394043 0.37075525522232056 0
did 0 1 3 2.0829055309295654 7.050589084625244 0
he 0 2 2 4.459305286407471 5.900684356689453 1.149904727935791
hear 0 3 4 3.388718605041504 6.258851051330566 0
that 0 4 4 1.4124093055725098 4.5778985023498535 1.680952548980713
it 0 5 2 5.857790946960449 4.8761210441589355 0
is 0 6 2 4.531172275543213 6.693309783935547 0
important 0 7 9 8.521885871887207 8.24624252319336 0
to 0 8 2 2.8145346641540527 3.8698742389678955 4.376368284225464
see 0 9 3 5.529148578643799 7.765530109405518 0
? 0 10 1 3.8502931594848633 4.549057960510254 3.2164721488952637
what 1 0 4 0.04270006716251373 0.37075525522232056 0
is 1 1 2 7.594334125518799 0.610345184803009 0
it 1 2 2 7.943068981170654 6.654282569885254 0
important 1 3 9 11.65924072265625 7.113914966583252 0
that 1 4 4 5.306983947753906 6.662616729736328 0.45129823684692383
<unk> 1 5 5 1.2793947458267212 5.836518287658691 0.8260984420776367
buys 1 6 4 14.365644454956055 8.6547269821167 0
? 1 7 1 5.924201011657715 5.628669738769531 3.026057243347168
who 2 0 3 11.08692741394043 0.37075525522232056 0
did 2 1 3 2.0829055309295654 7.050589084625244 0
he 2 2 2 4.459305286407471 5.900684356689453 1.149904727935791
hear 2 3 4 3.388718605041504 6.258851051330566 0
that 2 4 4 1.4124093055725098 4.5778985023498535 1.680952548980713
it 2 5 2 5.857790946960449 4.8761210441589355 0
is 2 6 2 4.531172275543213 6.693309783935547 0
important 2 7 9 8.521885871887207 8.24624252319336 0
that 2 8 4 3.2795262336730957 3.8698742389678955 4.376368284225464
<unk> 2 9 5 1.326087236404419 5.140394687652588 0
knows 2 10 5 10.62360954284668 8.699638366699219 0
? 2 11 1 3.753488302230835 4.311802387237549 4.38783597946167
where 3 0 5 12.553091049194336 0.37075525522232056 0
did 3 1 3 6.213207721710205 5.712925910949707 0
<unk> 3 2 5 2.8155500888824463 4.244457244873047 1.4684686660766602
tell 3 3 4 9.972234725952148 4.6514997482299805 0
you 3 4 3 4.340719223022461 5.201101303100586 0
that 3 5 4 1.491317629814148 4.002532482147217 1.1985688209533691
she 3 6 3 4.151251316070557 4.839272499084473 0
went 3 7 4 9.779139518737793 6.310353755950928 0
? 3 8 1 3.1565778255462646 5.006737232208252 1.3036165237426758
what 4 0 4 0.04270006716251373 0.37075525522232056 0
did 4 1 3 0.06902258098125458 0.610345184803009 0
he 4 2 2 6.157898426055908 4.88049840927124 0
hear 4 3 4 4.699005126953125 7.027927398681641 0
that 4 4 4 2.4650392532348633 5.629321098327637 1.398606300354004
<unk> 4 5 5 1.1423572301864624 4.8548126220703125 0.7745084762573242
does 4 6 4 9.49348258972168 9.124073028564453 0
not 4 7 3 3.348944902420044 7.1974663734436035 1.9266066551208496
do 4 8 2 8.064980506896973 8.626341819763184 0
