word sentid sentpos wlen surp entropy entred
where 0 0 5 10.468523979187012 0.34548428654670715 0
did 0 1 3 5.062810897827148 5.026774883270264 0
<unk> 0 2 5 1.0755807161331177 3.9047181606292725 1.1220567226409912
ask 0 3 3 11.639018058776855 5.265697479248047 0
who 0 4 3 9.119500160217285 3.853759288787842 1.411938190460205
<unk> 0 5 5 2.5673604011535645 5.480114936828613 0
took 0 6 4 10.326980590820312 4.676154136657715 0.8039608001708984
? 0 7 1 7.079745769500732 4.131592750549316 0.5445613861083984
what 1 0 4 0.03764430433511734 0.34548428654670715 0
did 1 1 3 0.09399180114269257 0.6895758509635925 0
she 1 2 3 6.0809173583984375 2.73679518699646 0
say 1 3 3 1.1214076280593872 4.636692523956299 0
that 1 4 4 0.5750872492790222 2.5774338245391846 2.0592586994171143
<unk> 1 5 5 0.8074479103088379 3.869433641433716 0
asked 1 6 5 10.800578117370605 3.9729912281036377 0
who 1 7 3 9.902505874633789 3.1656675338745117 0.807323694229126
will 1 8 4 7.445900917053223 4.590207099914551 0
read 1 9 4 9.821571350097656 6.886137962341309 0
? 1 10 1 7.320202350616455 2.295320510864258 4.590817451477051
where 2 0 5 10.468523979187012 0.34548428654670715 0
did 2 1 3 5.062810897827148 5.026774883270264 0
<unk> 2 2 5 1.0755807161331177 3.9047181606292725 1.1220567226409912
ask 2 3 3 11.639018058776855 5.265697479248047 0
how 2 4 3 10.3466215133667 3.853759288787842 1.411938190460205
<unk> 2 5 5 1.5427179336547852 4.701757907867432 0
went 2 6 4 10.747862815856934 4.551153659820557 0.150604248046875
? 2 7 1 3.571521520614624 2.2356364727020264 2.3155171871185303
what 3 0 4 0.03764430433511734 0.34548428654670715 0
did 3 1 3 0.09399180114269257 0.6895758509635925 0
will 3 2 4 8.845895767211914 2.73679518699646 0
ask 3 3 3 10.032096862792969 7.4941534996032715 0
why 3 4 3 9.994521141052246 4.848151206970215 2.6460022926330566
<unk> 3 5 5 0.8393295407295227 3.9350497722625732 0.9131014347076416
wears 3 6 5 18.840442657470703 5.007415771484375 0
? 3 7 1 7.562001705169678 3.971715211868286 1.0357005596160889
what 4 0 4 0.03764430433511734 0.34548428654670715 0
did 4 1 3 0.09399180114269257 0.6895758509635925 0
she 4 2 3 6.0809173583984375 2.73679518699646 0
say 4 3 3 1.1214076280593872 4.636692523956299 0
