word sentid sentpos wlen surp entropy entred
how 0 0 3 0.026634372770786285 0.24359022080898285 0
did 0 1 3 3.7122249603271484 8.388836860656738 0
bill 0 2 4 19.78098487854004 2.058926820755005 6.329910039901733
claim 0 3 5 14.392768859863281 7.846395969390869 0
that 0 4 4 1.5068550109863281 4.724462509155273 3.1219334602355957
today 0 5 5 13.532903671264648 5.562586784362793 0
is 0 6 2 2.6005704402923584 3.4141879081726074 2.1483988761901855
his 0 7 3 9.102070808410645 5.826619625091553 0
last 0 8 4 6.511732578277588 9.1104097366333 0
day 0 9 3 6.656678199768066 8.107991218566895 1.0024185180664062
? 0 10 1 0.21900776028633118 1.4546719789505005 6.653319239616394
how 1 0 3 0.026634372770786285 0.24359022080898285 0
does 1 1 4 6.891666889190674 8.388836860656738 0
<unk> 1 2 5 4.006120204925537 2.939891815185547 5.448945045471191
claim 1 3 5 15.141936302185059 2.358191967010498 0.5816998481750488
that 1 4 4 0.595150351524353 2.94254207611084 0
he 1 5 2 4.5951948165893555 5.5960259437561035 0
has 1 6 3 5.568907260894775 4.626664638519287 0.9693613052368164
a 1 7 1 2.9946370124816895 7.279329299926758 0
boat 1 8 4 5.408563137054443 7.612437725067139 0
and 1 9 3 13.253082275390625 0.038676902651786804 7.573760822415352
a 1 10 1 3.769838333129883 6.831047058105469 0
car 1 11 3 8.872140884399414 6.630169868469238 0.20087718963623047
? 1 12 1 0.009873028844594955 0.10253065824508667 6.527639210224152
how 2 0 3 0.026634372770786285 0.24359022080898285 0
did 2 1 3 3.7122249603271484 8.388836860656738 0
she 2 2 3 0.43066513538360596 2.058926820755005 6.329910039901733
think 2 3 5 10.53291130065918 0.6092045307159424 1.4497222900390625
that 2 4 4 0.5637683868408203 2.5866425037384033 0
she 2 5 3 2.894648313522339 6.702438831329346 0
bought 2 6 6 11.71549129486084 4.538209915161133 2.164228916168213
beans 2 7 5 15.986010551452637 4.1387410163879395 0.39946889877319336
and 2 8 3 5.7421650886535645 1.5722272396087646 2.566513776779175
<unk> 2 9 5 4.525627136230469 9.289570808410645 0
? 2 10 1 0.8157438635826111 4.259946823120117 5.029623985290527
how 3 0 3 0.026634372770786285 0.24359022080898285 0
does 3 1 4 6.891666889190674 8.388836860656738 0
<unk> 3 2 5 4.006120204925537 2.939891815185547 5.448945045471191
claim 3 3 5 15.141936302185059 2.358191967010498 0.5816998481750488
that 3 4 4 0.595150351524353 2.94254207611084 0
he 3 5 2 4.5951948165893555 5.5960259437561035 0
can 3 6 3 6.235960006713867 4.626664638519287 0.9693613052368164
make 3 7 4 7.20634126663208 4.569000720977783 0.057663917541503906
<unk> 3 8 5 5.026087760925293 5.257946491241455 0
and 3 9 3 7.38093900680542 4.138942241668701 1.119004249572754
espresso 3 10 8 21.57851219177246 6.534639835357666 0
? 3 11 1 0.18282850086688995 1.3671294450759888 5.167510390281677
how 4 0 3 0.026634372770786285 0.24359022080898285 0
does 4 1 4 6.891666889190674 8.388836860656738 0
she 4 2 3 0.8029956221580505 2.939891815185547 5.448945045471191
know 4 3 4 8.941141128540039 0.4445578157901764 2.4953339993953705
that 4 4 4 0.9145107865333557 3.124218702316284 0
she 4 5 3 2.44411301612854 6.392988681793213 0
failed 4 6 6 14.232688903808594 4.443833351135254 1.949155330657959
the 4 7 3 8.870141983032227 1.070381999015808 3.373451352119446
test 4 8 4 10.758427619934082 9.228336334228516 0
? 4 9 1 0.1910201907157898 1.3820571899414062 7.846279144287109
how 5 0 3 0.026634372770786285 0.24359022080898285 0
did 5 1 3 3.7122249603271484 8.388836860656738 0
he 5 2 2 6.208921909332275 2.058926820755005 6.329910039901733
say 5 3 3 0.08269497752189636 0.5860750079154968 1.472851812839508
that 5 4 4 0.05116329342126846 0.3814249336719513 0.20465007424354553
he 5 5 2 3.6986169815063477 6.567863941192627 0
went 5 6 4 7.098089694976807 4.350680351257324 2.2171835899353027
to 5 7 2 0.2191355675458908 1.4494715929031372 2.901208758354187
school 5 8 6 10.457777976989746 4.6215596199035645 0
? 5 9 1 1.0847290754318237 3.469555616378784 1.1520040035247803
how 6 0 3 0.026634372770786285 0.24359022080898285 0
does 6 1 4 6.891666889190674 8.388836860656738 0
will 6 2 4 13.111108779907227 2.939891815185547 5.448945045471191
think 6 3 5 9.999605178833008 4.765500545501709 0
that 6 4 4 0.6275590658187866 2.6564812660217285 2.1090192794799805
bill 6 5 4 14.549610137939453 5.994945049285889 0
is 6 6 2 2.176924467086792 3.54689359664917 2.4480514526367188
pregnant 6 7 8 11.51809024810791 7.217314720153809 0
in 6 8 2 7.869541645050049 1.5083081722259521 5.7090065479278564
class 6 9 5 12.685256958007812 5.109695911407471 0
? 6 10 1 0.1616627275943756 1.1328128576278687 3.976883053779602
how 7 0 3 0.026634372770786285 0.24359022080898285 0
did 7 1 3 3.7122249603271484 8.388836860656738 0
<unk> 7 2 5 5.495116710662842 2.058926820755005 6.329910039901733
claim 7 3 5 15.30654525756836 2.592945098876953 0
that 7 4 4 0.5627832412719727 2.852376937866211 0
he 7 5 2 4.223689079284668 5.251346588134766 0
fell 7 6 4 9.745039939880371 5.13472318649292 0.1166234016418457
asleep 7 7 6 4.403739929199219 3.9324681758880615 1.2022550106048584
in 7 8 2 5.835144996643066 2.1263976097106934 1.8060705661773682
class 7 9 5 14.217557907104492 4.478572845458984 0
today 7 10 5 14.408101081848145 2.117619037628174 2.3609538078308105
? 7 11 1 0.19035550951957703 1.0486589670181274 1.0689600706100464
how 8 0 3 0.026634372770786285 0.24359022080898285 0
does 8 1 4 6.891666889190674 8.388836860656738 0
someone 8 2 7 12.68453598022461 2.939891815185547 5.448945045471191
who 8 3 3 5.874374866485596 3.8175082206726074 0
speaks 8 4 6 12.512676239013672 5.482449531555176 0
a 8 5 1 5.850234508514404 3.4238498210906982 2.0585997104644775
<unk> 8 6 5 8.978321075439453 7.375229835510254 0
language 8 7 8 7.970701694488525 2.6547584533691406 4.720471382141113
solve 8 8 5 25.185256958007812 1.2872036695480347 1.367554783821106
by 8 9 2 9.415224075317383 5.284739017486572 0
<unk> 8 10 5 4.688863754272461 7.964040756225586 0
