word sentid sentpos wlen surp entropy entred
how 0 0 3 0.06706502288579941 0.5553535223007202 0
did 0 1 3 4.456124305725098 8.220880508422852 0
bill 0 2 4 21.280555725097656 4.37678861618042 3.8440918922424316
claim 0 3 5 13.680273056030273 7.036686420440674 0
that 0 4 4 0.4732154905796051 2.0898072719573975 4.946879148483276
today 0 5 5 11.688667297363281 6.5245361328125 0
is 0 6 2 3.6169068813323975 6.366300106048584 0.15823602676391602
his 0 7 3 7.45836067199707 5.603504180908203 0.7627959251403809
last 0 8 4 8.118500709533691 10.134700775146484 0
day 0 9 3 6.571829319000244 9.753727912902832 0.38097286224365234
? 0 10 1 3.064707040786743 5.867981433868408 3.885746479034424
how 1 0 3 0.06706502288579941 0.5553535223007202 0
does 1 1 4 6.04741907119751 8.220880508422852 0
<unk> 1 2 5 4.963955402374268 4.533030033111572 3.6878504753112793
claim 1 3 5 12.249080657958984 4.644969940185547 0
that 1 4 4 0.28890323638916016 1.4502854347229004 3.1946845054626465
he 1 5 2 3.3443896770477295 6.186684608459473 0
has 1 6 3 4.456534385681152 5.05496072769165 1.1317238807678223
a 1 7 1 1.953906536102295 6.811153411865234 0
boat 1 8 4 6.613824844360352 9.009011268615723 0
and 1 9 3 13.810648918151855 0.07481976598501205 8.93419150263071
a 1 10 1 2.0356149673461914 7.837127685546875 0
car 1 11 3 5.901906490325928 8.960803985595703 0
? 1 12 1 0.03467875346541405 0.3474997282028198 8.613304257392883
how 2 0 3 0.06706502288579941 0.5553535223007202 0
did 2 1 3 4.456124305725098 8.220880508422852 0
she 2 2 3 1.518202304840088 4.37678861618042 3.8440918922424316
think 2 3 5 5.700119495391846 3.6889586448669434 0.6878299713134766
that 2 4 4 0.9363517165184021 3.5038516521453857 0.18510699272155762
she 2 5 3 2.1290407180786133 5.992467880249023 0
bought 2 6 6 10.821662902832031 4.520839691162109 1.471628189086914
beans 2 7 5 15.449525833129883 2.274240016937256 2.2465996742248535
and 2 8 3 11.172585487365723 0.12597274780273438 2.1482672691345215
<unk> 2 9 5 3.8174800872802734 8.612225532531738 0
? 2 10 1 0.6882482767105103 3.56888484954834 5.043340682983398
how 3 0 3 0.06706502288579941 0.5553535223007202 0
does 3 1 4 6.04741907119751 8.220880508422852 0
<unk> 3 2 5 4.963955402374268 4.533030033111572 3.6878504753112793
claim 3 3 5 12.249080657958984 4.644969940185547 0
that 3 4 4 0.28890323638916016 1.4502854347229004 3.1946845054626465
