word sentid sentpos wlen surp entropy entred
what 0 0 4 11.139830589294434 0.5004273653030396 0
did 0 1 3 3.0110182762145996 6.154789447784424 0
they 0 2 4 4.872076034545898 3.91814923286438 2.236640214920044
not 0 3 3 8.51817798614502 1.5383117198944092 2.3798375129699707
like 0 4 4 1.4870907068252563 4.080424785614014 0
that 0 5 4 0.5443731546401978 3.629976987838745 0.45044779777526855
<unk> 0 6 5 9.600874900817871 1.847157597541809 1.782819390296936
likes 0 7 5 13.570218086242676 7.0733160972595215 0
and 0 8 3 6.098803997039795 4.823592662811279 2.249723434448242
accounts 0 9 8 14.912494659423828 6.489945411682129 0
? 0 10 1 0.21363142132759094 1.2365187406539917 5.253426671028137
who 1 0 3 9.289308547973633 0.5004273653030396 0
did 1 1 3 3.4183154106140137 6.65533447265625 0
she 1 2 3 2.544884443283081 6.771505355834961 0
hear 1 3 4 8.9583158493042 0.7291826009750366 6.042322754859924
a 1 4 1 1.5728319883346558 5.1129045486450195 0
rumour 1 5 6 13.042468070983887 8.164387702941895 0
about 1 6 5 8.67757511138916 0.6703054904937744 7.49408221244812
and 1 7 3 9.516229629516602 6.297780513763428 0
wait 1 8 4 11.348650932312012 7.074591636657715 0
for 1 9 3 0.39804378151893616 2.000171661376953 5.074419975280762
? 1 10 1 10.385367393493652 3.9193859100341797 0
what 2 0 4 11.139830589294434 0.5004273653030396 0
did 2 1 3 3.0110182762145996 6.154789447784424 0
he 2 2 2 4.652756690979004 3.91814923286438 2.236640214920044
hear 2 3 4 8.079205513000488 0.40721315145492554 3.5109360814094543
that 2 4 4 2.1030001640319824 5.895566463470459 0
<unk> 2 5 5 4.560055732727051 6.294768810272217 0
ate 2 6 3 13.446001052856445 6.414180755615234 0
accounts 2 7 8 15.884183883666992 4.021749973297119 2.3924307823181152
and 2 8 3 7.050171375274658 2.148265838623047 1.8734841346740723
? 2 9 1 8.426840782165527 8.752612113952637 0
what 3 0 4 11.139830589294434 0.5004273653030396 0
did 3 1 3 3.0110182762145996 6.154789447784424 0
will 3 2 4 13.210320472717285 3.91814923286438 2.236640214920044
buy 3 3 3 5.82391881942749 5.405348777770996 0
? 3 4 1 4.163796424865723 6.687530040740967 0
what 4 0 4 11.139830589294434 0.5004273653030396 0
did 4 1 3 3.0110182762145996 6.154789447784424 0
you 4 2 3 2.987452745437622 3.91814923286438 2.236640214920044
read 4 3 4 12.915726661682129 2.217090129852295 1.701059103012085
about 4 4 5 4.476663112640381 5.937057018280029 0
and 4 5 3 7.574183940887451 6.691329002380371 0
announce 4 6 8 16.604631423950195 5.925569534301758 0.7657594680786133
about 4 7 5 8.843008041381836 3.7639644145965576 2.1616051197052
? 4 8 1 8.535484313964844 6.110020637512207 0
what 5 0 4 11.139830589294434 0.5004273653030396 0
did 5 1 3 3.0110182762145996 6.154789447784424 0
he 5 2 2 4.652756690979004 3.91814923286438 2.236640214920044
announce 5 3 8 19.80900764465332 0.40721315145492554 3.5109360814094543
a 5 4 1 5.288712978363037 3.15244460105896 0
plan 5 5 4 7.15339469909668 9.150832176208496 0
and 5 6 3 10.457606315612793 0.6758379936218262 8.47499418258667
speak 5 7 5 13.038002014160156 7.879358291625977 0
? 5 8 1 2.6698825359344482 5.408007621765137 2.47135066986084
which 6 0 5 10.389328956604004 0.5004273653030396 0
subjects 6 1 8 18.243635177612305 7.198917388916016 0
did 6 2 3 5.06270694732666 8.96747875213623 0
she 6 3 3 2.373178243637085 6.323840141296387 2.6436386108398438
not 6 4 3 12.816496849060059 0.7918116450309753 5.532028496265411
study 6 5 5 12.640081405639648 6.339423656463623 0
