word sentid sentpos wlen surp entropy entred
what 0 0 4 10.886543273925781 0.4070017635822296 0
did 0 1 3 1.047397494316101 4.249889373779297 0
they 0 2 4 5.514279365539551 2.5184247493743896 1.7314646244049072
not 0 3 3 4.578982830047607 2.606778860092163 0
like 0 4 4 1.0041582584381104 3.488438367843628 0
that 0 5 4 0.14806115627288818 0.9426316618919373 2.5458067059516907
<unk> 0 6 5 7.733999729156494 2.7690279483795166 0
likes 0 7 5 11.974982261657715 4.333066940307617 0
and 0 8 3 7.512463092803955 5.5724616050720215 0
accounts 0 9 8 14.5763521194458 7.019449710845947 0
? 0 10 1 0.0038704327307641506 0.042076475918293 6.977373234927654
who 1 0 3 10.300942420959473 0.4070017635822296 0
did 1 1 3 1.5195019245147705 5.408033847808838 0
she 1 2 3 1.39857816696167 5.164553165435791 0.24348068237304688
hear 1 3 4 5.5544281005859375 2.71020245552063 2.454350709915161
a 1 4 1 2.1356287002563477 4.403356552124023 0
rumour 1 5 6 10.16085147857666 8.739188194274902 0
about 1 6 5 14.30784797668457 0.04370301961898804 8.695485174655914
and 1 7 3 11.004203796386719 5.222478866577148 0
wait 1 8 4 9.441390991210938 7.908591270446777 0
for 1 9 3 0.5626093745231628 2.6738340854644775 5.2347571849823
? 1 10 1 8.590185165405273 3.116236925125122 0
what 2 0 4 10.886543273925781 0.4070017635822296 0
did 2 1 3 1.047397494316101 4.249889373779297 0
he 2 2 2 5.156647682189941 2.5184247493743896 1.7314646244049072
hear 2 3 4 3.3878366947174072 3.046119213104248 0
that 2 4 4 0.9687987565994263 3.7980539798736572 0
<unk> 2 5 5 5.068279266357422 5.78254508972168 0
ate 2 6 3 12.882176399230957 4.8805365562438965 0.9020085334777832
accounts 2 7 8 17.524253845214844 4.227072238922119 0.6534643173217773
and 2 8 3 14.39212703704834 0.04571600630879402 4.181356232613325
? 2 9 1 14.636380195617676 8.672120094299316 0
what 3 0 4 10.886543273925781 0.4070017635822296 0
did 3 1 3 1.047397494316101 4.249889373779297 0
