word sentid sentpos wlen surp entropy entred
who 0 0 3 9.332375526428223 0.24359022080898285 0
did 0 1 3 1.645824670791626 3.956193208694458 0
he 0 2 2 7.08263635635376 4.426701545715332 0
hear 0 3 4 7.900578022003174 0.7269312739372253 3.6997702717781067
that 0 4 4 1.091591477394104 3.804631233215332 0
it 0 5 2 5.521177291870117 5.289504528045654 0
is 0 6 2 1.0659618377685547 3.785076379776001 1.5044281482696533
important 0 7 9 9.384515762329102 5.594907760620117 0
to 0 8 2 2.9753482341766357 3.1402862071990967 2.4546215534210205
see 0 9 3 4.388710975646973 3.92233943939209 0
? 0 10 1 7.072596549987793 4.3999457359313965 0
what 1 0 4 12.855280876159668 0.24359022080898285 0
is 1 1 2 2.1027259826660156 5.338125705718994 0
it 1 2 2 8.125628471374512 5.785819053649902 0
important 1 3 9 12.025883674621582 4.60137939453125 1.1844396591186523
that 1 4 4 7.867653846740723 1.0413142442703247 3.5600651502609253
<unk> 1 5 5 6.544523239135742 4.91628885269165 0
buys 1 6 4 16.626123428344727 4.942713260650635 0
? 1 7 1 5.1163859367370605 3.543808698654175 1.39890456199646
who 2 0 3 9.332375526428223 0.24359022080898285 0
did 2 1 3 1.645824670791626 3.956193208694458 0
he 2 2 2 7.08263635635376 4.426701545715332 0
hear 2 3 4 7.900578022003174 0.7269312739372253 3.6997702717781067
that 2 4 4 1.091591477394104 3.804631233215332 0
it 2 5 2 5.521177291870117 5.289504528045654 0
is 2 6 2 1.0659618377685547 3.785076379776001 1.5044281482696533
important 2 7 9 9.384515762329102 5.594907760620117 0
that 2 8 4 4.780229091644287 3.1402862071990967 2.4546215534210205
<unk> 2 9 5 5.517327308654785 5.317840576171875 0
knows 2 10 5 8.906705856323242 4.828887462615967 0.4889531135559082
? 2 11 1 3.6827187538146973 2.9136176109313965 1.9152698516845703
where 3 0 5 12.895544052124023 0.24359022080898285 0
did 3 1 3 5.996111869812012 6.614984512329102 0
<unk> 3 2 5 5.892803192138672 1.9996565580368042 4.615327954292297
tell 3 3 4 9.178375244140625 2.763230323791504 0
you 3 4 3 3.3236467838287354 4.919283866882324 0
that 3 5 4 4.183010578155518 3.9621386528015137 0.9571452140808105
she 3 6 3 1.5950157642364502 4.574677467346191 0
went 3 7 4 6.595285415649414 5.023031234741211 0
? 3 8 1 5.964900493621826 1.8384190797805786 3.1846121549606323
what 4 0 4 12.855280876159668 0.24359022080898285 0
did 4 1 3 2.277543067932129 5.338125705718994 0
he 4 2 2 5.867605209350586 2.434454917907715 2.9036707878112793
hear 4 3 4 11.586926460266113 0.08482995629310608 2.3496249616146088
that 4 4 4 1.4168744087219238 3.8530261516571045 0
<unk> 4 5 5 5.6620941162109375 5.291741847991943 0
does 4 6 4 4.093098163604736 5.545856952667236 0
not 4 7 3 6.1533918380737305 5.036001205444336 0.5098557472229004
do 4 8 2 7.563460826873779 4.400088787078857 0.6359124183654785
? 4 9 1 2.754436492919922 4.356896877288818 0.04319190979003906
what 5 0 4 12.855280876159668 0.24359022080898285 0
did 5 1 3 2.277543067932129 5.338125705718994 0
he 5 2 2 5.867605209350586 2.434454917907715 2.9036707878112793
hear 5 3 4 11.586926460266113 0.08482995629310608 2.3496249616146088
that 5 4 4 1.4168744087219238 3.8530261516571045 0
<unk> 5 5 5 5.6620941162109375 5.291741847991943 0
thinks 5 6 6 11.568795204162598 5.545856952667236 0
their 5 7 5 11.707040786743164 2.8447377681732178 2.7011191844940186
car 5 8 3 9.357454299926758 9.945772171020508 0
needed 5 9 6 16.18196678161621 0.7125566005706787 9.233215570449829
to 5 10 2 2.4468092918395996 4.184077262878418 0
do 5 11 2 5.919013500213623 4.740392208099365 0
? 5 12 1 1.8584686517715454 4.848674297332764 0
who 6 0 3 9.332375526428223 0.24359022080898285 0
is 6 1 2 2.128359794616699 3.956193208694458 0
it 6 2 2 10.24067211151123 7.070958614349365 0
probable 6 3 8 17.811769485473633 5.518200874328613 1.552757740020752
that 6 4 4 0.8129863142967224 2.594428777694702 2.923772096633911
<unk> 6 5 5 4.613309383392334 5.528024673461914 0
helped 6 6 6 12.771475791931152 3.9048774242401123 1.6231472492218018
? 6 7 1 7.564517974853516 7.3999738693237305 0
what 7 0 4 12.855280876159668 0.24359022080898285 0
did 7 1 3 2.277543067932129 5.338125705718994 0
they 7 2 4 5.7387614250183105 2.434454917907715 2.9036707878112793
not 7 3 3 11.638476371765137 0.36488887667655945 2.0695660412311554
like 7 4 4 2.0341687202453613 3.4845950603485107 0
that 7 5 4 0.2084612101316452 1.2940990924835205 2.1904959678649902
you 7 6 3 5.164745807647705 4.151739120483398 0
read 7 7 4 12.344462394714355 4.146368026733398 0.00537109375
that 7 8 4 1.803821086883545 4.775218963623047 0
<unk> 7 9 5 6.135702610015869 5.253252029418945 0
is 7 10 2 3.3805506229400635 5.42655086517334 0
trying 7 11 6 7.695259094238281 6.599591255187988 0
to 7 12 2 0.0767630860209465 0.5475226044654846 6.052068650722504
give 7 13 4 8.334490776062012 3.8949759006500244 0
you 7 14 3 3.636002779006958 4.847726345062256 0
? 7 15 1 0.9254486560821533 2.676283121109009 2.171443223953247
who 8 0 3 9.332375526428223 0.24359022080898285 0
did 8 1 3 1.645824670791626 3.956193208694458 0
they 8 2 4 6.995540142059326 4.426701545715332 0
not 8 3 3 7.415302276611328 2.31172776222229 2.114973783493042
like 8 4 4 1.5222277641296387 4.575571060180664 0
that 8 5 4 0.1440439075231552 0.9295454025268555 3.6460256576538086
it 8 6 2 6.66896390914917 4.408886909484863 0
is 8 7 2 1.7754119634628296 4.2429890632629395 0.16589784622192383
probable 8 8 8 15.998178482055664 6.251284122467041 0
that 8 9 4 0.6507547497749329 2.3909542560577393 3.8603298664093018
<unk> 8 10 5 4.466840744018555 5.303836822509766 0
met 8 11 3 12.433626174926758 4.198641300201416 1.1051955223083496
? 8 12 1 5.184931755065918 6.288398265838623 0
who 9 0 3 9.332375526428223 0.24359022080898285 0
is 9 1 2 2.128359794616699 3.956193208694458 0
