word sentid sentpos wlen surp entropy entred
where 0 0 5 12.895544052124023 0.24359022080898285 0
did 0 1 3 5.996111869812012 6.614984512329102 0
<unk> 0 2 5 5.892803192138672 1.9996565580368042 4.615327954292297
ask 0 3 3 9.243391036987305 2.763230323791504 0
who 0 4 3 9.922840118408203 3.9868695735931396 0
<unk> 0 5 5 8.815034866333008 3.4864501953125 0.5004193782806396
took 0 6 4 11.259723663330078 6.167840003967285 0
? 0 7 1 7.714134693145752 4.142422199249268 2.0254178047180176
what 1 0 4 12.855280876159668 0.24359022080898285 0
did 1 1 3 2.277543067932129 5.338125705718994 0
she 1 2 3 0.5129185914993286 2.434454917907715 2.9036707878112793
say 1 3 3 0.010791691951453686 0.09991487860679626 2.3345400393009186
that 1 4 4 0.11518020927906036 0.739795982837677 0
<unk> 1 5 5 4.799866676330566 6.586948394775391 0
asked 1 6 5 10.65575885772705 4.273098945617676 2.313849449157715
who 1 7 3 9.510257720947266 5.341899394989014 0
will 1 8 4 7.4504218101501465 4.820208549499512 0.521690845489502
read 1 9 4 9.931618690490723 5.853247165679932 0
? 1 10 1 2.924840211868286 4.614134788513184 1.239112377166748
where 2 0 5 12.895544052124023 0.24359022080898285 0
did 2 1 3 5.996111869812012 6.614984512329102 0
<unk> 2 2 5 5.892803192138672 1.9996565580368042 4.615327954292297
ask 2 3 3 9.243391036987305 2.763230323791504 0
how 2 4 3 4.126005172729492 3.9868695735931396 0
<unk> 2 5 5 6.041846752166748 6.025557518005371 0
went 2 6 4 8.114667892456055 3.734553337097168 2.291004180908203
? 2 7 1 4.86147403717041 2.673658847808838 1.06089448928833
what 3 0 4 12.855280876159668 0.24359022080898285 0
did 3 1 3 2.277543067932129 5.338125705718994 0
will 3 2 4 14.318679809570312 2.434454917907715 2.9036707878112793
ask 3 3 3 12.537955284118652 2.7651078701019287 0
why 3 4 3 5.2008376121521 4.505073547363281 0
<unk> 3 5 5 7.63416051864624 3.4825448989868164 1.0225286483764648
wears 3 6 5 16.622095108032227 3.532876968383789 0
? 3 7 1 5.28501558303833 2.7747817039489746 0.7580952644348145
what 4 0 4 12.855280876159668 0.24359022080898285 0
did 4 1 3 2.277543067932129 5.338125705718994 0
she 4 2 3 0.5129185914993286 2.434454917907715 2.9036707878112793
say 4 3 3 0.010791691951453686 0.09991487860679626 2.3345400393009186
that 4 4 4 0.11518020927906036 0.739795982837677 0
will 4 5 4 6.7191667556762695 6.586948394775391 0
thinks 4 6 6 12.007683753967285 5.418713092803955 1.1682353019714355
he 4 7 2 6.4095001220703125 2.9127421379089355 2.5059709548950195
knows 4 8 5 5.8122687339782715 4.68416690826416 0
where 4 9 5 7.680908203125 3.112821340560913 1.571345567703247
<unk> 4 10 5 5.761350154876709 4.663566589355469 0
announced 4 11 9 16.016691207885742 4.442630290985107 0.22093629837036133
? 4 12 1 6.360080242156982 2.5586307048797607 1.8839995861053467
what 5 0 4 12.855280876159668 0.24359022080898285 0
did 5 1 3 2.277543067932129 5.338125705718994 0
they 5 2 4 5.7387614250183105 2.434454917907715 2.9036707878112793
not 5 3 3 11.638476371765137 0.36488887667655945 2.0695660412311554
like 5 4 4 2.0341687202453613 3.4845950603485107 0
that 5 5 4 0.2084612101316452 1.2940990924835205 2.1904959678649902
<unk> 5 6 5 7.403219699859619 4.151739120483398 0
wonders 5 7 7 14.57844066619873 6.1789727210998535 0
how 5 8 3 2.8048157691955566 2.4950625896453857 3.6839101314544678
<unk> 5 9 5 6.032217979431152 6.157748699188232 0
was 5 10 3 6.54957389831543 3.9338090419769287 2.2239396572113037
? 5 11 1 3.5292608737945557 7.026357650756836 0
what 6 0 4 12.855280876159668 0.24359022080898285 0
did 6 1 3 2.277543067932129 5.338125705718994 0
<unk> 6 2 5 5.7033233642578125 2.434454917907715 2.9036707878112793
ask 6 3 3 11.35058879852295 2.3249399662017822 0.10951495170593262
when 6 4 4 9.714774131774902 4.077149868011475 0
<unk> 6 5 5 7.801666736602783 3.9290482997894287 0.1481015682220459
ate 6 6 3 13.904929161071777 4.5475544929504395 0
? 6 7 1 3.7039642333984375 4.948017120361328 0
what 7 0 4 12.855280876159668 0.24359022080898285 0
does 7 1 4 5.230721473693848 5.338125705718994 0
<unk> 7 2 5 4.646454811096191 3.14475154876709 2.1933741569519043
wonder 7 3 6 15.564642906188965 2.098433256149292 1.0463182926177979
where 7 4 5 13.377738952636719 0.2063600867986679 1.892073169350624
<unk> 7 5 5 5.698644161224365 5.253890514373779 0
buys 7 6 4 19.052125930786133 2.226130247116089 3.0277602672576904
? 7 7 1 3.7804737091064453 3.6573269367218018 0
what 8 0 4 12.855280876159668 0.24359022080898285 0
does 8 1 4 5.230721473693848 5.338125705718994 0
will 8 2 4 13.601219177246094 3.14475154876709 2.1933741569519043
wonder 8 3 6 17.789690017700195 2.4036128520965576 0.7411386966705322
how 8 4 3 4.198787212371826 2.7180840969085693 0
he 8 5 2 7.114211559295654 6.436356544494629 0
will 8 6 4 6.926480293273926 4.182217121124268 2.2541394233703613
read 8 7 4 11.061782836914062 3.9636332988739014 0.2185838222503662
? 8 8 1 2.3741343021392822 4.0164265632629395 0
how 9 0 3 0.026634372770786285 0.24359022080898285 0
did 9 1 3 3.7122249603271484 8.388836860656738 0
he 9 2 2 6.208921909332275 2.058926820755005 6.329910039901733
hear 9 3 4 7.312493324279785 0.5860750079154968 1.472851812839508
that 9 4 4 0.82241290807724 3.282514810562134 0
<unk> 9 5 5 5.130198001861572 4.912786960601807 0
thinks 9 6 6 11.725601196289062 5.845813274383545 0
he 9 7 2 6.163237571716309 2.649033784866333 3.196779489517212
knows 9 8 5 6.0799407958984375 4.458454132080078 0
where 9 9 5 7.787642955780029 3.0356311798095703 1.4228229522705078
<unk> 9 10 5 5.60374116897583 4.68019962310791 0
gets 9 11 4 9.22158145904541 4.624034881591797 0.05616474151611328
? 9 12 1 4.063638210296631 6.235128402709961 0
whom 10 0 4 13.247964859008789 0.24359022080898285 0
does 10 1 4 6.155433177947998 6.348981857299805 0
<unk> 10 2 5 4.415782451629639 3.049269676208496 3.2997121810913086
wonder 10 3 6 13.291007995605469 4.45916223526001 0
how 10 4 3 5.663006782531738 1.2223719358444214 3.2367902994155884
<unk> 10 5 5 5.671566963195801 6.870026588439941 0
is 10 6 2 3.268214225769043 3.8355116844177246 3.034514904022217
waiting 10 7 7 3.6636576652526855 6.593196868896484 0
for 10 8 3 0.06200132519006729 0.41894301772117615 6.174253851175308
? 10 9 1 5.624091148376465 3.7191526889801025 0
what 11 0 4 12.855280876159668 0.24359022080898285 0
did 11 1 3 2.277543067932129 5.338125705718994 0
<unk> 11 2 5 5.7033233642578125 2.434454917907715 2.9036707878112793
ask 11 3 3 11.35058879852295 2.3249399662017822 0.10951495170593262
why 11 4 3 5.499062538146973 4.077149868011475 0
<unk> 11 5 5 7.9275617599487305 3.212310552597046 0.8648393154144287
is 11 6 2 3.798322916030884 3.59016489982605 0
? 11 7 1 2.4761149883270264 6.146023750305176 0
what 12 0 4 12.855280876159668 0.24359022080898285 0
did 12 1 3 2.277543067932129 5.338125705718994 0
