word sentid sentpos wlen surp entropy entred
where 0 0 5 11.458373069763184 0.5004273653030396 0
did 0 1 3 5.634984016418457 7.211261749267578 0
<unk> 0 2 5 3.7179839611053467 3.1498863697052 4.061375379562378
ask 0 3 3 7.830776214599609 5.273532390594482 0
who 0 4 3 7.689664840698242 5.381133079528809 0
<unk> 0 5 5 7.2241692543029785 6.448407173156738 0
took 0 6 4 8.882526397705078 7.191722869873047 0
? 0 7 1 7.812033176422119 5.885793685913086 1.305929183959961
what 1 0 4 11.139830589294434 0.5004273653030396 0
did 1 1 3 3.0110182762145996 6.154789447784424 0
she 1 2 3 1.019956111907959 3.91814923286438 2.236640214920044
say 1 3 3 0.05115383118391037 0.33592936396598816 3.5822198688983917
that 1 4 4 0.4093926250934601 2.4849610328674316 0
<unk> 1 5 5 4.966882228851318 5.340304374694824 0
asked 1 6 5 7.63722562789917 6.497487545013428 0
who 1 7 3 7.027176856994629 5.602342128753662 0.8951454162597656
will 1 8 4 5.0088982582092285 5.181050777435303 0.4212913513183594
read 1 9 4 9.409001350402832 7.107963562011719 0
? 1 10 1 5.439795017242432 4.942868232727051 2.165095329284668
where 2 0 5 11.458373069763184 0.5004273653030396 0
did 2 1 3 5.634984016418457 7.211261749267578 0
<unk> 2 2 5 3.7179839611053467 3.1498863697052 4.061375379562378
ask 2 3 3 7.830776214599609 5.273532390594482 0
how 2 4 3 4.089798450469971 5.381133079528809 0
<unk> 2 5 5 5.999821186065674 8.173985481262207 0
went 2 6 4 7.568996429443359 4.637106418609619 3.536879062652588
? 2 7 1 2.6572935581207275 2.988555669784546 1.6485507488250732
what 3 0 4 11.139830589294434 0.5004273653030396 0
did 3 1 3 3.0110182762145996 6.154789447784424 0
will 3 2 4 13.210320472717285 3.91814923286438 2.236640214920044
ask 3 3 3 10.817843437194824 5.405348777770996 0
why 3 4 3 4.877786636352539 5.060288429260254 0.3450603485107422
<unk> 3 5 5 4.008397102355957 7.582670211791992 0
wears 3 6 5 14.17637825012207 7.144032001495361 0.43863821029663086
? 3 7 1 9.39316177368164 2.292046308517456 4.851985692977905
what 4 0 4 11.139830589294434 0.5004273653030396 0
did 4 1 3 3.0110182762145996 6.154789447784424 0
she 4 2 3 1.019956111907959 3.91814923286438 2.236640214920044
say 4 3 3 0.05115383118391037 0.33592936396598816 3.5822198688983917
that 4 4 4 0.4093926250934601 2.4849610328674316 0
will 4 5 4 5.255856037139893 5.340304374694824 0
thinks 4 6 6 10.76343059539795 7.486100673675537 0
he 4 7 2 5.40532922744751 5.526946067810059 1.9591546058654785
knows 4 8 5 6.391116142272949 4.089742660522461 1.4372034072875977
where 4 9 5 6.743055820465088 4.848135948181152 0
<unk> 4 10 5 6.777494430541992 3.8784358501434326 0.9697000980377197
announced 4 11 9 16.021038055419922 5.085479736328125 0
? 4 12 1 8.476344108581543 3.3362364768981934 1.7492432594299316
what 5 0 4 11.139830589294434 0.5004273653030396 0
did 5 1 3 3.0110182762145996 6.154789447784424 0
they 5 2 4 4.872076034545898 3.91814923286438 2.236640214920044
not 5 3 3 8.51817798614502 1.5383117198944092 2.3798375129699707
like 5 4 4 1.4870907068252563 4.080424785614014 0
that 5 5 4 0.5443731546401978 3.629976987838745 0.45044779777526855
<unk> 5 6 5 9.600874900817871 1.847157597541809 1.782819390296936
wonders 5 7 7 17.318603515625 7.0733160972595215 0
how 5 8 3 3.582021474838257 3.18062686920166 3.8926892280578613
<unk> 5 9 5 5.7968645095825195 8.469402313232422 0
was 5 10 3 6.099473476409912 4.256319999694824 4.213082313537598
? 5 11 1 4.381515979766846 5.611390590667725 0
what 6 0 4 11.139830589294434 0.5004273653030396 0
did 6 1 3 3.0110182762145996 6.154789447784424 0
<unk> 6 2 5 3.8057711124420166 3.91814923286438 2.236640214920044
ask 6 3 3 8.653350830078125 3.7931127548217773 0.12503647804260254
when 6 4 4 9.225743293762207 4.372615814208984 0
<unk> 6 5 5 4.0016560554504395 5.559921741485596 0
ate 6 6 3 13.305500984191895 7.509310245513916 0
? 6 7 1 7.691293239593506 4.185183525085449 3.324126720428467
what 7 0 4 11.139830589294434 0.5004273653030396 0
does 7 1 4 3.8726651668548584 6.154789447784424 0
<unk> 7 2 5 2.715956449508667 5.4924092292785645 0.6623802185058594
wonder 7 3 6 15.33699893951416 5.229516506195068 0.2628927230834961
where 7 4 5 11.7276611328125 1.4727423191070557 3.7567741870880127
<unk> 7 5 5 4.410016059875488 5.616521835327148 0
buys 7 6 4 14.221386909484863 5.9152045249938965 0
? 7 7 1 7.64032506942749 1.547871708869934 4.367332816123962
what 8 0 4 11.139830589294434 0.5004273653030396 0
does 8 1 4 3.8726651668548584 6.154789447784424 0
will 8 2 4 11.57712459564209 5.4924092292785645 0.6623802185058594
wonder 8 3 6 17.545154571533203 5.492786884307861 0
how 8 4 3 1.4502758979797363 3.7437796592712402 1.749007225036621
he 8 5 2 7.8988356590271 8.674910545349121 0
will 8 6 4 5.768441677093506 4.231273174285889 4.443637371063232
read 8 7 4 8.358233451843262 6.591978073120117 0
? 8 8 1 3.3423049449920654 5.540607452392578 1.051370620727539
how 9 0 3 0.05981412157416344 0.5004273653030396 0
did 9 1 3 3.3924736976623535 9.048355102539062 0
he 9 2 2 5.141389846801758 4.332006931304932 4.716348171234131
hear 9 3 4 8.277480125427246 0.5274125933647156 3.804594337940216
that 9 4 4 2.078904151916504 5.34047269821167 0
<unk> 9 5 5 4.734705924987793 6.1762590408325195 0
thinks 9 6 6 9.436474800109863 6.265835762023926 0
he 9 7 2 4.629488468170166 4.8420257568359375 1.4238100051879883
knows 9 8 5 6.842442512512207 4.425781726837158 0.4162440299987793
where 9 9 5 6.434553623199463 4.779860973358154 0
<unk> 9 10 5 6.454098701477051 4.2185444831848145 0.5613164901733398
gets 9 11 4 8.373327255249023 5.004729747772217 0
? 9 12 1 5.354122161865234 2.8330912590026855 2.1716384887695312
whom 10 0 4 12.388548851013184 0.5004273653030396 0
does 10 1 4 7.512378215789795 7.2908220291137695 0
<unk> 10 2 5 2.5073022842407227 6.59824800491333 0.6925740242004395
wonder 10 3 6 13.769099235534668 6.204630374908447 0.3936176300048828
how 10 4 3 3.4063661098480225 5.052374839782715 1.1522555351257324
<unk> 10 5 5 5.628780364990234 8.472134590148926 0
is 10 6 2 2.4359867572784424 5.030081272125244 3.4420533180236816
waiting 10 7 7 8.035860061645508 6.1169281005859375 0
for 10 8 3 0.07271161675453186 0.48534756898880005 5.6315805315971375
? 10 9 1 11.608621597290039 3.2681195735931396 0
what 11 0 4 11.139830589294434 0.5004273653030396 0
did 11 1 3 3.0110182762145996 6.154789447784424 0
<unk> 11 2 5 3.8057711124420166 3.91814923286438 2.236640214920044
ask 11 3 3 8.653350830078125 3.7931127548217773 0.12503647804260254
why 11 4 3 5.885684490203857 4.372615814208984 0
<unk> 11 5 5 4.127433776855469 7.680874347686768 0
is 11 6 2 2.4768104553222656 7.114492893218994 0.5663814544677734
? 11 7 1 8.549897193908691 6.3781561851501465 0.7363367080688477
what 12 0 4 11.139830589294434 0.5004273653030396 0
did 12 1 3 3.0110182762145996 6.154789447784424 0
<unk> 12 2 5 3.8057711124420166 3.91814923286438 2.236640214920044
ask 12 3 3 8.653350830078125 3.7931127548217773 0.12503647804260254
who 12 4 3 8.568869590759277 4.372615814208984 0
will 12 5 4 6.287520408630371 6.3806843757629395 0
is 12 6 2 8.469764709472656 6.614669322967529 0
for 12 7 3 8.434520721435547 6.656470775604248 0
? 12 8 1 10.67464828491211 5.310482025146484 1.3459887504577637
whom 13 0 4 12.388548851013184 0.5004273653030396 0
did 13 1 3 5.7531046867370605 7.2908220291137695 0
<unk> 13 2 5 2.6182711124420166 5.894627571105957 1.3961944580078125
ask 13 3 3 8.255836486816406 6.123249530792236 0
where 13 4 5 9.593019485473633 5.634178638458252 0.4890708923339844
<unk> 13 5 5 3.604412794113159 6.32935094833374 0
loaned 13 6 6 13.824067115783691 7.334015846252441 0
a 13 7 1 0.3581199645996094 2.343470573425293 4.990545272827148
trumpet 13 8 7 8.045106887817383 8.124584197998047 0
to 13 9 2 8.649667739868164 0.2987111806869507 7.825873017311096
? 13 10 1 14.5656099319458 6.411139011383057 0
what 14 0 4 11.139830589294434 0.5004273653030396 0
did 14 1 3 3.0110182762145996 6.154789447784424 0
he 14 2 2 4.652756690979004 3.91814923286438 2.236640214920044
hear 14 3 4 8.079205513000488 0.40721315145492554 3.5109360814094543
that 14 4 4 2.1030001640319824 5.895566463470459 0
<unk> 14 5 5 4.560055732727051 6.294768810272217 0
asked 14 6 5 7.616504192352295 6.414180755615234 0
who 14 7 3 6.907655715942383 5.535384178161621 0.8787965774536133
<unk> 14 8 5 7.6672444343566895 5.262202262878418 0.2731819152832031
heard 14 9 5 11.417571067810059 6.026071071624756 0
about 14 10 5 4.864473342895508 4.908332824707031 1.1177382469177246
? 14 11 1 7.571020126342773 6.13950252532959 0
what 15 0 4 11.139830589294434 0.5004273653030396 0
did 15 1 3 3.0110182762145996 6.154789447784424 0
<unk> 15 2 5 3.8057711124420166 3.91814923286438 2.236640214920044
ask 15 3 3 8.653350830078125 3.7931127548217773 0.12503647804260254
why 15 4 3 5.885684490203857 4.372615814208984 0
a 15 5 1 3.7740931510925293 7.680874347686768 0
discreet 15 6 8 17.53183364868164 9.214638710021973 0
rumour 15 7 6 12.696524620056152 9.872614860534668 0
was 15 8 3 4.66166877746582 3.8527071475982666 6.019907712936401
? 15 9 1 10.124919891357422 5.631221294403076 0
what 16 0 4 11.139830589294434 0.5004273653030396 0
does 16 1 4 3.8726651668548584 6.154789447784424 0
<unk> 16 2 5 2.715956449508667 5.4924092292785645 0.6623802185058594
wonder 16 3 6 15.33699893951416 5.229516506195068 0.2628927230834961
when 16 4 4 9.368581771850586 1.4727423191070557 3.7567741870880127
the 16 5 3 4.802816867828369 4.8828043937683105 0
blue 16 6 4 12.020130157470703 10.447906494140625 0
teddy 16 7 5 17.317304611206055 7.882175922393799 2.565730571746826
bear 16 8 4 8.819979667663574 7.6085591316223145 0.2736167907714844
will 16 9 4 6.906376838684082 6.508872032165527 1.099687099456787
eat 16 10 3 7.172333717346191 6.173549175262451 0.33532285690307617
? 16 11 1 10.275632858276367 2.999364137649536 3.174185037612915
where 17 0 5 11.458373069763184 0.5004273653030396 0
did 17 1 3 5.634984016418457 7.211261749267578 0
<unk> 17 2 5 3.7179839611053467 3.1498863697052 4.061375379562378
<unk> 17 3 5 9.260995864868164 5.273532390594482 0
ask 17 4 3 8.122798919677734 7.630956172943115 0
who 17 5 3 7.0981059074401855 5.590021133422852 2.0409350395202637
took 17 6 4 9.884661674499512 6.201301097869873 0
the 17 7 3 4.4961395263671875 5.38219690322876 0.8191041946411133
expensive 17 8 9 15.078960418701172 9.250125885009766 0
picture 17 9 7 7.247520923614502 10.05455207824707 0
to 17 10 2 7.691392421722412 1.1502705812454224 8.904281497001648
? 17 11 1 13.471548080444336 5.0326433181762695 0
what 18 0 4 11.139830589294434 0.5004273653030396 0
did 18 1 3 3.0110182762145996 6.154789447784424 0
she 18 2 3 1.019956111907959 3.91814923286438 2.236640214920044
hear 18 3 4 9.728116989135742 0.33592936396598816 3.5822198688983917
that 18 4 4 2.2854599952697754 6.108476161956787 0
<unk> 18 5 5 4.8242645263671875 5.890772342681885 0.21770381927490234
knows 18 6 5 9.026700973510742 6.551345348358154 0
where 18 7 5 6.2069196701049805 4.892784118652344 1.6585612297058105
<unk> 18 8 5 5.754767894744873 4.701249599456787 0.19153451919555664
<unk> 18 9 5 6.898251533508301 5.2179155349731445 0
