word sentid sentpos wlen surp entropy entred
which 0 0 5 7.112714767456055 1.7661086320877075 0
place 0 1 5 15.569836616516113 4.005224704742432 0
did 0 2 3 11.757671356201172 6.109689235687256 0
<unk> 0 3 5 1.486034870147705 4.428266525268555 1.6814227104187012
ask 0 4 3 7.7069854736328125 7.220730781555176 0
who 0 5 3 8.00558853149414 2.1499276161193848 5.070803165435791
<unk> 0 6 5 1.0320732593536377 5.676967144012451 0
took 0 7 4 8.763805389404297 7.634175777435303 0
? 0 8 1 0.8845915198326111 4.088385581970215 3.545790195465088
which 1 0 5 7.112714767456055 1.7661086320877075 0
comics 1 1 6 19.636150360107422 4.005224704742432 0
did 1 2 3 3.7708957195281982 7.551562786102295 0
she 1 3 3 8.283011436462402 4.3322062492370605 3.2193565368652344
say 1 4 3 8.512248039245605 5.408066749572754 0
that 1 5 4 1.1792374849319458 3.1790573596954346 2.2290093898773193
<unk> 1 6 5 0.2173118144273758 1.6149452924728394 1.5641120672225952
asked 1 7 5 6.105806350708008 7.226768970489502 0
who 1 8 3 6.02655553817749 3.3886477947235107 3.838121175765991
will 1 9 4 5.976656436920166 5.338037967681885 0
read 1 10 4 8.212128639221191 7.663589000701904 0
? 1 11 1 0.16400723159313202 1.1433693170547485 6.520219683647156
which 2 0 5 7.112714767456055 1.7661086320877075 0
place 2 1 5 15.569836616516113 4.005224704742432 0
did 2 2 3 11.757671356201172 6.109689235687256 0
<unk> 2 3 5 1.486034870147705 4.428266525268555 1.6814227104187012
ask 2 4 3 7.7069854736328125 7.220730781555176 0
how 2 5 3 4.790710926055908 2.1499276161193848 5.070803165435791
<unk> 2 6 5 0.1001371219754219 0.746877133846283 1.4030504822731018
went 2 7 4 8.637093544006348 7.332537651062012 0
? 2 8 1 3.1072685718536377 2.202207088470459 5.130330562591553
which 3 0 5 7.112714767456055 1.7661086320877075 0
rings 3 1 5 19.61236000061035 4.005224704742432 0
did 3 2 3 6.848267555236816 6.846863269805908 0
will 3 3 4 9.044690132141113 4.149467945098877 2.6973953247070312
ask 3 4 3 6.4840474128723145 4.885867595672607 0
why 3 5 3 0.593111515045166 1.9393335580825806 2.946534037590027
<unk> 3 6 5 0.052903980016708374 0.47402945160865784 1.4653041064739227
wears 3 7 5 14.103180885314941 7.890058994293213 0
? 3 8 1 0.5054702162742615 2.626901865005493 5.26315712928772
which 4 0 5 7.112714767456055 1.7661086320877075 0
plan 4 1 4 14.741168022155762 4.005224704742432 0
did 4 2 3 7.266190052032471 6.007136821746826 0
she 4 3 3 8.496582984924316 3.799118757247925 2.2080180644989014
say 4 4 3 9.378381729125977 4.805429458618164 0
that 4 5 4 1.3393135070800781 3.078869581222534 1.7265598773956299
will 4 6 4 10.529167175292969 1.5996668338775635 1.4792027473449707
thinks 4 7 6 12.712264060974121 7.092146873474121 0
he 4 8 2 6.65090799331665 3.895921230316162 3.196225643157959
knows 4 9 5 8.113052368164062 6.255605697631836 0
where 4 10 5 6.391305923461914 3.0166373252868652 3.2389683723449707
<unk> 4 11 5 0.17159876227378845 1.2873104810714722 1.729326844215393
announced 4 12 9 14.443214416503906 6.229859828948975 0
? 4 13 1 1.3019620180130005 2.613644599914551 3.616215229034424
which 5 0 5 7.112714767456055 1.7661086320877075 0
attribute 5 1 9 21.49629783630371 4.005224704742432 0
did 5 2 3 11.081650733947754 5.198248386383057 0
they 5 3 4 5.221379280090332 3.879345178604126 1.3189032077789307
not 5 4 3 0.2270500510931015 1.7815003395080566 2.0978448390960693
like 5 5 4 0.3294253349304199 2.245551586151123 0
that 5 6 4 0.3765101432800293 1.9008426666259766 0.3447089195251465
<unk> 5 7 5 0.21601621806621552 1.594298005104065 0.3065446615219116
wonders 5 8 7 13.64621639251709 7.359703063964844 0
how 5 9 3 4.598325252532959 1.1369800567626953 6.222723007202148
<unk> 5 10 5 0.08226227015256882 0.6005688905715942 0.5364111661911011
was 5 11 3 5.773275852203369 7.048459053039551 0
? 5 12 1 0.6197707653045654 3.8048622608184814 3.2435967922210693
which 6 0 5 7.112714767456055 1.7661086320877075 0
item 6 1 4 20.622760772705078 4.005224704742432 0
did 6 2 3 5.156317710876465 6.313840389251709 0
<unk> 6 3 5 1.4258400201797485 4.394216060638428 1.9196243286132812
ask 6 4 3 8.63538646697998 7.33203649520874 0
when 6 5 4 9.955227851867676 2.7691781520843506 4.56285834312439
<unk> 6 6 5 0.199024960398674 1.5990055799484253 1.1701725721359253
ate 6 7 3 13.840970039367676 7.854269504547119 0
? 6 8 1 0.4989794194698334 2.7990992069244385 5.055170297622681
which 7 0 5 7.112714767456055 1.7661086320877075 0
beverage 7 1 8 26.061885833740234 4.005224704742432 0
does 7 2 4 6.992705821990967 6.431525707244873 0
<unk> 7 3 5 1.8663686513900757 4.686187267303467 1.7453384399414062
wonder 7 4 6 2.4863433837890625 6.457582473754883 0
