word sentid sentpos wlen surp entropy entred
how 0 0 3 6.977571964263916 4.4207611083984375 0
did 0 1 3 2.4529595375061035 5.172301292419434 0
bill 0 2 4 17.340089797973633 3.2231383323669434 1.9491629600524902
claim 0 3 5 11.932937622070312 7.496444225311279 0
that 0 4 4 0.5616886019706726 1.8654301166534424 5.631014108657837
today 0 5 5 13.38022232055664 5.443807601928711 0
is 0 6 2 2.9259443283081055 6.087122917175293 0
his 0 7 3 7.889341354370117 2.419081211090088 3.668041706085205
last 0 8 4 8.25916862487793 8.88995361328125 0
day 0 9 3 7.346917152404785 8.66680908203125 0.22314453125
? 0 10 1 2.558563470840454 5.67148494720459 2.99532413482666
how 1 0 3 6.977571964263916 4.4207611083984375 0
does 1 1 4 4.876775741577148 5.172301292419434 0
<unk> 1 2 5 4.23533821105957 2.992804527282715 2.1794967651367188
claim 1 3 5 10.854669570922852 3.552792549133301 0
that 1 4 4 0.4672616124153137 1.4480115175247192 2.1047810316085815
he 1 5 2 5.942347526550293 5.628074645996094 0
has 1 6 3 5.287611961364746 5.125577926635742 0.5024967193603516
a 1 7 1 4.803686618804932 6.617496967315674 0
boat 1 8 4 10.474038124084473 9.773043632507324 0
and 1 9 3 6.097123622894287 6.993080139160156 2.779963493347168
a 1 10 1 5.008525371551514 6.532430648803711 0.4606494903564453
car 1 11 3 8.632264137268066 9.834510803222656 0
? 1 12 1 8.472867965698242 6.968362808227539 2.866147994995117
how 2 0 3 6.977571964263916 4.4207611083984375 0
did 2 1 3 2.4529595375061035 5.172301292419434 0
she 2 2 3 0.9589915871620178 3.2231383323669434 1.9491629600524902
think 2 3 5 7.800375461578369 1.1962295770645142 2.026908755302429
that 2 4 4 0.5706543922424316 2.5133302211761475 0
she 2 5 3 2.6911423206329346 5.146700859069824 0
bought 2 6 6 13.024483680725098 3.8183608055114746 1.3283400535583496
beans 2 7 5 21.0675048828125 0.9085577130317688 2.909803092479706
and 2 8 3 2.974794864654541 4.920981407165527 0
<unk> 2 9 5 3.5872509479522705 9.714244842529297 0
? 2 10 1 5.8142924308776855 7.426731109619141 2.2875137329101562
how 3 0 3 6.977571964263916 4.4207611083984375 0
does 3 1 4 4.876775741577148 5.172301292419434 0
<unk> 3 2 5 4.23533821105957 2.992804527282715 2.1794967651367188
claim 3 3 5 10.854669570922852 3.552792549133301 0
that 3 4 4 0.4672616124153137 1.4480115175247192 2.1047810316085815
he 3 5 2 5.942347526550293 5.628074645996094 0
can 3 6 3 5.373110771179199 5.125577926635742 0.5024967193603516
make 3 7 4 7.559231758117676 8.072230339050293 0
<unk> 3 8 5 7.771846294403076 1.6952192783355713 6.377011060714722
and 3 9 3 5.799948215484619 8.147567749023438 0
espresso 3 10 8 20.21605682373047 8.142463684082031 0.00510406494140625
? 3 11 1 5.869235992431641 7.545688629150391 0.5967750549316406
how 4 0 3 6.977571964263916 4.4207611083984375 0
does 4 1 4 4.876775741577148 5.172301292419434 0
she 4 2 3 0.9542903900146484 2.992804527282715 2.1794967651367188
know 4 3 4 8.726455688476562 0.8539782166481018 2.138826310634613
that 4 4 4 0.4981817305088043 2.2269344329833984 0
she 4 5 3 2.16849422454834 4.696515083312988 0
failed 4 6 6 12.52112102508545 3.909862995147705 0.7866520881652832
the 4 7 3 11.803418159484863 1.2703484296798706 2.6395145654678345
test 4 8 4 7.725528240203857 8.917082786560059 0
? 4 9 1 7.796236991882324 5.946462631225586 2.9706201553344727
how 5 0 3 6.977571964263916 4.4207611083984375 0
did 5 1 3 2.4529595375061035 5.172301292419434 0
he 5 2 2 4.4535112380981445 3.2231383323669434 1.9491629600524902
say 5 3 3 0.11715193837881088 0.8696234822273254 2.353514850139618
that 5 4 4 0.21517139673233032 1.2636728286743164 0
he 5 5 2 4.5123419761657715 4.781052589416504 0
went 5 6 4 10.286754608154297 5.262018203735352 0
to 5 7 2 1.1803390979766846 2.5454483032226562 2.7165699005126953
school 5 8 6 6.853765964508057 6.24761438369751 0
? 5 9 1 0.013433600775897503 0.1197764053940773 6.1278379783034325
how 6 0 3 6.977571964263916 4.4207611083984375 0
does 6 1 4 4.876775741577148 5.172301292419434 0
will 6 2 4 17.27313804626465 2.992804527282715 2.1794967651367188
think 6 3 5 7.12139368057251 6.886207580566406 0
that 6 4 4 0.5984461307525635 2.278219223022461 4.607988357543945
bill 6 5 4 13.557466506958008 5.475093364715576 0
is 6 6 2 3.4607133865356445 6.31766414642334 0
pregnant 6 7 8 10.620023727416992 4.248597145080566 2.0690670013427734
in 6 8 2 11.270576477050781 0.22356310486793518 4.025034040212631
class 6 9 5 13.05037784576416 3.2233476638793945 0
? 6 10 1 0.10684532672166824 0.7988512516021729 2.4244964122772217
how 7 0 3 6.977571964263916 4.4207611083984375 0
did 7 1 3 2.4529595375061035 5.172301292419434 0
<unk> 7 2 5 3.1253676414489746 3.2231383323669434 1.9491629600524902
claim 7 3 5 10.41285228729248 5.066872596740723 0
that 7 4 4 0.5688309073448181 1.5441491603851318 3.522723436355591
he 7 5 2 5.702136993408203 5.405552387237549 0
fell 7 6 4 13.024781227111816 5.352789402008057 0.05276298522949219
asleep 7 7 6 8.653873443603516 1.0856859683990479 4.267103433609009
in 7 8 2 4.805485725402832 2.69157338142395 0
class 7 9 5 13.648798942565918 5.192160606384277 0
today 7 10 5 15.982569694519043 0.7639714479446411 4.428189158439636
? 7 11 1 0.5547612309455872 2.339367628097534 0
how 8 0 3 6.977571964263916 4.4207611083984375 0
does 8 1 4 4.876775741577148 5.172301292419434 0
someone 8 2 7 11.17723274230957 2.992804527282715 2.1794967651367188
who 8 3 3 3.505342721939087 4.178362846374512 0
speaks 8 4 6 13.238544464111328 6.795289039611816 0
a 8 5 1 5.327391147613525 4.53858757019043 2.2567014694213867
<unk> 8 6 5 7.170879364013672 7.972804069519043 0
language 8 7 8 11.96965503692627 1.611214280128479 6.361589789390564
solve 8 8 5 25.351654052734375 0.4511580169200897 1.1600562632083893
by 8 9 2 15.510709762573242 0.08539821952581406 0.36575979739427567
<unk> 8 10 5 8.394587516784668 0.5585512518882751 0
analysis 8 11 8 20.55743408203125 1.2731027603149414 0
? 8 12 1 0.4424748122692108 2.2413926124572754 0
how 9 0 3 6.977571964263916 4.4207611083984375 0
does 9 1 4 4.876775741577148 5.172301292419434 0
<unk> 9 2 5 4.23533821105957 2.992804527282715 2.1794967651367188
claim 9 3 5 10.854669570922852 3.552792549133301 0
that 9 4 4 0.4672616124153137 1.4480115175247192 2.1047810316085815
she 9 5 3 3.4611756801605225 5.628074645996094 0
sleeps 9 6 6 12.339447021484375 4.453129768371582 1.1749448776245117
with 9 7 4 6.353132724761963 0.9173640012741089 3.535765767097473
a 9 8 1 6.189472198486328 2.6726832389831543 0
teddy 9 9 5 12.729289054870605 9.223099708557129 0
bear 9 10 4 2.119051694869995 7.2514729499816895 1.9716267585754395
? 9 11 1 0.00761315505951643 0.0762881487607956 7.175184801220894
how 10 0 3 6.977571964263916 4.4207611083984375 0
does 10 1 4 4.876775741577148 5.172301292419434 0
someone 10 2 7 11.17723274230957 2.992804527282715 2.1794967651367188
who 10 3 3 3.505342721939087 4.178362846374512 0
speaks 10 4 6 13.238544464111328 6.795289039611816 0
a 10 5 1 5.327391147613525 4.53858757019043 2.2567014694213867
<unk> 10 6 5 7.170879364013672 7.972804069519043 0
language 10 7 8 11.96965503692627 1.611214280128479 6.361589789390564
know 10 8 4 20.136211395263672 0.4511580169200897 1.1600562632083893
beans 10 9 5 29.86480712890625 0.10032130777835846 0.35083670914173126
and 10 10 3 3.353970766067505 5.9172682762146 0
<unk> 10 11 5 3.4179508686065674 6.653371810913086 0
? 10 12 1 0.6501862406730652 3.665431022644043 2.987940788269043
how 11 0 3 6.977571964263916 4.4207611083984375 0
does 11 1 4 4.876775741577148 5.172301292419434 0
<unk> 11 2 5 4.23533821105957 2.992804527282715 2.1794967651367188
hear 11 3 4 5.240009307861328 3.552792549133301 0
<unk> 11 4 5 5.415360927581787 3.567275047302246 0
and 11 5 3 5.846551418304443 7.70357084274292 0
espresso 11 6 8 19.236225128173828 7.971252918243408 0
? 11 7 1 4.545705318450928 8.486735343933105 0
how 12 0 3 6.977571964263916 4.4207611083984375 0
does 12 1 4 4.876775741577148 5.172301292419434 0
<unk> 12 2 5 4.23533821105957 2.992804527282715 2.1794967651367188
believe 12 3 7 5.328586101531982 3.552792549133301 0
<unk> 12 4 5 7.929073810577393 1.337494134902954 2.2152984142303467
and 12 5 3 4.852244853973389 6.61475133895874 0
espresso 12 6 8 19.86225128173828 5.090053081512451 1.524698257446289
? 12 7 1 5.910242080688477 8.112980842590332 0
how 13 0 3 6.977571964263916 4.4207611083984375 0
did 13 1 3 2.4529595375061035 5.172301292419434 0
she 13 2 3 0.9589915871620178 3.2231383323669434 1.9491629600524902
know 13 3 4 8.177234649658203 1.1962295770645142 2.026908755302429
that 13 4 4 0.4836563766002655 2.1533427238464355 0
he 13 5 2 5.394909858703613 4.714837074279785 0
bought 13 6 6 12.119719505310059 4.7138190269470215 0.0010180473327636719
a 13 7 1 7.207026481628418 0.7818933725357056 3.931925654411316
boat 13 8 4 6.450723171234131 9.009620666503906 0
yesterday 13 9 9 17.638212203979492 4.384407043457031 4.625213623046875
? 13 10 1 0.049400895833969116 0.4066670835018158 3.9777399599552155
