word sentid sentpos wlen surp entropy entred
what 0 0 4 1.4391615390777588 4.428173065185547 0
did 0 1 3 0.923110842704773 3.1013269424438477 1.3268461227416992
they 0 2 4 6.270013332366943 0.7102361917495728 2.391090750694275
not 0 3 3 5.844757556915283 4.463996410369873 0
like 0 4 4 0.13670861721038818 1.101815938949585 3.362180471420288
that 0 5 4 1.4203611612319946 2.870217800140381 0
<unk> 0 6 5 2.605705499649048 6.307658672332764 0
likes 0 7 5 5.511298656463623 8.095396041870117 0
and 0 8 3 9.449971199035645 3.3932855129241943 4.702110528945923
accounts 0 9 8 12.383301734924316 8.839608192443848 0
? 0 10 1 4.9182586669921875 5.343027591705322 3.4965806007385254
who 1 0 3 2.6309449672698975 4.428173065185547 0
did 1 1 3 2.673900842666626 2.961611747741699 1.4665613174438477
she 1 2 3 0.9166619181632996 4.027846813201904 0
hear 1 3 4 6.182514190673828 2.6366963386535645 1.3911504745483398
a 1 4 1 3.4048306941986084 3.3313584327697754 0
rumour 1 5 6 10.883940696716309 4.8993000984191895 0
about 1 6 5 5.51198148727417 1.4729576110839844 3.426342487335205
and 1 7 3 11.398656845092773 4.860334396362305 0
wait 1 8 4 11.454388618469238 8.205480575561523 0
for 1 9 3 5.1085381507873535 2.2986958026885986 5.906784772872925
? 1 10 1 1.8374992609024048 4.849931240081787 0
what 2 0 4 1.4391615390777588 4.428173065185547 0
did 2 1 3 0.923110842704773 3.1013269424438477 1.3268461227416992
he 2 2 2 6.052188396453857 0.7102361917495728 2.391090750694275
hear 2 3 4 6.582777500152588 1.2148741483688354 0
that 2 4 4 0.6638340950012207 2.5023739337921143 0
<unk> 2 5 5 3.003723382949829 4.021392345428467 0
ate 2 6 3 5.054915428161621 7.417969226837158 0
accounts 2 7 8 21.216812133789062 2.035684823989868 5.38228440284729
and 2 8 3 5.892435073852539 4.1486053466796875 0
? 2 9 1 8.674994468688965 10.2965087890625 0
what 3 0 4 1.4391615390777588 4.428173065185547 0
did 3 1 3 0.923110842704773 3.1013269424438477 1.3268461227416992
will 3 2 4 19.801834106445312 0.7102361917495728 2.391090750694275
buy 3 3 3 12.469961166381836 6.940483093261719 0
? 3 4 1 5.356794357299805 6.111417293548584 0.8290657997131348
what 4 0 4 1.4391615390777588 4.428173065185547 0
did 4 1 3 0.923110842704773 3.1013269424438477 1.3268461227416992
you 4 2 3 4.913172245025635 0.7102361917495728 2.391090750694275
read 4 3 4 10.030122756958008 3.5426180362701416 0
about 4 4 5 2.638648748397827 5.023393630981445 0
and 4 5 3 8.72419548034668 5.522173881530762 0
announce 4 6 8 12.08270263671875 8.60191822052002 0
about 4 7 5 8.282724380493164 2.8366918563842773 5.765226364135742
? 4 8 1 3.0283448696136475 4.878925800323486 0
what 5 0 4 1.4391615390777588 4.428173065185547 0
did 5 1 3 0.923110842704773 3.1013269424438477 1.3268461227416992
he 5 2 2 6.052188396453857 0.7102361917495728 2.391090750694275
announce 5 3 8 14.051732063293457 1.2148741483688354 0
a 5 4 1 4.2470574378967285 1.3958731889724731 0
plan 5 5 4 0.4541779160499573 2.620255708694458 0
and 5 6 3 15.412369728088379 0.03768317773938179 2.582572530955076
speak 5 7 5 9.864645957946777 9.024772644042969 0
? 5 8 1 6.1481547355651855 0.8131316900253296 8.21164095401764
which 6 0 5 2.8760807514190674 4.428173065185547 0
subjects 6 1 8 15.283307075500488 8.275529861450195 0
did 6 2 3 1.5551170110702515 6.64487361907959 1.6306562423706055
she 6 3 3 1.5351417064666748 4.969333648681641 1.6755399703979492
not 6 4 3 7.233796119689941 4.12165641784668 0.8476772308349609
study 6 5 5 18.054466247558594 2.054581880569458 2.0670745372772217
for 6 6 3 7.304184436798096 5.691669940948486 0
or 6 7 2 11.728861808776855 7.020378112792969 0
fail 6 8 4 15.19446086883545 6.576595306396484 0.4437828063964844
the 6 9 3 10.456097602844238 0.7730293273925781 5.803565979003906
test 6 10 4 10.323896408081055 10.035024642944336 0
for 6 11 3 5.935534954071045 7.536520481109619 2.498504161834717
? 6 12 1 6.149967670440674 6.951112270355225 0.5854082107543945
what 7 0 4 1.4391615390777588 4.428173065185547 0
did 7 1 3 0.923110842704773 3.1013269424438477 1.3268461227416992
<unk> 7 2 5 8.077413558959961 0.7102361917495728 2.391090750694275
order 7 3 5 20.330631256103516 4.230032920837402 0
for 7 4 3 8.472594261169434 4.729122161865234 0
me 7 5 2 8.374859809875488 6.288896560668945 0
and 7 6 3 8.072306632995605 1.883554220199585 4.40534234046936
borrow 7 7 6 15.658669471740723 6.682188510894775 0
for 7 8 3 8.24650764465332 3.436516046524048 3.2456724643707275
you 7 9 3 5.333585739135742 6.550154685974121 0
? 7 10 1 2.2543423175811768 2.0716190338134766 4.4785356521606445
what 8 0 4 1.4391615390777588 4.428173065185547 0
does 8 1 4 5.7310590744018555 3.1013269424438477 1.3268461227416992
will 8 2 4 20.30127716064453 0.8661280870437622 2.2351988554000854
like 8 3 4 4.109108924865723 6.791354179382324 0
and 8 4 3 12.051582336425781 4.032399654388428 2.7589545249938965
girls 8 5 5 18.538604736328125 8.106961250305176 0
? 8 6 1 5.942801475524902 8.190064430236816 0
what 9 0 4 1.4391615390777588 4.428173065185547 0
did 9 1 3 0.923110842704773 3.1013269424438477 1.3268461227416992
they 9 2 4 6.270013332366943 0.7102361917495728 2.391090750694275
not 9 3 3 5.844757556915283 4.463996410369873 0
like 9 4 4 0.13670861721038818 1.101815938949585 3.362180471420288
that 9 5 4 1.4203611612319946 2.870217800140381 0
will 9 6 4 11.145796775817871 6.307658672332764 0
bought 9 7 6 16.489906311035156 7.473101615905762 0
<unk> 9 8 5 4.846344470977783 4.784295558929443 2.6888060569763184
and 9 9 3 6.355769634246826 7.640449523925781 0
? 9 10 1 9.24300765991211 8.110647201538086 0
what 10 0 4 1.4391615390777588 4.428173065185547 0
did 10 1 3 0.923110842704773 3.1013269424438477 1.3268461227416992
he 10 2 2 6.052188396453857 0.7102361917495728 2.391090750694275
hear 10 3 4 6.582777500152588 1.2148741483688354 0
that 10 4 4 0.6638340950012207 2.5023739337921143 0
<unk> 10 5 5 3.003723382949829 4.021392345428467 0
ate 10 6 3 5.054915428161621 7.417969226837158 0
and 10 7 3 10.267993927001953 2.035684823989868 5.38228440284729
story 10 8 5 13.268525123596191 9.022270202636719 0
? 10 9 1 1.827473759651184 7.502228736877441 1.5200414657592773
which 11 0 5 2.8760807514190674 4.428173065185547 0
things 11 1 6 11.453788757324219 8.275529861450195 0
did 11 2 3 1.6476852893829346 6.040555477142334 2.2349743843078613
she 11 3 3 1.4944568872451782 4.671545028686523 1.3690104484558105
solve 11 4 5 14.237090110778809 3.791721820831299 0.8798232078552246
and 11 5 3 8.464266777038574 5.6008710861206055 0
give 11 6 4 7.9268879890441895 9.932860374450684 0
? 11 7 1 6.415987491607666 4.08989143371582 5.842968940734863
what 12 0 4 1.4391615390777588 4.428173065185547 0
did 12 1 3 0.923110842704773 3.1013269424438477 1.3268461227416992
he 12 2 2 6.052188396453857 0.7102361917495728 2.391090750694275
announce 12 3 8 14.051732063293457 1.2148741483688354 0
a 12 4 1 4.2470574378967285 1.3958731889724731 0
plan 12 5 4 0.4541779160499573 2.620255708694458 0
and 12 6 3 15.412369728088379 0.03768317773938179 2.582572530955076
solve 12 7 5 12.477155685424805 9.024772644042969 0
by 12 8 2 10.746332168579102 2.547541856765747 6.477230787277222
? 12 9 1 5.933836936950684 8.569612503051758 0
what 13 0 4 1.4391615390777588 4.428173065185547 0
does 13 1 4 5.7310590744018555 3.1013269424438477 1.3268461227416992
<unk> 13 2 5 8.146342277526855 0.8661280870437622 2.2351988554000854
like 13 3 4 9.430682182312012 3.719407320022583 0
and 13 4 3 8.557973861694336 4.856820583343506 0
mothers 13 5 7 20.37105369567871 8.65495777130127 0
? 13 6 1 2.6740071773529053 6.77614688873291 1.8788108825683594
what 14 0 4 1.4391615390777588 4.428173065185547 0
did 14 1 3 0.923110842704773 3.1013269424438477 1.3268461227416992
she 14 2 3 0.12516717612743378 0.7102361917495728 2.391090750694275
hear 14 3 4 7.67284631729126 0.8036713600158691 0
about 14 4 5 6.4806742668151855 2.489269733428955 0
me 14 5 2 9.270462036132812 5.477760314941406 0
and 14 6 3 6.962608337402344 3.1414692401885986 2.3362910747528076
take 14 7 4 8.01859188079834 6.976767063140869 0
about 14 8 5 6.782905101776123 4.830458641052246 2.146308422088623
you 14 9 3 9.472291946411133 1.8872263431549072 2.943232297897339
? 14 10 1 1.237117052078247 2.1990365982055664 0
what 15 0 4 1.4391615390777588 4.428173065185547 0
did 15 1 3 0.923110842704773 3.1013269424438477 1.3268461227416992
<unk> 15 2 5 8.077413558959961 0.7102361917495728 2.391090750694275
<unk> 15 3 5 9.576294898986816 4.230032920837402 0
demand 15 4 6 16.006607055664062 6.387019634246826 0
the 15 5 3 6.323520183563232 5.054178714752197 1.332840919494629
scandalous 15 6 10 18.22736930847168 10.120233535766602 0
rumour 15 7 6 13.907759666442871 9.6024169921875 0.5178165435791016
and 15 8 3 8.867454528808594 1.6985377073287964 7.903879284858704
whisper 15 9 7 17.69711685180664 9.287744522094727 0
? 15 10 1 3.406460762023926 4.4106550216674805 4.877089500427246
what 16 0 4 1.4391615390777588 4.428173065185547 0
does 16 1 4 5.7310590744018555 3.1013269424438477 1.3268461227416992
the 16 2 3 12.607959747314453 0.8661280870437622 2.2351988554000854
unrealistic 16 3 11 18.760576248168945 8.693727493286133 0
brother 16 4 7 13.026416778564453 10.034932136535645 0
like 16 5 4 10.860882759094238 6.32235860824585 3.712573528289795
and 16 6 3 10.41462516784668 4.480861663818359 1.8414969444274902
silly 16 7 5 15.763008117675781 7.901031017303467 0
parties 16 8 7 14.192771911621094 7.02821683883667 0.8728141784667969
? 16 9 1 2.454472541809082 7.0560526847839355 0
what 17 0 4 1.4391615390777588 4.428173065185547 0
does 17 1 4 5.7310590744018555 3.1013269424438477 1.3268461227416992
the 17 2 3 12.607959747314453 0.8661280870437622 2.2351988554000854
<unk> 17 3 5 3.5216331481933594 8.693727493286133 0
possibility 17 4 11 16.774221420288086 8.040338516235352 0.6533889770507812
eat 17 5 3 13.865062713623047 6.454359531402588 1.5859789848327637
probable 17 6 8 18.055255889892578 5.57506799697876 0.8792915344238281
windows 17 7 7 14.237929344177246 9.392071723937988 0
and 17 8 3 4.703786849975586 6.040539741516113 3.351531982421875
? 17 9 1 9.184579849243164 9.731924057006836 0
what 18 0 4 1.4391615390777588 4.428173065185547 0
does 18 1 4 5.7310590744018555 3.1013269424438477 1.3268461227416992
the 18 2 3 12.607959747314453 0.8661280870437622 2.2351988554000854
directed 18 3 8 20.832149505615234 8.693727493286133 0
candy 18 4 5 18.16769790649414 9.393271446228027 0
store 18 5 5 8.070023536682129 9.483378410339355 0
like 18 6 4 9.092377662658691 9.301772117614746 0.18160629272460938
circulating 18 7 11 19.175867080688477 5.7244367599487305 3.5773353576660156
salads 18 8 6 16.299835205078125 8.647211074829102 0
and 18 9 3 4.167840480804443 5.9019622802734375 2.745248794555664
? 18 10 1 7.746779441833496 10.101593971252441 0
what 19 0 4 1.4391615390777588 4.428173065185547 0
did 19 1 3 0.923110842704773 3.1013269424438477 1.3268461227416992
the 19 2 3 12.297574043273926 0.7102361917495728 2.391090750694275
expensive 19 3 9 18.732336044311523 7.804210662841797 0
<unk> 19 4 5 3.320624589920044 9.951896667480469 0
analysis 19 5 8 15.793546676635742 9.95507526397705 0
not 19 6 3 8.980754852294922 8.158682823181152 1.7963924407958984
like 19 7 4 5.232015132904053 6.83978796005249 1.318894863128662
that 19 8 4 1.1744033098220825 4.512604236602783 2.327183723449707
the 19 9 3 6.562755584716797 7.506656169891357 0
difficult 19 10 9 17.814712524414062 10.243600845336914 0
study 19 11 5 13.543785095214844 10.156847953796387 0.08675289154052734
bought 19 12 6 14.943955421447754 7.9984259605407715 2.1584219932556152
and 19 13 3 6.562741756439209 5.12823486328125 2.8701910972595215
discreet 19 14 8 18.392417907714844 9.482833862304688 0
ballet 19 15 6 19.281049728393555 7.861209869384766 1.6216239929199219
? 19 16 1 3.109217643737793 8.05092716217041 0
what 20 0 4 1.4391615390777588 4.428173065185547 0
did 20 1 3 0.923110842704773 3.1013269424438477 1.3268461227416992
he 20 2 2 6.052188396453857 0.7102361917495728 2.391090750694275
rob 20 3 3 21.339033126831055 1.2148741483688354 0
a 20 4 1 6.8777360916137695 6.208315849304199 0
silly 20 5 5 13.73340892791748 9.73729133605957 0
possibility 20 6 11 11.501519203186035 8.81277847290039 0.9245128631591797
and 20 7 3 8.253228187561035 3.0465447902679443 5.766233682632446
date 20 8 4 14.279135704040527 8.929075241088867 0
? 20 9 1 2.9319040775299072 2.143293857574463 6.785781383514404
what 21 0 4 1.4391615390777588 4.428173065185547 0
does 21 1 4 5.7310590744018555 3.1013269424438477 1.3268461227416992
the 21 2 3 12.607959747314453 0.8661280870437622 2.2351988554000854
lucky 21 3 5 17.5518856048584 8.693727493286133 0
street 21 4 6 14.158736228942871 9.784205436706543 0
hire 21 5 4 15.949747085571289 8.692851066589355 1.0913543701171875
and 21 6 3 6.594743728637695 8.341084480285645 0.35176658630371094
accounts 21 7 8 16.968412399291992 8.4450101852417 0
? 21 8 1 6.591412544250488 6.567731857299805 1.8772783279418945
what 22 0 4 1.4391615390777588 4.428173065185547 0
did 22 1 3 0.923110842704773 3.1013269424438477 1.3268461227416992
the 22 2 3 12.297574043273926 0.7102361917495728 2.391090750694275
pretty 22 3 6 14.576550483703613 7.804210662841797 0
experience 22 4 10 9.457085609436035 8.741520881652832 0
assert 22 5 6 15.684113502502441 7.931407928466797 0.8101129531860352
for 22 6 3 12.866085052490234 1.5659390687942505 6.365468859672546
me 22 7 2 8.3379545211792 4.4030866622924805 0
and 22 8 3 6.818662166595459 2.7110610008239746 1.6920256614685059
hire 22 9 4 14.09309196472168 6.958979606628418 0
for 22 10 3 8.801743507385254 3.0427050590515137 3.9162745475769043
you 22 11 3 7.346482276916504 5.845709800720215 0
? 22 12 1 2.2796096801757812 2.4175267219543457 3.428183078765869
what 23 0 4 1.4391615390777588 4.428173065185547 0
did 23 1 3 0.923110842704773 3.1013269424438477 1.3268461227416992
the 23 2 3 12.297574043273926 0.7102361917495728 2.391090750694275
extravagant 23 3 11 18.53079605102539 7.804210662841797 0
cup 23 4 3 15.567361831665039 10.499476432800293 0
of 23 5 2 5.3550872802734375 9.441895484924316 1.0575809478759766
coffee 23 6 6 7.229834079742432 8.144247055053711 1.2976484298706055
<unk> 23 7 5 5.655374526977539 6.870634078979492 1.2736129760742188
for 23 8 3 6.832727432250977 8.032143592834473 0
me 23 9 2 7.229438781738281 7.096095561981201 0.9360480308532715
and 23 10 3 6.289979457855225 3.2932488918304443 3.802846670150757
solve 23 11 5 15.318840026855469 7.362492084503174 0
for 23 12 3 11.854666709899902 3.1223905086517334 4.24010157585144
you 23 13 3 4.904271602630615 6.995879173278809 0
? 23 14 1 1.0522154569625854 2.887073516845703 4.1088056564331055
what 24 0 4 1.4391615390777588 4.428173065185547 0
does 24 1 4 5.7310590744018555 3.1013269424438477 1.3268461227416992
the 24 2 3 12.607959747314453 0.8661280870437622 2.2351988554000854
<unk> 24 3 5 3.5216331481933594 8.693727493286133 0
language 24 4 8 12.795892715454102 8.040338516235352 0.6533889770507812
like 24 5 4 9.913667678833008 9.256072998046875 0
<unk> 24 6 5 2.050041675567627 4.798679351806641 4.457393646240234
and 24 7 3 4.883607864379883 8.399516105651855 0
? 24 8 1 9.319129943847656 5.087162017822266 3.31235408782959
