word sentid sentpos wlen surp entropy entred
how 0 0 3 8.16225528717041 4.756612777709961 0
<unk> 0 1 5 3.6655824184417725 4.696529388427734 0.06008338928222656
did 0 2 3 4.312769889831543 9.119983673095703 0
she 0 3 3 2.6854305267333984 5.995425224304199 3.124558448791504
say 0 4 3 1.6746816635131836 5.369366645812988 0.6260585784912109
that 0 5 4 0.7175238132476807 2.312870979309082 3.0564956665039062
he 0 6 2 7.090491771697998 4.733445644378662 0
directed 0 7 8 14.920624732971191 6.048773765563965 0
the 0 8 3 7.4147162437438965 4.268836975097656 1.7799367904663086
movie 0 9 5 7.944922924041748 9.236870765686035 0
that 0 10 4 6.38663911819458 4.051992893218994 5.184877872467041
i 0 11 1 7.132894992828369 6.750613689422607 0
saw 0 12 3 4.670742511749268 6.976548671722412 0
yesterday 0 13 9 15.3629732131958 3.74812912940979 3.228419542312622
? 0 14 1 2.485114812850952 5.730785846710205 0
how 1 0 3 8.16225528717041 4.756612777709961 0
discreet 1 1 8 19.184001922607422 4.696529388427734 0.06008338928222656
did 1 2 3 6.816895008087158 5.097075939178467 0
<unk> 1 3 5 3.4096248149871826 4.633347988128662 0.4637279510498047
hire 1 4 4 13.102519989013672 5.207217216491699 0
an 1 5 2 8.616644859313965 4.650829315185547 0.5563879013061523
agent 1 6 5 8.19972038269043 8.749408721923828 0
? 1 7 1 6.218391418457031 0.9275261759757996 7.821882545948029
how 2 0 3 8.16225528717041 4.756612777709961 0
pretty 2 1 6 16.133220672607422 4.696529388427734 0.06008338928222656
does 2 2 4 7.738011837005615 5.593119144439697 0
<unk> 2 3 5 3.2524657249450684 4.71914005279541 0.8739790916442871
like 2 4 4 9.202075958251953 5.475249767303467 0
the 2 5 3 7.475847244262695 3.5507655143737793 1.9244842529296875
woman 2 6 5 10.5519380569458 9.904582977294922 0
? 2 7 1 5.41080379486084 7.468766212463379 2.435816764831543
how 3 0 3 8.16225528717041 4.756612777709961 0
difficult 3 1 9 11.398417472839355 4.696529388427734 0.06008338928222656
did 3 2 3 9.358482360839844 2.5588293075561523 2.137700080871582
he 3 3 2 4.5898261070251465 4.977773189544678 0
hear 3 4 4 3.3638503551483154 5.421409606933594 0
that 3 5 4 2.4323511123657227 4.306335926055908 1.1150736808776855
you 3 6 3 5.4873528480529785 4.727423667907715 0
