word sentid sentpos wlen surp entropy entred
how 0 0 3 6.549129486083984 3.7944233417510986 0
<unk> 0 1 5 2.6920251846313477 6.14972448348999 0
did 0 2 3 4.097168922424316 8.667439460754395 0
she 0 3 3 2.643740653991699 5.734580039978027 2.932859420776367
say 0 4 3 1.489774465560913 5.2981696128845215 0.43641042709350586
that 0 5 4 0.23171207308769226 1.076116681098938 4.2220529317855835
he 0 6 2 8.095086097717285 3.4837684631347656 0
directed 0 7 8 15.995503425598145 5.706740856170654 0
the 0 8 3 9.734721183776855 2.3137898445129395 3.392951011657715
movie 0 9 5 10.142006874084473 7.809661388397217 0
that 0 10 4 10.251617431640625 1.6209062337875366 6.18875515460968
i 0 11 1 7.10822057723999 4.540770053863525 0
saw 0 12 3 4.370852947235107 5.670424461364746 0
yesterday 0 13 9 14.808823585510254 0.7240853905677795 4.9463390707969666
? 0 14 1 0.162146657705307 1.1787159442901611 0
how 1 0 3 6.549129486083984 3.7944233417510986 0
discreet 1 1 8 19.540342330932617 6.14972448348999 0
did 1 2 3 4.559567451477051 7.053640842437744 0
<unk> 1 3 5 6.008379936218262 2.7219736576080322 4.331667184829712
hire 1 4 4 11.819318771362305 6.918045520782471 0
an 1 5 2 7.709660530090332 5.20179557800293 1.716249942779541
agent 1 6 5 6.917948246002197 8.516839981079102 0
? 1 7 1 3.406346559524536 2.137286424636841 6.379553556442261
how 2 0 3 6.549129486083984 3.7944233417510986 0
pretty 2 1 6 15.980670928955078 6.14972448348999 0
does 2 2 4 8.686041831970215 6.8593878746032715 0
<unk> 2 3 5 5.437156677246094 3.015686273574829 3.8437016010284424
like 2 4 4 5.297020435333252 6.9132795333862305 0
the 2 5 3 7.945861339569092 2.5960538387298584 4.317225694656372
woman 2 6 5 9.275639533996582 9.897199630737305 0
? 2 7 1 2.608699321746826 4.241249084472656 5.655950546264648
how 3 0 3 6.549129486083984 3.7944233417510986 0
difficult 3 1 9 11.671188354492188 6.14972448348999 0
did 3 2 3 6.1397223472595215 6.293156623840332 0
he 3 3 2 3.7219908237457275 3.4975836277008057 2.7955729961395264
hear 3 4 4 4.7725830078125 6.149980545043945 0
that 3 5 4 0.7913476228713989 2.9518868923187256 3.1980936527252197
you 3 6 3 3.66245698928833 3.236192226409912 0
failed 3 7 6 13.683156967163086 6.186224460601807 0
the 3 8 3 13.887373924255371 0.5464797019958496 5.639744758605957
test 3 9 4 9.752354621887207 7.077937602996826 0
? 3 10 1 1.7391934394836426 2.3245460987091064 4.75339150428772
whose 4 0 5 8.876322746276855 3.7944233417510986 0
did 4 1 3 13.375885963439941 10.272113800048828 0
she 4 2 3 1.1345086097717285 4.159926891326904 6.112186908721924
say 4 3 3 1.2276620864868164 5.013731956481934 0
that 4 4 4 0.20498718321323395 1.006198525428772 4.007533431053162
<unk> 4 5 5 1.7960295677185059 3.4729013442993164 0
eats 4 6 4 12.807621955871582 6.914159297943115 0
<unk> 4 7 5 9.668354034423828 0.7137248516082764 6.200434446334839
? 4 8 1 0.10955379158258438 0.9171639084815979 0
how 5 0 3 6.549129486083984 3.7944233417510986 0
<unk> 5 1 5 2.6920251846313477 6.14972448348999 0
did 5 2 3 4.097168922424316 8.667439460754395 0
she 5 3 3 2.643740653991699 5.734580039978027 2.932859420776367
say 5 4 3 1.489774465560913 5.2981696128845215 0.43641042709350586
that 5 5 4 0.23171207308769226 1.076116681098938 4.2220529317855835
he 5 6 2 8.095086097717285 3.4837684631347656 0
announced 5 7 9 16.115427017211914 5.706740856170654 0
a 5 8 1 5.089391708374023 3.672635793685913 2.034105062484741
plan 5 9 4 4.101224422454834 4.751745223999023 0
? 5 10 1 5.3657755851745605 0.2848283350467682 4.466916888952255
how 6 0 3 6.549129486083984 3.7944233417510986 0
pretty 6 1 6 15.980670928955078 6.14972448348999 0
did 6 2 3 4.737321853637695 6.8593878746032715 0
he 6 3 2 4.921874523162842 2.8997957706451416 3.95959210395813
hear 6 4 4 5.784607410430908 5.474497318267822 0
that 6 5 4 0.7579542398452759 2.774723768234253 2.6997735500335693
she 6 6 3 5.276510715484619 3.629199743270874 0
read 6 7 4 8.566119194030762 6.102402687072754 0
the 6 8 3 10.455156326293945 1.9548187255859375 4.147583961486816
<unk> 6 9 5 8.384675025939941 3.3679089546203613 0
comics 6 10 6 18.22077178955078 3.554753065109253 0
? 6 11 1 0.5531771779060364 2.676131248474121 0.8786218166351318
what 7 0 4 1.4693481922149658 3.7944233417510986 0
kind 7 1 4 11.21420955657959 4.540174961090088 0
does 7 2 4 9.793465614318848 1.9878475666046143 2.5523273944854736
<unk> 7 3 5 4.745632171630859 4.362412929534912 0
speak 7 4 5 9.723137855529785 6.833615779876709 0
