word sentid sentpos wlen surp entropy entred
who 0 0 3 1.8212798833847046 3.9928994178771973 0
did 0 1 3 5.59339714050293 0.7504290342330933 3.242470383644104
he 0 2 2 3.323359489440918 4.658446311950684 0
hear 0 3 4 3.6443288326263428 5.399660587310791 0
that 0 4 4 1.7439115047454834 4.116678714752197 1.2829818725585938
it 0 5 2 2.7784924507141113 5.855764389038086 0
is 0 6 2 0.19461318850517273 1.3549786806106567 4.500785708427429
important 0 7 9 1.1613167524337769 4.28814697265625 0
to 0 8 2 0.047068316489458084 0.3181508183479309 3.969996154308319
see 0 9 3 6.087827682495117 4.852515697479248 0
? 0 10 1 1.6801012754440308 4.2353105545043945 0.6172051429748535
what 1 0 4 1.7228440046310425 3.9928994178771973 0
is 1 1 2 1.7897863388061523 3.9278664588928223 0.065032958984375
it 1 2 2 0.16749900579452515 0.8920082449913025 3.0358582139015198
important 1 3 9 0.10202005505561829 0.6595234274864197 0.2324848175048828
that 1 4 4 3.8550491333007812 1.099705457687378 0
<unk> 1 5 5 1.261743187904358 5.011754035949707 0
buys 1 6 4 12.8753080368042 7.050717830657959 0
? 1 7 1 0.25290417671203613 1.5205234289169312 5.530194401741028
who 2 0 3 1.8212798833847046 3.9928994178771973 0
did 2 1 3 5.59339714050293 0.7504290342330933 3.242470383644104
he 2 2 2 3.323359489440918 4.658446311950684 0
hear 2 3 4 3.6443288326263428 5.399660587310791 0
that 2 4 4 1.7439115047454834 4.116678714752197 1.2829818725585938
it 2 5 2 2.7784924507141113 5.855764389038086 0
is 2 6 2 0.19461318850517273 1.3549786806106567 4.500785708427429
important 2 7 9 1.1613167524337769 4.28814697265625 0
that 2 8 4 5.772211074829102 0.3181508183479309 3.969996154308319
<unk> 2 9 5 1.6077698469161987 5.3192009925842285 0
knows 2 10 5 8.486587524414062 7.846855640411377 0
? 2 11 1 1.922511339187622 3.4091367721557617 4.437718868255615
where 3 0 5 7.365363597869873 3.9928994178771973 0
did 3 1 3 4.960470676422119 5.93120002746582 0
<unk> 3 2 5 2.202326774597168 3.987175226211548 1.9440248012542725
tell 3 3 4 4.937996864318848 6.274902820587158 0
you 3 4 3 5.459155082702637 3.8725271224975586 2.4023756980895996
