word sentid sentpos wlen surp entropy entred
who 0 0 3 3.478895664215088 4.756612777709961 0
was 0 1 3 5.194851398468018 2.077967405319214 2.678645372390747
that 0 2 4 8.114606857299805 4.4768524169921875 0
quipped 0 3 7 21.758161544799805 5.266858100891113 0
about 0 4 5 6.599776268005371 2.132756471633911 3.134101629257202
<unk> 0 5 5 3.500581741333008 5.584378242492676 0
analysis 0 6 8 16.67193031311035 6.165577411651611 0
funny 0 7 5 21.227596282958984 4.539559841156006 1.6260175704956055
? 0 8 1 3.663555145263672 4.110564708709717 0.42899513244628906
whom 1 0 4 4.582894802093506 4.756612777709961 0
were 1 1 4 9.570314407348633 7.4740495681762695 0
two 1 2 3 8.578349113464355 8.12948989868164 0
rumours 1 3 7 16.99571990966797 7.548162937164307 0.581326961517334
about 1 4 5 5.101200580596924 3.452467203140259 4.095695734024048
waiting 1 5 7 12.779783248901367 6.029834747314453 0
? 1 6 1 4.141933441162109 1.6955803632736206 4.3342543840408325
who 2 0 3 3.478895664215088 4.756612777709961 0
does 2 1 4 5.393016815185547 2.077967405319214 2.678645372390747
that 2 2 4 6.3304123878479 5.773348808288574 0
wears 2 3 5 16.748292922973633 5.774537563323975 0
extravagant 2 4 11 21.098182678222656 1.7247711420059204 4.049766421318054
rings 2 5 5 8.682745933532715 8.069125175476074 0
make 2 6 4 14.042012214660645 4.291495323181152 3.777629852294922
the 2 7 3 6.402457237243652 4.824594020843506 0
plan 2 8 4 9.545469284057617 9.914361000061035 0
unrealistic 2 9 11 16.93561363220215 1.8587907552719116 8.055570244789124
? 2 10 1 5.727298259735107 1.504252314567566 0.3545384407043457
whom 3 0 4 4.582894802093506 4.756612777709961 0
loaned 3 1 6 20.10710334777832 7.4740495681762695 0
that 3 2 4 9.945180892944336 3.2739498615264893 4.20009970664978
<unk> 3 3 5 4.080759048461914 6.903825283050537 0
heard 3 4 5 11.536680221557617 7.833385944366455 0
the 3 5 3 7.280426025390625 4.85670280456543 2.9766831398010254
claim 3 6 5 12.784579277038574 8.582470893859863 0
a 3 7 1 9.875284194946289 1.5595488548278809 7.022922039031982
trumpet 3 8 7 15.390331268310547 7.282171249389648 0
to 3 9 2 1.2295032739639282 5.599185943603516 1.6829853057861328
you 3 10 3 6.703399658203125 7.567948818206787 0
? 3 11 1 2.1225502490997314 6.121308326721191 1.4466404914855957
who 4 0 3 3.478895664215088 4.756612777709961 0
is 4 1 2 0.3489418029785156 2.077967405319214 2.678645372390747
that 4 2 4 8.401453018188477 1.5087791681289673 0.5691882371902466
is 4 3 2 8.5968017578125 5.111072063446045 0
a 4 4 1 4.228487491607666 3.841892957687378 1.269179105758667
teacher 4 5 7 7.845360279083252 9.3237886428833 0
unlikely 4 6 8 19.216384887695312 1.9828885793685913 7.3409000635147095
? 4 7 1 5.47246789932251 0.7971031069755554 1.1857854723930359
whom 5 0 4 4.582894802093506 4.756612777709961 0
does 5 1 4 7.2699198722839355 7.4740495681762695 0
one 5 2 3 11.901888847351074 3.5082640647888184 3.965785503387451
story 5 3 5 6.083703517913818 7.175957679748535 0
about 5 4 5 7.518432140350342 6.061664581298828 1.114293098449707
claim 5 5 5 19.27277183532715 5.976344585418701 0.08531999588012695
the 5 6 3 9.306281089782715 1.7386668920516968 4.237677693367004
possibility 5 7 11 11.809542655944824 9.251863479614258 0
is 5 8 2 7.2486572265625 2.047713279724121 7.204150199890137
unrealistic 5 9 11 16.531227111816406 3.378702402114868 0
? 5 10 1 4.1699090003967285 1.899657964706421 1.4790444374084473
what 6 0 4 1.316446304321289 4.756612777709961 0
was 6 1 3 6.036948204040527 5.175479888916016 0
that 6 2 4 6.357991695404053 5.316944122314453 0
she 6 3 3 3.5672552585601807 6.0198073387146 0
likely 6 4 6 13.471933364868164 6.300579071044922 0
heard 6 5 5 7.498414516448975 7.049054145812988 0
true 6 6 4 13.61584186553955 4.848681926727295 2.2003722190856934
? 6 7 1 5.210683345794678 5.661464691162109 0
who 7 0 3 3.478895664215088 4.756612777709961 0
was 7 1 3 5.194851398468018 2.077967405319214 2.678645372390747
that 7 2 4 8.114606857299805 4.4768524169921875 0
knows 7 3 5 16.657703399658203 5.266858100891113 0
someone 7 4 7 11.436607360839844 3.8746297359466553 1.392228364944458
probable 7 5 8 17.404287338256836 5.855156421661377 0
? 7 6 1 5.909306526184082 2.4956514835357666 3.3595049381256104
who 8 0 3 3.478895664215088 4.756612777709961 0
does 8 1 4 5.393016815185547 2.077967405319214 2.678645372390747
that 8 2 4 6.3304123878479 5.773348808288574 0
