word sentid sentpos wlen surp entropy entred
who 0 0 3 2.263291597366333 3.7944233417510986 0
was 0 1 3 7.165128231048584 2.7812914848327637 1.013131856918335
that 0 2 4 11.43267822265625 5.505525588989258 0
quipped 0 3 7 20.485170364379883 5.556188583374023 0
about 0 4 5 6.102238178253174 3.957753896713257 1.5984346866607666
<unk> 0 5 5 5.946854591369629 2.7024190425872803 1.2553348541259766
analysis 0 6 8 20.570907592773438 2.0671677589416504 0.6352512836456299
funny 0 7 5 17.682207107543945 3.9110569953918457 0
? 0 8 1 0.39466285705566406 1.9955875873565674 1.9154694080352783
whom 1 0 4 4.562267780303955 3.7944233417510986 0
were 1 1 4 7.8719658851623535 3.551039457321167 0.24338388442993164
two 1 2 3 9.066256523132324 7.442933559417725 0
rumours 1 3 7 16.091510772705078 9.240943908691406 0
about 1 4 5 5.542898654937744 4.166006088256836 5.07493782043457
waiting 1 5 7 12.973217010498047 6.07127046585083 0
? 1 6 1 3.6225242614746094 2.0513548851013184 4.019915580749512
who 2 0 3 2.263291597366333 3.7944233417510986 0
does 2 1 4 6.315313816070557 2.7812914848327637 1.013131856918335
that 2 2 4 10.564020156860352 2.2168662548065186 0.5644252300262451
wears 2 3 5 16.364246368408203 7.9914140701293945 0
extravagant 2 4 11 16.80267333984375 5.3712382316589355 2.620175838470459
rings 2 5 5 11.832784652709961 9.202613830566406 0
make 2 6 4 13.716136932373047 3.9196152687072754 5.282998561859131
the 2 7 3 6.860815048217773 5.464010238647461 0
plan 2 8 4 10.601553916931152 9.245521545410156 0
unrealistic 2 9 11 18.60378074645996 2.416585922241211 6.828935623168945
? 2 10 1 6.582887172698975 0.7772822976112366 1.6393036246299744
whom 3 0 4 4.562267780303955 3.7944233417510986 0
loaned 3 1 6 20.694801330566406 3.551039457321167 0.24338388442993164
that 3 2 4 6.139495849609375 3.8006012439727783 0
<unk> 3 3 5 2.7435362339019775 7.012213706970215 0
heard 3 4 5 9.279239654541016 9.583539962768555 0
the 3 5 3 7.332693576812744 4.534395694732666 5.049144268035889
claim 3 6 5 11.737053871154785 6.312140941619873 0
a 3 7 1 8.743894577026367 1.4546399116516113 4.857501029968262
trumpet 3 8 7 18.16225242614746 4.566899299621582 0
to 3 9 2 0.6381592154502869 3.102962017059326 1.4639372825622559
you 3 10 3 7.058054447174072 6.5424723625183105 0
? 3 11 1 0.44898614287376404 2.4734866619110107 4.0689857006073
who 4 0 3 2.263291597366333 3.7944233417510986 0
is 4 1 2 0.4493734836578369 2.7812914848327637 1.013131856918335
that 4 2 4 12.230106353759766 1.4802056550979614 1.3010858297348022
is 4 3 2 9.045989990234375 5.187769412994385 0
a 4 4 1 4.137619972229004 5.900907516479492 0
teacher 4 5 7 6.1815385818481445 9.541763305664062 0
