word sentid sentpos wlen surp entropy entred
who 0 0 3 2.6309449672698975 4.428173065185547 0
was 0 1 3 6.667903423309326 2.961611747741699 1.4665613174438477
that 0 2 4 7.197749137878418 5.697176933288574 0
quipped 0 3 7 24.236377716064453 6.449747562408447 0
about 0 4 5 6.596593379974365 3.3735527992248535 3.0761947631835938
<unk> 0 5 5 3.7882473468780518 5.387558937072754 0
analysis 0 6 8 17.102127075195312 7.782439231872559 0
funny 0 7 5 19.773670196533203 4.872692108154297 2.9097471237182617
? 0 8 1 2.421656608581543 4.822811603546143 0.0498805046081543
whom 1 0 4 3.9531185626983643 4.428173065185547 0
were 1 1 4 6.995320796966553 4.728916645050049 0
two 1 2 3 10.125127792358398 8.298765182495117 0
rumours 1 3 7 20.176477432250977 6.623403549194336 1.6753616333007812
about 1 4 5 4.625452518463135 3.750582456588745 2.872821092605591
waiting 1 5 7 13.166145324707031 5.635287761688232 0
? 1 6 1 3.0736982822418213 1.5536932945251465 4.081594467163086
who 2 0 3 2.6309449672698975 4.428173065185547 0
does 2 1 4 4.898122310638428 2.961611747741699 1.4665613174438477
that 2 2 4 8.921822547912598 4.4573845863342285 0
wears 2 3 5 20.442249298095703 9.006279945373535 0
extravagant 2 4 11 16.63855743408203 6.286722660064697 2.719557285308838
rings 2 5 5 11.444042205810547 9.104244232177734 0
make 2 6 4 13.715643882751465 4.488903999328613 4.615340232849121
the 2 7 3 6.391172409057617 5.732480049133301 0
plan 2 8 4 9.77229118347168 10.329038619995117 0
unrealistic 2 9 11 16.65776824951172 2.555349826812744 7.773688793182373
? 2 10 1 4.856965065002441 2.2467730045318604 0.3085768222808838
whom 3 0 4 3.9531185626983643 4.428173065185547 0
loaned 3 1 6 21.893320083618164 4.728916645050049 0
that 3 2 4 7.8719282150268555 4.615623474121094 0.11329317092895508
<unk> 3 3 5 2.7963106632232666 5.857197284698486 0
heard 3 4 5 11.137228012084961 9.384549140930176 0
the 3 5 3 7.663053512573242 4.3154520988464355 5.06909704208374
claim 3 6 5 12.416441917419434 8.964051246643066 0
a 3 7 1 8.010581970214844 3.407125949859619 5.556925296783447
trumpet 3 8 7 18.082454681396484 7.980165004730225 0
to 3 9 2 4.136653900146484 7.331094741821289 0.6490702629089355
you 3 10 3 6.4590630531311035 7.522565841674805 0
? 3 11 1 0.14097124338150024 1.0587819814682007 6.463783860206604
who 4 0 3 2.6309449672698975 4.428173065185547 0
is 4 1 2 0.6585889458656311 2.961611747741699 1.4665613174438477
that 4 2 4 8.543335914611816 2.05073618888855 0.9108755588531494
is 4 3 2 10.325087547302246 6.322739124298096 0
a 4 4 1 4.99240779876709 5.651679992675781 0.6710591316223145
teacher 4 5 7 7.431517601013184 9.362068176269531 0
unlikely 4 6 8 14.456972122192383 3.687375783920288 5.674692392349243
? 4 7 1 7.416086673736572 0.4845389723777771 3.202836811542511
whom 5 0 4 3.9531185626983643 4.428173065185547 0
does 5 1 4 7.057297706604004 4.728916645050049 0
one 5 2 3 10.162247657775879 2.1308271884918213 2.5980894565582275
story 5 3 5 8.197636604309082 7.627871036529541 0
about 5 4 5 7.368505954742432 7.999866485595703 0
claim 5 5 5 18.502084732055664 6.818261623382568 1.1816048622131348
the 5 6 3 8.791667938232422 3.37467360496521 3.4435880184173584
possibility 5 7 11 9.348003387451172 8.795289039611816 0
is 5 8 2 5.441486835479736 3.4995157718658447 5.295773267745972
unrealistic 5 9 11 17.520442962646484 4.207958698272705 0
? 5 10 1 1.681198000907898 2.6268317699432373 1.5811269283294678
what 6 0 4 1.4391615390777588 4.428173065185547 0
was 6 1 3 7.511518478393555 3.1013269424438477 1.3268461227416992
that 6 2 4 5.969458103179932 3.191120147705078 0
she 6 3 3 5.519186973571777 6.528899669647217 0
likely 6 4 6 13.32368278503418 6.511622905731201 0.017276763916015625
heard 6 5 5 10.168119430541992 8.672471046447754 0
true 6 6 4 11.509808540344238 4.752170562744141 3.9203004837036133
? 6 7 1 3.2617568969726562 8.112337112426758 0
who 7 0 3 2.6309449672698975 4.428173065185547 0
was 7 1 3 6.667903423309326 2.961611747741699 1.4665613174438477
that 7 2 4 7.197749137878418 5.697176933288574 0
knows 7 3 5 18.386390686035156 6.449747562408447 0
someone 7 4 7 10.970528602600098 4.474090576171875 1.9756569862365723
probable 7 5 8 16.6617431640625 5.5796966552734375 0
? 7 6 1 5.794107913970947 3.098395824432373 2.4813008308410645
who 8 0 3 2.6309449672698975 4.428173065185547 0
does 8 1 4 4.898122310638428 2.961611747741699 1.4665613174438477
that 8 2 4 8.921822547912598 4.4573845863342285 0
got 8 3 3 11.616074562072754 9.006279945373535 0
a 8 4 1 4.942606449127197 4.7127180099487305 4.293561935424805
new 8 5 3 7.6761794090271 8.825231552124023 0
phone 8 6 5 12.706064224243164 9.023090362548828 0
for 8 7 3 8.749383926391602 2.740867853164673 6.282222509384155
<unk> 8 8 5 4.271032810211182 6.39911413192749 0
not 8 9 3 9.596773147583008 5.396454334259033 1.002659797668457
make 8 10 4 16.43956184387207 2.399752616882324 2.996701717376709
sense 8 11 5 9.491265296936035 5.85165548324585 0
? 8 12 1 1.3098859786987305 2.6257946491241455 3.225860834121704
whom 9 0 4 3.9531185626983643 4.428173065185547 0
did 9 1 3 0.9210464358329773 4.728916645050049 0
an 9 2 2 11.169705390930176 1.8288142681121826 2.900102376937866
account 9 3 7 10.900556564331055 8.09744644165039 0
for 9 4 3 5.811577320098877 6.153110504150391 1.9443359375
buy 9 5 3 16.238811492919922 6.270707607269287 0
a 9 6 1 6.782983303070068 7.496775150299072 0
gift 9 7 4 8.28296947479248 9.68498420715332 0
? 9 8 1 2.491342782974243 2.356390953063965 7.3285932540893555
what 10 0 4 1.4391615390777588 4.428173065185547 0
is 10 1 2 3.410264730453491 3.1013269424438477 1.3268461227416992
that 10 2 4 8.142716407775879 1.333159327507019 1.7681676149368286
come 10 3 4 15.028768539428711 6.743739604949951 0
to 10 4 2 0.34600478410720825 2.1750309467315674 4.568708658218384
our 10 5 3 4.0767974853515625 7.250494003295898 0
party 10 6 5 1.1637095212936401 6.391857624053955 0.8586363792419434
likely 10 7 6 15.526368141174316 2.9130208492279053 3.47883677482605
? 10 8 1 5.857740879058838 3.387179136276245 0
who 11 0 3 2.6309449672698975 4.428173065185547 0
does 11 1 4 4.898122310638428 2.961611747741699 1.4665613174438477
the 11 2 3 8.168050765991211 4.4573845863342285 0
extravagant 11 3 11 17.165205001831055 6.510705947875977 0
rings 11 4 5 13.975255012512207 10.708516120910645 0
that 11 5 4 4.264644145965576 6.30977201461792 4.398744106292725
takes 11 6 5 12.235520362854004 8.343390464782715 0
to 11 7 2 2.823678493499756 5.686047554016113 2.6573429107666016
school 11 8 6 11.470816612243652 7.554272174835205 0
are 11 9 3 4.175954341888428 7.163007736206055 0.3912644386291504
funny 11 10 5 12.990072250366211 8.937284469604492 0
? 11 11 1 3.1479690074920654 4.2755022048950195 4.661782264709473
