word sentid sentpos wlen surp entropy entred
where 0 0 5 6.746011257171631 3.7944233417510986 0
did 0 1 3 5.579967498779297 5.825533866882324 0
<unk> 0 2 5 5.704275608062744 2.1092677116394043 3.71626615524292
ask 0 3 3 8.104398727416992 6.283588409423828 0
who 0 4 3 7.911102771759033 2.9183108806610107 3.3652775287628174
<unk> 0 5 5 4.777366638183594 5.468124866485596 0
took 0 6 4 9.26947021484375 7.709752559661865 0
? 0 7 1 2.354611873626709 3.3563246726989746 4.353427886962891
what 1 0 4 1.4693481922149658 3.7944233417510986 0
did 1 1 3 1.422589659690857 4.540174961090088 0
she 1 2 3 0.4126668870449066 1.64043390750885 2.899741053581238
say 1 3 3 0.518916130065918 2.9212801456451416 0
that 1 4 4 0.1394718885421753 0.7734622955322266 2.147817850112915
<unk> 1 5 5 2.1537868976593018 3.1096296310424805 0
asked 1 6 5 10.24757194519043 6.908165454864502 0
who 1 7 3 9.399518013000488 2.6581037044525146 4.250061750411987
will 1 8 4 10.156103134155273 2.509920358657837 0.14818334579467773
read 1 9 4 11.116219520568848 4.760366439819336 0
? 1 10 1 0.13651634752750397 0.7812528610229492 3.9791135787963867
where 2 0 5 6.746011257171631 3.7944233417510986 0
did 2 1 3 5.579967498779297 5.825533866882324 0
<unk> 2 2 5 5.704275608062744 2.1092677116394043 3.71626615524292
ask 2 3 3 8.104398727416992 6.283588409423828 0
how 2 4 3 7.9459381103515625 2.9183108806610107 3.3652775287628174
<unk> 2 5 5 5.4010725021362305 2.224679470062256 0.6936314105987549
went 2 6 4 8.8232421875 7.913852691650391 0
? 2 7 1 3.690117597579956 1.3333219289779663 6.580530762672424
what 3 0 4 1.4693481922149658 3.7944233417510986 0
did 3 1 3 1.422589659690857 4.540174961090088 0
will 3 2 4 19.349872589111328 1.64043390750885 2.899741053581238
ask 3 3 3 10.421683311462402 6.589524745941162 0
why 3 4 3 8.970527648925781 1.732704758644104 4.856819987297058
<unk> 3 5 5 2.603121757507324 4.498719692230225 0
wears 3 6 5 10.468064308166504 8.065581321716309 0
? 3 7 1 0.0443914495408535 0.39522188901901245 7.670359432697296
